new,host,a,aaaa,cname,soa,status_code,txt,cdn,cdn-name,ns,mx,caa
,gws-rds-external-readonly-uat.api.binance.com,,,,"ns-735.awsdns-27.net, awsdns-hostmaster.amazon.com",NOERROR,dobbmei4jnjlh.cloudfront.net,,,"ns-1319.awsdns-36.org, ns-1701.awsdns-20.co.uk, ns-234.awsdns-29.com, ns-735.awsdns-27.net",,
,gws-rds-external-readonly-uat.app.sandbox.directly.com,,,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,gws-rds-external-readonly-uat.directly.com,"52.7.171.31, 34.239.229.38, 3.223.245.124, 54.146.201.247",,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,gws-rds-external-readonly-uat.donations.livestream.com,"151.101.2.29, 151.101.66.29, 151.101.130.29, 151.101.194.29",,livestream.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,,True,fastly,,,
,gws-rds-external-readonly-uat.ppmail4.paddypower.com,,,,"a.ns.emailvision.net, domains.emailvision.com",NOERROR,"v=spf1 include:spf-a.emailvision.net include:spf-b.emailvision.net include:spf-c.emailvision.net -all, spf2.0/pra include:senderid-a.emailvision.net include:senderid-b.emailvision.net include:senderid-c.emailvision.net -all",,,,"smtp1.emv2.com, smtp2.emv2.com",
,gws-rds-external-readonly-uat.runbot108.odoo.com,141.95.203.16,,runbot108.odoo.com,"ns0.odoo.com, admin.odoo.com",NOERROR,,,,,,
,gws-rds-external-readonly-uat.sandbox.directly.com,"54.208.171.77, 34.200.99.14, 52.0.241.167, 34.235.174.84",,,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,gws-rds-external-readonly-uat.sg-dev.seek.com,"104.18.1.110, 104.18.0.110","2606:4700::6812:6e, 2606:4700::6812:16e",wildcard.sg-dev.seek.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,True,cloudflare,,,
,gws-rds-external-readonly-uat.snappublisher.snapchat.com,142.250.185.147,2a00:1450:4001:800::2013,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,,,,
,gws-rds-external-readonly-uat.stage.twilio.com,"13.227.219.24, 13.227.219.81, 13.227.219.13, 13.227.219.113",,dvksptar9cd7z.cloudfront.net,"ns-1903.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,"ns-111.awsdns-13.com, ns-1221.awsdns-24.org, ns-1903.awsdns-45.co.uk, ns-616.awsdns-13.net",,
,gws-rds-external-readonly-uat.staging-airtableblocks.com,"52.54.41.182, 54.173.163.126, 34.192.12.35, 184.73.80.41",,,"ns-1239.awsdns-26.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,gws-rds-external-readonly-uat.unified.seek.com,,,wildcard.unified.seek.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,True,cloudflare,,,
,jira.perf-readonly.intuit.com,"35.163.81.96, 35.166.177.141, 50.112.162.163",,jiraperf.jira-preprod.a.intuit.com,"ns-590.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,
,jira.qa-readonly.intuit.com,"52.89.17.127, 52.43.162.217, 34.216.217.9",,jiraqa.tools-preprod.a.intuit.com,"ns-231.awsdns-28.com, awsdns-hostmaster.amazon.com",NOERROR,,,,"ns-1037.awsdns-01.org, ns-1738.awsdns-25.co.uk, ns-231.awsdns-28.com, ns-517.awsdns-00.net",,
,st13-dm-trailer-readonly-vip.apple.com,"17.173.176.15, 17.253.207.1, 17.253.200.1, 204.19.119.1, 204.26.57.1","2620:149:ae7::53, 2620:149:ae0::53, 2620:171:800:714::1, 2620:171:801:714::1",,"usmsc2-extxfr-001.dns.apple.com, hostmaster.apple.com",NOERROR,,,,"b.ns.apple.com, a.ns.apple.com, c.ns.apple.com, d.ns.apple.com",,
,upload-nl.ppmail4.paddypower.com,81.92.115.142,,,"a.ns.emailvision.net, domains.emailvision.com",NOERROR,"spf2.0/pra include:senderid-a.emailvision.net include:senderid-b.emailvision.net include:senderid-c.emailvision.net -all, v=spf1 include:spf-a.emailvision.net include:spf-b.emailvision.net include:spf-c.emailvision.net -all",,,,"smtp1.emv2.com, smtp2.emv2.com",
,upload-nl.sg-dev.seek.com,"104.18.1.110, 104.18.0.110","2606:4700::6812:6e, 2606:4700::6812:16e",wildcard.sg-dev.seek.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,True,cloudflare,,,
,upload-nl.websitebuilder.easyname.com,185.51.8.148,,,"nsi1.easyname.com, hostmaster.easyname.com",NOERROR,,,,,,
