new,host,a,soa,status_code,cname,ns,mx,txt,caa,aaaa,cdn,cdn-name,has_internal_ips,internal_ips
[x],hiz.amocrm.ru,"95.213.201.60, 95.213.161.42","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfa.trunk.amocrm.ru,,,,,,,,,
[x],hkdigital.amocrm.ru,,"ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],hmweb.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],horoshieokna.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],hrlatoken.amocrm.com,"169.150.216.107, 169.150.216.178","ns20.digicertdns.com, dns.digicertdns.com",NOERROR,cfg.trunk.amocrm.com,,,,,,,,,
[x],httpotoplenieitkru.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],httpproject292318tildaws.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],iandu.amocrm.ru,"95.213.201.60, 95.213.161.42","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfa.trunk.amocrm.ru,,,,,,,,,
[x],ias.amocrm.ru,"95.213.161.42, 95.213.201.60","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfa.trunk.amocrm.ru,,,,,,,,,
[x],icgraphics.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],iconcosmeticskz.amocrm.ru,"95.213.201.60, 95.213.161.42","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfa.trunk.amocrm.ru,,,,,,,,,
[x],id.amocrm.com,169.150.216.171,"ns20.digicertdns.com, dns.digicertdns.com",NOERROR,"martin.k8s.amocrm.com, martin-ext.k8s.amocrm.com",,,,,,,,,
[x],id.amocrm.ru,188.124.43.169,"ns3-l2.nic.ru, dns.nic.ru",NOERROR,amber.k8s.amocrm.ru,,,,,,,,,
[x],ideapromotion.amocrm.ru,"95.213.201.60, 95.213.161.42","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfa.trunk.amocrm.ru,,,,,,,,,
[x],idhrsales.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],idoorsclub.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],illumina.amocrm.com,"169.150.216.178, 169.150.216.107","ns20.digicertdns.com, dns.digicertdns.com",NOERROR,cfg.trunk.amocrm.com,,,,,,,,,
[x],ilpi.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],imperialgroup.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],importcarsinua.amocrm.ru,23.111.85.36,"ns3-l2.nic.ru, dns.nic.ru",NOERROR,"proxy.trunk.amocrm.ru, amsterdam-proxy.trunk.amocrm.ru",,,,,,,,,
[x],imports.amocrm.ru,23.111.96.170,"ns3-l2.nic.ru, dns.nic.ru",NOERROR,,,,,,,,,,
[x],imsezk.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],indors.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],info116.amocrm.com,"142.0.201.228, 64.58.114.237","ns20.digicertdns.com, dns.digicertdns.com",NOERROR,"fs.all.geo.prods.amocrm.com, cfc.trunk.amocrm.com",,,,,,,,,
[x],info359.amocrm.com,"142.0.201.228, 64.58.114.237","ns20.digicertdns.com, dns.digicertdns.com",NOERROR,"fs.all.geo.prods.amocrm.com, cfc.trunk.amocrm.com",,,,,,,,,
[x],info4headgroupru.amocrm.ru,"88.212.249.37, 88.212.250.100","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
[x],infoalclinickz.amocrm.ru,"88.212.250.100, 88.212.249.37","ns3-l2.nic.ru, dns.nic.ru",NOERROR,cfb.trunk.amocrm.ru,,,,,,,,,
