new,host,a,aaaa,cname,soa,caa,status_code,cdn,cdn-name,mx,ns,txt
[x],cash.app,"151.101.130.132, 151.101.66.132, 151.101.194.132, 151.101.2.132",,,"ns-1248.awsdns-28.org, ops+dns.squareup.com",,NOERROR,True,fastly,"alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com","ns-1816.awsdns-35.co.uk, ns-311.awsdns-38.com, ns-810.awsdns-37.net, ns-1248.awsdns-28.org","ca3-b5d66a0264614da88ce224221e7ae3cf, ca3-db8a26730bde413aa3d797683265f5eb, google-site-verification=7qlUxJaNxeI7aJINVoFRvBFsIivOkNsl64K81_nLUxY, google-site-verification=In1-EBOhQKXl2FTgO-PPbnGM8FY6GU-Bkaxmpz-rebw, google-site-verification=OH0HcLtO7e6btuzWiOceYIkTtwqRWyyKM5sekVDEbvs, v=spf1 include:cash.app._nspf.vali.email include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email ~all, ca3-7bbd19db6811492893529ff4f8114b7e"
[x],click.cash.app,"52.209.121.193, 34.246.127.31, 99.80.227.4",,"cashapp.customlinks.appsflyer.com, cdproxy-336a18f93cd83100.elb.eu-west-1.amazonaws.com","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,,,,
[x],collector.taxes.cashstaging.app,34.117.186.206,,collector.usc1.taxes.cashstaging.app,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],collector.usc1.taxes.cash.app,34.120.233.30,,,"ns-cloud-e1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,
[x],collector.verse.me,"151.101.1.195, 151.101.65.195",,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,fastly,,,
[x],designsystem.cash.app,"185.199.109.153, 185.199.111.153, 185.199.110.153, 185.199.108.153","2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153",squareup.github.io,"ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com, dns1.p05.nsone.net, hostmaster.nsone.net","digicert.com, letsencrypt.org",NOERROR,,,,,
[x],dev.kit.cashstaging.app,"18.66.2.8, 18.66.2.105, 18.66.2.67, 18.66.2.15","2600:9000:2156:aa00:7:d9d7:1840:93a1, 2600:9000:2156:5600:7:d9d7:1840:93a1, 2600:9000:2156:4600:7:d9d7:1840:93a1, 2600:9000:2156:ec00:7:d9d7:1840:93a1, 2600:9000:2156:8c00:7:d9d7:1840:93a1, 2600:9000:2156:6200:7:d9d7:1840:93a1, 2600:9000:2156:ce00:7:d9d7:1840:93a1, 2600:9000:2156:1c00:7:d9d7:1840:93a1",d21qvau8ob5ppd.cloudfront.net,"ns-1494.awsdns-58.org, awsdns-hostmaster.amazon.com",,NOERROR,True,cloudfront,,"ns-1494.awsdns-58.org, ns-1984.awsdns-56.co.uk, ns-258.awsdns-32.com, ns-785.awsdns-34.net",
[x],developers.cash.app,35.193.206.75,,ingress.stoplight.io,"dana.ns.cloudflare.com, dns.cloudflare.com",,NOERROR,True,google,,,
[x],email.taxes-notifications.cash.app,"34.110.180.34, 205.251.192.133, 205.251.194.74, 205.251.197.202, 205.251.198.78",,mailgun.org,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com",";, letsencrypt.org, digicert.com",NOERROR,True,google,"mxa.mailgun.org, mxb.mailgun.org","ns-586.awsdns-09.net, ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk, ns-133.awsdns-16.com","v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all, 8f7088gv5932jxw9lwwd1b6ttx2pw2ds, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA"
[x],email.taxes1-notifications.cash.app,"34.102.239.211, 205.251.192.133, 205.251.194.74, 205.251.197.202, 205.251.198.78",,mailgun.org,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com","letsencrypt.org, digicert.com, ;",NOERROR,True,google,"mxa.mailgun.org, mxb.mailgun.org","ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk, ns-133.awsdns-16.com, ns-586.awsdns-09.net","8f7088gv5932jxw9lwwd1b6ttx2pw2ds, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA"
[x],email.taxes2-notifications.cash.app,34.110.180.34,,mailgun.org,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com","digicert.com, letsencrypt.org, ;",NOERROR,True,google,"mxa.mailgun.org, mxb.mailgun.org","ns-133.awsdns-16.com, ns-586.awsdns-09.net, ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk","8f7088gv5932jxw9lwwd1b6ttx2pw2ds, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA"
[x],email.taxes3-notifications.cash.app,34.102.239.211,,mailgun.org,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com","digicert.com, letsencrypt.org, ;",NOERROR,True,google,"mxa.mailgun.org, mxb.mailgun.org","ns-133.awsdns-16.com, ns-586.awsdns-09.net, ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk","8f7088gv5932jxw9lwwd1b6ttx2pw2ds, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA"
[x],email.taxes4-notifications.cash.app,34.102.239.211,,mailgun.org,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com","digicert.com, letsencrypt.org, ;",NOERROR,True,google,"mxb.mailgun.org, mxa.mailgun.org","ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk, ns-586.awsdns-09.net, ns-133.awsdns-16.com","v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all, 8f7088gv5932jxw9lwwd1b6ttx2pw2ds, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA"
