input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,webserver,method,host,tech_,lines,content_type,cdn
ehc.lululemon.com,Access Denied,,268,www.servicenow.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-10-06T17:46:35Z,"CN=www.servicenow.com, O=ServiceNow\, Inc., L=San Diego, ST=California, C=US",www.servicenow.com,"ServiceNow, Inc.","CN=Entrust Certification Authority - L1K, OU=(c) 2012 Entrust\, Inc. - for authorized use only, OU=See www.entrust.net/legal-terms, O=Entrust\, Inc., C=US",Entrust Certification Authority - L1K,"Entrust, Inc.",ctls,www.servicenow.com,443,https://ehc.lululemon.com:443,https,AkamaiGHost,GET,149.96.22.49,HSTS,10,text/html,
enterpriseenrollment.lululemon.com,Microsoft Intune admin center,,39809,intune.microsoft.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-04-20T00:03:25Z,"CN=intune.microsoft.com, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",intune.microsoft.com,Microsoft Corporation,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,ctls,intune.microsoft.com,443,https://enterpriseenrollment.lululemon.com:443,https,,GET,20.91.147.72,HSTS,4,text/html,
enterpriseregistration.lululemon.com,Service,,1565,enterpriseregistration.lululemon.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-02-14T19:36:32Z,"CN=*.enterpriseregistration.windows.net, O=Microsoft Corporation, L=Redmond, ST=WA, C=US",*.enterpriseregistration.windows.net,Microsoft Corporation,"CN=Microsoft Azure TLS Issuing CA 06, O=Microsoft Corporation, C=US",Microsoft Azure TLS Issuing CA 06,Microsoft Corporation,ctls,enterpriseregistration.lululemon.com,443,https://enterpriseregistration.lululemon.com:443,https,,GET,20.190.137.40,HSTS,14,text/html,True
failover.lululemon.com,,,10,failover.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,failover.lululemon.com,443,https://failover.lululemon.com:443,https,AkamaiNetStorage,GET,95.100.64.221,,2,,
fakeprod.preprod.lululemon.com,Access Denied,,283,fakeprod.preprod.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,fakeprod.preprod.lululemon.com,443,https://fakeprod.preprod.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
fr-blog.lululemon.com,Error,,175,fr-blog.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,fr-blog.lululemon.com,443,https://fr-blog.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,,5,text/html,
fr-qa-info.lululemon.com,Access Denied,,281,fr-qa-info.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,fr-qa-info.lululemon.com,443,https://fr-qa-info.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,HSTS,10,text/html,
fr-qa2-info.lululemon.com,Access Denied,,282,fr-qa2-info.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,fr-qa2-info.lululemon.com,443,https://fr-qa2-info.lululemon.com:443,https,AkamaiGHost,GET,23.212.219.143,HSTS,10,text/html,
fr-qa21.lululemon.com,Access Denied,,274,fr-qa21.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2022-08-14T00:00:00Z,"CN=lululemon.com, O=Lululemon Athletica Canada Inc., L=Vancouver, ST=British Columbia, C=CA",lululemon.com,Lululemon Athletica Canada Inc.,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,ctls,fr-qa21.lululemon.com,443,https://fr-qa21.lululemon.com:443,https,AkamaiGHost,GET,104.102.48.216,,10,text/html,
fr-test-shop.lululemon.com,Access Denied,,283,fr-test-shop.lululemon.com,443,tls13,TLS_AES_256_GCM_SHA384,2023-04-19T00:00:00Z,"CN=stage.lululemon.com, O=Lululemon Athletica Canada inc., L=Vancouver, ST=British Columbia, C=CA",stage.lululemon.com,Lululemon Athletica Canada inc.,"CN=GeoTrust TLS ECC CA G1, OU=www.digicert.com, O=DigiCert Inc, C=US",GeoTrust TLS ECC CA G1,DigiCert Inc,ctls,fr-test-shop.lululemon.com,443,https://fr-test-shop.lululemon.com:443,https,AkamaiGHost,GET,23.213.161.220,SheerID,10,text/html,
