new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,ns,mx,txt,has_internal_ips,internal_ips,caa
[x],view.bbcgoodfood.bbc.com,68.232.203.71,view.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
[x],view.bluey.bbc.com,68.232.203.71,view.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
[x],view.email.bbc.com,128.17.112.8,,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
[x],view.storeuk.bbc.com,68.232.203.71,view.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
[x],view.topgear.bbc.com,68.232.203.71,view.virt.s6.exacttarget.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,,,,
[x],wac.bbc.com,,,,NOERROR,,,,,,,,,
[x],web.stage.bbcx.test.api.bbc.com,"18.66.97.125, 18.66.97.62, 18.66.97.100, 18.66.97.3","web.stage.bbcx-internal.com, drcmijifmdy4j.cloudfront.net","ns-270.awsdns-33.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:223c:9800:1a:d950:c0:93a1, 2600:9000:223c:f200:1a:d950:c0:93a1, 2600:9000:223c:b200:1a:d950:c0:93a1, 2600:9000:223c:5000:1a:d950:c0:93a1, 2600:9000:223c:600:1a:d950:c0:93a1, 2600:9000:223c:6400:1a:d950:c0:93a1, 2600:9000:223c:9e00:1a:d950:c0:93a1, 2600:9000:223c:5a00:1a:d950:c0:93a1","ns-1390.awsdns-45.org, ns-1880.awsdns-43.co.uk, ns-270.awsdns-33.com, ns-773.awsdns-32.net",,,,,
[x],web.test.bbcx.test.api.bbc.com,"108.138.64.102, 108.138.64.72, 108.138.64.122, 108.138.64.119, 205.251.192.174, 205.251.195.247, 205.251.196.172, 205.251.199.40","web.test.bbcx-internal.com, d2rby4fk4w9n7o.cloudfront.net","ns-1015.awsdns-62.net, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,"2600:9000:2508:200:13:7523:7100:93a1, 2600:9000:2508:7a00:13:7523:7100:93a1, 2600:9000:2508:a000:13:7523:7100:93a1, 2600:9000:2508:e200:13:7523:7100:93a1, 2600:9000:2508:4a00:13:7523:7100:93a1, 2600:9000:2508:2400:13:7523:7100:93a1, 2600:9000:2508:e000:13:7523:7100:93a1, 2600:9000:2508:d800:13:7523:7100:93a1","ns-174.awsdns-21.com, ns-1832.awsdns-37.co.uk, ns-1196.awsdns-21.org, ns-1015.awsdns-62.net",,,,,
[x],webconf.dev.bbc.com,132.185.162.213,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
[x],webmailtest.bbc.com,,,"ns.bbc.co.uk, hostmaster.bbc.co.uk",NOERROR,,,,,,,,,
