new,host,a,soa,status_code,ns,has_internal_ips,internal_ips,cdn,cdn-name,cname,mx,txt,caa,aaaa
[x],gid.secure.rakuten.com,209.67.181.148,"edns4.ultradns.com, premiumdns.support.neustar",NOERROR,,,,,,,,,,
[x],global.fr.shopping.rakuten.com,141.226.253.212,"dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,"global.rfr-infra.net, tools.rfr-infra.net",,,,
[x],global.rakuten.com,23.206.209.157,"n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,"evsan.rakuten.edgekey.net, e16791.a.akamaiedge.net",,,,
[x],go.rakuten.com,"52.8.16.246, 54.177.1.46, 52.8.106.109, 13.57.112.110, 52.52.180.44, 52.9.40.219, 54.151.40.49, 13.56.176.121","ns-1925.awsdns-48.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,custom.bnc.lt,,,,
[x],grpa01.payment.global.rakuten.com,"99.83.238.55, 75.2.2.98","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,ab6e7bf1abfece65b.awsglobalaccelerator.com,,,,
[x],ias.global.rakuten.com,,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],idconnect.global.rakuten.com,,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],idrouter-pre.accounts.global.gs.rakuten.com,133.237.61.165,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,"nsg501.rakuten.co.jp, nsg801.rakuten.co.jp",,,,,,,,,
[x],idrouter-prod.accounts.global.gs.rakuten.com,133.237.63.169,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,"nsg501.rakuten.co.jp, nsg801.rakuten.co.jp",,,,,,,,,
[x],image.emails.rakuten.com,"184.25.51.105, 184.25.51.113","n0g.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,"images.s6.exacttarget.com.edgesuite.net, a1051.g.akamai.net",,,,
[x],image.newsletter.rakuten.com,"184.25.51.113, 184.25.51.105","n0g.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,"images.s6.exacttarget.com.edgesuite.net, a1051.g.akamai.net",,,,
[x],images.rakuten.com,,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,,,,True,fastly,images.rakuten.com.c.global-ssl.fastly.net,,,,
[x],img.origin.rakuten.com,0.0.0.0,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,True,0.0.0.0,,,rakutenimages.cloudapp.net,,,,
[x],img.rakuten.com,151.101.176.175,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,,,,True,fastly,img.rakuten.com.c.global-ssl.fastly.net,,,,
[x],insight.rakuten.com,34.120.86.160,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,True,google,,,,,
[x],jp.admin.baas.global.rakuten.com,133.237.17.204,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],jp.api.rse.global.rakuten.com,133.237.105.116,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,"jp-api-rse-global-rakuten-com.global-gslb.rdcnw.net, lb-133-237-105-116.lbaas.jpe1a.rdcnw.net",,,,
[x],jumbo-ap-pre.accounts.global.rakuten.com,133.237.62.1,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],jumbo-ap-prod.accounts.global.rakuten.com,133.237.63.122,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,,,,,,,,,,
[x],links.rakuten.com,208.94.20.19,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,,,,,"rakuten.ed10.net, redirect.bo3.ed10.net.akadns.net",,,,
[x],linkshare.rakuten.com,192.0.66.2,"dns1.p09.nsone.net, hostmaster.nsone.net",NOERROR,"dns3.p09.nsone.net, dns4.p09.nsone.net, dns1.p09.nsone.net, dns2.p09.nsone.net",,,,,,,,,
[x],login.account.gs.rakuten.com,133.237.62.125,"ns.rakuten.co.jp, postmaster.rakuten.co.jp",NOERROR,"nsg501.rakuten.co.jp, nsg801.rakuten.co.jp",,,,,,,,,
