input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,csp_domains_,tls_mismatched,tls_wildcard_certificate,cdn_name,cdn,final_url,webserver
leereco.acc.belastingdienst.nl,Request Rejected,200,247,leereco.acc.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-22T14:14:06Z,2023-08-22T14:24:00Z,"CN=leereco.acc.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",leereco.acc.belastingdienst.nl,Belastingdienst,leereco.acc.belastingdienst.nl,"CN=QuoVadis Global SSL ICA G2, O=QuoVadis Limited, C=BM",QuoVadis Global SSL ICA G2,QuoVadis Limited,b17fcede9f7f7a18db9f16b01703ca96,3b5a1a93db76f122141e1deb943819f781c389bf61e7ed69aeb1ec50500f19d7,ctls,leereco.acc.belastingdienst.nl,443,https://leereco.acc.belastingdienst.nl:443,https,text/html,GET,85.159.99.76,/,784644903,85.159.99.76,,1,False,,,,,,,
leereco.belastingdienst.nl,Request Rejected,200,246,leereco.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-08-22T14:14:15Z,2023-08-22T14:24:00Z,"CN=leereco.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",leereco.belastingdienst.nl,Belastingdienst,leereco.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,4e479569cf64fc5e52f92818d8e686ae,50773e98258c5af7b5b6e03e7e583ef1e6ea59b5486f1014deda2e3edd00db9a,ctls,leereco.belastingdienst.nl,443,https://leereco.belastingdienst.nl:443,https,text/html,GET,85.159.98.77,/,1309577080,2a04:9a01:1002::77,,1,False,,,,,,,
mijn.belastingdienst.nl,Inloggen op Mijn Belastingdienst,200,17166,www.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-20T09:22:27Z,2023-06-20T09:32:00Z,"CN=www.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",www.belastingdienst.nl,Belastingdienst,belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,065cbfe513ba511b5520d0bd2ae4086c,6e3f8b89dd2015529adbc6e9a553af6b3a7fe0349eca1eb88c5817a5c4fbb672,ctls,www.belastingdienst.nl,443,https://mijn.belastingdienst.nl:443,https,text/html,GET,85.159.98.1,/,-780928015,2a04:9a01:1002::1:1,HSTS,484,False,https://www.youtube.com,,,,,https://www.belastingdienst.nl/wps/wcm/connect/nl/home/content/inloggen-mijn-belastingdienst,
mijndouane.belastingdienst.nl,Inloggen voor douanezaken – regel uw douanevergunningen digitaal,200,21378,www.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-20T09:22:27Z,2023-06-20T09:32:00Z,"CN=www.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",www.belastingdienst.nl,Belastingdienst,belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,065cbfe513ba511b5520d0bd2ae4086c,6e3f8b89dd2015529adbc6e9a553af6b3a7fe0349eca1eb88c5817a5c4fbb672,ctls,www.belastingdienst.nl,443,https://mijndouane.belastingdienst.nl:443,https,text/html,GET,85.159.98.207,/,-780928015,85.159.98.207,HSTS,549,False,https://cdn.optimizely.com,,,,,https://www.belastingdienst.nl/wps/wcm/connect/nl/douane_voor_bedrijven/content/douaneportalen,
mm.belastingdienst.nl,,200,2,mm.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-07T10:14:44Z,2023-09-07T10:09:00Z,"CN=rmt000.apps.overheid-i.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",rmt000.apps.overheid-i.nl,Belastingdienst,mm.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,c0c55dd1c3c0230d0e50e303804020d7,24149ef828b16ff5757ff714e09d67ecad4857a478ba6f0c9dd343ff0c025452,ctls,mm.belastingdienst.nl,443,https://mm.belastingdienst.nl:443,https,text/html,GET,185.94.120.12,/,1931107,185.94.120.12,HSTS,1,False,,,,,,,
moodle.vcdn.belastingdienst.nl,Belastingdienst Nederland,200,26011,www.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-20T09:22:27Z,2023-06-20T09:32:00Z,"CN=www.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",www.belastingdienst.nl,Belastingdienst,belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,065cbfe513ba511b5520d0bd2ae4086c,6e3f8b89dd2015529adbc6e9a553af6b3a7fe0349eca1eb88c5817a5c4fbb672,ctls,www.belastingdienst.nl,443,https://moodle.vcdn.belastingdienst.nl:443,https,text/html,GET,185.94.120.31,/,-30674724,185.94.120.31,HSTS,717,False,https://*.belastingdienst.nl,,,,,https://www.belastingdienst.nl/wps/wcm/connect/nl/home/home,
mul-mkt.belastingdienst.nl,,200,860,mul-mkt.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-28T11:18:04Z,2024-03-28T11:13:00Z,"CN=mul-mkt.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",mul-mkt.belastingdienst.nl,Belastingdienst,mul-mkt.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,4830acfc7b6006276babb269bbb305f4,c986752660fdfc9e73b7960bc719fc2850379e544949fa79bb5b19f3f15e6d7e,ctls,mul-mkt.belastingdienst.nl,443,https://mul-mkt.belastingdienst.nl:443,https,,GET,85.159.98.169,/,882513585,85.159.98.169,,19,False,,,,,,,
mul-redirect.belastingdienst.nl,Error,500,2441,mul-redirect.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-21T11:44:17Z,2023-06-21T11:54:00Z,"CN=mul-redirect.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",mul-redirect.belastingdienst.nl,Belastingdienst,mul-redirect.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,c4f053d2b15cc02614ce8c8b7772960f,a7289c004fd81f95256fecbdf8109487bcf03ebccff9c846e54e0bead23496d7,ctls,mul-redirect.belastingdienst.nl,443,https://mul-redirect.belastingdienst.nl:443,https,text/html,GET,85.159.98.168,/,1772087922,85.159.98.168,,56,False,,,,,,,
mul.belastingdienst.nl,Aangifte Inkomstenbelasting: Inloggen | Download de Aangifte app,200,2309,mul.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-07T13:05:54Z,2023-12-07T13:00:00Z,"CN=mul.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",mul.belastingdienst.nl,Belastingdienst,mul.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,d5c2a7c477f2ff90b8f37cef46fe311c,b060cc5bebe01ad0c7498ccba129c619a8f537faafb4ec669601b6c421f64d7b,ctls,mul.belastingdienst.nl,443,https://mul.belastingdienst.nl:443,https,,GET,85.159.98.172,/,2142288827,85.159.98.172,Microsoft ASP.NET,51,False,,,,,,,
mwr-app-api-ota.belastingdienst.nl,,500,81,mwr-app-api-ota.belastingdienst.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-22T08:43:29Z,2023-09-22T08:38:00Z,"CN=mwr-app-api-ota.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",mwr-app-api-ota.belastingdienst.nl,Belastingdienst,mwr-app-api-ota.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,42cd5f8f0f8298e39a4e1ae4a5f3eef5,199f34ae26094132f2eb10c09c8f63e5e26d0afa2d66246d9f8807070d68b35c,ctls,mwr-app-api-ota.belastingdienst.nl,443,https://mwr-app-api-ota.belastingdienst.nl:443,https,application/json,GET,13.107.237.45,/,2033390377,2620:1ec:48:1::45,IBM DataPower,5,False,,,,,,,
mwr-app-api.belastingdienst.nl,,500,81,mwr-app-api.belastingdienst.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-22T08:38:10Z,2023-09-22T08:33:00Z,"CN=mwr-app-api.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",mwr-app-api.belastingdienst.nl,Belastingdienst,mwr-app-api.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,b52eeaa733736aa2373a3aa8d67e7045,4928764f9709afd5f3a37c33c5fadf80cee2ed03e69c24da7f39d43d3e7009f6,ctls,mwr-app-api.belastingdienst.nl,443,https://mwr-app-api.belastingdienst.nl:443,https,application/json,GET,13.107.253.45,/,2033390377,2620:1ec:4f:1::45,IBM DataPower,5,False,,,,,,,
odb.belastingdienst.nl,Home - Ondersteuning Digitaal Berichtenverkeer (ODB),200,106837,odb.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-21T11:18:57Z,2023-06-21T11:28:00Z,"CN=odb.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",odb.belastingdienst.nl,Belastingdienst,oswo.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,5479321d5fc399bf76801913df3e6216,ac200d82e0e1d48c20d5523447e82b18b74d3ca22f365093e660ea6813c9ed90,ctls,odb.belastingdienst.nl,443,https://odb.belastingdienst.nl:443,https,text/html,GET,85.159.98.229,/,-569487998,2a04:9a01:1002::229,Yoast SEO:20.7,858,False,,,,,,,
onboarding.belastingdienst.nl,Onboarding,200,52268,onboarding.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-25T11:00:52Z,2023-11-25T10:55:00Z,"CN=onboarding.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",onboarding.belastingdienst.nl,Belastingdienst,onboarding.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,ff0746f4aeda47bb14573df9f5a2e667,912f86541e7c5e215cffb4015b2c500ad3d4603ae781f978caa9d3205c685668,ctls,onboarding.belastingdienst.nl,443,https://onboarding.belastingdienst.nl:443,https,text/html,GET,85.159.98.28,/,-569487998,2a04:9a01:1002::28,WordPress,234,False,,,,,,,
opleiding-ola.belastingdienst.nl,This page intentionally left blank.,200,288,opleiding-ola.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-20T08:08:26Z,2023-06-20T08:18:00Z,"CN=opleiding-ola.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",opleiding-ola.belastingdienst.nl,Belastingdienst,opleiding-ola.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,c835170abb8b2a7afae37a9c2a89d1f9,84208bc35e5c87395a088aa24ba9eb11bb7e5251ad7c121ba155f9ba8cce6ac5,ctls,opleiding-ola.belastingdienst.nl,443,https://opleiding-ola.belastingdienst.nl:443,https,text/html,GET,85.159.98.105,/,-780928015,2a04:9a01:1002::105,HSTS,11,False,,,,,,,
over-ons.belastingdienst.nl,Belastingdienst - Nieuws en informatie over de Belastingdienst,200,80013,over-ons.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-20T09:43:11Z,2023-06-20T09:53:00Z,"CN=over-ons.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",over-ons.belastingdienst.nl,Belastingdienst,fiscalemonitor.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,79d7b4f7f2201d4bc5c9d0e1b9f6bf76,7d025eeecead124da7a584cd66c8f354d383028b210f232a8a446fe7a4c1ab69,ctls,over-ons.belastingdienst.nl,80,http://over-ons.belastingdienst.nl:80,http,text/html,GET,85.159.98.202,/,-569487998,2a04:9a01:1002::202,Yoast SEO:20.7,684,False,,,,,,https://over-ons.belastingdienst.nl/,
pih.belastingdienst.nl,Login | Belastingdienst Gegevensportalen,200,11205,pih.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-27T12:34:43Z,2024-01-27T12:29:00Z,"CN=pih.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",pih.belastingdienst.nl,Belastingdienst,pih.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,f9cedfec73fa3912fad853a2d1e325ac,4c2f3a0369d0dbd19be6e9bbf406a3ede431b8ac9f81443c8ce8c0de44d890c7,ctls,pih.belastingdienst.nl,443,https://pih.belastingdienst.nl:443,https,text/html,GET,85.159.98.230,/,-2010964229,2a04:9a01:1002::230,Python,363,False,https://www.inkomensafhankelijkehuurverhoging.nl,,,,,https://pih.belastingdienst.nl/accounts/login/?next=/,
pmm.belastingdienst.nl,Access Denied,403,604,pmm.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-21T12:14:55Z,2023-06-21T12:24:00Z,"CN=pmm.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",pmm.belastingdienst.nl,Belastingdienst,pmm.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,d2ddfc52d355307fc68948909c8037ba,254f525ac5b967f80ebc275e861acde4302dda93876d5d78b63c6474f1571bcd,ctls,pmm.belastingdienst.nl,443,https://pmm.belastingdienst.nl:443,https,text/html,GET,85.159.98.7,/,1231494692,85.159.98.7,HSTS,37,False,,,,,,,
portaal.belastingdienst.nl,,200,2,portaal.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-21T12:26:16Z,2023-06-21T12:36:00Z,"CN=portaal.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",portaal.belastingdienst.nl,Belastingdienst,portaal.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,e4632ce5942f6fc43086b1af2704dfc5,7c617effbe2676d88e9579b11b04078222f242b7c14914c18fbacbe0bb6518af,ctls,portaal.belastingdienst.nl,443,https://portaal.belastingdienst.nl:443,https,text/html,GET,85.159.98.246,/,-569487998,2a04:9a01:1002::246,HSTS,2,False,https://*.2o7.net,,,,,https://portaal.belastingdienst.nl/toegangsmanagement-login/login?TAM_OP=login&URL=https%3A%2F%2Fportaal.belastingdienst.nl%2F&REFERER=,
rw.belastingdienst.nl,Ivanti Connect Secure,404,1596,rw.belastingdienst.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-20T11:55:59Z,2024-12-22T11:55:58Z,"CN=rw.belastingdienst.nl, O=ODC Belastingdienst, C=NL",rw.belastingdienst.nl,ODC Belastingdienst,rw.belastingdienst.nl,"CN=BCIE Infrastructuur CA - G2, O=ODC Belastingdienst, C=NL",BCIE Infrastructuur CA - G2,ODC Belastingdienst,8afd74dae041d8b88c951dc365aaa152,453042de832817698826dbb93f5fc63a591548b160cdd48f1401ba4e3e06c70b,ctls,rw.belastingdienst.nl,443,https://rw.belastingdienst.nl:443,https,text/html,GET,185.94.120.5,/,-2073091730,185.94.120.5,HSTS,47,False,,,,,,,
sa.belastingdienst.nl,No Access! / Geen Toegang!,404,2632,sa.belastingdienst.nl,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-24T14:25:24Z,2024-03-24T14:20:00Z,"CN=sa.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",sa.belastingdienst.nl,Belastingdienst,sa.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,d85bbf27771aead7c048fd514d188b57,de15b5bb955a1b0fcbb029231d8497c4f496daf386a23cb15137226d82b31717,ctls,sa.belastingdienst.nl,443,https://sa.belastingdienst.nl:443,https,text/html,GET,85.159.96.85,/,-6489531,85.159.96.85,HSTS,74,False,,,,,,,
services.belastingdienst.nl,Services,200,57969,services.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-06-21T13:03:25Z,2023-06-21T13:13:00Z,"CN=services.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",services.belastingdienst.nl,Belastingdienst,services.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,e6502ce1d5531bf98209fd3d8a74d157,f7c85484a6c8a77ee422f76cfe96c2ef0e50edb44c8d604267a9b645b91c36ee,ctls,services.belastingdienst.nl,443,https://services.belastingdienst.nl:443,https,text/html,GET,85.159.98.53,/,-569487998,2a04:9a01:1002::53,WordPress,331,False,,,,,,,
sorry.belastingdienst.nl,,200,256,sorry.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-29T13:54:20Z,2023-12-29T13:49:00Z,"CN=sorry.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",sorry.belastingdienst.nl,Belastingdienst,sorry.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,6fdf20ff49298cad95f6baa1f5c99061,11e5253361e8758633e155cb181c811cb663207c8877bc6b4cf6ffc8250fabb7,ctls,sorry.belastingdienst.nl,443,https://sorry.belastingdienst.nl:443,https,text/html,GET,85.159.98.235,/,-1510540111,2a04:9a01:1002::235,HSTS,10,False,https://img.youtube.com,,,,,,
toestemming-acc.belastingdienst.nl,Toestemming - Belastingdienst,200,5212,toestemming-acc.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-17T11:48:11Z,2024-01-17T11:43:00Z,"CN=toestemming-acc.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",toestemming-acc.belastingdienst.nl,Belastingdienst,toestemming-acc.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,17aaa67823f67e938c1c14d4cc82e852,80be84fca8131d420a0fe68f455fc43b199849dae79c952c979700621765eb90,ctls,toestemming-acc.belastingdienst.nl,443,https://toestemming-acc.belastingdienst.nl:443,https,text/html,GET,85.159.99.125,/,1884052377,85.159.99.125,,12,False,rijksweb.nl,,,,,,
toestemming-tst.belastingdienst.nl,Toestemming - Belastingdienst,200,5212,toestemming-tst.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-17T11:53:46Z,2024-01-17T11:48:00Z,"CN=toestemming-tst.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",toestemming-tst.belastingdienst.nl,Belastingdienst,toestemming-tst.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,8cab338a57fca101862265d45b9ce35e,f3d4662b25612a72ee47676c894f66b930dde76bc99cc674aa9f8efcea872887,ctls,toestemming-tst.belastingdienst.nl,443,https://toestemming-tst.belastingdienst.nl:443,https,text/html,GET,85.159.99.124,/,1884052377,85.159.99.124,,12,False,rijksweb.nl,,,,,,
toestemming.belastingdienst.nl,Toestemming - Belastingdienst,200,5212,toestemming.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-01-17T11:38:58Z,2024-01-17T11:33:00Z,"CN=toestemming.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",toestemming.belastingdienst.nl,Belastingdienst,toestemming.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,d09a0f7fd5d33c7249a385fd18678923,4fe34857680a20ecba2e6d409acb3f98cfb283f43dcd896ff62759224e6d225c,ctls,toestemming.belastingdienst.nl,443,https://toestemming.belastingdienst.nl:443,https,text/html,GET,85.159.98.121,/,1884052377,85.159.98.121,Microsoft ASP.NET,12,False,,,,,,,
veiling.belastingdienst.nl,Home - Belastingdienst Veilingen,200,91208,veiling.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-25T09:44:40Z,2024-04-25T09:39:00Z,"CN=veiling.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",veiling.belastingdienst.nl,Belastingdienst,veiling.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,5e853af5e5c5a2a141b0f912fa1a8543,3b0ca6b36fcda42cb4d8114ab0a0ff2687219cbf8477b9b1e892cc4aabdf3d19,ctls,veiling.belastingdienst.nl,443,https://veiling.belastingdienst.nl:443,https,text/html,GET,85.159.98.79,/,-569487998,2a04:9a01:1002::79,Yoast SEO:20.7,717,False,,,,,,,nginx
vepkms.vcdn.belastingdienst.nl,Applicatiefout - VEP,500,61397,vepkms.vcdn.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-09T05:43:03Z,2024-05-09T05:37:00Z,"CN=vepkms.vcdn.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",vepkms.vcdn.belastingdienst.nl,Belastingdienst,vep.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,37b3edd03b2e5b6664c0e55581afdb4f,c383d994c07fa1eaab9de45f457a477d353611ea9570e10246e2f49968624aab,ctls,vepkms.vcdn.belastingdienst.nl,443,https://vepkms.vcdn.belastingdienst.nl:443,https,text/html,GET,185.94.120.31,/,-90195886,185.94.120.31,HSTS,162,False,,,,,,,
veplivemedia.vcdn.belastingdienst.nl,Welcome to nginx!,200,612,veplivemedia.vcdn.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-09-19T09:51:28Z,2023-09-19T09:46:00Z,"CN=veplivemedia.vcdn.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",veplivemedia.vcdn.belastingdienst.nl,Belastingdienst,veplive.vcdn.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,9ce578c164e3aafea5bf6ae384b7fbb3,8bb14e13576208f81cdd727c302c00f8ccf4259221c905d76ff8252b011a7171,ctls,veplivemedia.vcdn.belastingdienst.nl,443,https://veplivemedia.vcdn.belastingdienst.nl:443,https,text/html,GET,185.94.120.18,/,1494302000,185.94.120.18,HSTS,26,False,,,,,,,
vepvod.vcdn.belastingdienst.nl,Kaltura - Everything Video,200,7678,vepvod.vcdn.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-29T13:14:00Z,2023-11-29T13:08:00Z,"CN=vepvod.vcdn.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",vepvod.vcdn.belastingdienst.nl,Belastingdienst,vepvod.vcdn.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,11dd07371c9c0614f06a4eca3e6a0c04,d69dc158d41961eb34587675b6bb5dbd424af10210e2587c6c4cb7829a06fc40,ctls,vepvod.vcdn.belastingdienst.nl,443,https://vepvod.vcdn.belastingdienst.nl:443,https,text/html,GET,185.94.120.30,/,-1680741662,185.94.120.30,HSTS,36,False,,,,,,https://vepvod.vcdn.belastingdienst.nl/index.php/kmcng,
vts.belastingdienst.nl,This page intentionally left blank.,200,288,vts.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-25T13:41:27Z,2023-11-25T13:36:00Z,"CN=vts.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",vts.belastingdienst.nl,Belastingdienst,vts.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,913eb28fca1557f85d2923c9e8329b6f,084ab9590cbdfdbb0cc9918060ad25616b7bc3159fc9823fc1c9cc96fa7bf77c,ctls,vts.belastingdienst.nl,443,https://vts.belastingdienst.nl:443,https,text/html,GET,85.159.98.163,/,-780928015,2a04:9a01:1002::163,HSTS,11,False,,,,,,,
vtsd.belastingdienst.nl,This page intentionally left blank.,200,288,vtsd.belastingdienst.nl,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-12-07T13:18:58Z,2023-12-07T13:13:00Z,"CN=vtsd.belastingdienst.nl, O=Belastingdienst, L=Apeldoorn, ST=Gelderland, C=NL",vtsd.belastingdienst.nl,Belastingdienst,vtsd.belastingdienst.nl,"CN=QuoVadis Europe SSL CA G2, O=QuoVadis Trustlink B.V., C=NL",QuoVadis Europe SSL CA G2,QuoVadis Trustlink B.V.,9e456c37091a37746b113fd60f320a2c,4ac97003343b6fdcdc873ce85a99e17645fe30624d375fba539b6d8e471c9e0e,ctls,vtsd.belastingdienst.nl,443,https://vtsd.belastingdienst.nl:443,https,text/html,GET,85.159.98.4,/,-780928015,2a04:9a01:1002::144,HSTS,11,False,,,,,,,
