new,host,a,soa,status_code,cname,has_internal_ips,internal_ips,cdn,cdn-name,ns,mx,txt
,baku.tech26.de,"10.0.4.48, 10.0.3.156","ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,internal-baku-live-fra-1219581125.eu-central-1.elb.amazonaws.com,True,"10.0.4.48, 10.0.3.156",,,,,
,beta-api.tech26.de,128.65.211.26,"ns-1378.awsdns-44.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,bfpt.n26.com,"108.156.60.31, 108.156.60.90, 108.156.60.119, 108.156.60.67","ns-1504.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,d1qn15coclmwqs.cloudfront.net,,,True,cloudfront,"ns-816.awsdns-38.net, ns-1504.awsdns-60.org, ns-1815.awsdns-34.co.uk, ns-48.awsdns-06.com",,
,canary.tech26.de,128.65.211.26,"ns-1378.awsdns-44.org, awsdns-hostmaster.amazon.com",NOERROR,api.tech26.de,,,,,,,
,cbs.tech26.de,10.0.2.148,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,internal-cbs-oldlive-2070971023.eu-central-1.elb.amazonaws.com,True,10.0.2.148,,,,,
,cloud.us-email.n26.com,136.147.129.35,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,pub.s7.exacttarget.com,,,,,,,
,cmd.tech26.de,10.0.2.169,"ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,internal-cmd-oldlive-369117498.eu-central-1.elb.amazonaws.com,True,10.0.2.169,,,,,
,discovery.tech26.de,"18.158.193.132, 52.59.147.81, 18.192.39.9","ns-1378.awsdns-44.org, awsdns-hostmaster.amazon.com",NOERROR,kibana-live-fra.tech26.de,,,,,,,
,docs.n26.com,"18.173.233.64, 18.173.233.60, 18.173.233.52, 18.173.233.19","ns-1688.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,
,edge.tech26.de,"18.197.242.70, 35.157.112.48, 18.184.101.226","ns-1689.awsdns-19.co.uk, awsdns-hostmaster.amazon.com",NOERROR,edge-live-fra-1486536353.eu-central-1.elb.amazonaws.com,,,,,,,
,einstein.tech26.de,"52.28.164.228, 3.72.159.65, 52.28.74.162","ns-1378.awsdns-44.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
