new,host,a,soa,status_code,mx,ns,txt,cname,cdn,cdn-name,caa,aaaa,has_internal_ips,internal_ips
[x],00000-okta-idp.main.claiming.com.au,"13.32.99.76, 13.32.99.31, 13.32.99.78, 13.32.99.114","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],15-okta.comcc.employee-specialsurvey.claiming.com.au,"13.32.99.31, 13.32.99.76, 13.32.99.114, 13.32.99.78","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],1debit.4ba16751-testnoexistdomain-bcc738dc-this-exist.panel.docker-okta.claiming.com.au,"108.157.229.123, 108.157.229.48, 108.157.229.127, 108.157.229.67","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],237-00000-okta-idp-supportidpsvc.claiming.com.au,"13.227.173.117, 13.227.173.75, 13.227.173.76, 13.227.173.31","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1342.awsdns-39.org, ns-1708.awsdns-21.co.uk, ns-283.awsdns-35.com, ns-670.awsdns-19.net",,www.claiming.com.au,True,cloudfront,,,,
[x],246.okta.sandboxlandingpagespreview.com.claiming.com.au,"13.32.99.114, 13.32.99.76, 13.32.99.31, 13.32.99.78","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],account.okta-wiskey-orchestratortech-private.production.claiming.com.au,"13.32.99.114, 13.32.99.76, 13.32.99.78, 13.32.99.31","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],aces-signalr-integration.test.lanternpay.com,,"ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],aces-signalr-tac.tac.lanternpay.com,,"ns-1539.awsdns-00.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],aces-signalr-www.lanternpay.com,,"ns-97.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],admin-portal.api.plat-qa.test.lanternpay.com,"54.253.66.51, 3.24.172.210, 54.79.1.45","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],admin-portal.api.sandbox.lanternpay.com,"52.64.131.164, 52.63.208.100, 13.55.98.223","ns-1341.awsdns-39.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],admin-portal.api.tac.lanternpay.com,"13.237.237.93, 54.79.56.111, 52.65.213.4","ns-1539.awsdns-00.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],adnan-oktar.portal.staging.claiming.com.au,"13.32.99.114, 13.32.99.78, 13.32.99.31, 13.32.99.76","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],adv00000-okta-idp-supportidpsvc.claiming.com.au,"13.32.99.78, 13.32.99.31, 13.32.99.76, 13.32.99.114","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,,,www.claiming.com.au,True,cloudfront,,,,
[x],advantedge.com.au,13.54.206.94,"ns1.national.com.au, hostmaster.national.com.au",NOERROR,nabcts.mail.protection.outlook.com,"ns1.national.com.au, ns2.national.com.au","MS=ms56089727, v=spf1 include:mail1.nab.com.au include:mail2.advantedge.com.au ~all",,,,,,,
[x],afl.nab.com.au,95.101.127.47,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,"group-redirects.nab.com.au.edgekey.net, e2941.x.akamaiedge.net",,,,,,
[x],air.claiming.com.au,"54.173.9.218, 3.221.32.21, 75.101.167.250","ns-833.awsdns-40.net, awsdns-hostmaster.amazon.com",NOERROR,,,,phs.getpostman.com,,,letsencrypt.org,,,
[x],akamai.nabbroker.com.au,203.57.241.172,"ns1.nabbroker.com.au, hostmaster.national.com.au",NOERROR,,,,,,,,,,
[x],albecs.acceptance.test.lanternpay.com,"54.79.255.246, 54.79.98.237, 13.54.134.250","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],albecs.integration.test.lanternpay.com,"3.105.58.7, 54.79.95.34, 54.253.96.219","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],albecs.lanternpay.com,"13.210.38.184, 13.238.100.218, 52.64.236.98","ns-97.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],albecs.plat-qa.test.lanternpay.com,"52.65.197.159, 13.54.239.186, 52.65.73.152","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],albecs.sandbox.lanternpay.com,"54.253.233.246, 3.105.31.89, 54.252.59.249","ns-1341.awsdns-39.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],albecs.tac.lanternpay.com,"3.24.7.203, 13.54.229.169, 13.238.7.159","ns-1539.awsdns-00.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ami-test0506.nab.com.au,,,NOERROR,,,,,,,,,,
[x],api-cg.nabbroker.com.au,104.68.66.71,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,"nabbroker.com.au.edgekey.net, e4963.x.akamaiedge.net",,,,,,
[x],api-nab.nabtrade.com.au,23.37.38.153,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,"api-nab.nabtrade.com.au.edgekey.net, e7088.x.akamaiedge.net",,,,,,
[x],api.acceptance.test.lanternpay.com,,"ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.aces-3620.test.lanternpay.com,,"ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.auth.integration.test.lanternpay.com,"54.253.96.219, 3.105.58.7, 54.79.95.34","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.auth.lanternpay.com,"13.238.100.218, 52.64.236.98, 13.210.38.184","ns-97.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.auth.plat-qa.test.lanternpay.com,"52.65.73.152, 52.65.197.159, 13.54.239.186","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.auth.sandbox.lanternpay.com,"54.252.59.249, 3.105.31.89, 54.253.233.246","ns-1341.awsdns-39.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.auth.tac.lanternpay.com,"3.24.7.203, 13.238.7.159, 13.54.229.169","ns-1539.awsdns-00.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.billers.integration.test.lanternpay.com,"54.253.96.219, 3.105.58.7, 54.79.95.34","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.billers.lanternpay.com,"13.210.38.184, 13.238.100.218, 52.64.236.98","ns-97.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.billers.plat-qa.test.lanternpay.com,"52.65.197.159, 13.54.239.186, 52.65.73.152","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.billers.sandbox.lanternpay.com,"3.105.31.89, 54.252.59.249, 54.253.233.246","ns-1341.awsdns-39.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.billers.tac.lanternpay.com,"13.238.7.159, 3.24.7.203, 13.54.229.169","ns-1539.awsdns-00.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.billing.lanternpay.com,"52.64.236.98, 13.238.100.218, 13.210.38.184","ns-97.awsdns-12.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.billing.plat-qa.test.lanternpay.com,"13.54.239.186, 52.65.73.152, 52.65.197.159","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.billing.sandbox.lanternpay.com,"3.105.31.89, 54.253.233.246, 54.252.59.249","ns-1341.awsdns-39.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.billing.tac.lanternpay.com,"13.54.229.169, 13.238.7.159, 3.24.7.203","ns-1539.awsdns-00.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1400.awsdns-47.org, ns-1539.awsdns-00.co.uk, ns-21.awsdns-02.com, ns-673.awsdns-20.net",,,,,,,,
[x],api.claiming.com.au,"13.211.24.165, 54.153.219.46, 54.79.72.137","ns-283.awsdns-35.com, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1342.awsdns-39.org, ns-1708.awsdns-21.co.uk, ns-283.awsdns-35.com, ns-670.awsdns-19.net",,,,,,,,
[x],api.demo.test.lanternpay.com,,"ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.dev.test.lanternpay.com,,"ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.developer.extnp.nab.com.au,104.102.18.23,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,"api.developer.extnp.nab.com.au.edgekey.net, e1049.x.akamaiedge.net",,,,,,
[x],api.developer.nab.com.au,23.212.205.150,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,"api.developer.nab.com.au.edgekey.net, e6191.x.akamaiedge.net",,,,,,
[x],api.ecommerce.plat-qa.test.lanternpay.com,"13.54.239.186, 52.65.197.159, 52.65.73.152","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],api.emailscore.integration.test.lanternpay.com,"54.253.96.219, 54.79.95.34, 3.105.58.7","ns-1363.awsdns-42.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
