new,host,soa,txt,status_code,ns,a,aaaa,has_internal_ips,internal_ips,cdn,cdn-name,mx,cname,caa
,snap.api.mapbox.com,"ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",,NOERROR,"ns-325.awsdns-40.com, ns-866.awsdns-44.net, ns-1439.awsdns-51.org, ns-1567.awsdns-03.co.uk","18.165.79.173, 205.251.193.69, 205.251.195.98, 205.251.197.159, 205.251.198.31",,,,True,cloudfront,,d1vrt33i2pfivz.cloudfront.net,
,snap.events.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",,NOERROR,,"3.214.95.153, 34.196.55.148, 35.153.196.135",,,,,,,,
,stage.api.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",v=spf1 -all,NOERROR,,,,,,,,,,
,staging.bob-the-builder.mapbox.com,"ns-1982.awsdns-55.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,,"35.175.45.252, 54.82.57.153, 3.228.152.126",,,,,,,d-iwe9o2x5gf.execute-api.us-east-1.amazonaws.com,
,staging.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",v=spf1 -all,NOERROR,,,,,,,,,,
,statusjenkins-datacontroller-sql.events.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",v=spf1 -all,NOERROR,,,,,,,,,,
,studio.mapbox.com,"ns-1901.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,NOERROR,"ns-1367.awsdns-42.org, ns-1901.awsdns-45.co.uk, ns-902.awsdns-48.net, ns-185.awsdns-23.com","18.66.122.110, 18.66.122.74, 18.66.122.73, 18.66.122.22",,,,True,cloudfront,,,
,support.mapbox.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com","pod=20, v=spf1 include:mail.zendesk.com ~all",NOERROR,,"104.16.53.111, 104.16.51.111",,,,True,cloudflare,mail-pod-20.int.zendesk.com,mapbox.zendesk.com,
,tasks.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,,
,to-fix-backend.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,,
,undefined.tiles.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",v=spf1 -all,NOERROR,,,,,,,,,,
,wb1.live.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",v=spf1 -all,NOERROR,,,,,,,,,,
,wb2.live.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",v=spf1 -all,NOERROR,,,,,,,,,,
,www-showcase.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",v=spf1 -all,NOERROR,"ns-1401.awsdns-47.org, ns-1742.awsdns-25.co.uk, ns-447.awsdns-55.com, ns-553.awsdns-05.net",,,,,,,,,
,www.blog.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",v=spf1 -all,NOERROR,"ns-1401.awsdns-47.org, ns-1742.awsdns-25.co.uk, ns-447.awsdns-55.com, ns-553.awsdns-05.net",,,,,,,,,
,www.snap.events.mapbox.com,"ns-553.awsdns-05.net, awsdns-hostmaster.amazon.com",v=spf1 -all,NOERROR,,,,,,,,,,
