new,host,a,soa,status_code,cname,cdn,cdn-name,aaaa,ns,has_internal_ips,internal_ips,txt,mx
,mail250.hello.ovo.id,202.162.250.150,"ns-1946.awsdns-51.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,maintenance.ovo.id,"104.17.58.20, 104.17.57.20","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,maintenance.ovo.id.cdn.cloudflare.net,True,cloudflare,"2606:4700::6811:3a14, 2606:4700::6811:3914",,,,,
,marketing.ovo.id,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,u5821478.wl229.sendgrid.net,,,,,,,v=spf1 include:sendgrid.net ~all,mx.sendgrid.net
,marketplace.ovo.id,10.50.72.39,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,10.50.72.39,,
,media.ovo.id,"104.17.58.20, 104.17.57.20","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,media.ovo.id.cdn.cloudflare.net,True,cloudflare,"2606:4700::6811:3a14, 2606:4700::6811:3914",,,,,
,merchant.ovo.id,"104.17.57.20, 104.17.58.20","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,merchant.ovo.id.cdn.cloudflare.net,True,cloudflare,,,,,,
,netbox.ovo.id,139.255.74.219,"ns-344.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,endor.ovo.id,,,,,,,,
,nexus.taralite.com,192.168.0.59,"elliot.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,True,192.168.0.59,,
,o763.mail.ovo.id,149.72.230.195,"ns-116.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,o764.mail.ovo.id,149.72.231.165,"ns-116.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,o765.mail.ovo.id,149.72.231.168,"ns-116.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
,ops.ovo.id,,"ns-1939.awsdns-50.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1331.awsdns-38.org, ns-1939.awsdns-50.co.uk, ns-353.awsdns-44.com, ns-808.awsdns-37.net",,,,
