new,host,a,aaaa,cname,soa,ns,status_code,cdn,cdn-name,has_internal_ips,internal_ips,mx,txt,caa
[x],auth-demo.synack.com,"10.43.3.70, 10.43.2.216, 10.43.1.236",,internal-demo-hydra-alb-int-1-713179807.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,True,"10.43.3.70, 10.43.2.216, 10.43.1.236",,,
[x],auth-internal.synack.com,10.225.0.96,,auth-internal.ks-prod.synack.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,True,10.225.0.96,,,
,_spf0000000.synack.com,,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,,,"v=spf1 ip4:18.214.86.126 ip4:167.89.0.0/17 ip4:54.240.0.0/18 ip4:198.2.128.0/24 ip4:216.198.0.0/18 ip4:72.14.192.0/18 ip4:66.249.80.0/20 ip4:72.32.154.0/24 ip4:172.217.0.0/19 ip4:173.194.0.0/16 ip4:198.2.178.0/23 ip4:198.2.132.0/22 ip4:182.50.76.0/22 ip4:, 96.43.144.0/20 ip4:108.177.8.0/21 ip4:130.211.0.0/22 ip4:198.2.136.0/23 ip4:198.2.180.0/24 ip4:198.2.186.0/23 ip4:185.12.80.0/22 ip4:72.32.243.0/24 include:_spf0000001.synack.com ~all",
,acropolis.synack.com,"185.199.110.153, 185.199.111.153, 185.199.108.153, 185.199.109.153","2606:50c0:8003::153, 2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8002::153",synack.github.io,"ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com, dns1.p05.nsone.net, hostmaster.nsone.net",,NOERROR,,,,,,,"digicert.com, letsencrypt.org"
,analytics.synack.com,,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,,,,,
,api.ks-demo.synack.com,34.111.251.218,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,api.ks-dev1.synack.com,34.110.209.13,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,api.ks-fedprod.synack.com,,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,api.ks-prod.synack.com,,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,api.ks-qa.synack.com,130.211.40.163,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,api.ks-staging.synack.com,35.241.18.122,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,api.synack.com,107.154.114.117,,vb7q48d.x.incapdns.net,"ns1.incapdns.net, hostmaster.incapsula.com, ns1.x.incapdns.net",,NOERROR,True,incapsula,,,,,
,apt.synack.com,52.20.86.77,,ec2-52-20-86-77.compute-1.amazonaws.com,"dns-external-master.amazon.com, root.amazon.com",,NOERROR,,,,,,,
,atlantis.synack.com,10.55.0.32,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,True,10.55.0.32,,,
,auth.synack.com,"10.40.1.50, 10.40.2.219, 10.40.3.241",,internal-prod-hydra-alb-int-1-394472444.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,,,True,"10.40.1.50, 10.40.2.219, 10.40.3.241",,,
,bluestake-beta.analytics.synack.com,35.227.242.148,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,bluestake-qa.analytics.synack.com,35.186.204.192,,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,bluestake.ks-demo.synack.com,34.96.92.228,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,bluestake.ks-fedprod.synack.com,35.201.95.111,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,bluestake.ks-prod.synack.com,34.149.54.164,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,bluestake.ks-qa.synack.com,34.111.214.232,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,bluestake.ks-staging.synack.com,35.244.149.171,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,boss.ks-dev1.synack.com,34.110.209.13,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,boss.ks-fedprod.synack.com,34.117.255.184,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,boss.ks-prod.synack.com,34.149.225.39,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,boss.ks-qa.synack.com,130.211.40.163,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,boss.ks-staging.synack.com,35.241.18.122,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,boss.staging.synack.com,35.241.18.122,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,boss.synack.com,34.149.225.39,,boss.ks-prod.synack.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,boss.wa-prod.synack.com,127.0.0.1,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,True,127.0.0.1,,,
,client.ks-demo.synack.com,,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,client.ks-dev1.synack.com,34.110.209.13,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,client.ks-fedprod.synack.com,34.117.255.184,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,client.ks-prod.synack.com,34.149.225.39,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,client.ks-qa.synack.com,130.211.40.163,,,"ns-cloud-a1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,client.ks-staging.synack.com,35.241.18.122,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,client.staging.synack.com,35.241.18.122,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
,client.wa-prod.synack.com,127.0.0.1,,,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,,,True,127.0.0.1,,,
,coreapi.ks-fedprod.synack.com,34.117.255.184,,,"ns-cloud-b1.googledomains.com, cloud-dns-hostmaster.google.com",,NOERROR,True,google,,,,,
