input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_mismatched,tls_expired,csp_domains_,tls_subject_org_,final_url
account.me.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,65.9.112.0/23,account.me.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.me.sportsbook.fanduel.com,cloudfront,443,https://account.me.sportsbook.fanduel.com:443,https,CloudFront,text/html,GET,65.9.66.117,/,340187348,65.9.66.26,Amazon Web Services,172,False,True,,,,,,
account.mi.casino.fanduel.com,Access to this page has been denied.,403,4650,AS0,Not routed,None,13.224.192.0/21,account.mi.casino.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-09-29T23:59:59Z,CN=account.casino.fanduel.com,account.casino.fanduel.com,account.nj.casino.fanduel.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8eac5a4313817cd4c9f8506e4f94ac99,c15b78b664c8b31a32862e0a54b16159df34bfcb698bc97b2c7d4c1b73f859bc,ctls,account.mi.casino.fanduel.com,cloudfront,443,https://account.mi.casino.fanduel.com:443,https,CloudFront,text/html,GET,13.224.189.114,/,1965256398,13.224.189.60,Amazon Web Services,172,False,True,,,,,,
account.mi.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,65.9.112.0/23,account.mi.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.mi.sportsbook.fanduel.com,cloudfront,443,https://account.mi.sportsbook.fanduel.com:443,https,CloudFront,text/html,GET,65.9.66.26,/,1538210238,65.9.66.37,Amazon Web Services,172,False,True,,,,,,
account.mr.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,65.9.112.0/23,account.mr.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.mr.sportsbook.fanduel.com,cloudfront,443,https://account.mr.sportsbook.fanduel.com:443,https,CloudFront,text/html,GET,65.9.66.37,/,754835061,65.9.66.8,Amazon Web Services,172,False,True,,,,,,
account.ms.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,65.9.112.0/23,account.ms.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.ms.sportsbook.fanduel.com,cloudfront,443,https://account.ms.sportsbook.fanduel.com:443,https,CloudFront,text/html,GET,65.9.66.37,/,340187348,65.9.66.26,Amazon Web Services,172,False,True,,,,,,
account.mt.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,65.9.112.0/23,account.mt.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.mt.sportsbook.fanduel.com,cloudfront,443,https://account.mt.sportsbook.fanduel.com:443,https,CloudFront,text/html,GET,65.9.66.8,/,340187348,65.9.66.26,Amazon Web Services,172,False,True,,,,,,
account.nd.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,65.9.112.0/23,account.nd.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.nd.sportsbook.fanduel.com,cloudfront,443,https://account.nd.sportsbook.fanduel.com:443,https,CloudFront,text/html,GET,65.9.66.117,/,340187348,65.9.66.8,Amazon Web Services,172,False,True,,,,,,
account.ne.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,65.9.112.0/23,account.ne.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.ne.sportsbook.fanduel.com,cloudfront,80,http://account.ne.sportsbook.fanduel.com:80,http,CloudFront,text/html,GET,65.9.66.37,/,340187348,65.9.66.26,Amazon Web Services,172,False,True,,,,,,https://account.ne.sportsbook.fanduel.com/
account.nh.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,65.9.112.0/23,account.nh.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.nh.sportsbook.fanduel.com,cloudfront,443,https://account.nh.sportsbook.fanduel.com:443,https,CloudFront,text/html,GET,65.9.66.37,/,340187348,65.9.66.8,Amazon Web Services,172,False,True,,,,,,
account.nj.casino.fanduel.com,Access to this page has been denied.,403,4650,AS0,Not routed,None,13.224.192.0/21,account.nj.casino.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-09-29T23:59:59Z,CN=account.casino.fanduel.com,account.casino.fanduel.com,account.nj.casino.fanduel.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8eac5a4313817cd4c9f8506e4f94ac99,c15b78b664c8b31a32862e0a54b16159df34bfcb698bc97b2c7d4c1b73f859bc,ctls,account.nj.casino.fanduel.com,cloudfront,443,https://account.nj.casino.fanduel.com:443,https,CloudFront,text/html,GET,13.224.189.114,/,999136765,13.224.189.28,Amazon Web Services,172,False,True,,,,,,
account.nj.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,65.9.112.0/23,account.nj.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.nj.sportsbook.fanduel.com,cloudfront,443,https://account.nj.sportsbook.fanduel.com:443,https,CloudFront,text/html,GET,65.9.66.26,/,1966613282,65.9.66.37,Amazon Web Services,172,False,True,,,,,,
account.nm.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,65.9.112.0/23,account.nm.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.nm.sportsbook.fanduel.com,cloudfront,80,http://account.nm.sportsbook.fanduel.com:80,http,CloudFront,text/html,GET,65.9.66.117,/,340187348,65.9.66.8,Amazon Web Services,172,False,True,,,,,,https://account.nm.sportsbook.fanduel.com/
account.ny.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,65.9.112.0/23,account.ny.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.ny.sportsbook.fanduel.com,cloudfront,80,http://account.ny.sportsbook.fanduel.com:80,http,CloudFront,text/html,GET,65.9.66.26,/,-1060203153,65.9.66.26,Amazon Web Services,172,False,True,,,,,,https://account.ny.sportsbook.fanduel.com/
account.oh.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,65.9.112.0/23,account.oh.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.oh.sportsbook.fanduel.com,cloudfront,443,https://account.oh.sportsbook.fanduel.com:443,https,CloudFront,text/html,GET,65.9.66.26,/,168652839,65.9.66.37,Amazon Web Services,172,False,True,,,,,,
account.ok.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,65.9.112.0/23,account.ok.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.ok.sportsbook.fanduel.com,cloudfront,443,https://account.ok.sportsbook.fanduel.com:443,https,CloudFront,text/html,GET,65.9.66.37,/,340187348,65.9.66.8,Amazon Web Services,172,False,True,,,,,,
account.or.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,52.85.48.0/22,account.or.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.or.sportsbook.fanduel.com,cloudfront,443,https://account.or.sportsbook.fanduel.com:443,https,CloudFront,text/html,GET,52.85.49.56,/,340187348,52.85.49.53,Amazon Web Services,172,False,True,,,,,,
account.pa.casino.fanduel.com,Access to this page has been denied.,403,4650,AS0,Not routed,None,13.224.192.0/21,account.pa.casino.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-09-29T23:59:59Z,CN=account.casino.fanduel.com,account.casino.fanduel.com,account.nj.casino.fanduel.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8eac5a4313817cd4c9f8506e4f94ac99,c15b78b664c8b31a32862e0a54b16159df34bfcb698bc97b2c7d4c1b73f859bc,ctls,account.pa.casino.fanduel.com,cloudfront,80,http://account.pa.casino.fanduel.com:80,http,CloudFront,text/html,GET,13.224.189.114,/,1080719686,13.224.189.60,Amazon Web Services,172,False,True,,,,,,https://account.pa.casino.fanduel.com/
account.pr.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,52.85.48.0/22,account.pr.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.pr.sportsbook.fanduel.com,cloudfront,443,https://account.pr.sportsbook.fanduel.com:443,https,CloudFront,text/html,GET,52.85.49.122,/,586998417,52.85.49.105,Amazon Web Services,172,False,True,,,,,,
account.prelive.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,52.85.48.0/22,account.prelive.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.prelive.sportsbook.fanduel.com,cloudfront,443,https://account.prelive.sportsbook.fanduel.com:443,https,CloudFront,text/html,GET,52.85.49.53,/,-1449777629,52.85.49.105,Amazon Web Services,172,False,True,,,,,,
account.ri.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,65.9.112.0/23,account.ri.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.ri.sportsbook.fanduel.com,cloudfront,80,http://account.ri.sportsbook.fanduel.com:80,http,CloudFront,text/html,GET,65.9.66.37,/,340187348,65.9.66.37,Amazon Web Services,172,False,True,,,,,,https://account.ri.sportsbook.fanduel.com/
account.sc.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,65.9.112.0/23,account.sc.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.sc.sportsbook.fanduel.com,cloudfront,443,https://account.sc.sportsbook.fanduel.com:443,https,CloudFront,text/html,GET,65.9.66.117,/,340187348,65.9.66.8,Amazon Web Services,172,False,True,,,,,,
account.skillgames.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,143.204.104.0/24,account.skillgames.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2024-01-10T23:59:59Z,CN=skillgames.fanduel.com,skillgames.fanduel.com,account.skillgames.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,2caf161fc0ef3e74582f10efbb7ff86c,7f211c5adcc2d6d211bbaee2401a8f474e8b0776d5439e0ed1173b1148bc7aac,ctls,account.skillgames.fanduel.com,cloudfront,443,https://account.skillgames.fanduel.com:443,https,CloudFront,text/html,GET,143.204.89.103,/,-1813368560,143.204.89.27,Amazon Web Services,172,False,True,,,,,,
account.sportsbook.fanduel.com,FanDuel Sportsbook Account and Information,200,33882,AS16509,AMAZON-02,US,65.9.112.0/23,account.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.sportsbook.fanduel.com,cloudfront,443,https://account.sportsbook.fanduel.com:443,https,nginx,text/html,GET,65.9.66.8,/,104839862,65.9.66.117,Nginx,66,False,True,,,,https:,,
account.tx.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,65.9.112.0/23,account.tx.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.tx.sportsbook.fanduel.com,cloudfront,443,https://account.tx.sportsbook.fanduel.com:443,https,CloudFront,text/html,GET,65.9.66.117,/,340187348,65.9.66.8,Amazon Web Services,172,False,True,,,,,,
account.ut.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,65.9.112.0/23,account.ut.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.ut.sportsbook.fanduel.com,cloudfront,80,http://account.ut.sportsbook.fanduel.com:80,http,CloudFront,text/html,GET,65.9.66.37,/,340187348,65.9.66.117,Amazon Web Services,172,False,True,,,,,,https://account.ut.sportsbook.fanduel.com/
account.va.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,65.9.112.0/23,account.va.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.va.sportsbook.fanduel.com,cloudfront,80,http://account.va.sportsbook.fanduel.com:80,http,CloudFront,text/html,GET,65.9.66.37,/,-1952568961,65.9.66.37,Amazon Web Services,172,False,True,,,,,,https://account.va.sportsbook.fanduel.com/
account.vt.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,65.9.112.0/23,account.vt.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.vt.sportsbook.fanduel.com,cloudfront,443,https://account.vt.sportsbook.fanduel.com:443,https,CloudFront,text/html,GET,65.9.66.8,/,340187348,65.9.66.37,Amazon Web Services,172,False,True,,,,,,
account.wa.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,52.85.48.0/22,account.wa.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.wa.sportsbook.fanduel.com,cloudfront,443,https://account.wa.sportsbook.fanduel.com:443,https,CloudFront,text/html,GET,52.85.49.122,/,340187348,52.85.49.105,Amazon Web Services,172,False,True,,,,,,
account.wi.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,65.9.112.0/23,account.wi.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.wi.sportsbook.fanduel.com,cloudfront,80,http://account.wi.sportsbook.fanduel.com:80,http,CloudFront,text/html,GET,65.9.66.8,/,340187348,65.9.66.26,Amazon Web Services,172,False,True,,,,,,https://account.wi.sportsbook.fanduel.com/
account.wv.casino.fanduel.com,Access to this page has been denied.,403,4650,AS0,Not routed,None,13.224.192.0/21,account.wv.casino.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-09-29T23:59:59Z,CN=account.casino.fanduel.com,account.casino.fanduel.com,account.nj.casino.fanduel.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8eac5a4313817cd4c9f8506e4f94ac99,c15b78b664c8b31a32862e0a54b16159df34bfcb698bc97b2c7d4c1b73f859bc,ctls,account.wv.casino.fanduel.com,cloudfront,443,https://account.wv.casino.fanduel.com:443,https,CloudFront,text/html,GET,13.224.189.28,/,-57379133,13.224.189.114,Amazon Web Services,172,False,True,,,,,,
account.wv.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,65.9.112.0/23,account.wv.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.wv.sportsbook.fanduel.com,cloudfront,443,https://account.wv.sportsbook.fanduel.com:443,https,CloudFront,text/html,GET,65.9.66.37,/,800643887,65.9.66.26,Amazon Web Services,172,False,True,,,,,,
account.www.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AMAZON-02,US,13.32.16.0/20,account.www.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-01-30T00:00:00Z,2024-02-29T23:59:59Z,CN=www.fanduel.com,www.fanduel.com,account.www.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,b549ed263c797ab18369738253d8682f,d197cc0ad9f7b3dc3c925a1ca321667bfe59709e2d512673572059d7c51ce0e4,ctls,account.www.fanduel.com,cloudfront,443,https://account.www.fanduel.com:443,https,CloudFront,text/html,GET,13.32.27.17,/,-712479598,13.32.27.114,Amazon Web Services,172,False,True,,,,,,
account.wy.sportsbook.fanduel.com,Access to this page has been denied.,403,4650,AS16509,AS16509,Unknown,52.85.98.0/24,account.wy.sportsbook.fanduel.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T00:00:00Z,2024-05-02T23:59:59Z,CN=account.sportsbook.fanduel.com,account.sportsbook.fanduel.com,account.md.sportsbook.fanduel.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,58e11e1d7ac80ebd9b62489caa37f355,fe67e3005cfc14a2b95ec524e7e68de30c2d957fc9eaa83063be75a5cef688f4,ctls,account.wy.sportsbook.fanduel.com,cloudfront,443,https://account.wy.sportsbook.fanduel.com:443,https,CloudFront,text/html,GET,52.85.92.108,/,355066857,52.85.92.30,Amazon Web Services,172,False,True,,,,,,
