new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,ns,has_internal_ips,internal_ips,mx,txt
,mi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,"ns3.dnsv5.com, ns4.dnsv5.com",,,,
,mi.xiaomi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,miatlas.men.mi.com,"3.127.227.23, 18.194.222.150",,"miatlas.men.mi.com.v.mi-dun.com, cname-app-com.w.mi-dun.com, aws-fr-sec-midun-nlb-8db12722d067e399.elb.eu-central-1.amazonaws.com","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,mib.w.xk.miui.com,"2.16.107.27, 2.16.107.32","2a02:26f0:6c00::210:ba20, 2a02:26f0:6c00::210:ba11","mib.w.xk.miui.com.mgslb.com, mib.w.xk.miui.com.download.ks-cdn.com, xiaomi.edgesuite.net, a1817.dscd.akamai.net","n0dscd.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,
,mibi.api.xiaomi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,mibi.market.xiaomi.com,"23.213.161.4, 23.213.161.19","2a02:26f0:fd00:3::213:759a, 2a02:26f0:fd00:3::213:758c","mibi.market.xiaomi.com.mgslb.com, mibi.market.xiaomi.com.ksyna.net, xiaomi.edgesuite.net, a1817.dscd.akamai.net","n0dscd.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,
,mibi.men.mi.com,"18.194.222.150, 3.127.227.23",,"mibi.men.mi.com.v.mi-dun.com, cname-app-com.w.mi-dun.com, aws-fr-sec-midun-nlb-8db12722d067e399.elb.eu-central-1.amazonaws.com","ns-1390.awsdns-45.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,mibi.mi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,mibi.xiaomi.com,,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,micloud.pt.xiaomi.com,10.105.5.187,,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,,,"ns3.dnsv5.com, ns4.dnsv5.com",True,10.105.5.187,,
,micro.game.xiaomi.com,20.47.97.231,,cname-app-com-amsproxy.w.mi-dun.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
,mid.sys.miui.com,20.47.97.238,,extranet-ipv4-pub-azams.alb.xiaomi.com,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,True,azure,,,,,
