input,title,status_code,content_length,tls_host,tls_port,tls_tls_version,tls_cipher,tls_not_before,tls_subject_dn,tls_subject_cn,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,lines,webserver,tech_,tls_self_signed,tls_subject_org_,tls_expired,cdn
8.mi.com,404 Not Found,,204,8.mi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-11T07:37:11Z,CN=*.dun.mi.com,*.dun.mi.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",ctls,8.mi.com,443,https://8.mi.com:443,https,text/html,GET,20.47.97.231,9,MonKing/3.14,,,,,True
9-alisgp.i18n.pub.neo.xiaomi.com,,,21,9-alisgp.i18n.pub.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-11-07T04:38:39Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,9-alisgp.i18n.pub.neo.xiaomi.com,443,https://9-alisgp.i18n.pub.neo.xiaomi.com:443,https,text/html,GET,161.117.95.117,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
9-alisgp.mikfs.pub.neo.xiaomi.com,,,21,9-alisgp.mikfs.pub.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-09T15:36:09Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,9-alisgp.mikfs.pub.neo.xiaomi.com,443,https://9-alisgp.mikfs.pub.neo.xiaomi.com:443,https,text/html,GET,47.74.252.50,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
9-alisgp.miorder.pub.neo.xiaomi.com,,,21,9-alisgp.miorder.pub.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-09T15:37:08Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,9-alisgp.miorder.pub.neo.xiaomi.com,443,https://9-alisgp.miorder.pub.neo.xiaomi.com:443,https,text/html,GET,161.117.171.1,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
9-alisgp.miwms.pub.neo.xiaomi.com,,,21,9-alisgp.miwms.pub.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-09T15:37:34Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,9-alisgp.miwms.pub.neo.xiaomi.com,443,https://9-alisgp.miwms.pub.neo.xiaomi.com:443,https,text/html,GET,47.74.210.243,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
9-alisgp.mixms.pub.neo.xiaomi.com,,,21,9-alisgp.mixms.pub.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-08-09T20:31:59Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,9-alisgp.mixms.pub.neo.xiaomi.com,443,https://9-alisgp.mixms.pub.neo.xiaomi.com:443,https,text/html,GET,161.117.171.166,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
9-alisgp.xmstore.pub.neo.xiaomi.com,,,21,9-alisgp.xmstore.pub.neo.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-09T15:40:08Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ctls,9-alisgp.xmstore.pub.neo.xiaomi.com,443,https://9-alisgp.xmstore.pub.neo.xiaomi.com:443,https,text/html,GET,161.117.160.209,1,nginx/1.17.10,Nginx:1.17.10,True,Acme Co,,
a.stat.xiaomi.com,403 Forbidden,,206,a.stat.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-10-26T07:31:37Z,CN=app.shopapi.xiaomi.com,app.shopapi.xiaomi.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",ctls,a.stat.xiaomi.com,443,https://a.stat.xiaomi.com:443,https,text/html,GET,20.47.97.231,8,MonKing/3.14,,,,,True
abroad.api.comm.intl.miui.com,,,,abroad.api.comm.intl.miui.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-22T00:00:00Z,CN=abroad.api.comm.intl.miui.com,abroad.api.comm.intl.miui.com,"CN=RapidSSL Global TLS RSA4096 SHA256 2022 CA1, O=DigiCert\, Inc., C=US",RapidSSL Global TLS RSA4096 SHA256 2022 CA1,"DigiCert, Inc.",ctls,abroad.api.comm.intl.miui.com,443,https://abroad.api.comm.intl.miui.com:443,https,,GET,47.241.97.200,1,,,,,,
abtest.mistat.xiaomi.com,,,27,abtest.mistat.xiaomi.com,443,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-11T07:37:11Z,CN=*.dun.mi.com,*.dun.mi.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",ctls,abtest.mistat.xiaomi.com,443,https://abtest.mistat.xiaomi.com:443,https,application/octet-stream,GET,20.47.97.231,1,MonKing/3.14,,,,,True
