new,host,a,cname,soa,status_code,ns,aaaa,has_internal_ips,internal_ips,cdn,cdn-name,caa,txt
[x],vault.topechelon.com,"10.10.6.159, 10.10.2.131",internal-a44a785d3f8194b45a3e66fe07f6f258-1087671721.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",,True,"10.10.6.159, 10.10.2.131",,,,
[x],vdmsmon.pr.topechelon.com,"35.173.62.202, 23.22.98.227, 3.213.127.70, 54.88.68.203",pr-sandbox-605139530.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],vipinternalalpha-intranetpostgresmx.pr.topechelon.com,"23.22.98.227, 35.173.62.202, 54.88.68.203, 3.213.127.70",pr-sandbox-605139530.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],vnsd34.careers.topechelon.com,"3.211.55.3, 54.145.108.20, 18.233.145.4, 3.218.220.166",services-1187003999.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],vpn-dev.topechelon.com,3.232.157.15,,"dell.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],vpn-prod.topechelon.com,34.196.117.141,,"dell.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,
[x],vx29.pr.topechelon.com,"54.88.68.203, 35.173.62.202, 3.213.127.70, 23.22.98.227",pr-sandbox-605139530.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],wa-sdsu.pr.topechelon.com,"23.22.98.227, 35.173.62.202, 54.88.68.203, 3.213.127.70",pr-sandbox-605139530.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],wattshappen.pr.topechelon.com,"3.213.127.70, 54.88.68.203, 23.22.98.227, 35.173.62.202",pr-sandbox-605139530.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],wdc03-prd-zk-01d.pr.topechelon.com,"35.173.62.202, 54.88.68.203, 3.213.127.70, 23.22.98.227",pr-sandbox-605139530.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
