new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,ns,txt,mx,has_internal_ips,internal_ips,caa
[x],hub.fitbit.com,"104.16.66.50, 104.16.65.50",hub.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],iedc.fitbit.com,"104.16.65.50, 104.16.66.50",iedc.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],image.e.fitbit.com,104.81.114.82,"akamai-san93.exacttarget.com.edgekey.net, e17196.dscx.akamaiedge.net","n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,"2a02:26f0:d8:1092::432c, 2a02:26f0:d8:1083::432c",,,,,,
[x],img0.fitbit.com,"104.16.65.50, 104.16.66.50","www.fitbit.com, www.fitbit.com.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],img1.fitbit.com,"104.16.65.50, 104.16.66.50","www.fitbit.com, www.fitbit.com.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],img3.fitbit.com,"104.16.66.50, 104.16.65.50","www.fitbit.com, www.fitbit.com.cdn.cloudflare.net","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],in-store.fitbit.com,101.0.86.238,,"ns-cloud-c1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,,,,,,in-store.fitbit.com,,,
[x],int-android-cdn-client.fitbit.com,"104.16.65.50, 104.16.66.50",int-android-cdn-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],int-android-cdn-softapi.fitbit.com,"104.16.65.50, 104.16.66.50",int-android-cdn-softapi.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],int-android-cdn-softclient.fitbit.com,"104.16.65.50, 104.16.66.50",int-android-cdn-softclient.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],int-android-client.fitbit.com,"104.16.65.50, 104.16.66.50",int-android-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],int-api.fitbit.com,"104.16.65.50, 104.16.66.50",int-api.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
[x],int-client.fitbit.com,"104.16.65.50, 104.16.66.50",int-client.fitbit.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,,
