new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,txt,mx,caa,ns
[x],17-58-106-68.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],17-58-106-93.aadds.vgz.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],17-58-96-32.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],17-58-96-92.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],17-58-97-29.aadds.vgz.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],17-58-98-14.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],17-58-99-79.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],174attackwing.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],18jaar.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],18jaar.vgz.nl,52.136.252.43,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,True,azure,,,,,
[x],1a1-9-9-7.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],20pass.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],21happy.aadds.vgz.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],24-courier.aadds.vgz.nl,195.42.135.39,,,NOERROR,,,,,,,
[x],25-courier.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],3-courier2.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],37-courier2.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],3lewi-163-75.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],3lewi-44-75.aadds.vgz.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],4.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],41-courier.aadds.vgz.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],41eurwbn.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],429d.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],44b2.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],45-courier.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],45drum.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],46-courier.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],4iurt3sqql.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],66-220-157-71.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],66-220-157-87.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],69-171-232-92.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],69-171-244-33.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],69-171-244-82.aadds.vgz.nl,195.42.135.39,,,NOERROR,,,,,,,
[x],7bkowuwetr.aadds.vgz.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],7fab.aadds.vgz.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],7wj92.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],7wkah.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],7wkaq.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],7wkbe.aadds.vgz.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],7wkbh.aadds.vgz.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],7wkdc.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],7wkdv.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],7wkek.aadds.vgz.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],7wkev.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],81-76.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],884b.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],8com.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],9.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],939mia.aadds.vgz.nl,195.42.135.39,,,NOERROR,,,,,,,
[x],93b1.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],95maint34.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],96.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],a-96-118-46-67.aadds.vgz.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],a-96-119-12-88.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],a-96-119-38-82.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],a-96-119-89-49.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],a18.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],a36.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],a3e.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],a43.aadds.vgz.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],a64.aadds.vgz.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],a68.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],a83.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],a96.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],a97.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],aa1.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],aaaac.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],aacp.aadds.vgz.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],aandacht.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],ab02.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],abgw.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],abiz.aadds.vgz.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],ablepharus.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],aboveandbeyond.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],abtesting.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],acc-backups-www-test.aadds.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],acc-extranet.aadds.vgz.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],acc-nbmedical.aadds.vgz.nl,,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
[x],acc.18jaar.vgz.nl,52.136.248.184,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,True,azure,,,,,
[x],acc.api.cuco.vgz.nl,,"app994169.prod.cudawaas.com, waas-prod-app-c80522a267e8c3b47e9f1e0b24ada27d.trafficmanager.net, waasprod-app-346fe4cc8cbc92a52e5e6bcd809182f3.germanywestcentral.cloudapp.azure.com","ns1-08.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,
[x],acc.api.vgz.nl,20.52.209.113,"app558801.prod.cudawaas.com, waas-prod-app-fe6bccaa73bb5ba10b32eb2aa0a6db97.trafficmanager.net, waasprod-app-6cef7134fa325f8592e8fd9e4562fb67.germanywestcentral.cloudapp.azure.com","ns1-08.azure-dns.com, azuredns-hostmaster.microsoft.com",NOERROR,,,,,,,
[x],acc.cdn.vgz.nl,,"cvweu-iml-at-cdn-vgz.azureedge.net, cvweu-iml-at-cdn-vgz.afd.azureedge.net, star-azureedge-prod.trafficmanager.net, shed.dual-low.part-0017.t-0009.fdv2-t-msedge.net, global-entry-afdthirdparty-fallback-first.trafficmanager.net, shed.dual-low.part-0017.t-0009.fb-t-msedge.net, part-0017.t-0009.fb-t-msedge.net","ns1.fb-t-msedge.net, msnhst.microsoft.com",NOERROR,,,,,,,
[x],acc.cuco.vgz.nl,20.71.74.115,"app18193.prod.cudawaas.com, waas-prod-app-fe424bb09c26889c9c60e67b3cf27efc.trafficmanager.net, waasprod-app-7d62bffef04f43f43d1505ebe0b2168e.westeurope.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,,,,
[x],acc.igs-za-api.vgz.nl,195.42.135.39,,"ns1.kpn.net, zonemaster.kpn.com",NOERROR,,,,,,,
