new,host,a,aaaa,cname,soa,status_code,mx,ns,txt,cdn,cdn-name
[x],banorte.com.15-okta-ion9.acceso24.banorte.gw1.cloud.profiles.kinepolis.lu,"2.16.186.9, 2.16.186.17","2a02:26f0:3500:12::1730:17ba, 2a02:26f0:3500:12::1730:178e",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-lu.mail.protection.outlook.com,"a1-67.akam.net, a4-67.akam.net, a13-66.akam.net, a24-67.akam.net, a5-66.akam.net, a6-66.akam.net","v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f, google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s, H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=",,
[x],banuba-live-selfie-filters-and-face-masks-camera.kinepolis.ch,"2.16.238.24, 2.16.238.23","2a02:26f0:480:3::210:ee94, 2a02:26f0:480:3::210:ee8d",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,"a1-67.akam.net, a5-66.akam.net, a6-66.akam.net, a24-67.akam.net, a4-67.akam.net, a13-66.akam.net","google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, v=spf1 include:spf.kinepolis.com -all, MS=ms57753331",,
[x],bayarea.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],bb.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],bbdd.kinepolis.com,"188.93.155.238, 188.93.155.241",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],be-fr-acc.kinepolis.com,"95.101.74.213, 95.101.74.199","2a02:26f0:b200::1748:fc90, 2a02:26f0:b200::1748:fc99","acc.kinepolis.com.edgesuite.net, a1928.dscb.akamai.net","n0dscb.akamai.net, hostmaster.akamai.com",NOERROR,,,,,
[x],be-fr-acc2.kinepolis.com,188.93.155.232,,acc2.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],be-fr-cdn.kinepolis.com,"2.16.186.9, 2.16.186.17","2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba","kinepolis.edgesuite.net, a1935.dscb.akamai.net","n0dscb.akamai.net, hostmaster.akamai.com",NOERROR,,,,,
[x],be-fr-dev.kinepolis.com,"23.76.204.132, 23.76.204.148","2a02:26f0:b200::1748:fc80, 2a02:26f0:b200::1748:fc99","dev.kinepolis.com.edgesuite.net, a1208.dscb.akamai.net","n0dscb.akamai.net, hostmaster.akamai.com",NOERROR,,,,,
[x],be-nl-cdn-acc2.kinepolis.com,"188.93.155.248, 188.93.155.249",,cdn-acc2.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],be-nl-cdn-dev.kinepolis.com,"2.19.205.32, 2.19.205.8","2a02:26f0:4600::213:cd20, 2a02:26f0:4600::213:cd08",,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],be-nl-cdn-dev2.kinepolis.com,"188.93.155.248, 188.93.155.249",,cdn-dev2.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],be-nl-cdn.kinepolis.com,"2.19.198.178, 2.19.198.170","2a02:26f0:64::210:6b89, 2a02:26f0:64::210:6bc2","kinepolis.edgesuite.net, a1935.dscb.akamai.net","n0dscb.akamai.net, hostmaster.akamai.com",NOERROR,,,,,
[x],be-nl-dev2.kinepolis.com,188.93.155.247,,dev2.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],be.fr.kinepolis.com,188.93.155.238,,,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],be.kinepolis.com,"188.93.155.238, 188.93.155.241",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],be.kinepolis.fr,"185.225.250.74, 185.225.250.26, 193.108.91.67, 72.246.46.67, 23.211.133.66, 2.22.230.66","2a02:26f0:a600::b9e1:fa1a, 2a02:26f0:a600::b9e1:fa4a, 2600:1401:2::43, 2600:1401:1::42",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a5-66.akam.net, a1-67.akam.net, a13-66.akam.net, a24-67.akam.net, a4-67.akam.net, a6-66.akam.net","MS=ms46281805, v=spf1 include:spf.kinepolis.com -all, facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0",,
[x],bea.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],beta-fiestademascaras.kinepolis.be,"188.93.155.238, 188.93.155.241",,,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,,,,,
[x],beta.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],bf.kinepolis.com,"188.93.155.238, 188.93.155.241",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],bff.kinepolis.ch,"184.24.77.31, 184.24.77.38","2a02:26f0:6c00::210:ba29, 2a02:26f0:6c00::210:ba22","prod.kinepolis.com.edgesuite.net, a1619.dscb.akamai.net","n0dscb.akamai.net, hostmaster.akamai.com",NOERROR,,,,,
[x],bff.kinepolis.com,"184.25.50.161, 184.25.50.192","2a02:26f0:6c00::210:ba29, 2a02:26f0:6c00::210:ba22","prod.kinepolis.com.edgesuite.net, a1619.dscb.akamai.net","n0dscb.akamai.net, hostmaster.akamai.com",NOERROR,,,,,
[x],bff.kinepolis.lu,"184.25.50.192, 184.25.50.161","2a02:26f0:6c00::210:ba22, 2a02:26f0:6c00::210:ba29","prod.kinepolis.com.edgesuite.net, a1619.dscb.akamai.net","n0dscb.akamai.net, hostmaster.akamai.com",NOERROR,,,,,
[x],bff.kinepolis.nl,"2.19.204.232, 2.19.204.234","2a02:26f0:4600::213:cce8, 2a02:26f0:4600::213:ccea","prod.kinepolis.com.edgesuite.net, a1619.dscb.akamai.net","n0dscb.akamai.net, hostmaster.akamai.com",NOERROR,,,,,
[x],bg.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],bh.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],big5dns.kinepolis.be,"188.93.155.241, 188.93.155.238",,,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,,,,,
[x],billing.kinepolis.com,"188.93.155.238, 188.93.155.241",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],bip.kinepolis.ch,"95.101.54.211, 95.101.54.114","2a02:26f0:480:e::210:f113, 2a02:26f0:480:e::210:f105",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-ch.mail.protection.outlook.com,"a1-67.akam.net, a24-67.akam.net, a5-66.akam.net, a13-66.akam.net, a4-67.akam.net, a6-66.akam.net","facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, v=spf1 include:spf.kinepolis.com -all, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, MS=ms57753331",,
[x],bip.kinepolis.com,"188.93.155.238, 188.93.155.241",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],bip.kinepolis.lu,"23.77.197.10, 23.77.197.40",,kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],birthdays.landmarkcinemas.com,"172.67.0.148, 104.20.50.71, 104.20.51.71","2606:4700:10::ac43:94, 2606:4700:10::6814:3247, 2606:4700:10::6814:3347",,"clark.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare
[x],bj.kinepolis.com,"188.93.155.238, 188.93.155.241",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],black.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],blackberry.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],blog.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],blog.kinepolis.lu,"184.24.77.31, 184.24.77.27","2a02:26f0:6c00::210:ba11, 2a02:26f0:6c00::210:ba09",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-lu.mail.protection.outlook.com,"a5-66.akam.net, a24-67.akam.net, a13-66.akam.net, a6-66.akam.net, a1-67.akam.net, a4-67.akam.net","google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s, facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f, H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=, v=spf1 include:spf.kinepolis.com -all",,
[x],blogmask.kinepolis.fr,"2.19.204.233, 2.19.205.26","2a02:26f0:4600::213:cd1a, 2a02:26f0:4600::213:cce9",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a1-67.akam.net, a4-67.akam.net, a13-66.akam.net, a24-67.akam.net, a6-66.akam.net, a5-66.akam.net","facebook-domain-verification=5jmiseuo1z6mwwfo3dhc43bpku9bp3, v=spf1 include:spf.kinepolis.com -all, google-site-verification=TyoD1qZhfntfpBVuVxj2_8V_sc-uEAcHY3gfEcguL-0, MS=ms46281805",,
[x],blogs.kinepolis.com,"188.93.155.238, 188.93.155.241",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],blogs.kinepolis.lu,"2.19.198.178, 2.19.198.170","2a02:26f0:7100::1720:ee48, 2a02:26f0:7100::1720:ee52",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-lu.mail.protection.outlook.com,"a13-66.akam.net, a6-66.akam.net, a1-67.akam.net, a5-66.akam.net, a24-67.akam.net, a4-67.akam.net","facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f, google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s, v=spf1 include:spf.kinepolis.com -all, H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=",,
[x],blueprint-coreos-icescrum.kinepolis.com,"188.93.155.238, 188.93.155.241",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],bm.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],bn.kinepolis.com,"188.93.155.238, 188.93.155.241",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],bo.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],bof.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],boise.kinepolis.com,"188.93.155.238, 188.93.155.241",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],bojena69.blogspot.centerpriseenrollment.kinepolis.fr,,"2a02:26f0:fe00::5c7a:651a, 2a02:26f0:fe00::5c7a:653a",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,,,,
[x],booking.landmarkcinemas.com,205.206.14.210,,,"clark.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],booking.mjrtheatres.com,40.71.11.128,,"wmp-dti-live-client.azurewebsites.net, waws-prod-blu-129.sip.azurewebsites.windows.net, waws-prod-blu-129.eastus.cloudapp.azure.com","ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,True,azure
[x],bookingapi.landmarkcinemas.com,"104.20.50.71, 104.20.51.71, 172.67.0.148","2606:4700:10::6814:3347, 2606:4700:10::ac43:94, 2606:4700:10::6814:3247",,"clark.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare
[x],bookingapistage.landmarkcinemas.com,"172.67.0.148, 104.20.50.71, 104.20.51.71","2606:4700:10::6814:3347, 2606:4700:10::ac43:94, 2606:4700:10::6814:3247",,"clark.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,True,cloudflare
[x],bookmarks.kinepolis.com,"188.93.155.238, 188.93.155.241",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],bookmarks.kinepolis.lu,"2.19.198.170, 2.19.198.178","2a02:26f0:64::210:6b89, 2a02:26f0:64::210:6bc2",kinepolis.lu,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-lu.mail.protection.outlook.com,"a5-66.akam.net, a24-67.akam.net, a4-67.akam.net, a13-66.akam.net, a6-66.akam.net, a1-67.akam.net","facebook-domain-verification=d4rb0kmmxu0zh9pdaw49o719hqp74f, v=spf1 include:spf.kinepolis.com -all, google-site-verification=G_H5FxbeAEy-FQiNfRbX9coegO3eoPRLmYGiXTiaf8s, H6fjoErprSO7DJPC6N+B4q3BmUvpIi6/JV3v3aQBBL0=",,
[x],border.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],boy.kinepolis.ch,"23.55.163.5, 23.55.163.8","2a02:26f0:3500:12::1730:178e, 2a02:26f0:3500:12::1730:17ba",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-ch.mail.protection.outlook.com,"a1-67.akam.net, a5-66.akam.net, a24-67.akam.net, a4-67.akam.net, a13-66.akam.net, a6-66.akam.net","facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, v=spf1 include:spf.kinepolis.com -all, MS=ms57753331",,
[x],branding.kinepolis.com,"2.16.202.64, 95.101.54.232","2a02:26f0:480:e::210:f106, 2a02:26f0:480:e::210:f104",,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],branding.landmarkcinemas.com,"104.85.249.106, 104.85.249.139","2a02:26f0:a600::b9e1:fa3b, 2a02:26f0:a600::b9e1:fa22","prod.landmarkcinemas.com.edgesuite.net, a1734.dscb.akamai.net","n0dscb.akamai.net, hostmaster.akamai.com",NOERROR,,,,,
[x],britian.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],broadcast.kinepolis.ch,"95.101.74.196, 95.101.74.200","2a02:26f0:b200::1748:fcab, 2a02:26f0:b200::1748:fc98",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-ch.mail.protection.outlook.com,"a5-66.akam.net, a24-67.akam.net, a4-67.akam.net, a6-66.akam.net, a1-67.akam.net, a13-66.akam.net","facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, MS=ms57753331, v=spf1 include:spf.kinepolis.com -all",,
[x],broadcast.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],broker.kinepolis.com,"188.93.155.238, 188.93.155.241",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],bsd01.kinepolis.ch,"23.76.204.145, 23.76.204.149","2a02:26f0:b200::1748:fcab, 2a02:26f0:b200::1748:fc98",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-ch.mail.protection.outlook.com,"a5-66.akam.net, a4-67.akam.net, a24-67.akam.net, a6-66.akam.net, a13-66.akam.net, a1-67.akam.net","facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6, MS=ms57753331, v=spf1 include:spf.kinepolis.com -all, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28",,
[x],bsd01.kinepolis.com,,,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],bt.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],buggalo.kinepolis.com,"188.93.155.238, 188.93.155.241",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],bugs.kinepolis.com,"188.93.155.238, 188.93.155.241",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],build-0.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],build-2.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],build.kinepolis.com,188.93.155.250,,,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],bumetavoxww.kinepolis.fr,"184.24.77.207, 184.24.77.189","2a02:26f0:480:3::210:ee8d, 2a02:26f0:480:3::210:ee94",kinepolis.fr,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-fr.mail.protection.outlook.com,"a5-66.akam.net, a6-66.akam.net, a13-66.akam.net, a24-67.akam.net, a1-67.akam.net, a4-67.akam.net",,,
[x],burner-1.kinepolis.ch,"23.77.197.40, 23.77.197.10",,kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],burner.kinepolis.ch,"104.85.249.120, 104.85.249.96",,kinepolis.ch,,NOERROR,,"a5-66.akam.net, a1-67.akam.net, a4-67.akam.net, a6-66.akam.net, a24-67.akam.net, a13-66.akam.net",,,
[x],burner.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],business.cloudapp.kinepolis.be,"188.93.155.241, 188.93.155.238",,,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,,,,,
[x],business.kinepolis.be,"199.60.103.254, 199.60.103.2","2606:2c40::c73c:67fe, 2606:2c40::c73c:6702","507224.group24.sites.hubspot.net, group24.sites.hscoscdn20.net","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],business.kinepolis.com,"2.19.198.170, 2.19.198.178","2a02:26f0:7100::1720:ee48, 2a02:26f0:7100::1720:ee52",,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],business.kinepolis.lu,"23.55.163.28, 23.55.163.40","2a02:26f0:3500:12::1730:17bc, 2a02:26f0:3500:12::1730:178c",,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],business.kinepolis.nl,"199.60.103.2, 199.60.103.254","2606:2c40::c73c:6702, 2606:2c40::c73c:67fe","4729821.group21.sites.hubspot.net, group21.sites.hscoscdn20.net","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],businessemea.kinepolis.be,"188.93.155.238, 188.93.155.241",,,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,,,,,
[x],buy.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],bv.kinepolis.ch,,"2a02:26f0:3100::1735:2950, 2a02:26f0:3100::1735:296a",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-ch.mail.protection.outlook.com,"a5-66.akam.net, a1-67.akam.net, a6-66.akam.net, a4-67.akam.net, a24-67.akam.net, a13-66.akam.net","MS=ms57753331, v=spf1 include:spf.kinepolis.com -all, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6",,
[x],bywww.kinepolis.be,,,,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,,,,,
[x],c22747316.kinepolis.com,"188.93.155.238, 188.93.155.241",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],c22oceand2-rs.kinepolis.com,"188.93.155.238, 188.93.155.241",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],cache.kinepolis.ch,"23.55.163.8, 23.55.163.5","2a02:26f0:3500:12::1730:17ba, 2a02:26f0:3500:12::1730:178e",kinepolis.ch,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-ch.mail.protection.outlook.com,"a1-67.akam.net, a5-66.akam.net, a6-66.akam.net, a4-67.akam.net, a24-67.akam.net, a13-66.akam.net","v=spf1 include:spf.kinepolis.com -all, MS=ms57753331, google-site-verification=BVWZ1xmEGNB0GgKXxSp3GKMJyC6QgF-l9Y2V_8g0l28, facebook-domain-verification=6bw7itwha3tvdmtv757f6d3uu3rgg6",,
[x],cache1.kinepolis.com,188.93.155.227,,,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],cache2.kinepolis.com,188.93.155.236,,,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],cache3.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],cal.dev.kinepolis.be,"188.93.155.241, 188.93.155.238",,,"a1-67.akam.net, hostmaster.kinepolis.be",NOERROR,,,,,
[x],calvin.kinepolis.com,"188.93.155.238, 188.93.155.241",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],careers.kinepolis.com,"188.93.155.238, 188.93.155.241",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],cd.kinepolis.com,"188.93.155.241, 188.93.155.238",,origin.kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],cd1.kinepolis.ch,188.93.155.228,,,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],cd1.kinepolis.com,"95.101.54.211, 95.101.54.114","2a02:26f0:480:e::210:f113, 2a02:26f0:480:e::210:f105",kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-com.mail.protection.outlook.com,"a24-67.akam.net, a13-66.akam.net, a5-66.akam.net, a6-66.akam.net, a4-67.akam.net, a1-67.akam.net","amazonses:F6auh+yGMWvmOa/p/jl4hQJVNtPHvO5fZ8gqsV165vk=, have-i-been-pwned-verification=8eb018fb6a19e45620e7ae8336e58f84, apple-domain-verification=qIEKdL7iHUEH8k8y, MS=ms90440608, facebook-domain-verification=52zjp7n47lix31kbqu9fcmyo5yvydd, amazonses:yiI0tq57DjEdXZTJpHOqbz0XHn4nQFOmhLIU0yblfpA=, kbc-prd-api-mt-public-001.azurewebsites.net, google-site-verification=mtWZzH-FLgaDPdWUBDdwnaY9P-edcAMrRpRMu9MgnsY, 31LONWZW8E3X8LLYUFBJGK2EXIB1B1TQW0AUFOSD, xgDfOJ8Q+5n8MOlFgBQ0fk4TO5dnui+oEQNEqyx43D4=, v=spf1 include:spf.kinepolis.com a ip4:217.73.9.208/28 ip4:89.36.74.155 ip4:81.246.10.115 include:spf.icontroller.eu include:_spf.afasonline.nl include:eskerondemand.com -all, google-site-verification=B_Yku8F9hyuI5nVfiQjIQMHzSyTMDXU0dviuiJjgz2E, VMK6Z1LmiO+y4tGZ40pMUeZoOnEQl/RnzhaALSP2gwhdgtAecKdISwoNMEPOB8B4unONueG1JwSKR9/3YERGfg==",,
[x],cd2.kinepolis.ch,188.93.155.238,,,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
[x],cd2.kinepolis.com,"185.225.250.26, 185.225.250.74, 193.108.91.67, 72.246.46.67, 95.100.168.66, 23.211.133.66, 2.22.230.66","2a02:26f0:a600::b9e1:fa4a, 2a02:26f0:a600::b9e1:fa1a, 2600:1401:2::43, 2600:1401:1::42",kinepolis.com,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,kinepolis-com.mail.protection.outlook.com,"a5-66.akam.net, a13-66.akam.net, a1-67.akam.net, a24-67.akam.net, a4-67.akam.net, a6-66.akam.net","amazonses:yiI0tq57DjEdXZTJpHOqbz0XHn4nQFOmhLIU0yblfpA=, apple-domain-verification=qIEKdL7iHUEH8k8y, v=spf1 include:spf.kinepolis.com a ip4:217.73.9.208/28 ip4:89.36.74.155 ip4:81.246.10.115 include:spf.icontroller.eu include:_spf.afasonline.nl include:eskerondemand.com -all, 31LONWZW8E3X8LLYUFBJGK2EXIB1B1TQW0AUFOSD, VMK6Z1LmiO+y4tGZ40pMUeZoOnEQl/RnzhaALSP2gwhdgtAecKdISwoNMEPOB8B4unONueG1JwSKR9/3YERGfg==, MS=ms90440608, xgDfOJ8Q+5n8MOlFgBQ0fk4TO5dnui+oEQNEqyx43D4=, have-i-been-pwned-verification=8eb018fb6a19e45620e7ae8336e58f84, kbc-prd-api-mt-public-001.azurewebsites.net, google-site-verification=mtWZzH-FLgaDPdWUBDdwnaY9P-edcAMrRpRMu9MgnsY, amazonses:F6auh+yGMWvmOa/p/jl4hQJVNtPHvO5fZ8gqsV165vk=, facebook-domain-verification=52zjp7n47lix31kbqu9fcmyo5yvydd, google-site-verification=B_Yku8F9hyuI5nVfiQjIQMHzSyTMDXU0dviuiJjgz2E",,
[x],cd3.kinepolis.ch,188.93.155.228,,,"a1-67.akam.net, hostmaster.kinepolis.com",NOERROR,,,,,
