new,host,a,cname,soa,status_code,cdn,cdn-name,aaaa,txt,mx,ns,caa
,hls.caffeine.tv,151.101.246.49,h2.shared.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
,hls.dt.caffeine.tv,146.75.122.133,d.sni.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,"ns1.fastly.net, ns2.fastly.net, ns3.fastly.net, ns4.fastly.net",
,images.staging.caffeine.tv,151.101.246.49,h2.shared.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
,ios-build-output.caffeine.tv,142.251.35.179,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,2607:f8b0:4006:81e::2013,,,,
,junkrat.caffeine.tv,142.251.35.179,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,2607:f8b0:4006:81e::2013,,,,
,junkrat.staging.caffeine.tv,142.250.184.211,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,2a00:1450:4001:800::2013,,,,
,lakitu.staging.caffeine.tv,"108.156.60.109, 108.156.60.104, 108.156.60.119, 108.156.60.92",d1o7jd5yv1uldz.cloudfront.net,"ns-1372.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,"ns-1372.awsdns-43.org, ns-1820.awsdns-35.co.uk, ns-91.awsdns-11.com, ns-910.awsdns-49.net",
,link.caffeine.tv,151.101.38.49,h2.shared.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
,lobby.robmessick.staging.caffeine.tv,,,"ns-1328.awsdns-38.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,magnus.caffeine.tv,142.251.39.115,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,2a00:1450:400e:811::2013,,,,
,magnus.staging.caffeine.tv,172.253.115.121,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,2a00:1450:4001:812::2013,,,,
,mercy-recordings.caffeine.tv,172.253.115.121,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,2a00:1450:4001:812::2013,,,,
,mercy.caffeine.tv,"52.27.12.184, 52.33.193.72, 54.149.235.19",,"ns-83.awsdns-10.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1464.awsdns-55.org, ns-1610.awsdns-09.co.uk, ns-650.awsdns-17.net, ns-83.awsdns-10.com",
,multivac.staging.caffeine.tv,64.233.165.121,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,2a00:1450:4010:c08::79,,,,
,navi.caffeine.tv,"52.42.167.40, 54.244.132.37, 34.216.48.206, 35.163.241.190",navi.mesh.prd.prd.ethos.usw2.ctv.gg,"ns-1423.awsdns-49.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,navi.staging.caffeine.tv,"35.86.5.63, 44.233.158.63, 54.214.77.53, 52.34.220.49",navi.mesh.stg.stg.ethos.usw2.ctv.gg,"ns-1163.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,new-www.caffeine.tv,146.75.122.49,h2.shared.global.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,
,payments.caffeine.tv,"54.244.132.37, 35.163.241.190, 52.42.167.40, 34.216.48.206",payments.mesh.prd.prd.ethos.usw2.ctv.gg,"ns-1423.awsdns-49.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,payments.staging.caffeine.tv,"52.34.220.49, 44.233.158.63, 54.214.77.53, 35.86.5.63",payments.mesh.stg.stg.ethos.usw2.ctv.gg,"ns-1163.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1163.awsdns-17.org, ns-150.awsdns-18.com, ns-1582.awsdns-05.co.uk, ns-824.awsdns-39.net",
,peeps.caffeine.tv,142.251.16.121,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,,,2607:f8b0:4004:c17::79,,,,
,prod.caffeine.tv,,,"ns-872.awsdns-45.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1699.awsdns-20.co.uk, ns-414.awsdns-51.com, ns-872.awsdns-45.net, ns-1476.awsdns-56.org",
,realtime.caffeine.tv,"54.244.132.37, 52.42.167.40, 34.216.48.206, 35.163.241.190",realtime.mesh.prd.prd.ethos.usw2.ctv.gg,"ns-1423.awsdns-49.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,realtime.development.caffeine.tv,"35.162.21.98, 52.32.65.108, 35.83.85.23",realtime.mesh.dev-us-west-2.ethos.ctv.gg,"ns-1663.awsdns-15.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
,realtime.staging.caffeine.tv,"54.214.77.53, 52.34.220.49, 35.86.5.63, 44.233.158.63",realtime.mesh.stg.stg.ethos.usw2.ctv.gg,"ns-1163.awsdns-17.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
