new,host,a,soa,status_code,cdn,cdn-name,aaaa,cname,ns,txt,has_internal_ips,internal_ips,mx,caa
[x],bounce.csa.canon.com,199.15.213.82,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,v=spf1 ip4:199.15.213.82 ~all,,,bounce.csa.canon.com,
[x],br.api.spsstg.cusa.canon.com,10.222.197.6,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,True,10.222.197.6,,
[x],bringit.usa.canon.com,146.184.161.19,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,usa.canon.com,"svadns3.cusa.canon.com, nydns07.cusa.canon.com, nydns08.cusa.canon.com, svadns4.cusa.canon.com","pardot1009522=bec410025fdac3994fc15d8af7968af5a41998c2c50a391b8d595cd97349dcf5, google-site-verification=Q8F5Ew9HWFO8ZLb-u7oAY6EVuvxcszmLATuYgS3klos",,,,
[x],btweb.usa.canon.com,,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
[x],burp.dis.cusa.canon.com,35.233.224.132,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",NOERROR,True,google,,,,,,,,
[x],ca.api.sps.cusa.canon.com,,,NOERROR,,,,,,,,,,
[x],ca.api.spsstg.cusa.canon.com,10.222.197.6,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,True,10.222.197.6,,
[x],caniprint.cusa.canon.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,,d120h28iz7ocoy.cloudfront.net,,,,,,
[x],canon.com,"54.92.111.239, 52.197.109.31, 13.115.17.76, 13.230.249.17","01.dnsv.jp, hostmaster.dnsv.jp",NOERROR,,,,,,"facebook-domain-verification=6kobmkzantck32ytcu9ya7p871dc9v, v=spf1 -all, pardot827683=9e3954e148555f041319f0515166adb49b4f5dc33c6a0b7de9eba95085650126",,,,
[x],canonalumniconnection.cusa.canon.com,146.184.152.181,"mvhost.cusa.canon.com, postmaster.cusa.canon.com",NOERROR,,,,,,,,,,
