input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_mismatched,final_url,tls_subject_org_,csp_domains_
empower.wealthsimple.com,Wealthsimple | Smart investing,200,2407,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,my.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:08:33Z,2023-07-03T10:08:32Z,CN=wealthsimple.com,wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8583ef2ee55597d8b4b9849c4465803,687f77150542fe424e2ca90695b3fd3da1cfbe4257f83f50cbda39248125b4f7,True,ctls,my.wealthsimple.com,cloudflare,443,https://empower.wealthsimple.com:443,https,cloudflare,text/html,GET,104.18.18.16,/,924769457,104.18.19.16,Cloudflare,39,False,True,,https://my.wealthsimple.com/app/,,
faq-www.builds.wealthsimple.com,,404,63,AS14618,AMAZON-AES,US,35.168.0.0/13,faq-www.builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,faq-www.builds.wealthsimple.com,,443,https://faq-www.builds.wealthsimple.com:443,https,nginx,application/json,GET,35.169.89.129,/,-871527737,54.164.107.211,Nginx,1,False,,,,,
faq.builds.wealthsimple.com,,404,63,AS14618,AMAZON-AES,US,54.167.0.0/17,faq.builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,faq.builds.wealthsimple.com,,443,https://faq.builds.wealthsimple.com:443,https,nginx,application/json,GET,54.164.107.211,/,-871527737,35.169.89.129,Nginx,1,False,,,,,
faq.www.builds.wealthsimple.com,,404,63,AS14618,AMAZON-AES,US,35.168.0.0/13,faq.www.builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,faq.www.builds.wealthsimple.com,,443,https://faq.www.builds.wealthsimple.com:443,https,nginx,application/json,GET,35.169.89.129,/,-871527737,54.164.107.211,Nginx,1,False,,True,,,
get.wealthsimple.com,Wealthsimple Work: Low-fee Group RRSPs,200,139999,AS16509,AS16509,Unknown,3.64.0.0/12,www.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:08:33Z,2023-07-03T10:08:32Z,CN=wealthsimple.com,wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8583ef2ee55597d8b4b9849c4465803,687f77150542fe424e2ca90695b3fd3da1cfbe4257f83f50cbda39248125b4f7,True,ctls,www.wealthsimple.com,,443,https://get.wealthsimple.com:443,https,cloudflare,text/html,GET,3.69.136.55,/,-1335621053,3.126.202.50,webpack,51,False,,,https://www.wealthsimple.com/en-ca/work/,,https://my.wealthsimple.com
go.wealthsimple.com,,200,,AS14618,AMAZON-AES,US,52.54.0.0/15,,,,,,,,,,,,,,,,,,,,80,http://go.wealthsimple.com:80,http,PardotServer,text/html,GET,52.54.96.194,/,-1840324437,3.92.120.28,Pardot,1,False,,,,,
help.simpletax.ca,SimpleTax / ImpotSimple,403,504497,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,help.simpletax.ca,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-17T10:07:27Z,2023-06-15T10:07:26Z,CN=simpletax.ca,simpletax.ca,www.simpletax.ca,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3634f711e0cf04e503228999d8b49c3e,d65291e347ddf18af9270b94d10f1a1da7396c2153f9dea91172b815ae3f4cf6,,ctls,help.simpletax.ca,cloudflare,443,https://help.simpletax.ca:443,https,cloudflare,text/html,GET,104.18.29.32,/,1998861815,104.18.28.32,Cloudflare,97,False,True,,,,
help.wealthsimple.com,Security check,403,7741,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,help.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-19T20:13:45Z,2023-07-18T20:13:44Z,CN=help.wealthsimple.com,help.wealthsimple.com,work.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,42a45bf011fa2c1523097b410090671c,afcdb1a0fe2650d312d8b024aca40d12ea895adc2130c3cf092cccbecff6ddb7,,ctls,help.wealthsimple.com,cloudflare,443,https://help.wealthsimple.com:443,https,cloudflare,text/html,GET,104.16.51.111,/,-1279294674,104.16.53.111,Cloudflare,103,False,True,,https://help.wealthsimple.com/hc/en-ca,,
https://my.wealthsimple.com,Wealthsimple | Smart investing,200,2407,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,my.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:08:33Z,2023-07-03T10:08:32Z,CN=wealthsimple.com,wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8583ef2ee55597d8b4b9849c4465803,687f77150542fe424e2ca90695b3fd3da1cfbe4257f83f50cbda39248125b4f7,True,ctls,my.wealthsimple.com,cloudflare,443,https://my.wealthsimple.com:443,https,cloudflare,text/html,GET,104.18.18.16,/,924769457,104.18.19.16,Cloudflare,39,False,True,,https://my.wealthsimple.com/app/,,
info.wealthsimple.com,"Wealthsimple: Investing, Regulated Crypto, Stocks & ETFs",200,101438,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:08:33Z,2023-07-03T10:08:32Z,CN=wealthsimple.com,wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8583ef2ee55597d8b4b9849c4465803,687f77150542fe424e2ca90695b3fd3da1cfbe4257f83f50cbda39248125b4f7,True,ctls,www.wealthsimple.com,cloudflare,443,https://info.wealthsimple.com:443,https,cloudflare,text/html,GET,104.18.19.16,/,-1840324437,104.18.18.16,webpack,46,False,True,,https://www.wealthsimple.com/en-ca/,,https://my.wealthsimple.com
internal.builds.wealthsimple.com,,404,63,AS14618,AMAZON-AES,US,54.167.0.0/17,internal.builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,internal.builds.wealthsimple.com,,443,https://internal.builds.wealthsimple.com:443,https,nginx,application/json,GET,54.164.107.211,/,-871527737,35.169.89.129,Nginx,1,False,,,,,
invest.wealthsimple.com,Managed Portfolio Investing for Canadians,200,97576,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:08:33Z,2023-07-03T10:08:32Z,CN=wealthsimple.com,wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8583ef2ee55597d8b4b9849c4465803,687f77150542fe424e2ca90695b3fd3da1cfbe4257f83f50cbda39248125b4f7,True,ctls,www.wealthsimple.com,cloudflare,443,https://invest.wealthsimple.com:443,https,cloudflare,text/html,GET,104.18.19.16,/,-1840324437,104.18.18.16,webpack,34,False,True,,https://www.wealthsimple.com/en-ca/invest/managed-investing,,https://my.wealthsimple.com
investwise.wealthsimple.com,Managed Portfolio Investing for Canadians,200,97576,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,www.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:08:33Z,2023-07-03T10:08:32Z,CN=wealthsimple.com,wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8583ef2ee55597d8b4b9849c4465803,687f77150542fe424e2ca90695b3fd3da1cfbe4257f83f50cbda39248125b4f7,True,ctls,www.wealthsimple.com,cloudflare,443,https://investwise.wealthsimple.com:443,https,cloudflare,text/html,GET,104.18.18.16,/,-1840324437,104.18.19.16,webpack,34,False,True,,https://www.wealthsimple.com/en-ca/invest/managed-investing,,https://my.wealthsimple.com
leapfrog-for.wealthsimple.com,,403,16,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,leapfrog-for.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:08:33Z,2023-07-03T10:08:32Z,CN=wealthsimple.com,wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8583ef2ee55597d8b4b9849c4465803,687f77150542fe424e2ca90695b3fd3da1cfbe4257f83f50cbda39248125b4f7,True,ctls,leapfrog-for.wealthsimple.com,cloudflare,443,https://leapfrog-for.wealthsimple.com:443,https,cloudflare,text/plain,GET,104.18.18.16,/,1253481126,104.18.19.16,Cloudflare,1,False,True,,,,
legacy.builds.wealthsimple.com,,404,63,AS14618,AMAZON-AES,US,35.168.0.0/13,legacy.builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,legacy.builds.wealthsimple.com,,443,https://legacy.builds.wealthsimple.com:443,https,nginx,application/json,GET,35.169.89.129,/,-871527737,54.164.107.211,Nginx,1,False,,,,,
market.builds.wealthsimple.com,,404,63,AS14618,AMAZON-AES,US,54.167.0.0/17,market.builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,market.builds.wealthsimple.com,,443,https://market.builds.wealthsimple.com:443,https,nginx,application/json,GET,54.164.107.211,/,-871527737,35.169.89.129,Nginx,1,False,,,,,
mascara1qzbqa.faq-www.builds.wealthsimple.com,,404,63,AS14618,AMAZON-AES,US,35.168.0.0/13,mascara1qzbqa.faq-www.builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,mascara1qzbqa.faq-www.builds.wealthsimple.com,,443,https://mascara1qzbqa.faq-www.builds.wealthsimple.com:443,https,nginx,application/json,GET,35.169.89.129,/,-871527737,54.164.107.211,Nginx,1,False,,True,,,
mercer.wealthsimple.com,Wealthsimple | Smart investing,200,2407,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,my.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:08:33Z,2023-07-03T10:08:32Z,CN=wealthsimple.com,wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8583ef2ee55597d8b4b9849c4465803,687f77150542fe424e2ca90695b3fd3da1cfbe4257f83f50cbda39248125b4f7,True,ctls,my.wealthsimple.com,cloudflare,443,https://mercer.wealthsimple.com:443,https,cloudflare,text/html,GET,104.18.18.16,/,924769457,104.18.19.16,Cloudflare,39,False,True,,https://my.wealthsimple.com/app/,,
mobile.builds.wealthsimple.com,,404,63,AS14618,AMAZON-AES,US,54.167.0.0/17,mobile.builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,mobile.builds.wealthsimple.com,,443,https://mobile.builds.wealthsimple.com:443,https,nginx,application/json,GET,54.164.107.211,/,-871527737,35.169.89.129,Nginx,1,False,,,,,
my.wealthsimple.com,Wealthsimple | Smart investing,200,2407,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,my.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:08:33Z,2023-07-03T10:08:32Z,CN=wealthsimple.com,wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8583ef2ee55597d8b4b9849c4465803,687f77150542fe424e2ca90695b3fd3da1cfbe4257f83f50cbda39248125b4f7,True,ctls,my.wealthsimple.com,cloudflare,443,https://my.wealthsimple.com:443,https,cloudflare,text/html,GET,104.18.18.16,/,924769457,104.18.19.16,Cloudflare,39,False,True,,https://my.wealthsimple.com/app/,,
mysql.builds.wealthsimple.com,,404,63,AS14618,AMAZON-AES,US,35.168.0.0/13,mysql.builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,mysql.builds.wealthsimple.com,,443,https://mysql.builds.wealthsimple.com:443,https,nginx,application/json,GET,35.169.89.129,/,-871527737,54.164.107.211,Nginx,1,False,,,,,
o1.builds.wealthsimple.com,,404,63,AS14618,AMAZON-AES,US,54.167.0.0/17,o1.builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,o1.builds.wealthsimple.com,,443,https://o1.builds.wealthsimple.com:443,https,nginx,application/json,GET,54.164.107.211,/,-871527737,35.169.89.129,Nginx,1,False,,,,,
payment.builds.wealthsimple.com,,404,63,AS14618,AMAZON-AES,US,35.168.0.0/13,payment.builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,payment.builds.wealthsimple.com,,443,https://payment.builds.wealthsimple.com:443,https,nginx,application/json,GET,35.169.89.129,/,-871527737,54.164.107.211,Nginx,1,False,,,,,
pm-bounces.wealthsimple.com,Postmark — Email delivery for web apps,200,4374,AS14061,DIGITALOCEAN-ASN,US,138.197.172.0/23,,,,,,,,,,,,,,,,,,,,80,http://pm-bounces.wealthsimple.com:80,http,AmazonS3,text/html,GET,138.197.30.54,/,-1457628171,138.197.30.54,Amazon Web Services,85,False,,,,,
promotions.wealthsimple.com,Security check,403,8165,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,promotions.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-19T20:13:45Z,2023-07-18T20:13:44Z,CN=help.wealthsimple.com,help.wealthsimple.com,work.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,42a45bf011fa2c1523097b410090671c,afcdb1a0fe2650d312d8b024aca40d12ea895adc2130c3cf092cccbecff6ddb7,,ctls,promotions.wealthsimple.com,cloudflare,443,https://promotions.wealthsimple.com:443,https,cloudflare,text/html,GET,104.16.53.111,/,-1279294674,104.16.51.111,Cloudflare,103,False,True,,https://promotions.wealthsimple.com/hc/en-ca/restricted?return_to=https%3A%2F%2Fpromotions.wealthsimple.com%2Fhc&locale=en-ca,,
pub.email.wealthsimple.com,403 - Forbidden: Access is denied.,403,1233,AS22606,EXACT-7,US,136.147.128.0/20,pub.email.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-01T00:00:00Z,2024-03-31T23:59:59Z,"CN=pub.s7.exacttarget.com, O=Salesforce.com\, Inc., L=San Francisco, ST=California, C=US",pub.s7.exacttarget.com,pub.s7.exacttarget.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,20842c6252c2eb071c46ce80114f2aec,316eb5676448730a883c79f2c332df5bb4009bc7650000f70159fc81f37df134,,ctls,pub.email.wealthsimple.com,,443,https://pub.email.wealthsimple.com:443,https,,text/html,GET,136.147.129.35,/,1631801191,136.147.129.35,,30,False,,True,,"Salesforce.com, Inc.",
salesloft.wealthsimple.com,,204,,AS14618,AMAZON-AES,US,54.242.0.0/15,salesloft.wealthsimple.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-13T05:19:50Z,2023-07-12T05:19:49Z,CN=salesloft.wealthsimple.com,salesloft.wealthsimple.com,salesloft.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c6edfcf5686f0b29f966b4e5efbcc2ee,3ad634047a41f59521804bff0d54cf6a80925a25a7a91c3aa20a707e1b304fb3,,ctls,salesloft.wealthsimple.com,,443,https://salesloft.wealthsimple.com:443,https,,,GET,54.243.161.55,/,-1840324437,54.221.50.8,HSTS,1,False,,,,,
sandbox.builds.wealthsimple.com,,404,63,AS14618,AMAZON-AES,US,54.167.0.0/17,sandbox.builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,sandbox.builds.wealthsimple.com,,443,https://sandbox.builds.wealthsimple.com:443,https,nginx,application/json,GET,54.164.107.211,/,-871527737,35.169.89.129,Nginx,1,False,,,,,
sasg-faq-www-pwc.builds.wealthsimple.com,,404,63,AS14618,AMAZON-AES,US,35.168.0.0/13,sasg-faq-www-pwc.builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,sasg-faq-www-pwc.builds.wealthsimple.com,,443,https://sasg-faq-www-pwc.builds.wealthsimple.com:443,https,nginx,application/json,GET,35.169.89.129,/,-871527737,54.164.107.211,Nginx,1,False,,,,,
secureshare-api-staging.wealthsimple.com,403 Forbidden,403,548,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,secureshare-api-staging.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:08:33Z,2023-07-03T10:08:32Z,CN=wealthsimple.com,wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8583ef2ee55597d8b4b9849c4465803,687f77150542fe424e2ca90695b3fd3da1cfbe4257f83f50cbda39248125b4f7,True,ctls,secureshare-api-staging.wealthsimple.com,cloudflare,443,https://secureshare-api-staging.wealthsimple.com:443,https,cloudflare,text/html,GET,104.18.19.16,/,586998417,104.18.18.16,Cloudflare,14,False,True,,,,
secureshare-api.wealthsimple.com,,403,16,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,secureshare-api.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:08:33Z,2023-07-03T10:08:32Z,CN=wealthsimple.com,wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8583ef2ee55597d8b4b9849c4465803,687f77150542fe424e2ca90695b3fd3da1cfbe4257f83f50cbda39248125b4f7,True,ctls,secureshare-api.wealthsimple.com,cloudflare,443,https://secureshare-api.wealthsimple.com:443,https,cloudflare,text/plain,GET,104.18.19.16,/,1253481126,104.18.18.16,Cloudflare,1,False,True,,,,
secureshare.wealthsimple.com,♖ Secure Share,200,3009,AS0,Not routed,None,13.32.100.0/23,secureshare.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-31T00:00:00Z,2024-04-27T23:59:59Z,CN=secureshare.wealthsimple.com,secureshare.wealthsimple.com,secureshare.wealthsimple.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3e45ec4ebd2f0b76cf80c8f8540411d1,ac5f0d6859567c942b920c9802d22b338952873091ada1a5c547a0603aefddc7,,ctls,secureshare.wealthsimple.com,cloudfront,443,https://secureshare.wealthsimple.com:443,https,AmazonS3,text/html,GET,13.32.99.72,/,1777370888,13.32.99.98,Bootstrap:4.3.1,99,False,True,,,,
securities-assets.cdn.wealthsimple.com,,403,243,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,securities-assets.cdn.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-01T00:00:00Z,2024-01-31T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,securities-assets.cdn.wealthsimple.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",febc65a3d37e0f2b48ad214b9072c665,5fb6ab8bc158c0c323a28493d6a3bed8361ed948ac1d81267e7b90d739f9791c,,ctls,securities-assets.cdn.wealthsimple.com,cloudflare,443,https://securities-assets.cdn.wealthsimple.com:443,https,cloudflare,application/xml,GET,104.18.18.100,/,-382889413,104.18.19.100,Cloudflare,2,False,True,,,"Cloudflare, Inc.",
server.builds.wealthsimple.com,,404,63,AS14618,AMAZON-AES,US,35.168.0.0/13,server.builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,server.builds.wealthsimple.com,,443,https://server.builds.wealthsimple.com:443,https,nginx,application/json,GET,35.169.89.129,/,-871527737,54.164.107.211,Nginx,1,False,,,,,
shehul-staging.wealthsimple.com,,403,16,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,shehul-staging.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:08:33Z,2023-07-03T10:08:32Z,CN=wealthsimple.com,wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8583ef2ee55597d8b4b9849c4465803,687f77150542fe424e2ca90695b3fd3da1cfbe4257f83f50cbda39248125b4f7,True,ctls,shehul-staging.wealthsimple.com,cloudflare,443,https://shehul-staging.wealthsimple.com:443,https,cloudflare,text/plain,GET,104.18.19.16,/,1253481126,104.18.18.16,Cloudflare,1,False,True,,,,
shehul.wealthsimple.com,,403,16,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,shehul.wealthsimple.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-04T10:08:33Z,2023-07-03T10:08:32Z,CN=wealthsimple.com,wealthsimple.com,wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,e8583ef2ee55597d8b4b9849c4465803,687f77150542fe424e2ca90695b3fd3da1cfbe4257f83f50cbda39248125b4f7,True,ctls,shehul.wealthsimple.com,cloudflare,443,https://shehul.wealthsimple.com:443,https,cloudflare,text/plain,GET,104.18.18.16,/,1253481126,104.18.19.16,Cloudflare,1,False,True,,,,
shop.builds.wealthsimple.com,,404,63,AS14618,AMAZON-AES,US,54.167.0.0/17,shop.builds.wealthsimple.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T10:06:15Z,2023-06-18T10:06:14Z,CN=*.builds.wealthsimple.com,*.builds.wealthsimple.com,builds.wealthsimple.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5831d7c40c1158783c15b41da4721292,ef191f1d9b9cae555cf1bddb1769cf61b10ad53e2cc15b82d3f7777453ce4c11,True,ctls,shop.builds.wealthsimple.com,,443,https://shop.builds.wealthsimple.com:443,https,nginx,application/json,GET,54.164.107.211,/,-871527737,35.169.89.129,Nginx,1,False,,,,,
