new,host,soa,status_code,a,aaaa,cdn,cdn-name,cname,caa,mx,txt,ns
,secret.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,segment.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"52.55.54.43, 44.207.78.112, 44.207.21.146, 108.162.192.151, 172.64.32.151, 173.245.58.151, 108.162.193.187, 172.64.33.187, 173.245.59.187","2606:4700:50::adf5:3a97, 2803:f800:50::6ca2:c097, 2a06:98c1:50::ac40:2097, 2606:4700:58::adf5:3bbb, 2803:f800:50::6ca2:c1bb, 2a06:98c1:50::ac40:21bb",,,,,"aspmx2.googlemail.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx.l.google.com","google-site-verification=BazhKYyrYTN84uz0jBbZivOfexdKmqYseGiODOdCuvY, mongodb-site-verification=pV31SM5A7pRhqOhp3Q4B7gMLQ7E2f1Q7, v=spf1 mx include:_spf.google.com include:spf.autopilothq.com include:sendgrid.net include:shapeshift.com -all, google-site-verification=pOeHOg88Ansh-uTZi1Y9y3QaqufRzO4lN_l1iz6sP8E","justin.ns.cloudflare.com, donna.ns.cloudflare.com"
,signup.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,solana.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,static.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.72, 104.16.151.72","2606:4700::6810:9648, 2606:4700::6810:9748",True,cloudflare,,,,,
,store.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.72, 104.16.150.72","2606:4700::6810:9748, 2606:4700::6810:9648",True,cloudflare,,,,,
,swag.shapeshift.com,"ns1.dnsimple.com, admin.dnsimple.com, dns1.p06.nsone.net, hostmaster.nsone.net",NOERROR,23.227.38.74,,,,shops.myshopify.com,"digicert.com, globalsign.com, letsencrypt.org",,,
,testaforo.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.150.72, 104.16.151.72","2606:4700::6810:9748, 2606:4700::6810:9648",True,cloudflare,,,,,
,thorchain.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,wallets.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.151.72, 104.16.150.72","2606:4700::6810:9748, 2606:4700::6810:9648",True,cloudflare,,,,,
,wood.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,True,cloudflare,,,,,
,www.graphql.alpha.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,www.graphql.beta.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,www.shapeshift.com,"ns-1078.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,"34.253.101.190, 54.194.170.100, 34.251.201.224",,,,"proxy-ssl.webflow.com, proxy-ssl-geo.webflow.com",,,,
,zcash.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,zendesk.shapeshift.com,"donna.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,
,zendesk1.shapeshift.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,"162.159.138.6, 162.159.128.7, 34.235.62.90, 184.72.174.126, 3.213.143.227",,True,cloudflare,mail1.zendesk.com,,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,"ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net"
,zendesk2.shapeshift.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,"162.159.138.6, 162.159.128.7, 34.235.62.90, 3.213.143.227, 184.72.174.126",,True,cloudflare,mail2.zendesk.com,,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,"ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net"
,zendesk4.shapeshift.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,"162.159.128.7, 162.159.138.6",,True,cloudflare,mail4.zendesk.com,,mail.zendesk.com,v=spf1 include:_netblocks.zdsys.com ~all,
