new,host,a,soa,has_internal_ips,internal_ips,status_code,aaaa,cdn,cdn-name,txt,caa,cname,ns,mx
[x],gew1-backstagecache-a-dkkf.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],goegoeroe.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],google.avrotros.nl,172.217.18.19,"ns1.google.com, dns-admin.google.com",,,NOERROR,2a00:1450:4001:80b::2013,,,,,ghs.googlehosted.com,,
[x],graphql-app.avrotros.nl,"104.22.9.220, 104.22.8.220, 172.67.39.253","carl.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,"2606:4700:10::6816:8dc, 2606:4700:10::ac43:27fd, 2606:4700:10::6816:9dc",True,cloudflare,,,,,
[x],graphql-app.dev.avrotros.nl,"172.67.39.253, 104.22.8.220, 104.22.9.220","carl.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,"2606:4700:10::6816:8dc, 2606:4700:10::ac43:27fd, 2606:4700:10::6816:9dc",True,cloudflare,,,,,
[x],graphql.avrotros.nl,"188.114.98.229, 188.114.99.229","carl.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,"2a06:98c1:3123:e000::5, 2a06:98c1:3122:e000::5",True,cloudflare,,,,,
[x],grotecom.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],gsp57-ms12.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],gyouseki.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],h-135-197-13-23.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],h-135-197-242-17.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],h-135-207-0-3.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],h-135-207-127-33.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],h-135-207-178-68.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],h-135-207-230-82.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],h-135-207-244-67.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],h-135-207-254-47.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],h-135-207-255-83.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],h-135-207-38-36.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],h-135-207-51-38.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],host-130-16-163-73backup.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],hqda-116-5-8.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],httpbin.smoelenboek.avrotros.nl,,"carl.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,,
[x],ict.avrotros.nl,,"carl.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,,
[x],infogein.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],infra-cache-admin-01.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],inos.avrotros.nl,145.58.15.8,"carl.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,,
[x],intern.avrotros.nl,,"carl.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,,
[x],intns1.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],intra-m.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],intranet.avrotros.nl,"104.22.8.220, 104.22.9.220, 172.67.39.253","carl.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,"2606:4700:10::6816:8dc, 2606:4700:10::6816:9dc, 2606:4700:10::ac43:27fd",True,cloudflare,,,,,
[x],iom01.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],ipv4-c329-atl001-ix.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],it.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],iwmb7-ic1.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],jelling.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],jenkinsaccounts.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],jrss-215-70-192-60.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],jrss-215-70-32-89.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],jsf-app.avrotros.nl,"172.67.39.253, 104.22.8.220, 104.22.9.220","carl.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,True,cloudflare,,,,,
[x],kananimanthan.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],ke.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],kyivstar.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],laniidae.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],lef22-3-grc.dev.avrotros.nl,,"carl.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,,
[x],lef6-2-pdc.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],liveu.avrotros.nl,145.58.184.31,"carl.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,,
[x],mach131-87-120-51.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],maestro.avrotros.nl,,"carl.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,,
[x],mailarchief.avrotros.nl,,"carl.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,,
[x],mailgateway.avrotros.nl,145.58.188.80,"carl.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,,
[x],mcs1-2a69.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],media.avrotros.nl,145.58.184.11,"carl.ns.cloudflare.com, dns.cloudflare.com",,,NOERROR,,,,,,,,
[x],meetaccept-domain.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],mil.dev.avrotros.nl,127.0.0.1,"carl.ns.cloudflare.com, dns.cloudflare.com",True,127.0.0.1,NOERROR,,,,,,,,
[x],mindfck.avrotros.nl,"34.141.11.154, 35.198.80.163","dns1.p01.nsone.net, hostmaster.nsone.net",,,NOERROR,"2a05:d014:275:cb02::c8, 2a05:d014:275:cb01::c8",True,google,,,mindfuck-schatkaart.netlify.app,,
