new,host,a,soa,ns,status_code,aaaa,cname,caa,txt,cdn,cdn-name,has_internal_ips,internal_ips,mx
,fw2.porkbun.com,"44.237.228.127, 44.241.243.71, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,fwd.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,fwd2.porkbun.com,52.10.201.111,"ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,v=spf1 a a:fwd1.porkbun.com ?all,,,,,
,fwd20.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,fwd4.porkbun.com,"54.200.31.216, 44.237.228.127, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,geneva.porkbun.com,"44.237.228.127, 44.241.243.71, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,getink.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,git.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,gitlab.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,gw.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,help.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,hixie.porkbun.com,35.163.94.115,"ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
,home.porkbun.com,"44.237.228.127, 44.241.243.71, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,hostmaster.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,imap.fwd1.fwd1.fwd1.fwd1.porkbun.com,"44.241.243.71, 44.237.228.127, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,imap.maceio.maceio.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,imap.maceio.porkbun.com,"44.241.243.71, 44.237.228.127, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,imap.pop.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,imap.porkbun.com,52.10.174.57,"ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
,imap.salvador.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,imap.whois.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,imap.whois.whois.porkbun.com,"44.237.228.127, 44.241.243.71, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,imap4.fwd1.porkbun.com,"54.200.31.216, 44.237.228.127, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,imap4.pop.porkbun.com,"54.200.31.216, 44.237.228.127, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,imap4.whois.whois.whois.whois.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,,,,,,,,,
,img.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,inbound.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,info.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,ink.porkbun.com,"54.200.31.216, 44.237.228.127, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,ip.porkbun.com,"44.237.228.127, 44.241.243.71, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,ipv6.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,itiba.porkbun.com,"44.237.228.127, 44.241.243.71, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,jacinto.porkbun.com,"44.237.228.127, 44.241.243.71, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,jacintocaetano.porkbun.com,"54.200.31.216, 44.237.228.127, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,jacintojc.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,jjamiekang.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,jobs.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,k8s.porkbun.com,,"ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,kamel.porkbun.com,"44.237.228.127, 44.241.243.71, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,kamelfoudil.porkbun.com,"44.241.243.71, 44.237.228.127, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,kb.porkbun.com,"54.152.25.190, 52.73.219.150, 54.235.72.83","ns-1428.awsdns-50.org, awsdns-hostmaster.amazon.com",,NOERROR,,porkbun.helpscoutdocs.com,letsencrypt.org,,,,,,
,keremkoterim.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,koltonhughes.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,kp.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,kubernetes.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,lisboa.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,lists.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,liveupdate.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,lixie.porkbun.com,34.223.35.249,"ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
,login.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,m.porkbun.com,"44.237.228.127, 44.241.243.71, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,,,,,,,,,
,maceio.ns.porkbun.com,162.159.11.180,"alagoas.ns.porkbun.com, dns.cloudflare.com",,NOERROR,2400:cb00:2049:1::a29f:bb4,,,,True,cloudflare,,,
,macio.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,mail.cp1.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,mail.cp1parked.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,mail.fortaleza.fortaleza.porkbun.com,"44.241.243.71, 44.237.228.127, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
,mail.fwd1.fwd1.porkbun.com,"44.241.243.71, 44.237.228.127, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,mail.pop.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,mail.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,mail.whois.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,mail.whois.whois.whois.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,mail1.porkbun.com,"44.241.243.71, 44.237.228.127, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,malina.porkbun.com,"44.241.243.71, 44.237.228.127, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,marie.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,mdm.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,medellin.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,micah.ns.cloudflare.comfortaleza.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,mixie.porkbun.com,35.81.246.46,"ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
,mobile.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
,mongo.porkbun.com,"44.241.243.71, 44.237.228.127, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,mongodb.porkbun.com,"54.200.31.216, 44.237.228.127, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,monitor-fortaleza.porkbun.com,"54.200.31.216, 44.237.228.127, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,mta-sts.fw1.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,mta-sts.fwd.porkbun.com,"44.241.243.71, 54.200.31.216, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,mta-sts.fwd1.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,mta-sts.imap.porkbun.com,"44.241.243.71, 44.237.228.127, 54.200.31.216","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,mta-sts.pixie.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,mta-sts.smtp.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com","ns-1328.awsdns-38.org, ns-1982.awsdns-55.co.uk, ns-199.awsdns-24.com, ns-586.awsdns-09.net",NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
,mx.ftp.imap4.fwd1.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3001:4811:d651:f18:5a67",,,,,,,,
,mx.fwd1.porkbun.com,"44.237.228.127, 54.200.31.216, 44.241.243.71","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f, 2600:1f14:35:3002:e1c1:dff1:fdd6:9588",,,,,,,,
,mx.pop.porkbun.com,"54.200.31.216, 44.241.243.71, 44.237.228.127","ns-199.awsdns-24.com, awsdns-hostmaster.amazon.com",,NOERROR,"2600:1f14:35:3002:e1c1:dff1:fdd6:9588, 2600:1f14:35:3001:4811:d651:f18:5a67, 2600:1f14:35:3000:9a14:716d:3bb7:ba2f",,,,,,,,
