new,host,a,soa,status_code,cname,ns,cdn,cdn-name,txt,has_internal_ips,internal_ips,mx,aaaa,ptr,caa
[x],jenkins.test.tnt.sie.sony.com,"10.111.29.165, 10.111.29.103, 10.111.29.139","ns-348.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,"10.111.29.165, 10.111.29.103, 10.111.29.139",,,,
[x],jira.jps.sie.sony.com,43.148.35.198,"ns-1609.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],jira.qa.sie.sony.com,"162.49.101.201, 162.49.101.232","ns-1609.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],jira.smss.sony.com,,,NOERROR,,,,,,,,jira-smss-sony-com.mail.protection.outlook.com,,,
[x],jira.snei.sony.com,,"ns-995.awsdns-60.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],jjs.spe.sony.com,,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],join.eu.sony.com,"195.2.38.114, 195.2.38.113","pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],jpjdcaeshxdmz01.am.sony.com,137.153.63.24,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],jpjdcaeshxdmz02.am.sony.com,137.153.63.25,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],keys.eu.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],l1-np.account.sony.com,,"dns1.p01.nsone.net, hostmaster.nsone.net, dns1.p05.nsone.net, n.sonynei.net",NOERROR,,,,,,,,,,,
[x],l1-spint.account.sony.com,,"dns1.p01.nsone.net, hostmaster.nsone.net, dns1.p05.nsone.net, n.sonynei.net",NOERROR,,,,,,,,,,,
[x],la-vpn.snei.sony.com,209.249.145.1,"ns-995.awsdns-60.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],la.community.sony.com,"85.222.140.13, 85.222.140.10, 85.222.140.11","dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,"la.community.sony.com.00du0000000itq0mak.live.siteforce.com, 1p.edge2.salesforce.com, europe.edge2.salesforce.com, fra.edge2.salesforce.com",,,,,,,,,,
[x],laxa-gpn.vpn.sie.sony.com,69.36.134.15,"ns-1609.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,2604:8540:fcc0:ffff::100,,
[x],lbgroup200.spe.sony.com,,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],lbgroup328.spe.sony.com,64.70.2.126,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],lcd.sony.com,66.173.20.201,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,flatpanel.sony.com,,,,,,,,,,
[x],library-analytics.bis.sie.sony.com,23.2.232.191,"n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"library-analytics.bis.sie.sony.com.edgekey.net, e9476.b.akamaiedge.net",,,,,,,,,,
[x],lightbox-qa.spe.sony.com,52.149.215.200,"tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,"spelightboxqa-sony.msappproxy.net, cwap-nam1-runtime.routing.msappproxy.net, nam.proxy-3.appproxy.msidentity.com, www.tm.nam.proxy-3.appproxy.trafficmanager.net",,True,azure,,,,,,,
[x],link-lvb.account.sony.com,173.230.217.66,"dns1.p01.nsone.net, hostmaster.nsone.net, dns1.p05.nsone.net, n.sonynei.net",NOERROR,,,,,,,,,,,
[x],link.account.sony.com,"95.101.74.142, 95.101.74.156","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"wildcard.account.sony.com.edgekey.net, e182389.dscb.akamaiedge.net",,,,,,,,"2a02:26f0:c900:9::5f65:4a9c, 2a02:26f0:c900:9::5f65:4a8e",,
[x],link.e1-np.account.sony.com,"184.86.103.153, 184.86.103.145","n0api8.akamaiedge.net, hostmaster.akamai.com",NOERROR,"wildcard2.e1-np.account.sony.com.edgekey.net, e116497.api8.akamaiedge.net",,,,,,,,,,
[x],link.e1-spint.account.sony.com,"23.38.98.182, 23.38.98.133","n0api8.akamaiedge.net, hostmaster.akamai.com",NOERROR,"wildcard2.e1-spint.account.sony.com.edgekey.net, e123391.api8.akamaiedge.net",,,,,,,,,,
[x],link.sp-int.account.sony.com,"95.101.74.153, 95.101.74.143","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"wildcard.sp-int.account.sony.com.edgekey.net, e189194.b.akamaiedge.net",,,,,,,,,,
[x],lockit-dev.snei.sony.com,"162.49.101.218, 162.49.101.243","ns-995.awsdns-60.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],lockit.snei.sony.com,"162.49.101.175, 162.49.101.150","ns-995.awsdns-60.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],login-preview.spe.sony.com,"76.223.106.183, 13.248.236.251","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,"spe.customdomains.oktapreview.com, op1-custom-crtrs.oktapreview.com, op1-custom-crtrs.oktaedge.oktapreview.com, a9dcaea81ce6d4aa6.awsglobalaccelerator.com",,,,,,,,,,
[x],login.spe.sony.com,"3.33.152.248, 15.197.151.86","ns-609.awsdns-12.net, awsdns-hostmaster.amazon.com",NOERROR,"spe.customdomains.okta.com, ok7-custom-crtrs.okta.com, ok7-custom-crtrs.oktaedge.okta.com, a9d4dea8e2661b2ed.awsglobalaccelerator.com",,,,,,,,,,
[x],loyalty-sola.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],ls15se01.ls15.ap.sony.com,,"a1-189.akam.net, rns.adm.ap.sony.com",NOERROR,,,,,,,,,,,
[x],ltip-ca.account.sony.com,"2.17.100.139, 2.17.100.235","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,"wildcard.account.sony.com.edgekey.net, e182389.dscb.akamaiedge.net",,,,,,,,"2a02:26f0:7100::210:170, 2a02:26f0:7100::210:182",,
[x],lu.ebookstore.sony.com,173.230.217.142,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,v=spf1 a mx include:elabs10.com -all,,,,,,
[x],lv-cppm-ext.wws.sony.com,160.33.170.15,"swlext-ibsn-c01n01.infra.sie.sony.com, root.scea.com",NOERROR,,,,,,,,,,,
[x],lvsnp-cdn1-alias12.smss.sony.com,216.115.82.10,"ns1.sonynei.net, uniadmin.sonynei.net.smss.sony.com",NOERROR,,,,,,,,,,,
[x],lync2013dp.ls15.ap.sony.com,,"a1-189.akam.net, rns.adm.ap.sony.com",NOERROR,,,,,,,,,,,
[x],lync2013pooldrwebservices.ls15.ap.sony.com,121.100.36.29,"a1-189.akam.net, rns.adm.ap.sony.com",NOERROR,,,,,,,,,2400:3c00:0:250::29,,
[x],lync2013poolwebservices.ls15.ap.sony.com,,"a1-189.akam.net, rns.adm.ap.sony.com",NOERROR,,,,,,,,,2400:3c00:0:250::29,,
[x],lyncdiscover.am.sony.com,52.112.192.14,"admin.nsatc.net, dns.level3.net",NOERROR,webdir.online.lync.com,,,,,,,,2603:1027:0:2::e,,
[x],lyncdiscover.sm.sony.com,52.112.193.16,"admin.nsatc.net, dns.level3.net",NOERROR,webdir.online.lync.com,"eu-a.prod1.footprint.net, eu-b.prod1.footprint.net",,,,,,,2603:1027:0:48::21,,
[x],lyncdiscover.sony.com,52.112.192.14,"admin.nsatc.net, dns.level3.net",NOERROR,webdir.online.lync.com,,,,,,,,2603:1027:0:48::21,,
[x],lyncdiscover.spe.sony.com,52.112.196.45,"admin.nsatc.net, dns.level3.net",NOERROR,Webdir.online.lync.com,,,,,,,,2603:1027:0:48::21,,
[x],m.email.pro.sony.com,66.117.16.17,"ns-1439.awsdns-51.org, awsdns-hostmaster.amazon.com",NOERROR,"sonyprofessionalsolutions-m.neolane.net, webproxy1-ukb1.neolane.net",,,,,,,,,,
[x],m.info.pro.sony.com,23.3.118.220,"n0dsca.akamaiedge.net, hostmaster.akamai.com",NOERROR,"pro.sony.edgekey.net, e14388.dsca.akamaiedge.net",,,,,,,,"2600:1408:7400:3b0::3834, 2600:1408:7400:3a5::3834",,
[x],m4.playstation.sony.com,69.36.128.4,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,"pdns1.cscdns.net, pdns2.cscdns.net",,,,,,,,,
[x],mag.spe.sony.com,160.33.196.71,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],magic-dev.spe.sony.com,,,NOERROR,,,,,,,,,,,
[x],mail.dealer.sel.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,sel-sony-com.mail.protection.outlook.com,,,
[x],mail.ls15.ap.sony.com,,"a1-189.akam.net, rns.adm.ap.sony.com",NOERROR,,,,,,,,,2400:3c00:0:250::29,,
[x],mail.mail01.readerstore.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mail.mail02.readerstore.sony.com,74.116.7.62,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mail.me.sony.com,104.119.80.96,"ns-1504.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,"ns-74.awsdns-09.com, ns-1879.awsdns-42.co.uk, ns-854.awsdns-42.net, ns-1504.awsdns-60.org",,,v=spf1 include:simplelists.com -all,,,"mx1.simplelists.com, mx2.simplelists.com",,,
[x],mail.response.readerstore.sony.com,74.116.7.63,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mail.smss.sony.com,64.37.183.175,"ns1.sonynei.net, uniadmin.sonynei.net.smss.sony.com",NOERROR,,,,,,,,,,,
[x],mail.snei.sony.com,64.37.183.175,"ns-995.awsdns-60.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],mail.spe.sony.com,,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],mail01.readerstore.sony.com,74.116.7.61,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,"spf2.0/pra ip4:74.116.4.0/22 a mx -all, v=spf1 ip4:74.116.4.0/22 a mx -all",,,mail.mail01.readerstore.sony.com,,,
[x],mail02.readerstore.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mail1.fw-bc.sony.com,,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,,,,,,,
[x],mail1.fw-sd.sony.com,160.33.66.68,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,,,,,,,
[x],mail1.mail.store.sony.com,160.33.128.199,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mail1.qa.mail.store.sony.com,160.33.128.207,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mail10.qa.mail.store.sony.com,160.33.177.144,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mail11.mail.store.sony.com,160.33.177.139,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mail13.mail.store.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mail14.mail.store.sony.com,160.33.177.142,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mail15.mail.store.sony.com,160.33.177.143,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,"pdns1.cscdns.net, pdns2.cscdns.net",,,,,,,,,
[x],mail16.mail.store.sony.com,,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mail2.eu.sony.com,195.212.15.182,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mail2.fw-bc.sony.com,,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,,,,,,,
[x],mail2.fw-sd.sony.com,160.33.66.69,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,v=spf1 a -all,,,mail2.fw-sd.sony.com,,,
[x],mail2.fw-sj.sony.com,160.33.66.69,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,,,,,,,
[x],mail2.mail.store.sony.com,160.33.128.200,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mail2.qa.mail.store.sony.com,160.33.128.208,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mail3.eu.sony.com,195.212.15.183,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mail3.mail.store.sony.com,160.33.128.201,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mail3.qa.mail.store.sony.com,160.33.128.209,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mail4.fw-bc.sony.com,,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,v=spf1 -all,,,"mail1.fw-sd.sony.com, mail1.fw-bc.sony.com",,,
[x],mail4.mail.store.sony.com,160.33.128.202,"pdns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
[x],mail5.fw-bc.sony.com,,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,v=spf1 -all,,,"mail1.fw-bc.sony.com, mail1.fw-sd.sony.com",,,
[x],mail6.fw-bc.sony.com,,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,,,,"mail1.fw-sd.sony.com, mail1.fw-bc.sony.com",,,
[x],mail7.fw-bc.sony.com,160.33.98.74,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,v=spf1 a -all,,,mail1.fw-bc.sony.com,,,
[x],mail7.fw-sd.sony.com,160.33.66.74,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,v=spf1 a -all,,,mail2.fw-sd.sony.com,,,
[x],mail7.fw-sj.sony.com,,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,v=spf1 a -all,,,,,,
[x],mail8.fw-bc.sony.com,160.33.98.75,"ns23.sony.com, hostmaster.sony.com",NOERROR,,,,,v=spf1 a -all,,,mail1.fw-bc.sony.com,,,
[x],mcg.spe.sony.com,208.84.227.120,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],mcgt.spe.sony.com,208.84.227.26,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,,,,,,,,,,,
[x],mcm-ext-dev.mc.spe.sony.com,"10.1.137.168, 10.1.136.114","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,internal-mcm-ext-dev-internal-1518431624.eu-west-1.elb.amazonaws.com,,,,,True,"10.1.137.168, 10.1.136.114",,,,
[x],mcm-ext.mc.spe.sony.com,"54.171.138.190, 52.49.53.87","ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,mcm-ext-public-529569456.eu-west-1.elb.amazonaws.com,,,,,,,,,,
[x],mcm.spe.sony.com,173.251.241.56,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,ssoext.spe.sony.com,,,,,,,,,,
[x],mcmext.spe.sony.com,173.251.241.56,"udns1.ultradns.net, gns.spe.sony.com",NOERROR,ssoext.spe.sony.com,,,,,,,,,,
