new,host,a,soa,status_code,cname,has_internal_ips,internal_ips,ns,cdn,cdn-name,aaaa,txt,caa,mx
[x],accconnect.standard.com,198.182.194.193,"ipamext1.standard.com, wired.standard.com",NOERROR,accportalweb.standard.com,,,,,,,,,
[x],account.standard.com,198.182.194.153,"ipamext1.standard.com, wired.standard.com",NOERROR,www3.standard.com,,,,,,,,,
[x],accountacc.standard.com,198.182.194.193,"ipamext1.standard.com, wired.standard.com",NOERROR,accportalweb.standard.com,,,,,,,,,
[x],accportal-emp.standard.com,"23.247.187.38, 198.182.194.39, 198.182.191.39","ipamext1.standard.com, wired.standard.com",NOERROR,,,,"stdnsdfw1.standard.com, stdname4.standard.com, ns4.p14.dynect.net, ns1.p14.dynect.net, ns3.p14.dynect.net, ns2.p14.dynect.net",,,,,,
[x],accportalweb.standard.com,198.182.194.193,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],acpacc.standard.com,198.182.194.9,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],agility.standard.com,"85.222.140.6, 85.222.140.13, 85.222.140.11","dns1.p02.nsone.net, hostmaster.nsone.net",NOERROR,"agility.standard.com.00du0000000hjfkmag.live.siteforce.com, 1p.edge2.salesforce.com, europe.edge2.salesforce.com, fra.edge2.salesforce.com",,,,,,,,,
[x],api.dcx.standard.com,20.237.181.110,"tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,dcx-traffic-manager-prod.trafficmanager.net,,,,,,,,,
[x],api.edp.standard.com,20.237.160.54,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],api.pas.standard.com,20.237.225.61,"ns1-02.azure-dns.com, msnhst.microsoft.com",NOERROR,"pas-traffic-manager-prod.trafficmanager.net, pas-prod.westus.cloudapp.azure.com",,,,,,,,,
[x],api.snowaas.standard.com,168.62.20.189,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,True,azure,,,,
[x],apigwprod.standard.com,,,NOERROR,,,,,,,,,,
[x],asbca.standard.com,198.182.194.77,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],autodiscover.standard.com,198.182.194.46,"ipamext1.standard.com, wired.standard.com",NOERROR,o365.standard.com,,,,,,,,,
[x],cat-v3.prod.eb.standard.com,20.252.78.112,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],cex-v3.prod.eb.standard.com,20.80.156.175,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],citrix-nonprod.standard.com,198.182.194.118,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
[x],citrix.standard.com,"198.182.194.119, 198.182.194.39, 198.182.191.39","ipamext1.standard.com, wired.standard.com",NOERROR,,,,"ns2.p14.dynect.net, stdname4.standard.com, stdnsdfw1.standard.com, ns1.p14.dynect.net, ns3.p14.dynect.net, ns4.p14.dynect.net",,,,,,
[x],claim-staging.standard.com,52.149.63.24,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,True,azure,,,,
[x],claim.standard.com,20.80.156.175,"ipamext1.standard.com, wired.standard.com",NOERROR,,,,,,,,,,
