new,host,a,soa,ns,status_code,mx,cname,aaaa,cdn,cdn-name,txt,has_internal_ips,internal_ips,caa
,app.blau.de,20.157.111.230,"ns-1411.awsdns-48.org, awsdns-hostmaster.amazon.com","ns-1411.awsdns-48.org, ns-1682.awsdns-18.co.uk, ns-431.awsdns-53.com, ns-935.awsdns-52.net",NOERROR,,"web-blaude.mytelco.io, prd-o2de-northeurope06.mytelco.io",,,,,,,
,app.digitalphone.o2business.de,109.68.97.195,"a.myradns.net, technik.nfon.net",,NOERROR,,digitalphone.uc.cloud-cfg.com,,,,,,,
,app.nettokom.de,148.251.154.118,"dns1.cscdns.net, hostmaster.cscdns.net",,NOERROR,,,,,,,,,
,app.netzclub.net,87.79.3.108,"ns1.o2online.de, domain-de.o2.com",,NOERROR,"aspmx.l.google.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, mailer40.netzclub.net, aspmx3.googlemail.com, aspmx2.googlemail.com",,,,,,,,
,app.news.o2business.de,192.29.202.175,"ns1.p201.dns.oraclecloud.net, hostmaster.t.en25.com",,NOERROR,,"s1981894.t.en25.com, p06c.t.en25.com",,True,oracle,,,,
,applications.netzclub.net,87.79.3.108,"ns1.o2online.de, domain-de.o2.com",,NOERROR,"alt2.aspmx.l.google.com, aspmx.l.google.com, aspmx2.googlemail.com, mailer40.netzclub.net, aspmx3.googlemail.com, alt1.aspmx.l.google.com",,,,,,,,
,apps-dev.telefonica.de,127.0.0.1,"ns.mediaways.net, hostmaster.telefonica.de",,NOERROR,,,,,,,True,127.0.0.1,
,apps-dl.telefonica.de,"18.173.233.64, 18.173.233.5, 18.173.233.102, 18.173.233.62","ns-360.awsdns-45.com, awsdns-hostmaster.amazon.com","ns-360.awsdns-45.com, ns-635.awsdns-15.net, ns-1131.awsdns-13.org, ns-1571.awsdns-04.co.uk",NOERROR,,d1rtfx069bncsk.cloudfront.net,"2600:9000:2440:ae00:1e:486b:e100:93a1, 2600:9000:2440:6600:1e:486b:e100:93a1, 2600:9000:2440:a600:1e:486b:e100:93a1, 2600:9000:2440:c000:1e:486b:e100:93a1, 2600:9000:2440:2a00:1e:486b:e100:93a1, 2600:9000:2440:3600:1e:486b:e100:93a1, 2600:9000:2440:e00:1e:486b:e100:93a1, 2600:9000:2440:5200:1e:486b:e100:93a1",True,cloudfront,,,,
,apps-e2e1.o2online.de,82.113.101.237,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,apps.alditalk-kundenbetreuung.de,82.113.101.187,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,apps-to.o2online.de,,,,,,,
,apps.blau.de,,"anycast.regdns1.de, hostmaster.internetwire.de",,NOERROR,,,,,,,,,
,apps.nettokom.de,82.113.101.187,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,apps-to.o2online.de,,,,,,,
,apps.netzclub.net,87.79.3.108,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,,,,,,,,
,apps.ortelmobile.de,82.113.101.187,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,apps-to.o2online.de,,,,,,,
,apps.telefonica.de,82.113.101.252,"ns.mediaways.net, hostmaster.telefonica.de",,NOERROR,,,,,,,,,
,apps.whatsappsim.de,82.113.101.187,"ns1.o2online.de, domain-de.o2.com",,NOERROR,,apps-to.o2online.de,,,,,,,
