new,host,a,soa,status_code,ns,cdn,cdn-name,cname,has_internal_ips,internal_ips,aaaa,caa,mx,txt
[x],205-185-200-71.wp.highwinds.com,205.185.200.71,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,"ns49v7.stackpathdns.net, nsx43t.stackpathdns.net",,,,,,,,,
[x],205-185-200-72.wp.highwinds.com,205.185.200.72,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-73.wp.highwinds.com,205.185.200.73,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,"ns49v7.stackpathdns.net, nsx43t.stackpathdns.net",,,,,,,,,
[x],205-185-200-74.wp.highwinds.com,205.185.200.74,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-75.wp.highwinds.com,205.185.200.75,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-76.wp.highwinds.com,205.185.200.76,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-77.wp.highwinds.com,205.185.200.77,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-79.wp.highwinds.com,205.185.200.79,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-8.wp.highwinds.com,205.185.200.8,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-80.wp.highwinds.com,205.185.200.80,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-81.wp.highwinds.com,205.185.200.81,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-82.wp.highwinds.com,205.185.200.82,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-83.wp.highwinds.com,205.185.200.83,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-84.wp.highwinds.com,205.185.200.84,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-85.wp.highwinds.com,205.185.200.85,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-86.wp.highwinds.com,205.185.200.86,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-87.wp.highwinds.com,205.185.200.87,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-88.wp.highwinds.com,205.185.200.88,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,"ns49v7.stackpathdns.net, nsx43t.stackpathdns.net",,,,,,,,,
[x],205-185-200-89.wp.highwinds.com,205.185.200.89,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-9.wp.highwinds.com,205.185.200.9,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,"ns49v7.stackpathdns.net, nsx43t.stackpathdns.net",,,,,,,,,
[x],205-185-200-90.wp.highwinds.com,205.185.200.90,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-91.wp.highwinds.com,205.185.200.91,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
[x],205-185-200-92.wp.highwinds.com,205.185.200.92,"ns49v7.stackpathdns.net, dnsadmin.stackpath.com",NOERROR,,,,,,,,,,
