new,host,cname,soa,status_code,a,aaaa,txt,cdn,cdn-name,ns,mx
[x],surveymonkey.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"13.225.78.72, 13.225.78.80, 13.225.78.117, 13.225.78.45",,,True,cloudfront,,
[x],tech.trello.com,,"ns-1442.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,"18.165.98.117, 18.165.98.22, 18.165.98.96, 18.165.98.108",,,True,cloudfront,,
[x],temp-test-aklf390785sjfkl.trello.com,,"ns-1442.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,"34.198.36.182, 34.194.54.59",,,,,,
[x],timezone.trello.com,,"ns-1442.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,v=spf1 -all,,,,
[x],tor11-25-owa.dev.trello.services,serviceslb2.dev.trello.systems,,NOERROR,,,,,,,
[x],trello.com,,"ns-1442.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,"104.192.142.11, 104.192.142.9, 104.192.142.10",,"atlassian-domain-verification=ZRphniOpyvhHV76mRmxnLkHJVrKnbeOIxmhbxb8PF6AarX0FypthxYB/r5XpVC2E, facebook-domain-verification=5g7n6qixu6oqonzuw4igcyn2fd52yi, google-site-verification=FU5bXYeCAZIM4NiwVt_Ab56LHi3NlEB3iToa7IWYm4w, google-site-verification=UqQbR3bkx0DW0mTjn4zpy-pFaTOtklFFLgVJPLpWBfg, google-site-verification=iO5wCIopiukjh2t3UyhtM8Xhoa_csuD8ZqaaBqsD2ho, google-site-verification=lFRc2QYcvrD1x-JP-sbqyEHEVFTzLiYr_s5TMwqDPGE, mailru-verification: 26cd15930108c82c, slack-domain-verification=IQyaWt1Bt2nVwCvOsgj2ObAap344ynM5bV6C8zlZ, v=spf1 include:_spf.google.com include:_spf.salesforce.com include:spemail.trello.com include:mktomail.com include:cust-spf.exacttarget.com -all",,,"ns-1442.awsdns-52.org, ns-2013.awsdns-59.co.uk, ns-402.awsdns-50.com, ns-722.awsdns-26.net","mxa-001d9801.gslb.pphosted.com, mxb-001d9801.gslb.pphosted.com"
[x],trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,,,"google-site-verification=F4YBt_-ZxNcgO9_pVPq1xG8tNNQXxBhsvMFx8u8hsK8, 396cpwgwdz0bvc50f7z60ps7zym15m9g, google-site-verification=66A-qduxobRGh_Oy58jblKpn7MkzpQsmAk2U0-f1hxc",,,"ns-1539.awsdns-00.co.uk, ns-710.awsdns-24.net, ns-117.awsdns-14.com, ns-1267.awsdns-30.org","alt2.aspmx.l.google.com, aspmx2.googlemail.com, aspmx3.googlemail.com, aspmx.l.google.com, alt1.aspmx.l.google.com"
[x],twitter.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"18.66.233.64, 18.66.233.116, 18.66.233.84, 18.66.233.126",,,True,cloudfront,,
[x],voting.staging.trello.services,,"ns-117.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,"52.222.139.110, 52.222.139.25, 52.222.139.102, 52.222.139.72",,,True,cloudfront,,
[x],w.trello.com,,"ns-1442.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],www.api-gateway.trello.com,,"ns-1442.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,,,v=spf1 -all,,,,
[x],www.trello.com,trello.com,"ns-1442.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,"185.166.143.26, 185.166.143.24, 185.166.143.25",,"v=spf1 include:_spf.google.com include:_spf.salesforce.com include:spemail.trello.com include:mktomail.com include:cust-spf.exacttarget.com -all, atlassian-domain-verification=ZRphniOpyvhHV76mRmxnLkHJVrKnbeOIxmhbxb8PF6AarX0FypthxYB/r5XpVC2E, facebook-domain-verification=5g7n6qixu6oqonzuw4igcyn2fd52yi, google-site-verification=FU5bXYeCAZIM4NiwVt_Ab56LHi3NlEB3iToa7IWYm4w, google-site-verification=UqQbR3bkx0DW0mTjn4zpy-pFaTOtklFFLgVJPLpWBfg, google-site-verification=iO5wCIopiukjh2t3UyhtM8Xhoa_csuD8ZqaaBqsD2ho, google-site-verification=lFRc2QYcvrD1x-JP-sbqyEHEVFTzLiYr_s5TMwqDPGE, mailru-verification: 26cd15930108c82c, slack-domain-verification=IQyaWt1Bt2nVwCvOsgj2ObAap344ynM5bV6C8zlZ",,,"ns-722.awsdns-26.net, ns-1442.awsdns-52.org, ns-2013.awsdns-59.co.uk, ns-402.awsdns-50.com","mxb-001d9801.gslb.pphosted.com, mxa-001d9801.gslb.pphosted.com"
[x],x.trello.com,,"ns-1442.awsdns-52.org, awsdns-hostmaster.amazon.com",NOERROR,"52.23.149.18, 52.21.187.94, 34.198.36.182, 52.201.199.7, 52.201.196.202, 52.6.153.70, 34.197.168.198, 52.0.119.41, 34.194.54.59, 52.23.63.67, 52.7.7.177, 52.201.193.183, 52.4.224.254, 52.71.5.176, 52.70.217.50, 34.198.52.186",,,,,,
