input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,final_url,tls_mismatched,csp_domains_,tls_expired
cdn-usa.skypixel.com,,403,285,cdn-usa.skypixel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T08:01:52Z,2024-04-18T03:33:03Z,CN=*.skypixel.com,*.skypixel.com,skypixel.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",68bb73a54490fb1ead9d018262a70b52,9ac13a6c544c3a88d98efef797563a5a4c72589f866bb4825fa2387a2e7f9d46,True,ctls,cdn-usa.skypixel.com,,443,https://cdn-usa.skypixel.com:443,https,Tengine,application/xml,GET,79.133.177.232,/,900476047,79.133.177.225,Tengine,9,False,,,,,
cdn.djivideos.com,视频中心-管理后台,200,722,cdn.djivideos.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T07:13:14Z,2024-04-11T12:33:32Z,CN=*.djivideos.com,*.djivideos.com,djivideos.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",bafb806982940be9e9a61e830f1f404a,46504b2459679749835b32ba04f7eedbb27c05c392286d3ee75708b42cd76486,True,ctls,cdn.djivideos.com,,443,https://cdn.djivideos.com:443,https,Tengine,text/html,GET,163.181.92.231,/,-877102171,163.181.92.229,Tengine,1,False,,,,,
cms2.skypixel.com,,403,124,cms2.skypixel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T08:01:52Z,2024-04-18T03:33:03Z,CN=*.skypixel.com,*.skypixel.com,skypixel.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",68bb73a54490fb1ead9d018262a70b52,9ac13a6c544c3a88d98efef797563a5a4c72589f866bb4825fa2387a2e7f9d46,True,ctls,cms2.skypixel.com,,443,https://cms2.skypixel.com:443,https,Tengine,application/json,GET,114.80.179.172,/,-1980727716,114.80.179.213,Tengine,2,False,,,,vip.aasky.net,
cn-ag2.dji.com,,200,1208,agms.dji.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-07-05T02:32:39Z,2023-08-06T02:32:39Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d1be93d98639e515c171234b19bc076c,f8c21a50cb30a5b8641fafdcbbb9219f5a52f7222900b9de7d804857ac7e4aa9,True,ctls,agms.dji.com,,443,https://cn-ag2.dji.com:443,https,Tengine,text/html,GET,114.55.105.185,/,-88258409,114.55.105.185,Tengine,5,False,,https://agms.dji.com/,,,
cn-test-sp.skypixel.com,,403,124,cn-test-sp.skypixel.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-20T08:01:52Z,2024-04-18T03:33:03Z,CN=*.skypixel.com,*.skypixel.com,skypixel.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",68bb73a54490fb1ead9d018262a70b52,9ac13a6c544c3a88d98efef797563a5a4c72589f866bb4825fa2387a2e7f9d46,True,ctls,cn-test-sp.skypixel.com,,443,https://cn-test-sp.skypixel.com:443,https,,application/json,GET,101.37.224.44,/,1168833763,101.37.224.44,,2,False,,,,,
cn-videos.dji.net,,403,288,cn-videos.dji.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-13T07:12:10Z,2024-04-11T11:31:29Z,CN=*.dji.net,*.dji.net,dji.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",eb3da33bc2fa1882cac8ba42c8978339,29eb109b158db4383090716f414321b1b42ee785faac8df0cf70b7b4373cdaf8,True,ctls,cn-videos.dji.net,,443,https://cn-videos.dji.net:443,https,Tengine,application/xml,GET,101.226.27.240,/,-1163320699,101.226.27.239,Tengine,9,False,,,,,
cnblog.skypixel.com,天空之城™ 官方博客 | http://www.skypixel.com/,200,29956,cnblog.skypixel.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-20T08:01:52Z,2024-04-18T03:33:03Z,CN=*.skypixel.com,*.skypixel.com,skypixel.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",68bb73a54490fb1ead9d018262a70b52,9ac13a6c544c3a88d98efef797563a5a4c72589f866bb4825fa2387a2e7f9d46,True,ctls,cnblog.skypixel.com,,443,https://cnblog.skypixel.com:443,https,Tengine,text/html,GET,114.80.179.242,/,1494302000,114.80.179.231,WordPress:5.0.18,666,False,,,,https://csp.djicdn.com/_/http-sec-report,
college.djicdn.com,,403,307,college.djicdn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,True,ctls,college.djicdn.com,,443,https://college.djicdn.com:443,https,Tengine,application/xml,GET,79.133.177.227,/,470757667,79.133.177.229,Tengine,9,False,,,,,
content.dji.com,DJI - Offizielle Webseite,200,160693,www.dji.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-25T23:59:59Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4ba91535bae08aa746304fa3b8946f51,444ccf93c418f3d68c1379e0b3dfb70016bec5b8c7abeaf378176b1bbcf79a94,True,ctls,www.dji.com,cloudfront,443,https://content.dji.com:443,https,openresty,text/html,GET,108.138.7.94,/,747251600,2600:9000:2490:5600:a:ebf4:e240:93a1,OpenResty,288,False,True,https://www.dji.com/de/mobile,,https://*.dji.com,
content.djiservice.org,,404,314,content.djiservice.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T07:10:35Z,2024-04-11T09:30:44Z,CN=*.djiservice.org,*.djiservice.org,djiservice.org,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b3a6069df7899dc95e425d39fc1a0884,de5bf98ffa8f635012f90ab2c7658fd53baab737369429f4d8db79ac9781ad24,True,ctls,content.djiservice.org,,443,https://content.djiservice.org:443,https,Tengine,application/xml,GET,79.133.177.228,/,-342272319,163.181.92.230,Tengine,10,False,,,,test-app-h5.dbeta.me,
crm-robot.djicdn.com,,403,243,crm-robot.djicdn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,True,ctls,crm-robot.djicdn.com,,443,https://crm-robot.djicdn.com:443,https,Tengine,application/xml,GET,101.226.27.237,/,1313703439,101.226.27.238,Tengine,2,False,,,,,
csp.djicdn.com,,200,,csp.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,True,ctls,csp.djicdn.com,cloudfront,443,https://csp.djicdn.com:443,https,openresty,application/json,GET,108.138.17.11,/,-1840324437,2600:9000:2491:fa00:1c:e4e3:bac0:93a1,OpenResty,1,False,True,,,,
design.dji.com,DJI 大疆设计 | DJI Design,200,1327,design.dji.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-05T02:32:39Z,2023-08-06T02:32:39Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d1be93d98639e515c171234b19bc076c,f8c21a50cb30a5b8641fafdcbbb9219f5a52f7222900b9de7d804857ac7e4aa9,True,ctls,design.dji.com,,443,https://design.dji.com:443,https,Tengine,text/html,GET,101.226.27.237,/,700799878,101.226.27.236,Tengine,1,False,,,,,
dev-relay-service.djicdn.com,,404,,dev-relay-service.djicdn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,True,ctls,dev-relay-service.djicdn.com,,443,https://dev-relay-service.djicdn.com:443,https,Kaede/3.5.3.804 (sz001f0tp),application/oct-stream,GET,47.107.24.44,/,-1840324437,47.107.24.44,,1,False,,,,,
dev1.djicdn.com,,403,261,dev1.djicdn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,True,ctls,dev1.djicdn.com,,443,https://dev1.djicdn.com:443,https,Tengine,application/xml,GET,101.226.28.148,/,-269056153,101.226.28.183,Tengine,9,False,,,,,
devcn.djicdn.com,,403,262,devcn.djicdn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,True,ctls,devcn.djicdn.com,,443,https://devcn.djicdn.com:443,https,Tengine,application/xml,GET,163.181.92.229,/,-212539350,163.181.92.225,Tengine,9,False,,,,,
developer.dji.com,DJI Developer,200,24103,developer.dji.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-07-05T02:32:39Z,2023-08-06T02:32:39Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",d1be93d98639e515c171234b19bc076c,f8c21a50cb30a5b8641fafdcbbb9219f5a52f7222900b9de7d804857ac7e4aa9,True,ctls,developer.dji.com,,443,https://developer.dji.com:443,https,Tengine,text/html,GET,79.133.177.230,/,37401266,163.181.92.231,Vue.js,29,False,,,,,
devusa.djicdn.com,,403,263,devusa.djicdn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,True,ctls,devusa.djicdn.com,,443,https://devusa.djicdn.com:443,https,Tengine,application/xml,GET,163.181.92.229,/,-885537976,163.181.92.231,Tengine,9,False,,,,,
dict.djiservice.org,,200,9,dict.djiservice.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T07:10:35Z,2024-04-11T09:30:44Z,CN=*.djiservice.org,*.djiservice.org,djiservice.org,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b3a6069df7899dc95e425d39fc1a0884,de5bf98ffa8f635012f90ab2c7658fd53baab737369429f4d8db79ac9781ad24,True,ctls,dict.djiservice.org,,80,http://dict.djiservice.org:80,http,Tengine,text/plain,GET,163.181.56.172,/,116323821,163.181.56.168,Tengine,1,False,,https://dict.djiservice.org/,,,
dji-official-fe.djicdn.com,,403,243,dji-official-fe.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,True,ctls,dji-official-fe.djicdn.com,cloudfront,443,https://dji-official-fe.djicdn.com:443,https,AmazonS3,application/xml,GET,13.32.121.47,/,-2085756480,13.32.121.126,Amazon Web Services,2,False,True,,,,
dji.com,DJI - Offizielle Webseite,200,215390,www.dji.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-25T23:59:59Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4ba91535bae08aa746304fa3b8946f51,444ccf93c418f3d68c1379e0b3dfb70016bec5b8c7abeaf378176b1bbcf79a94,True,ctls,www.dji.com,cloudfront,443,https://dji.com:443,https,openresty,text/html,GET,18.66.97.19,/,700799878,18.66.97.100,OpenResty,356,False,True,https://www.dji.com/de,,http://*.dji.com,
dji.net,DJI - Offizielle Webseite,200,160693,www.dji.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-25T23:59:59Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4ba91535bae08aa746304fa3b8946f51,444ccf93c418f3d68c1379e0b3dfb70016bec5b8c7abeaf378176b1bbcf79a94,True,ctls,www.dji.com,cloudfront,80,http://dji.net:80,http,openresty,text/html,GET,108.138.17.8,/,747251600,108.138.17.53,OpenResty,288,False,True,https://www.dji.com/de/mobile,,https://*.dji.com,
djigo-hk.djiservice.org,,500,392,djigo-hk.djiservice.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T07:10:35Z,2024-04-11T09:30:44Z,CN=*.djiservice.org,*.djiservice.org,djiservice.org,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b3a6069df7899dc95e425d39fc1a0884,de5bf98ffa8f635012f90ab2c7658fd53baab737369429f4d8db79ac9781ad24,True,ctls,djigo-hk.djiservice.org,,443,https://djigo-hk.djiservice.org:443,https,,application/json,GET,52.200.198.244,/,-1191296339,44.213.18.249,,1,False,,,,,
djigo-hk2.djiservice.org,,404,58,djigo-hk2.djiservice.org,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-13T07:10:35Z,2024-04-11T09:30:44Z,CN=*.djiservice.org,*.djiservice.org,djiservice.org,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",b3a6069df7899dc95e425d39fc1a0884,de5bf98ffa8f635012f90ab2c7658fd53baab737369429f4d8db79ac9781ad24,True,ctls,djigo-hk2.djiservice.org,,443,https://djigo-hk2.djiservice.org:443,https,,application/json,GET,47.91.161.236,/,-1644060773,47.91.161.236,,2,False,,,,,
djigo.djicdn.com,,403,243,djigo.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,True,ctls,djigo.djicdn.com,cloudfront,443,https://djigo.djicdn.com:443,https,AmazonS3,application/xml,GET,65.9.95.98,/,-1296045748,65.9.95.99,Amazon Web Services,2,False,True,,,,
djigoaftersale.djiservice.org,,404,58,djigoaftersale.djiservice.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-24T23:59:59Z,CN=*.djiservice.org,*.djiservice.org,djiservice.org,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,edcba1029411fde8c7803b678c35c330,25e36359e992e704d67f7d71d95e621d70e00c16d16fd3857819d5503688a4ae,True,ctls,djigoaftersale.djiservice.org,cloudfront,443,https://djigoaftersale.djiservice.org:443,https,nw,application/json,GET,18.66.112.115,/,-1644060773,2600:9000:223f:da00:14:c0cf:d900:93a1,Amazon Web Services,2,False,True,,,,
djigofaq.djiservice.org,,404,58,djigofaq.djiservice.org,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2024-01-24T23:59:59Z,CN=*.djiservice.org,*.djiservice.org,djiservice.org,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,edcba1029411fde8c7803b678c35c330,25e36359e992e704d67f7d71d95e621d70e00c16d16fd3857819d5503688a4ae,True,ctls,djigofaq.djiservice.org,cloudfront,443,https://djigofaq.djiservice.org:443,https,nw,application/json,GET,18.66.112.115,/,-1644060773,2600:9000:223f:5000:14:c0cf:d900:93a1,Amazon Web Services,2,False,True,,,,
dl.djicdn.com,,200,99,dl.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,True,ctls,dl.djicdn.com,cloudfront,443,https://dl.djicdn.com:443,https,AmazonS3,text/html,GET,18.66.112.71,/,1650599915,18.66.112.30,Amazon Web Services,6,False,True,,,,
docs.djicdn.com,,403,263,docs.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,True,ctls,docs.djicdn.com,cloudfront,443,https://docs.djicdn.com:443,https,AmazonS3,application/xml,GET,13.32.99.87,/,-1380122141,2600:9000:2251:5400:13:9bb:1ac0:93a1,Amazon Web Services,2,False,True,,,,
dofs-api-vg.dji.com,,404,58,dofs-api-vg.dji.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-25T23:59:59Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4ba91535bae08aa746304fa3b8946f51,444ccf93c418f3d68c1379e0b3dfb70016bec5b8c7abeaf378176b1bbcf79a94,True,ctls,dofs-api-vg.dji.com,cloudfront,443,https://dofs-api-vg.dji.com:443,https,nw,application/json,GET,18.66.112.47,/,1310025925,2600:9000:223f:7400:19:d9f:3180:93a1,Amazon Web Services,2,False,True,,,,
edm.djicdn.com,,403,255,edm.djicdn.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-05T23:59:59Z,CN=*.djicdn.com,*.djicdn.com,*.djicdn.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,dc0fb71801b38d4a43e1aeb71a79c294,e79d841ba2195c06a1dc22b1ecc94aaf5ad1b361937793709731d4209f09690c,True,ctls,edm.djicdn.com,cloudfront,443,https://edm.djicdn.com:443,https,AmazonS3,application/xml,GET,13.32.99.27,/,-557579683,2600:9000:2251:b000:f:e5ca:6200:93a1,Amazon Web Services,2,False,True,,,,
edu.dji.com,,200,5396,edu.dji.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-25T23:59:59Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4ba91535bae08aa746304fa3b8946f51,444ccf93c418f3d68c1379e0b3dfb70016bec5b8c7abeaf378176b1bbcf79a94,True,ctls,edu.dji.com,cloudfront,443,https://edu.dji.com:443,https,,text/html,GET,13.224.189.103,/,1732656564,2600:9000:20eb:4600:1f:1869:be00:93a1,HSTS,23,False,True,https://edu.dji.com/hub/,,,
email.mailer-store.dji.com,,404,19,email.mailer-store.dji.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-16T13:35:29Z,2023-06-14T13:35:28Z,CN=mailgun.org,mailgun.org,mailgun.org,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,3d169b9a2155b6a3cfa18c1af722bffd,882d45c195b586adc7ddf4167d555da0fce18b30968b745469c6655ad3a6fc34,,ctls,email.mailer-store.dji.com,google,443,https://email.mailer-store.dji.com:443,https,,text/plain,GET,34.110.180.34,/,-138391155,34.110.180.34,,2,False,True,,True,,
enterprise.dji.com,DJI Enterprise - Drone Solutions for Your Business - DJI,200,261265,enterprise.dji.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-25T23:59:59Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4ba91535bae08aa746304fa3b8946f51,444ccf93c418f3d68c1379e0b3dfb70016bec5b8c7abeaf378176b1bbcf79a94,True,ctls,enterprise.dji.com,cloudfront,443,https://enterprise.dji.com:443,https,openresty,text/html,GET,18.66.112.85,/,700799878,2600:9000:223f:5a00:15:4c11:ba00:93a1,OpenResty,92,False,True,https://enterprise.dji.com/de/mobile,,https://*.dji.com,
evaluation.djicdn.com,,403,296,evaluation.djicdn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,True,ctls,evaluation.djicdn.com,,443,https://evaluation.djicdn.com:443,https,Tengine,application/xml,GET,79.133.177.227,/,-1645031153,79.133.177.232,Tengine,9,False,,,,,
events.dji.com,Marketing-Kampagnen - DJI,200,176246,www.dji.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-25T23:59:59Z,CN=*.dji.com,*.dji.com,dji.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,4ba91535bae08aa746304fa3b8946f51,444ccf93c418f3d68c1379e0b3dfb70016bec5b8c7abeaf378176b1bbcf79a94,True,ctls,www.dji.com,cloudfront,443,https://events.dji.com:443,https,openresty,text/html,GET,108.138.17.52,/,-342272319,2600:9000:2491:be00:e:3fd3:a940:93a1,OpenResty,357,False,True,https://www.dji.com/de/event,,https://*.dji.com,
events1.djicdn.com,403 Forbidden,403,238,events1.djicdn.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-25T07:28:45Z,2024-02-23T07:24:42Z,CN=*.djicdn.com,*.djicdn.com,djicdn.com,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",aaf14168fccb5371aa5e6a47f3bb9432,98595f13d55b7d43f041f6b3a43a2fe83587ba44f4fbd994f9cd58842834dc97,True,ctls,events1.djicdn.com,,443,https://events1.djicdn.com:443,https,Tengine,text/html,GET,163.181.92.230,/,-352636538,163.181.92.229,Tengine,8,False,,,,,
