new,host,cname,soa,status_code,a,cdn,cdn-name,ns,txt,aaaa,caa,mx,has_internal_ips,internal_ips,ptr
[x],update.mackeeper.com,dq5utysz3e7zu.cloudfront.net,"ns-1611.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"52.222.236.30, 52.222.236.34, 52.222.236.70, 52.222.236.87",True,cloudfront,"ns-335.awsdns-41.com, ns-824.awsdns-39.net, ns-1515.awsdns-61.org, ns-1611.awsdns-09.co.uk",,"2600:9000:223e:2200:11:52ab:be80:93a1, 2600:9000:223e:3c00:11:52ab:be80:93a1, 2600:9000:223e:4e00:11:52ab:be80:93a1, 2600:9000:223e:5e00:11:52ab:be80:93a1, 2600:9000:223e:a400:11:52ab:be80:93a1, 2600:9000:223e:b800:11:52ab:be80:93a1, 2600:9000:223e:ba00:11:52ab:be80:93a1, 2600:9000:223e:cc00:11:52ab:be80:93a1",,,,,
[x],updateav.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"18.65.39.36, 18.65.39.62, 18.65.39.33, 18.65.39.122",True,cloudfront,,,,,,,,
[x],updatetracker.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,,
[x],updatetracker.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"34.225.189.132, 34.237.44.201",,,,,,,,,,
[x],upload.dcs.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,35.168.201.95,,,"ns-1341.awsdns-39.org, ns-1916.awsdns-47.co.uk, ns-365.awsdns-45.com, ns-763.awsdns-31.net",,,,,,,
[x],vpn.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"213.160.140.158, 91.196.156.126",,,"ns-1341.awsdns-39.org, ns-1916.awsdns-47.co.uk, ns-365.awsdns-45.com, ns-763.awsdns-31.net",,,,,,,
[x],vpn.tz.clario.co,,"ns-1221.awsdns-24.org, awsdns-hostmaster.amazon.com",NOERROR,"34.193.53.47, 54.88.155.14",,,,,,,,,,
[x],webapi.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"18.154.63.49, 18.154.63.67, 18.154.63.108, 18.154.63.96",True,cloudfront,,,,,,,,
[x],webapi.sz.clario.co,,"ns-1611.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"65.9.25.83, 65.9.25.127, 65.9.25.106, 65.9.25.45",True,cloudfront,,,,,,,,
[x],welcome.clario.co,dev-ya7iwwej56xqwbjj-cd-pyhunhfrz0tm61i2.edge.tenants.us.auth0.com,"kara.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.16.82.103, 104.16.83.103",True,cloudflare,,,"2606:4700::6810:5267, 2606:4700::6810:5367",letsencrypt.org,,,,
[x],ws-antitheft.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,52.58.113.180,,,,,,,,,,
[x],ws1.at.eu.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,52.58.113.208,,,,,,,,,,
[x],ws2.at.eu.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,52.58.91.142,,,,,,,,,,
[x],www.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"13.32.99.71, 13.32.99.28, 13.32.99.20, 13.32.99.27",True,cloudfront,,,,,,,,
[x],www.sz.clario.co,,"ns-1611.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"52.84.93.92, 52.84.93.61, 52.84.93.108, 52.84.93.54",True,cloudfront,"ns-1407.awsdns-47.org, ns-1611.awsdns-09.co.uk, ns-485.awsdns-60.com, ns-782.awsdns-33.net",,,,,,,
[x],yapi.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"3.89.230.152, 52.7.222.118, 44.214.17.92",,,"ns-1341.awsdns-39.org, ns-1916.awsdns-47.co.uk, ns-365.awsdns-45.com, ns-763.awsdns-31.net",,,,,,,
[x],zchat.account.clario.co,,"ns-365.awsdns-45.com, awsdns-hostmaster.amazon.com",NOERROR,"18.173.233.60, 18.173.233.95, 18.173.233.87, 18.173.233.30",True,cloudfront,,,,,,,,
[x],zchat.account.mackeeper.com,,"ns-569.awsdns-07.net, awsdns-hostmaster.amazon.com",NOERROR,"52.222.236.6, 52.222.236.88, 52.222.236.15, 52.222.236.91",True,cloudfront,,,,,,,,
[x],zchat.account.sz.clario.co,,"ns-1611.awsdns-09.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"65.9.66.98, 65.9.66.106, 65.9.66.10, 65.9.66.7",True,cloudfront,,,,,,,,
