new,host,a,cname,soa,status_code,cdn,cdn-name,ns,aaaa,mx,txt,has_internal_ips,internal_ips,caa
[x],api32.tiktokv.com,14.238.84.110,vnpt-han-api.l.byteoversea.net,"a9-66.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],api33-core-c-alisg.tiktokv.com,"111.119.184.125, 111.119.180.125, 111.119.191.113",api39.zong.byteoversea.net,"ns.zong.byteoversea.net, admin.zong.byteoversea.net",NOERROR,,,,,,,,,
[x],api33-core-c-useast1a.tiktokv.com,"111.119.191.113, 111.119.184.125, 111.119.180.125",api39.zong.byteoversea.net,"ns.zong.byteoversea.net, admin.zong.byteoversea.net",NOERROR,,,,,,,,,
[x],api33-core-q-alisg.tiktokv.com,"111.119.191.113, 111.119.184.125, 111.119.180.125",api39.zong.byteoversea.net,"ns.zong.byteoversea.net, admin.zong.byteoversea.net",NOERROR,,,,,,,,,
[x],api33-core-q-useast1a.tiktokv.com,"111.119.191.113, 111.119.180.125, 111.119.184.125",api39.zong.byteoversea.net,"ns.zong.byteoversea.net, admin.zong.byteoversea.net",NOERROR,,,,,,,,,
[x],api33-normal-c-alisg.tiktokv.com,"111.119.191.113, 111.119.180.125, 111.119.184.125",api39.zong.byteoversea.net,"ns.zong.byteoversea.net, admin.zong.byteoversea.net",NOERROR,,,,,,,,,
[x],api33-normal-c-useast1a.tiktokv.com,"111.119.191.113, 111.119.184.125, 111.119.180.125",api39.zong.byteoversea.net,"ns.zong.byteoversea.net, admin.zong.byteoversea.net",NOERROR,,,,,,,,,
[x],api33-normal-q-alisg.tiktokv.com,"111.119.180.125, 111.119.191.113, 111.119.184.125",api39.zong.byteoversea.net,"ns.zong.byteoversea.net, admin.zong.byteoversea.net",NOERROR,,,,,,,,,
[x],api53-core-c-alisg.tiktokv.com,"58.27.1.39, 116.206.136.78, 58.27.5.112, 219.93.26.46, 58.27.5.114","bddynamic.edge.swiftserve.com, bytedancedyn.global.jns.swiftserve.com","j2nsns1.sys.swiftserve.com, alerts.swiftserve.com",NOERROR,,,,,,,,,
[x],api53-core-c-useast1a.tiktokv.com,"219.93.26.45, 58.27.5.112, 116.206.136.78, 58.27.5.113, 58.27.1.39","bddynamic.edge.swiftserve.com, bytedancedyn.global.jns.swiftserve.com","j2nsns1.sys.swiftserve.com, alerts.swiftserve.com",NOERROR,,,,,,,,,
[x],api53-normal-c-useast1a.tiktokv.com,"58.27.5.114, 219.93.26.45, 58.27.1.39, 58.27.5.111, 219.93.26.46","bddynamic.edge.swiftserve.com, bytedancedyn.global.jns.swiftserve.com","j2nsns1.sys.swiftserve.com, alerts.swiftserve.com",NOERROR,,,,,,,,,
[x],api55-core-c-useast1a.tiktokv.com,179.191.182.65,64193s.ha.azioncdn.net,"ns1.azioncdn.net, admin.azion.com",NOERROR,,,,,,,,,
[x],api55-normal-c-alisg.tiktokv.com,"179.191.189.65, 212.102.54.14, 179.191.181.65, 179.191.182.65, 179.191.165.65",64193s.ha.azioncdn.net,"ns1.azioncdn.net, admin.azion.com",NOERROR,,,,,,,,,
[x],api55-normal-c-useast1a.tiktokv.com,"179.191.165.65, 212.102.54.14, 179.191.181.65, 179.191.182.65, 179.191.189.65",64193s.ha.azioncdn.net,"ns1.azioncdn.net, admin.azion.com",NOERROR,,,,,,,,,
[x],api58-core-alisg.tiktokv.com,92.223.124.61,cl-5672a77c.gcdn.co,"gns1.gcdn.co, admin.core.pw",NOERROR,,,,,,,,,
[x],api58-core-c-alisg.tiktokv.com,92.223.124.61,cl-5672a77c.gcdn.co,"gns1.gcdn.co, admin.core.pw",NOERROR,,,"gns2.gcdn.co, gns1.gcdn.co",,,,,,
[x],api58-core-c-useast1a.tiktokv.com,92.223.124.61,cl-5672a77c.gcdn.co,"gns1.gcdn.co, admin.core.pw",NOERROR,,,"gns2.gcdn.co, gns1.gcdn.co",,,,,,
[x],api58-core-useast1a.tiktokv.com,92.223.124.61,cl-5672a77c.gcdn.co,"gns1.gcdn.co, admin.core.pw",NOERROR,,,"gns2.gcdn.co, gns1.gcdn.co",,,,,,
[x],api58-core-ycru.tiktokv.com,92.223.124.61,cl-5672a77c.gcdn.co,"gns1.gcdn.co, admin.core.pw",NOERROR,,,"gns2.gcdn.co, gns1.gcdn.co",,,,,,
[x],api58-normal-alisg.tiktokv.com,92.223.124.61,cl-5672a77c.gcdn.co,"gns1.gcdn.co, admin.core.pw",NOERROR,,,"gns1.gcdn.co, gns2.gcdn.co",,,,,,
[x],api58-normal-c-useast1a.tiktokv.com,92.223.124.61,cl-5672a77c.gcdn.co,"gns1.gcdn.co, admin.core.pw",NOERROR,,,"gns2.gcdn.co, gns1.gcdn.co",,,,,,
[x],api58-normal-ycru.tiktokv.com,92.223.84.33,cl-5672a77c.gcdn.co,"gns1.gcdn.co, admin.core.pw",NOERROR,,,"gns1.gcdn.co, gns2.gcdn.co",,,,,,
[x],api61-core-c-alisg.tiktokv.com,31.3.2.79,tiktokv-api-core-alisg.mncdn.com,"ns1.mncdn.com, hostmaster.mncdn.com",NOERROR,,,,,,,,,
[x],api61-core-c-useast1a.tiktokv.com,31.3.2.72,tiktokv-api-core-useast1a.mncdn.com,"ns1.mncdn.com, hostmaster.mncdn.com",NOERROR,,,,,,,,,
[x],api61-normal-c-alisg.tiktokv.com,31.3.2.88,tiktokv-api-normal-alisg.mncdn.com,"ns1.mncdn.com, hostmaster.mncdn.com",NOERROR,,,,,,,,,
[x],api77-core-c-useast1a.tiktokv.com,"143.244.42.29, 143.244.42.23, 143.244.42.36, 143.244.42.14, 143.244.42.12, 143.244.42.20, 143.244.42.17, 143.244.42.33",1542254120.rsc.cdn77.org,"ns1.cdn77.org, admin.cdn77.com",NOERROR,,,,,,,,,
[x],api77-normal-c-alisg.tiktokv.com,"212.102.61.169, 138.199.50.145, 156.146.43.176, 212.102.61.172, 156.146.43.154, 156.146.43.161, 212.102.61.183, 212.102.61.163",1675873984.rsc.cdn77.org,"ns1.cdn77.org, admin.cdn77.com",NOERROR,,,,,,,,,
[x],api77-normal-c-useast1a.tiktokv.com,"212.102.56.172, 212.102.56.227, 195.181.174.6, 195.181.174.11, 195.181.174.15, 195.181.174.17, 195.181.174.20, 195.181.174.23",1821353339.rsc.cdn77.org,"ns1.cdn77.org, admin.cdn77.com",NOERROR,,,,,,,,,
[x],api9-core-useast1a.tiktokv.com,"156.225.96.80, 156.225.96.79, 156.225.96.78, 156.225.96.77","api9-core-useast1a.tiktokv.com.ecdnx.com, zbdhwvi1.v.ecdnx.com","ns1.ecdnx.com, postmaster.ecdnx.com",NOERROR,,,,,,,,,
[x],api9-normal-useast2a.tiktokv.com,"156.225.96.79, 156.225.96.77, 156.225.96.80, 156.225.96.78","api9-normal-useast2a.tiktokv.com.ecdnx.com, zbdhwvi1.v.ecdnx.com","ns1.ecdnx.com, postmaster.ecdnx.com",NOERROR,,,"gns0a2.dcdnx.com, ns1.ecdnx.com, gns0a1.dcdnx.com",,,,,,
[x],apiproxy-va.tiktokv.com,"23.53.42.233, 23.53.43.9, 23.53.43.34, 23.53.43.59, 23.53.42.232, 23.53.43.32, 23.53.43.72, 23.53.43.56, 23.53.43.17","apiproxy-va.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],artist.tiktok.com,"96.16.54.138, 96.16.54.201","artist.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],autodiscover.tiktok.com,"40.101.18.232, 52.98.232.8, 52.97.135.120, 52.97.158.168","autodiscover.outlook.com, atod-g2.tm-4.office.com, autod.ms-acdc-autod.office.com","ns1-ms-acdc.office.com, hostmaster.microsoft.com",NOERROR,,,,"2603:1026:c03:707b::8, 2603:1026:c03:7075::8, 2603:1026:c03:707e::8, 2603:1026:207:a6::8",,,,,
[x],beta-test.tiktok.com,"2.17.100.242, 2.17.100.243, 2.17.100.251, 2.17.100.139, 2.17.100.161, 2.17.100.171","beta-test.tiktok.com.edgekey.net, e35058.api1.akamaiedge.net","n0api1.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],biz-api.tiktok.com,"23.53.43.25, 23.53.43.59","biz-api.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],boe.tiktok.com,10.8.12.241,default.inner-all.boei18n-lb-v3.boe.bytelb.net,"ns1.bytelb.net, hostmaster.bytelb.net",NOERROR,,,,,,,True,10.8.12.241,
[x],bounce.service.tiktok.com,,sparkpostmail.com,"ns-1855.awsdns-39.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,"ns-1855.awsdns-39.co.uk, ns-1361.awsdns-42.org, ns-304.awsdns-38.com, ns-775.awsdns-32.net",,smtp.sparkpostmail.com,"google-site-verification=yCMV3z3BhBaINi0V033HnfTi9xkQjpIZ4DM4ywSlwUs, v=spf1 exists:%{i}._spf.sparkpostmail.com ~all, 202302022219254qla4yzx4awoxw73s19xih2o24lp6tgsj8j3sdxwoboq1lpkyr",,,
[x],bsync-i18n.tiktokv.com,"2.16.187.64, 2.16.187.98, 2.16.187.49, 2.16.187.146, 2.16.187.138, 2.16.187.115, 2.16.187.137, 2.16.187.90, 2.16.187.19","bsync-i18n.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],bsync-sg.tiktokv.com,"62.115.252.48, 62.115.252.18, 80.239.137.171, 62.115.252.16, 80.239.137.162, 62.115.252.50, 80.239.137.139, 62.115.252.27, 80.239.137.163","bsync-sg.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],bsync-va.tiktokv.com,"2.16.241.95, 2.16.241.94, 2.16.241.86, 2.16.241.70, 2.16.241.69, 2.16.241.84, 2.16.241.98, 2.16.241.97, 2.16.241.74","bsync-va.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],bsync.us.tiktokv.com,"104.126.118.235, 104.126.118.241, 104.126.118.233, 104.126.118.240, 104.126.118.234, 104.126.118.243, 104.126.118.242, 104.126.118.248, 104.126.118.200","bsync.us.tiktokv.com.edgesuite.net, a2047.w185.akamai.net","n0w185.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],business-api.tiktok.com,"2.19.126.85, 2.19.126.84, 2.19.126.87, 2.19.126.89, 2.19.126.79, 2.19.126.80, 2.19.126.83, 2.19.126.88, 2.19.126.86","business-api-tiktok-com-lb.bytewlb.akadns.net, business-api.tiktok.com.edgesuite.net, business-api-tiktok-com-apix.bytewlb.akadns.net, a2047.api6.akamai.net","n0api6.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],business-sso.tiktok.com,"23.213.161.219, 23.213.161.212","business-sso.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],business-sso.us.tiktok.com,130.35.192.4,"direct.ad-lb-texas.useast5.byteoversea.net, direct.ad-lb-texas.useast5.byteoversea.net.byteigtm.com","ns-944.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],business-tips.tiktok.com,199.36.158.100,,"ns-440.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],business-va.tiktok.com,"96.16.54.201, 96.16.54.138","business-va.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],business.tiktok.com,"23.12.147.165, 23.12.147.151, 23.12.147.140, 23.12.147.132, 23.12.147.174, 23.12.147.141, 23.12.147.148, 23.12.147.157, 23.12.147.172","business.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],business.tiktokv.com,"2.16.186.26, 2.16.186.35","business.tiktokv.com.edgesuite.net, a1809.r.akamai.net","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],campaign-sg.tiktokv.com,"23.53.43.25, 23.53.43.40, 23.53.43.65, 23.53.43.50, 23.53.43.19, 23.53.43.35, 23.53.43.88, 23.53.43.18, 23.53.42.249","campaign-sg.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],campaign.tiktokv.com,"23.0.174.113, 23.0.174.91, 23.0.174.120, 23.0.174.98, 23.0.174.105, 23.0.174.107, 23.0.174.131, 23.0.174.81, 23.0.174.83","campaign.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],campaign16-normal-useast2a.tiktokv.com,"62.115.252.16, 80.239.137.162, 62.115.252.18, 80.239.137.155, 80.239.137.147, 80.239.137.139, 80.239.137.163, 62.115.252.50, 62.115.252.48","campaign16-normal-useast2a.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],campaign19-normal-useast5.us.tiktokv.com,,bytedance.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],careers.tiktok.com,"2.16.186.17, 2.16.186.16","careers.tiktok.com.edgesuite.net, a1881.r.akamai.net","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],cdn-test.tiktok.com,"173.222.107.82, 173.222.107.70","cdn-test.tiktok.com.edgesuite.net, a807.r.akamai.net","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],cdn-test.tiktokv.com,"95.101.111.185, 95.101.111.180, 95.101.111.145, 95.101.111.151, 95.101.111.148, 95.101.111.183, 95.101.111.155, 95.101.111.131, 95.101.111.186","cdn-test.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],creativecenter.tiktok.com,"92.122.215.10, 2.20.142.121, 92.122.215.8, 92.122.215.43, 92.122.215.41, 2.20.142.113, 92.122.215.27, 2.20.142.89, 92.122.215.25","creativecenter.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],creativeexchange.tiktok.com,"23.12.147.157, 23.12.147.151, 23.12.147.148, 23.12.147.174, 23.12.147.132, 23.12.147.141, 23.12.147.140, 23.12.147.165, 23.12.147.172","creativeexchange.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],creatormarketplace-useast2a.tiktok.com,"104.126.37.138, 104.126.37.145, 104.126.37.147, 104.126.37.178, 104.126.37.129","creatormarketplace-useast2a.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],creatormarketplace-va.tiktok.com,,videoarch-lb-maliva.byteoversea.net,"a9-66.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],creatormarketplace-vattp.tiktok.com,,videoarch-lb-maliva.byteoversea.net,,NOERROR,,,,,,,,,
[x],creatormarketplace.us.tiktok.com,"23.222.12.42, 23.222.12.49","creatormarketplace.us.tiktok.com.edgesuite.net, a551.w184.akamai.net","n0w184.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],datahub-private-useast2a.tiktok.com,,ad-lb-gcp.byteoversea.net,"a9-66.akam.net, hostmaster.akamai.com",NOERROR,,,"ns-1475.awsdns-56.org, ns-1574.awsdns-04.co.uk, ns-440.awsdns-55.com, ns-722.awsdns-26.net",,,,,,
[x],datahub-private.tiktok.com,"104.126.37.145, 104.126.37.129, 104.126.37.147, 104.126.37.178","datahub-private.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],datahubops.tiktok.com,54.162.17.249,tob-lb.byteoversea.net,"a9-66.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],dev.tiktok.com,209.127.230.3,,"ns-440.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,mx01.dm.aliyun.com,"v=spf1 include:spf1.dm.aliyun.com include:spf.onlarksuite.com include:_netblocks.m.feishu.cn +include:_netblocks.mxem.larksuite.com -all, verification-code-site-edm-va=8V3wKW3hsOVZ4SMmmLIO, google-site-verification=gxFtnmAkqqeHIJhc5dU1an4BUv9bvwthMaoPt19l0Ws",,,
[x],developer.tiktok.com,"130.44.212.136, 130.44.212.133, 130.44.212.135, 130.44.212.134",tiktok-lb-maliva.byteoversea.net,"a9-66.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],developers.tiktok.com,"185.225.250.33, 185.225.250.26, 185.225.250.64, 185.225.250.67, 185.225.250.27","developers.tiktok.com.edgesuite.net, a1851.r.akamai.net","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],dig.us.tiktokv.com,130.35.104.178,"direct.tiktok-lb-texas.useast5.byteoversea.net, direct.tiktok-lb-texas.useast5.byteoversea.net.byteigtm.com","ns-944.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],dm16-alisg.tiktokv.com,"104.70.120.171, 104.70.120.145, 104.70.120.146, 104.70.120.161, 104.70.120.169, 104.70.120.168, 104.70.120.137, 104.70.120.178, 104.70.120.194","dm16-alisg.tiktokv.com.edgekey.net, e28622.api1.akamaiedge.net","n0api1.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],dm16-test-va.tiktokv.com,"104.126.37.184, 104.126.37.185, 104.126.37.186, 104.126.37.128, 104.126.37.129, 104.126.37.153, 104.126.37.155, 104.126.37.169, 104.126.37.176","dm16-test-va.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],dm16-useast1a.tiktokv.com,"23.53.43.90, 23.53.43.27, 23.53.42.250, 23.53.42.243, 23.53.43.43, 23.53.43.83, 23.53.43.16, 23.53.43.82, 23.53.43.10","dm16-useast1a.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],dm16-va.tiktokv.com,,"dm16-va.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],dm22-alisg.tiktokv.com,34.102.156.43,,"a9-66.akam.net, hostmaster.akamai.com",NOERROR,True,google,,,,,,,
[x],echo.tiktokv.com,116.51.28.111,,"a9-66.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],effect-api-sg.tiktok.com,"23.53.43.59, 23.53.43.25","effect-api-sg.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],effect.tiktok.com,"23.213.161.219, 23.213.161.212","effect.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],effecthouse.tiktok.com,"95.101.111.149, 95.101.111.151, 95.101.111.158, 95.101.111.153","effecthouse.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],effecthouse.us.tiktok.com,"184.29.143.154, 184.29.143.152, 184.29.143.147, 184.29.143.145, 184.29.143.153, 184.29.143.146, 184.29.143.144, 184.29.143.139, 184.29.143.160","effecthouse.us.tiktok.com.edgesuite.net, a2047.w184.akamai.net","n0w184.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],effects.tiktok.com,"2.16.241.74, 2.16.241.93","effects.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],email.account.tiktok.com,34.102.239.211,mailgun.org,"ns-586.awsdns-09.net, awsdns-hostmaster.amazon.com",NOERROR,True,google,"ns-133.awsdns-16.com, ns-586.awsdns-09.net, ns-1482.awsdns-57.org, ns-1614.awsdns-09.co.uk",,"mxa.mailgun.org, mxb.mailgun.org","8f7088gv5932jxw9lwwd1b6ttx2pw2ds, v=spf1 include:_spf.mailgun.org include:_spf.eu.mailgun.org -all, google-site-verification=FIGVOKZm6lQFDBJaiC2DdwvBy8TInunoGCt-1gnL4PA",,,"digicert.com, letsencrypt.org, ;"
[x],email.tiktok.com,,,"ns-440.awsdns-55.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,mx.sendcloud.org,"google-site-verification=Jxk647CRPSoCSD3FSc-7Ppzo-l3PMpjpbtGSy9jaLHI, v=spf1 include:spf1.dm.aliyun.com include:spf.onlarksuite.com include:_netblocks.m.feishu.cn include:spf.sendcloud.org  ~all",,,
[x],experiment.tiktok.com,"2.21.22.112, 2.21.22.113","experiment.tiktok.com.edgesuite.net, a1802.r.akamai.net","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],fcdn.us.tiktokv.com,,,"a9-66.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],feedback-va.tiktokv.com,"2.16.187.137, 2.16.187.64, 2.16.187.19, 2.16.187.98, 2.16.187.115, 2.16.187.90, 2.16.187.138, 2.16.187.49, 2.16.187.146","feedback-va.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],feedback.tiktokv.com,"62.115.252.75, 80.239.137.137, 80.239.137.170, 62.115.252.25, 80.239.137.169, 80.239.137.154, 62.115.252.10, 62.115.252.8, 62.115.252.73","feedback.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],feedback.us.tiktokv.com,"104.126.37.147, 104.126.37.185","feedback.us.tiktokv.com.edgekey.net, e117933.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],feelgood-api-useast2a.tiktok.com,"147.160.190.45, 147.160.190.32",ad-lb-gcp.byteoversea.net,"a9-66.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],feelgood-api.tiktok.com,"23.53.43.25, 23.53.43.59","feelgood-api.tiktok.com.edgekey.net, e35058.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],fin.us.tiktok.com,130.35.72.6,"direct.texas-normal-lb.useast5.byteoversea.net, direct.texas-normal-lb.useast5.byteoversea.net.byteigtm.com","ns-944.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,
[x],fp-sg.tiktokv.com,"23.213.161.203, 23.213.161.208, 23.213.161.222, 23.213.161.217, 23.213.161.202, 23.213.161.198, 23.213.161.207, 23.213.161.199, 23.213.161.220","fp-sg.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],fp-va.tiktokv.com,"95.101.111.153, 95.101.111.132, 95.101.111.175, 95.101.111.166, 95.101.111.163, 95.101.111.138, 95.101.111.135, 95.101.111.182, 95.101.111.154","fp-va.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],fp.us.tiktok.com,150.136.15.0,"direct.pipo-lb-texas.useast5.tiktoklb.net, direct.pipo-lb-texas.useast5.tiktoklb.net.byteigtm.com","ns-944.awsdns-54.net, awsdns-hostmaster.amazon.com",NOERROR,True,oracle,,,,,,,
[x],fp.us2.tiktokv.com,,,"a9-66.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],fp16-normal-alisg.tiktokv.com,"2.20.142.99, 92.122.215.19, 92.122.215.41, 92.122.215.106, 92.122.215.8, 2.20.142.74, 2.20.142.112, 2.20.142.72, 92.122.215.11","fp16-normal-alisg.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],fp19-normal-useast1a.tiktokv.com,146.75.30.73,bytedance.map.fastly.net,"ns1.fastly.net, hostmaster.fastly.com",NOERROR,True,fastly,,,,,,,
[x],fp22-normal-alisg.tiktokv.com,34.102.156.43,quic-mix-sg-proxy-gcp.byteoversea.net,"a9-66.akam.net, hostmaster.akamai.com",NOERROR,True,google,,,,,,,
[x],fp22-normal-useast1a.tiktokv.com,34.107.176.231,all.quic-webcast-useast4-proxy-gcp-gcpsg.byteoversea.net,"a9-66.akam.net, hostmaster.akamai.com",NOERROR,True,google,,,,,,,
[x],frontier-va.tiktokv.com,"130.44.212.234, 130.44.212.236, 130.44.212.232, 130.44.212.235",mvaali1.ws.byteoversea.net,"a9-66.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],frontier.tiktokv.com,"71.18.255.146, 71.18.255.145, 71.18.255.147, 71.18.255.144",sgali1.ws.byteoversea.net,"a9-66.akam.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],frontier.us.tiktokv.com,"104.126.119.90, 104.126.119.97, 104.126.119.83, 104.126.119.99, 104.126.119.96, 104.126.119.104, 104.126.119.88, 104.126.119.82, 104.126.119.98","frontier.us.tiktokv.com.edgesuite.net, a2047.w184.akamai.net","n0w184.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],frontier16-alisg.tiktokv.com,"2.20.143.160, 2.20.180.154, 2.20.180.153, 2.20.143.115, 2.20.180.142, 2.20.143.123, 2.20.180.157, 2.20.180.134, 2.20.180.160","frontier16-alisg.tiktokv.com.edgekey.net, e28622.api3.akamaiedge.net","n0api3.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],gecko-sg.tiktokv.com,"173.222.107.75, 173.222.107.80, 173.222.107.71, 173.222.107.72, 173.222.107.81, 173.222.107.76, 173.222.107.77, 173.222.107.73, 173.222.107.79","gecko-sg.tiktokv.com.edgesuite.net, a2047.r.akamai.net","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],gecko-va.tiktokv.com,"2.16.241.16, 2.16.241.19","gecko-va.tiktokv.com.edgesuite.net, a1974.r.akamai.net","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],gecko16-normal-alisg.tiktokv.com,"2.16.241.89, 2.16.241.98, 2.16.241.92, 2.16.241.88, 2.16.241.69, 2.16.241.80, 2.16.241.90, 2.16.241.91, 2.16.241.87","gecko16-normal-alisg.tiktokv.com.edgekey.net, e28622.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
[x],gecko16-normal-c-useast1a.tiktokv.com,"184.25.51.58, 184.25.51.72, 184.25.51.56, 184.25.51.24, 184.25.51.48, 184.25.51.10, 184.25.51.74, 184.25.51.26, 184.25.51.27","gecko16-normal-c-useast1a.tiktokv.com.edgesuite.net, a2047.r.akamai.net","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,,
