new,host,a,cname,soa,status_code,cdn,cdn-name,caa,mx,txt,aaaa,ns
[x],o2.transactional.napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],playngo-test.napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],promo-api-test.napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],promo-api.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],promo.napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],ptr.selligent.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],public.int.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],push.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],qa.web.napoleongames.be,"13.249.9.26, 13.249.9.50, 13.249.9.28, 13.249.9.109",,"ns-18.awsdns-02.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,,,
[x],quickfire-callback.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],reelcash.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],roulette.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],runthevillage.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],rvv.napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],scratch.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],selligent-prod.napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],sfs-1.int.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],sfs-2.int.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],shared-host-01.int.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],shared-host-01.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,letsencrypt.org,,,,
[x],sms.napoleongames.be,35.157.69.28,"link.wiraya.com, link.wiraya.net","ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],smtp.napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],sports.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],starleague.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],thesportsexperience.napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],transactional.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],translations.napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],vs1.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],vs2.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],web-4.int.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],web-5.int.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],web-6.int.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],web-7.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],web-8.int.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],web-9.int.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],web-9.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],web4-2.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],wimi-api.napoleongames.be,"188.114.99.229, 188.114.98.229",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],wimi-test.napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],wk2014.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],www.livecasino.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],www.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],www.promo.napoleongames.be,,,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,
[x],www.shared-host-01.int.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],www.sports.napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],yggdrasil-api.napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],yggdrasil-test.napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],zh-cn.casino.napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],zh-cn.napoleongames.be,"104.18.14.219, 104.18.15.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
[x],zh-cn.sports.napoleongames.be,"104.18.15.219, 104.18.14.219",,"cash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,
