new,host,a,soa,status_code,has_internal_ips,internal_ips,aaaa,cname,ns,caa,cdn,cdn-name,mx,txt
,sbbmailint.sbb.ch,"194.150.244.238, 91.230.140.140","ns.sbb.ch, admin.sbb.ch",NOERROR,,,2a00:4bc0:130:333::1000,,"ns-1254.awsdns-28.org, ns-1739.awsdns-25.co.uk, ns-73.awsdns-09.com, ns-967.awsdns-56.net, ns.sbb.ch",,,,,
,sbbstimme.sbb.ch,144.126.245.205,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,securemail.skopos-group.com,v=spf1 include:cspf.skopos-connect.de -all
,scaleportal.app.sbb.ch,"3.65.155.240, 18.158.102.127, 3.124.89.17","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,schema-registry-project-dev-sc.kafka.sbb.ch,"10.241.29.54, 10.241.29.19, 10.241.28.197, 10.241.28.236, 10.241.29.58, 10.241.28.240","ns-191.awsdns-23.com, awsdns-hostmaster.amazon.com",NOERROR,True,"10.241.29.54, 10.241.29.19, 10.241.28.197, 10.241.28.236, 10.241.29.58, 10.241.28.240",,router-default.apps.aws01t.sbb-aws-test.net,,,,,,
,sci.sbb.ch,52.174.35.5,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,"prod-o365-redirect.azurewebsites.net, waws-prod-am2-185.vip.azurewebsites.windows.net, waws-prod-am2-185.westeurope.cloudapp.azure.com",,,True,azure,,
,search.sbb.ch,52.174.35.5,"ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,"prod-o365-redirect.azurewebsites.net, waws-prod-am2-185.vip.azurewebsites.windows.net, waws-prod-am2-185.westeurope.cloudapp.azure.com",,,True,azure,,
,self-dev.kafka.sbb.ch,"10.241.28.236, 10.241.29.19, 10.241.28.240, 10.241.28.197, 10.241.29.58, 10.241.29.54","ns-191.awsdns-23.com, awsdns-hostmaster.amazon.com",NOERROR,True,"10.241.28.236, 10.241.29.19, 10.241.28.240, 10.241.28.197, 10.241.29.58, 10.241.29.54",,router-default.apps.aws01t.sbb-aws-test.net,,,,,,
,sendgrid.sbb.ch,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,u5195421.wl172.sendgrid.net,,,,,mx.sendgrid.net,
,shared-env.sbb.ch,193.203.120.188,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,shop-alias.app.sbb.ch,"18.196.43.113, 18.185.175.88, 18.185.196.175","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,signaletik.app.sbb.ch,"35.157.225.80, 52.28.127.176, 52.57.148.72","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,sip.sbb.ch,52.112.64.140,"admin.nsatc.net, dns.level3.net",NOERROR,,,2603:1037:0:7::b,sipdir.online.lync.com,,,,,,
,sip2-i.sbb.ch,193.203.121.109,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,sip2-t.sbb.ch,193.203.121.56,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,sip2.sbb.ch,193.203.121.181,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,smartemma-alias.app.sbb.ch,"3.65.155.240, 18.158.102.127, 3.124.89.17","ns-1304.awsdns-35.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,"ns-1304.awsdns-35.org, ns-1632.awsdns-12.co.uk, ns-233.awsdns-29.com, ns-650.awsdns-17.net",,,,,
,smi-iprod.sbb.ch,35.157.11.43,"dns-external-master.amazon.com, root.amazon.com",NOERROR,,,,ec2-35-157-11-43.eu-central-1.compute.amazonaws.com,,,,,,
,smile-preview.swisspass.ch,195.191.133.85,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,smile-test.swisspass.ch,195.191.133.85,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,inbound-smtp.eu-west-1.amazonaws.com,amazonses:fiep99mc8ZQxFA+Crlhf0Awv5KWHzvd6GnTeUpYIQ+E=
,smile.swisspass.ch,195.191.133.85,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,inbound-smtp.eu-west-1.amazonaws.com,amazonses:PQhTr0GF1CGofdxMyMfaxGI1KV1rE3DkZGbGSX2rEkU=
,smp30dev.mobiletest.sbb.ch,"193.203.121.23, 91.230.140.140","ns.sbb.ch, admin.sbb.ch",NOERROR,,,2a00:4bc0:130:333::1000,,"ns-1254.awsdns-28.org, ns-1739.awsdns-25.co.uk, ns-73.awsdns-09.com, ns-967.awsdns-56.net, ns.sbb.ch",,,,,
,smp30tst.mobiletest.sbb.ch,,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,snapshot-bonuspass.sbb.ch,193.203.121.32,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,snapshot-www.sbb.ch,"193.203.120.4, 91.230.140.140","ns.sbb.ch, admin.sbb.ch",NOERROR,,,2a00:4bc0:130:333::1000,,"ns-1254.awsdns-28.org, ns-1739.awsdns-25.co.uk, ns-73.awsdns-09.com, ns-967.awsdns-56.net, ns.sbb.ch",,,,,
,sopreweb.sbb.ch,193.203.121.172,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,sso-dev.sbb.ch,193.203.120.54,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,sso-inactive-dev.sbb.ch,194.150.245.113,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,sso-inactive-test.sbb.ch,194.150.245.115,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,sso-inactive.sbb.ch,193.203.120.183,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
,sso-test.sbb.ch,194.150.245.126,"ns.sbb.ch, admin.sbb.ch",NOERROR,,,,,,,,,,
