new,host,a,soa,status_code,cname,caa,cdn,cdn-name,aaaa,ns,mx,txt,has_internal_ips,internal_ips
,scp.trellix.com,161.69.38.143,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,"ns-1224.awsdns-25.org, ns-136.awsdns-17.com, ns-1563.awsdns-03.co.uk, ns-758.awsdns-30.net",,,,
,securefiles.trellix.com,"35.83.104.169, 35.163.70.133","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,crush-ftp-alb-public-1001566077.us-west-2.elb.amazonaws.com,,,,,,,,,
,servicenow.trellix.com,149.96.234.27,"edns140.ultradns.com, root.service-now.com",NOERROR,trellix.service-now.com,,,,,,,,,
,servicenowdev.trellix.com,149.96.250.27,"edns140.ultradns.com, root.service-now.com",NOERROR,enterprisedev2.service-now.com,,,,,,,,,
,sffusionwebsecureconnect-dev.trellix.com,136.179.57.110,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,sffusionwebsecureconnect-qa.trellix.com,136.179.57.109,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,sffusionwebsecureconnect.trellix.com,136.179.57.113,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,sft.trellix.com,136.179.57.100,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,sftp.trellix.com,161.69.38.142,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,sgpvpn1.trellix.com,,"ns-136.awsdns-17.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
,sgw.vnext.xdrint.trellix.com,"52.24.189.227, 100.20.17.141, 44.239.20.29","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"sgw.vnext.xdrint-trellix.com, k8s-supportg-supportg-4137dac470-1531217932.us-west-2.elb.amazonaws.com",,,,,,,,,
,sgw.xdrint.trellix.com,"44.231.60.213, 52.89.224.64, 35.164.145.106","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"sgw.xdrint-trellix.com, 10279436-xdrintsupportgate-4212-1130333069.us-west-2.elb.amazonaws.com",,,,,,,,,
,sgw.xdrpreeks.trellix.com,"52.33.98.170, 52.36.86.91, 34.211.8.238","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"sgw.xdrpreeks-trellix.com, 07f5385e-xdrpreekssupportg-bae2-843537160.us-west-2.elb.amazonaws.com",,,,,,,,,
,shop.trellix.com,"104.16.242.229, 104.16.243.229","drew.ns.cloudflare.com, dns.cloudflare.com",NOERROR,trellix-s.cleverbridge.com,,True,cloudflare,,,,,,
,sktest.xconsole.trellix.com,"13.227.219.128, 13.227.219.13, 13.227.219.50, 13.227.219.114","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,"ns-683.awsdns-21.net, ns-1319.awsdns-36.org, ns-1779.awsdns-30.co.uk, ns-332.awsdns-41.com",,,,
,skyhighsecurity-uat.skyhighsecurity.com,34.111.110.138,"ns-1035.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,,,True,google,,,,,,
