new,host,a,aaaa,cname,soa,status_code,mx,ns,txt,cdn,cdn-name,caa,has_internal_ips,internal_ips
[x],19102231.dpgmedia.nl,"99.83.132.111, 75.2.104.177",,dpgmedia.nl,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,"alt2.aspmx.l.google.com, aspmx2.googlemail.coml, alt1.aspmx.l.google.com, aspmx.l.google.com, aspmx3.googlemail.com","ns1-25.akam.net, usc2.akam.net, use2.akam.net, ns1-125.akam.net, eur5.akam.net, eur6.akam.net, use5.akam.net, eur2.akam.net","MS=ms67078813, pardot396912=d103e8fb586b4ea12a5eef9ab8db50f225ffa9534121042c3c6f19110507cc0d, google-site-verification=BS9bRgQCaGMV-qV7KXIW3k9PKEroMT8ZkO9SXCCupe8, globalsign-domain-verification=fxO-oZ6xBPNZcHaVlYx6ceobJ6drHbywrgO8594L_X, globalsign-domain-verification=D8tRjhFB3jo9I1zhzbeimuR1ZZFWeM3TdNy9K1TY8G, apple-domain-verification=rhgBCR84l7Uc5cMp, google-site-verification=9BOW7AtoeMAiQCOR3Zsi_u62trb62MCyyPQvoEOLnmg, v=spf1 ip4:146.185.48.0/21 include:_spf.google.com include:et._spf.pardot.com include:_spf.salesforce.com include:spf1.dpgmedia.nl include:spf2.dpgmedia.nl include:mail.zendesk.com -all, google-site-verification=HCULTGPeBKe3q6PXsdBGZwX_u9vcLA5Ag5MK6S6FFlI, google-site-verification=L7RecrH5RTtWIgjCAdqoKi8GHMgoCtfPMk1MQ-_A61A, miro-verification=6ab58ecb32755bd8fe2c2255f7fce54a0f770a62, _globalsign-domain-verification=Oq6NKVBlI5zFkmVbiHpDvh43BHnogvLZ3krBbrIKaP, google-site-verification=OFuT0sku1FNyBn8NGNrWIYeMnBxdj3Cw8RnmPKTF3mg, atlassian-domain-verification=ssHGvZHDdS5FmfVQpIMaFz7N72WfDW4eBo9yqtYNFjK/GIpJ1yW8IiERm5km/bSj, _globalsign-domain-verification=nsqnD7wwhGNdAOhsaYaOrHYUUv235YiSl78GYluXBl",,,,,
[x],898dae7b-b0a1-47cf-a1a5-214c7298d04e.dpgmedia.nl,"75.2.104.177, 99.83.132.111, 95.100.173.64, 23.74.25.64, 2.22.230.64, 184.26.160.64, 96.7.49.64, 2.16.40.64, 193.108.91.25, 193.108.91.125","2600:1403:a::40, 2600:1401:2::19, 2600:1401:2::7d",dpgmedia.nl,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,"aspmx.l.google.com, aspmx3.googlemail.com, alt1.aspmx.l.google.com, alt2.aspmx.l.google.com, aspmx2.googlemail.coml","ns1-125.akam.net, eur5.akam.net, eur2.akam.net, use2.akam.net, eur6.akam.net, usc2.akam.net, use5.akam.net, ns1-25.akam.net","atlassian-domain-verification=ssHGvZHDdS5FmfVQpIMaFz7N72WfDW4eBo9yqtYNFjK/GIpJ1yW8IiERm5km/bSj, google-site-verification=9BOW7AtoeMAiQCOR3Zsi_u62trb62MCyyPQvoEOLnmg, google-site-verification=L7RecrH5RTtWIgjCAdqoKi8GHMgoCtfPMk1MQ-_A61A, MS=ms67078813, globalsign-domain-verification=fxO-oZ6xBPNZcHaVlYx6ceobJ6drHbywrgO8594L_X, apple-domain-verification=rhgBCR84l7Uc5cMp, _globalsign-domain-verification=Oq6NKVBlI5zFkmVbiHpDvh43BHnogvLZ3krBbrIKaP, google-site-verification=HCULTGPeBKe3q6PXsdBGZwX_u9vcLA5Ag5MK6S6FFlI, miro-verification=6ab58ecb32755bd8fe2c2255f7fce54a0f770a62, google-site-verification=OFuT0sku1FNyBn8NGNrWIYeMnBxdj3Cw8RnmPKTF3mg, google-site-verification=BS9bRgQCaGMV-qV7KXIW3k9PKEroMT8ZkO9SXCCupe8, globalsign-domain-verification=D8tRjhFB3jo9I1zhzbeimuR1ZZFWeM3TdNy9K1TY8G, _globalsign-domain-verification=nsqnD7wwhGNdAOhsaYaOrHYUUv235YiSl78GYluXBl, pardot396912=d103e8fb586b4ea12a5eef9ab8db50f225ffa9534121042c3c6f19110507cc0d, v=spf1 ip4:146.185.48.0/21 include:_spf.google.com include:et._spf.pardot.com include:_spf.salesforce.com include:spf1.dpgmedia.nl include:spf2.dpgmedia.nl include:mail.zendesk.com -all",,,,,
[x],_spf1.dpgmedia.be,,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,"v=spf1 ip4:217.21.184.106/31 ip4:167.89.63.175 ip4:208.117.48.146 ip4:167.89.10.227 ip4:103.151.192.0/23 ip4:185.12.80.0/22 ip4:188.172.128.0/20 ip4:192.161.144.0/20 ip4:216.198.0.0/18 ip4:198.2.128.0/24 ip4:198.2.132.0/22 ip4:87.253.232.0/21,  ip4:185.189.236.0/22 ip4:185.211.120.0/22 ip4:185.250.236.0/22 ip4:198.245.81.0/24 ip4:136.147.176.0/24 ip4:13.111.0.0/16 ip4:136.147.182.0/24 ip4:136.147.135.0/24 ip4:199.122.123.0/24 ip4:213.52.186.141 ip4:213.52.186.142 -all",,,,,
[x],acc-mymaterial.dpgmedia.be,3.73.255.255,,dpg-lb.integration-x.com,"ns-715.awsdns-25.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],acc-mymaterial.dpgmedia.nl,3.73.255.255,,dpg-lb.integration-x.com,"ns-715.awsdns-25.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],account-onlinerouwbericht.dpgmedia.nl,217.114.96.40,,,"ns1-25.akam.net, hostmaster.persgroep.be",NOERROR,,,,,,,,
[x],account.dpgmedia.be,"23.222.79.243, 23.222.79.211","2600:1408:7400::17de:4fd3, 2600:1408:7400::17de:4ff3","dpgmedia-be-wc.edgekey.net, e29602.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],account.dpgmedia.nl,"2.17.100.161, 2.17.100.233","2a02:26f0:ab00::5c7a:d710, 2a02:26f0:ab00::5c7a:d723","dpgmedia-nl-wc.edgekey.net, e27429.dscb.akamaiedge.net","n0dscb.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],accreditatie.tickets.dpgmedia.be,86.39.65.98,2a00:6ec0:101:1:0:98:0:1,peak.proxy.tickoweb.net,"ns1.ethera.be, dns.tigron.net",NOERROR,,,,,,,,
[x],actie.dpgmedia.be,"51.77.37.192, 178.33.129.44, 51.89.19.54, 178.32.47.207",,"player.qualifio.com, varnish.qualifio.com","ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,,"digicert.com, letsencrypt.org, globalsign.com",,
