new,host,a,soa,txt,status_code,cname,mx,cdn,cdn-name,aaaa,ns,caa,has_internal_ips,internal_ips
[x],de.razer.com,"96.45.82.22, 96.45.83.143, 96.45.82.208, 96.45.83.55","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,,
[x],deals.razer.com,"23.222.79.162, 23.222.79.139","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"deals.razer.com.edgekey.net, e29596.dscb.akamaiedge.net",,,,"2600:1408:7400::17de:4fa2, 2600:1408:7400::17de:4f8b",,,,
[x],dev-lb.layout.razer.com,"35.82.73.223, 44.238.7.244, 52.11.190.220","ns-455.awsdns-56.com, awsdns-hostmaster.amazon.com","heritage=kube-tools,virtual=dev,physical=dev-west",NOERROR,,,,,,,,,
[x],dev-lb.mobile.razer.com,"44.238.7.244, 52.11.190.220, 35.82.73.223","ns-170.awsdns-21.com, awsdns-hostmaster.amazon.com","heritage=kube-tools,virtual=dev,physical=dev-west",NOERROR,,,,,,,,,
[x],dev.layout.razer.com,"44.238.7.244, 35.82.73.223, 52.11.190.220","ns-455.awsdns-56.com, awsdns-hostmaster.amazon.com","heritage=kube-tools,virtual=dev,physical=dev-west",NOERROR,dev-lb.layout.razer.com,,,,,,,,
[x],dev.razer.com,184.72.59.178,"dns-external-master.amazon.com, root.amazon.com",,NOERROR,ec2-184-72-59-178.us-west-1.compute.amazonaws.com,,,,,,,,
[x],developer-staging.razer.com,"104.16.191.67, 104.16.190.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,developer-staging.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700::6810:bf43, 2606:4700::6810:be43",,,,
[x],distribution.gold.razer.com,,"n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"distribution.gold.razer.com-v1.edgekey.net, e28040.dscb.akamaiedge.net",,,,"2a02:26f0:3500:14::1724:a24a, 2a02:26f0:3500:14::1724:a255",,,,
[x],distribution.zgold-dev.razer.com,"52.76.245.87, 18.143.113.44","ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],drone.m.razer.com,"54.149.42.64, 52.41.30.26, 52.42.212.239","ns-1308.awsdns-35.org, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],dropbox.gold.razer.com,"3.225.163.102, 18.207.72.48, 52.21.51.100","ns-1005.awsdns-61.net, awsdns-hostmaster.amazon.com",,NOERROR,s-2b8ec966e7194051a.server.transfer.us-east-1.amazonaws.com,,,,,,,,
[x],earn.zgold-dev.razer.com,"18.139.157.150, 13.228.198.233","ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],ec.razer.com,"18.213.185.41, 34.228.96.181, 35.175.61.216, 23.22.70.50, 3.209.241.90, 34.231.117.203","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,NOERROR,ec-prd-east-1-1688064408.us-east-1.elb.amazonaws.com,,,,,,,,
[x],enterpriseenrollment.razer.com,13.74.111.192,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-201.azure-dns.com, msnhst.microsoft.com",,NOERROR,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com, pexsucpeu02.westeurope.cloudapp.azure.com",,,,,,,,
[x],enterpriseregistration.razer.com,20.190.137.40,"tm1.dns-tm.com, hostmaster.trafficmanager.net",,NOERROR,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.trafficmanager.net",,True,azure,,,,,
[x],epay-posa.gold.razer.com,"2.16.187.152, 2.16.187.153","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"epay-posa.gold.razer.com.edgekey.net, e28040.dscb.akamaiedge.net",,,,,,,,
[x],epay-posa.zgold-dev.razer.com,54.251.139.10,"ns-931.awsdns-52.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],epic-gateway.gold-sandbox.razer.com,"34.195.165.30, 100.25.254.133, 52.73.222.58, 34.203.118.148","ns-711.awsdns-24.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],epic-gateway.gold.razer.com,"2.17.100.163, 2.17.100.203","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"epic-gateway.gold.razer.com.edgekey.net, e28040.dscb.akamaiedge.net",,,,"2a02:26f0:7100::210:112, 2a02:26f0:7100::210:152",,,,
[x],familymart-proxy.gold.razer.com,"2.16.187.152, 2.16.187.153","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"familymart-proxy.gold.razer.com.edgekey.net, e28040.dscb.akamaiedge.net",,,,"2a02:26f0:3100::1725:e260, 2a02:26f0:3100::1735:2b9a",,,,
[x],fintech.razer.com,"95.101.74.151, 95.101.74.152","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"fintech.razer.com.edgekey.net, e29596.dscb.akamaiedge.net",,,,"2a02:26f0:c900:9::5f65:4a97, 2a02:26f0:c900:9::5f65:4a98",,,,
[x],fr.razer.com,"96.45.82.208, 96.45.82.22, 96.45.83.143, 96.45.83.55","ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,,
[x],game.razer.com,"104.16.191.67, 104.16.190.67","ns1.cloudflare.net, dns.cloudflare.com",,NOERROR,game.razer.com.cdn.cloudflare.net,,True,cloudflare,"2606:4700::6810:bf43, 2606:4700::6810:be43",,,,
[x],gamestore.razer.com,"52.37.131.7, 52.34.122.161","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",,NOERROR,razer-pay-1182115838.us-west-2.elb.amazonaws.com,,,,,,,,
[x],gamestoreintegration.razer.com,,"ns10.dnsmadeeasy.com, dns.dnsmadeeasy.com",,NOERROR,,,,,,,,,
[x],git2u.merchant.razer.com,"18.142.207.247, 54.255.0.121","ns-1125.awsdns-12.org, awsdns-hostmaster.amazon.com",,NOERROR,rms-1633660458.ap-southeast-1.elb.amazonaws.com,,,,,,,,
[x],global.gold-sandbox.razer.com,"100.25.254.133, 52.73.222.58, 34.203.118.148, 34.195.165.30","ns-711.awsdns-24.net, awsdns-hostmaster.amazon.com",,NOERROR,,,,,,,,,
[x],global.gold.razer.com,"2.17.100.163, 2.17.100.203","n0dscb.akamaiedge.net, hostmaster.akamai.com",,NOERROR,"global.gold.razer.com-v3.edgekey.net, e28040.dscb.akamaiedge.net",,,,"2a02:26f0:7100::210:112, 2a02:26f0:7100::210:152",,,,
