new,host,status_code,soa,txt,a,ns,aaaa,cdn,cdn-name,mx,cname,caa,has_internal_ips,internal_ips
,authenticator.skyc.res.ibm.com,NOERROR,"ns11.haifa.il.ibm.com, itay.il.ibm.com",,119.81.113.121,,,,,,,,,
,authorization.watson.cloud.ibm.com,NOERROR,"ns001.name.cloud.ibm.com, dns.cloudflare.com",,,,,,,,,,,
,autodiscover.de.ibm.com,NOERROR,"y03pexgtm001.ahe.boulder.ibm.com, hostmaster.y03pexgtm001.ahe.boulder.ibm.com",,"170.225.19.31, 129.33.246.154",,,,,,mobileprod1.www-gslb.ibm.com,,,
,autodiscover.ibm.com,NOERROR,"ns1-ms-acdc.office.com, hostmaster.microsoft.com",,"52.98.242.194, 40.99.204.50, 52.97.211.178, 40.99.214.146, 40.99.213.34, 52.97.166.162, 52.98.151.82, 52.98.229.194",,"2603:1026:c0d:c31::2, 2603:1026:c0d:82e::2, 2603:1026:c0d:82f::2, 2603:1026:c0d:81a::2",,,,"outlook.office.com, substrate.office.com, outlook.office365.com, outlook.ha.office365.com, outlook.ms-acdc.office.com, HHN-efz.ms-acdc.office.com, outlook-fs.office.com, outlook-g.trafficmanager.net, FRA-efz.ms-acdc.office.com",,,
,autodiscover.il.ibm.com,NOERROR,"ns1-ms-acdc.office.com, hostmaster.microsoft.com",,,,"2603:1026:c0d:c1c::2, 2603:1026:c0d:807::2, 2603:1026:c0d:c2f::2, 2603:1026:c0d:806::2",,,,"outlook.office.com, substrate.office.com, outlook.office365.com, outlook.ha.office365.com, outlook.ms-acdc.office.com, HHN-efz.ms-acdc.office.com",,,
,autodiscover.jp.ibm.com,NOERROR,"ns1-ms-acdc.office.com, hostmaster.microsoft.com",,"52.96.40.242, 52.96.32.178, 52.96.111.34, 52.96.109.130",,"2603:1036:302:4840::2, 2603:1036:302:4014::2, 2603:1036:206:40::2, 2603:1036:302:840::2",,,,"outlook.office.com, substrate.office.com, outlook.office365.com, outlook.ha.office365.com, outlook.ms-acdc.office.com, MNZ-efz.ms-acdc.office.com",,,
,autodiscover.techzone.ibm.com,NOERROR,"ns086.name.cloud.ibm.com, dns.cloudflare.com",,169.62.174.35,,,,,,mail.techzone.ibm.com,,,
,autodiscover.uk.ibm.com,NOERROR,"ns1-ms-acdc.office.com, hostmaster.microsoft.com",,"52.97.176.34, 52.97.250.194, 40.99.204.82, 40.101.12.114",,"2603:1026:c03:3032::2, 2603:1026:206:6::2, 2603:1026:207:a5::2, 2603:1026:c03:7072::2",,,,"outlook.office.com, substrate.office.com, outlook.office365.com, outlook.ha.office365.com, outlook.ms-acdc.office.com, AMS-efz.ms-acdc.office.com",,,
,autodiscover.us.ibm.com,NOERROR,"ns1-ms-acdc.office.com, hostmaster.microsoft.com",,"52.98.239.162, 52.98.240.146, 52.98.239.194",,"2603:1026:c0e:868::2, 2603:1026:c0e:80f::2, 2603:1026:c0e:863::2",,,,"outlook.office.com, substrate.office.com, outlook.office365.com, outlook.ha.office365.com, outlook.ms-acdc.office.com, SXF-efz.ms-acdc.office.com",,,
,automatedservices.ibm.com,NOERROR,"n0b.akamaiedge.net, hostmaster.akamai.com",,"80.239.150.83, 80.239.150.26",,,,,,"automatedservices.ibm.com.edgekey.net, e77203.b.akamaiedge.net",,,
