new,host,soa,ns,txt,status_code,a,cdn,cdn-name,cname,mx,caa,aaaa,has_internal_ips,internal_ips
[x],webapi-sm.k8s-mw.sm-qa.qa.redislabs.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,"heritage=external-dns,external-dns/owner=sm-qa-zone,external-dns/resource=ingress/k8s-mw/cm-acme-http-solver-p7gt8",NOERROR,34.138.146.29,True,google,,,,,,
[x],webapi-sm.k8s-psc.sm-qa.qa.redislabs.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,"heritage=external-dns,external-dns/owner=sm-qa-zone,external-dns/resource=ingress/k8s-psc/webapi",NOERROR,34.138.146.29,True,google,,,,,,
[x],webapi-sm.k8s-rcp.sm-qa.qa.redislabs.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,"heritage=external-dns,external-dns/owner=sm-qa-zone,external-dns/resource=ingress/k8s-rcp/webapi",NOERROR,34.138.146.29,True,google,,,,,,
[x],webapi-sm.mw.sm-qa.qa.redislabs.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,"heritage=external-dns,external-dns/owner=sm-qa-zone,external-dns/resource=ingress/mw/webapi",NOERROR,34.138.146.29,True,google,,,,,,
[x],webapi-sm.sm-poc.sm-qa.qa.redislabs.com,"ns-cloud-d1.googledomains.com, cloud-dns-hostmaster.google.com",,"heritage=external-dns,external-dns/owner=sm-qa-zone,external-dns/resource=ingress/sm-poc/webapi",NOERROR,34.138.146.29,True,google,,,,,,
[x],webapi.redislabs.com,"ns1.incapdns.net, hostmaster.incapsula.com, ns1.x.incapdns.net",,,NOERROR,45.60.123.1,True,incapsula,i2pwdhx.x.incapdns.net,,,,,
[x],www.redis.com,,,,NOERROR,45.60.121.1,True,incapsula,m7osv3n.impervadns.net,,,,,
[x],www.redislabs.com,"ns1.x.incapdns.net, hostmaster.incapsula.com, ns1.incapdns.net",,,NOERROR,45.60.123.1,True,incapsula,arwrjc4.x.incapdns.net,,,2a02:e980:129::1,,
[x],www.test00929c45.qa.redislabs.com,,,,NOERROR,,,,,,,,,
[x],zabbix.redislabs.com,"ns-1900.awsdns-45.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,10.122.191.9,,,,,,,True,10.122.191.9
[x],zendesk1.redislabs.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,"162.159.128.7, 162.159.138.6",True,cloudflare,mail1.zendesk.com,mail.zendesk.com,,,,
[x],zendesk2.redislabs.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com","ns-1213.awsdns-23.org, ns-1858.awsdns-40.co.uk, ns-444.awsdns-55.com, ns-754.awsdns-30.net",v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,"162.159.138.6, 162.159.128.7, 34.235.62.90, 184.72.174.126, 3.213.143.227",True,cloudflare,mail2.zendesk.com,mail.zendesk.com,,,,
[x],zendesk4.redislabs.com,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",,v=spf1 include:_netblocks.zdsys.com ~all,NOERROR,"162.159.128.7, 162.159.138.6",True,cloudflare,mail4.zendesk.com,mail.zendesk.com,,,,
,redis-commander.uat.qms.grab.com,"ns-1547.awsdns-01.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,13.214.132.167,,,,,,,,
