new,host,soa,status_code,a,aaaa,cname,caa,mx,ns,txt,cdn,cdn-name,has_internal_ips,internal_ips
,casper.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.70,,,,,"ns.domainnetwork.se, ns2.domainnetwork.se, ns3.domainnetwork.com",,,,,
,ceops.dickssportinggoods.com,,NOERROR,2.23.197.26,"2a02:26f0:3500:595::25db, 2a02:26f0:3500:589::25db, 2a02:26f0:3500:58b::25db, 2a02:26f0:3500:590::25db, 2a02:26f0:3500:585::25db","ceops.dickssportinggoods.com.edgekey.net, e9691.dscx.akamaiedge.net",,,,,,,,
,changemypassword.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,"165.160.15.20, 165.160.13.20",,,,,,,,,,
,click.golfgalaxy.com,"internal.akadns.net, hostmaster.akamai.com",NOERROR,208.94.20.19,,"golfgalaxy.ed10.net, redirect.bo3.ed10.net.akadns.net",,,,,,,,
,cloud.vpn.dcsg.com,"ns-1840.awsdns-38.co.uk, awsdns-hostmaster.amazon.com",NOERROR,208.127.73.131,,dcsgvpn.gpcloudservice.com,,,,GPaaS-FQDN-for-customer-dickssportinggoods-1272160441,,,,
,csc.vpn.dcsg.com,"lbns1.dcsgomni.com, hostmaster.lbns1.dcsgomni.com",NOERROR,199.30.194.235,,cscvpn.dns.dcsgomni.com,,,,,,,,
,dallas.vpn.dcsg.com,,NOERROR,199.30.192.235,,,,,,,,,,
,dallasdns1.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.193.115,,,,,,,,,,
,dallasdns2.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.193.116,,,,,,,,,,
,dallasmail1.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.193.83,,,,,,,,,,
,dallasmail2.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.193.84,,,,,,,,,,
,dapi.dickssportinggoods.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,2.18.162.137,"2a02:26f0:1700:38e::25db, 2a02:26f0:1700:385::25db, 2a02:26f0:1700:386::25db, 2a02:26f0:1700:383::25db, 2a02:26f0:1700:380::25db","dapi.dickssportinggoods.com.edgekey.net, e9691.dscx.akamaiedge.net",,,,,,,,
,dayone.dickssportinggoods.com,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.74.173.52,,"www.dickssportinggoods.com, new.dickssportinggoods.com.edgekey.net, e9691.x.akamaiedge.net",,,,,,,,
,delta.dickssportinggoods.com,,NOERROR,184.51.234.197,"2001:2030:21:1b7::25db, 2001:2030:21:192::25db, 2001:2030:21:1a3::25db, 2001:2030:21:1a8::25db, 2001:2030:21:1b1::25db","delta.dickssportinggoods.com.edgekey.net, e9691.dscx.akamaiedge.net",,,,,,,,
,dev-availability.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,107.178.245.80,,,,,,,True,google,,
,dev-cms.dickssportinggoods.com,"n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,23.192.153.18,"2a02:26f0:3100:795::25db, 2a02:26f0:3100:790::25db, 2a02:26f0:3100:782::25db, 2a02:26f0:3100:78d::25db, 2a02:26f0:3100:787::25db","dev-cms.dickssportinggoods.com.edgekey.net, e9691.dscx.akamaiedge.net",,,,,,,,
,dev-cms.golfgalaxy.com,,NOERROR,95.100.65.115,,"dev-cms.golfgalaxy.com.edgekey.net, e13910.dscx.akamaiedge.net",,,,,,,,
,dev-cms.publiclands.com,,NOERROR,"2.23.209.135, 2.23.209.141","2a02:26f0:3500:1b::1724:a384, 2a02:26f0:3500:1b::1724:a39e","dev-cms.publiclands.com.edgekey.net, e132905.dscx.akamaiedge.net",,,,,,,,
,diagrams.pages.dcsg.com,,NOERROR,"185.199.109.153, 185.199.110.153, 185.199.111.153, 185.199.108.153","2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153",dsg-tech.github.io,,,,,,,,
,dickssportinggoods.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,67.88.8.34,,,,"mxa-00228b01.gslb.pphosted.com, mxb-00228b01.gslb.pphosted.com","dns1.cscdns.net, dns2.cscdns.net","amazonses:xtyuowGyuMAtk/q2gnrQqGObkXN7JsxiSR+CnpFlpAE=, v=spf1 include:%{ir}.%{v}.%{d}.spf.has.pphosted.com ~all, facebook-domain-verification=i86q6ksuz4hmfhv48gxn67xula2orl, google-site-verification=QAYVaTCaGxyenTho_lp6s6LvQ2pM69-TJ9FkkYGX8TE, google-site-verification=_RKHXnBB4YCcjtKME3HGp3cVUndO9pgELvYGTVrmHf4",,,,
,ds.dcsg.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,u177607.wl108.sendgrid.net,,,,,,,,
,dsg-uat-m.dickssportinggoods.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,,,,
,dsgconnect.dcsg.com,"ns-1637.awsdns-12.co.uk, awsdns-hostmaster.amazon.com",NOERROR,161.129.72.21,,dsgconnect.voicestorm.com,,,,,,,,
,dsgn.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.76,,,,,,,,,,
,dsgsbcext.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,199.30.195.113,,,,,,,,,,
,e.dcsg.com,"dns1.cscdns.net, hostmaster.melbourneitcbs.com",NOERROR,159.127.198.162,,,,,,,,,,
,e.fieldandstreamshop.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,159.127.187.121,,,,,,,,,,
,e.goinggoinggone.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,159.127.187.12,,,,,,,,,,
,e.golfgalaxy.com,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,159.127.187.121,,,,,,,,,,
