new,host,a,soa,status_code,cname,ns,aaaa,cdn,cdn-name,has_internal_ips,internal_ips,txt,caa,mx
[x],sin163.oob.ikarem.io,172.24.255.49,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.49,,,
[x],sin164.meraki.com,192.168.255.171,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,192.168.255.171,,,
[x],sin164.oob.ikarem.io,172.24.255.50,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.50,,,
[x],sin165.meraki.com,216.157.137.249,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,2620:12f:c008:115:6a05:caff:fe8f:f1c,,,,,,,
[x],sin165.oob.ikarem.io,172.24.255.51,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.51,,,
[x],sin167.meraki.com,216.157.137.250,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,2620:12f:c008:115:6a05:caff:fe8f:18e4,,,,,,,
[x],sin167.oob.ikarem.io,172.24.255.53,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.53,,,
[x],sin169.meraki.com,209.206.61.62,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],sin169.oob.ikarem.io,172.24.255.55,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.55,,,
[x],sin170.meraki.com,209.206.61.63,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],sin171.meraki.com,209.206.61.64,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,2620:12f:c008:0:a653:eff:feb6:e72a,,,,,,,
[x],sin171.oob.ikarem.io,172.24.255.57,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.57,,,
[x],sin172.meraki.com,209.206.62.107,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,2620:12f:c009:100:a653:eff:feb7:2b73,,,,,,,
[x],sin172.oob.ikarem.io,172.24.255.58,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"ns-1428.awsdns-50.org, ns-1869.awsdns-41.co.uk, ns-358.awsdns-44.com, ns-668.awsdns-19.net",,,,True,172.24.255.58,,,
[x],sin173.meraki.com,,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,2620:12f:c009:100:a653:eff:feb7:11db,,,,,,,
[x],sin173.oob.ikarem.io,172.24.255.59,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.59,,,
[x],sin174.meraki.com,209.206.61.67,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,2620:12f:c008:0:a653:eff:feb7:2996,,,,,,,
[x],sin174.oob.ikarem.io,,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],sin175.meraki.com,209.206.61.68,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,2620:12f:c008:0:a653:eff:feb7:2a9b,,,,,,,
[x],sin176.oob.ikarem.io,172.24.255.62,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.62,,,
[x],sin177.meraki.com,209.206.61.70,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,2620:12f:c008:0:a653:eff:feb7:2ab6,,,,,,,
[x],sin177.oob.ikarem.io,172.24.255.63,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.63,,,
[x],sin178.meraki.com,209.206.61.71,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],sin178.oob.ikarem.io,172.24.255.64,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.255.64,,,
[x],sin179.meraki.com,209.206.62.113,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,"ns-112.awsdns-14.com, ns-1423.awsdns-49.org, ns-1777.awsdns-30.co.uk, ns-855.awsdns-42.net",2620:12f:c009:100:5e71:dff:fe25:8beb,,,,,,,
[x],sin180.meraki.com,172.24.70.148,"ns-1777.awsdns-30.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,172.24.70.148,,,
[x],sin180.oob.ikarem.io,,"ns-1869.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
