new,host,a,soa,status_code,ns,mx,txt,cname,cdn,cdn-name,aaaa,has_internal_ips,internal_ips,caa
[x],d8e49152.ts.checkpoint.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49153.ts.checkpoint.com,216.228.145.83,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49161.ts.checkpoint.com,216.228.145.97,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49173.ts.checkpoint.com,216.228.145.115,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49181.ts.checkpoint.com,216.228.145.129,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49182.ts.checkpoint.com,216.228.145.130,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49183.ts.checkpoint.com,216.228.145.131,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49184.ts.checkpoint.com,216.228.145.132,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e491a0.ts.checkpoint.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e491a3.ts.checkpoint.com,216.228.145.163,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e491a4.ts.checkpoint.com,216.228.145.164,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e491b0.ts.checkpoint.com,216.228.145.176,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e491c1.ts.checkpoint.com,216.228.145.193,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e491c4.ts.checkpoint.com,216.228.145.196,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e491d0.ts.checkpoint.com,216.228.145.208,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e491d2.ts.checkpoint.com,216.228.145.210,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e491d4.ts.checkpoint.com,216.228.145.212,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e491e2.ts.checkpoint.com,216.228.145.226,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e491e3.ts.checkpoint.com,216.228.145.227,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e491e4.ts.checkpoint.com,216.228.145.228,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e491f1.ts.checkpoint.com,216.228.145.241,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e491f2.ts.checkpoint.com,216.228.145.242,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e491f3.ts.checkpoint.com,216.228.145.243,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e491f4.ts.checkpoint.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49404.ts.checkpoint.com,216.228.148.4,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49412.ts.checkpoint.com,216.228.148.18,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49442.ts.checkpoint.com,216.228.148.66,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49443.ts.checkpoint.com,216.228.148.67,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49452.ts.checkpoint.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49453.ts.checkpoint.com,216.228.148.83,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49470.ts.checkpoint.com,216.228.148.112,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49472.ts.checkpoint.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49474.ts.checkpoint.com,216.228.148.116,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49481.ts.checkpoint.com,216.228.148.129,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49482.ts.checkpoint.com,216.228.148.130,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49483.ts.checkpoint.com,216.228.148.131,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49484.ts.checkpoint.com,216.228.148.132,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49494.ts.checkpoint.com,216.228.148.148,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e494a0.ts.checkpoint.com,216.228.148.160,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e494b0.ts.checkpoint.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e494b3.ts.checkpoint.com,216.228.148.179,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e494c0.ts.checkpoint.com,216.228.148.192,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e494c1.ts.checkpoint.com,216.228.148.193,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e494d1.ts.checkpoint.com,216.228.148.209,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e494d2.ts.checkpoint.com,216.228.148.210,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e494d3.ts.checkpoint.com,216.228.148.211,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e494e4.ts.checkpoint.com,216.228.148.228,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e494f0.ts.checkpoint.com,216.228.148.240,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e494f2.ts.checkpoint.com,216.228.148.242,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e494f3.ts.checkpoint.com,216.228.148.243,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e494f4.ts.checkpoint.com,216.228.148.244,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49601.ts.checkpoint.com,216.228.150.1,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49603.ts.checkpoint.com,216.228.150.3,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49604.ts.checkpoint.com,216.228.150.4,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49611.ts.checkpoint.com,216.228.150.17,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49613.ts.checkpoint.com,216.228.150.19,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49615.ts.checkpoint.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49620.ts.checkpoint.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49621.ts.checkpoint.com,216.228.150.33,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49625.ts.checkpoint.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49630.ts.checkpoint.com,216.228.150.48,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49631.ts.checkpoint.com,216.228.150.49,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49632.ts.checkpoint.com,216.228.150.50,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49633.ts.checkpoint.com,216.228.150.51,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49640.ts.checkpoint.com,216.228.150.64,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49642.ts.checkpoint.com,216.228.150.66,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49643.ts.checkpoint.com,216.228.150.67,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49652.ts.checkpoint.com,216.228.150.82,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49654.ts.checkpoint.com,216.228.150.84,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49660.ts.checkpoint.com,216.228.150.96,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49681.ts.checkpoint.com,216.228.150.129,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49683.ts.checkpoint.com,216.228.150.131,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49690.ts.checkpoint.com,216.228.150.144,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49691.ts.checkpoint.com,216.228.150.145,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49693.ts.checkpoint.com,216.228.150.147,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49694.ts.checkpoint.com,216.228.150.148,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e496a1.ts.checkpoint.com,216.228.150.161,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e496a3.ts.checkpoint.com,216.228.150.163,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e496a4.ts.checkpoint.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e496c3.ts.checkpoint.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e496d2.ts.checkpoint.com,216.228.150.210,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e496d3.ts.checkpoint.com,216.228.150.211,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e496e0.ts.checkpoint.com,216.228.150.224,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e496e2.ts.checkpoint.com,216.228.150.226,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e496f2.ts.checkpoint.com,216.228.150.242,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e496f4.ts.checkpoint.com,216.228.150.244,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49f02.ts.checkpoint.com,216.228.159.2,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49f03.ts.checkpoint.com,216.228.159.3,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49f15.ts.checkpoint.com,216.228.159.21,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49f30.ts.checkpoint.com,216.228.159.48,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49f31.ts.checkpoint.com,216.228.159.49,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49f33.ts.checkpoint.com,216.228.159.51,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49f34.ts.checkpoint.com,216.228.159.52,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49f41.ts.checkpoint.com,216.228.159.65,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49f42.ts.checkpoint.com,216.228.159.66,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49f51.ts.checkpoint.com,216.228.159.81,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49f53.ts.checkpoint.com,216.228.159.83,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49f60.ts.checkpoint.com,216.228.159.96,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49f61.ts.checkpoint.com,216.228.159.97,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49f63.ts.checkpoint.com,216.228.159.99,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49f71.ts.checkpoint.com,216.228.159.113,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49f73.ts.checkpoint.com,216.228.159.115,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49f74.ts.checkpoint.com,216.228.159.116,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49f80.ts.checkpoint.com,216.228.159.128,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49f91.ts.checkpoint.com,216.228.159.145,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49f92.ts.checkpoint.com,216.228.159.146,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49f93.ts.checkpoint.com,216.228.159.147,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49fa2.ts.checkpoint.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49fa4.ts.checkpoint.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49fb3.ts.checkpoint.com,216.228.159.179,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49fc0.ts.checkpoint.com,216.228.159.192,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49fc1.ts.checkpoint.com,216.228.159.193,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49fc3.ts.checkpoint.com,216.228.159.195,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49fc4.ts.checkpoint.com,216.228.159.196,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49fd0.ts.checkpoint.com,216.228.159.208,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49fd1.ts.checkpoint.com,216.228.159.209,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49fe2.ts.checkpoint.com,216.228.159.226,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],d8e49ff3.ts.checkpoint.com,216.228.159.243,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],davis3.checkpoint.com,194.29.32.198,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],davis4.checkpoint.com,194.29.38.20,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],db-gitvpn.sslvpn.checkpoint.com,194.29.38.95,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],de-vsmp-sme.checkpoint.com,217.68.8.19,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],deliveries.checkpoint.com,194.29.39.46,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],demo-pce-data.cpm.checkpoint.com,194.29.38.135,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],demo1500.checkpoint.com,194.29.32.157,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],developer.checkpoint.com,"141.193.213.20, 141.193.213.21","darwin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,ngpwtmr3yfnr.wpeproxy.com,,,,,,
[x],developers.il-ebc.checkpoint.com,194.29.32.155,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],devops.i2.checkpoint.com,"54.72.147.194, 54.194.81.252, 108.128.28.183","ns-1581.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],diag-services.checkpoint.com,194.29.39.52,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],dns1.cloud.checkpoint.com,217.68.8.83,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],dns2.cloud.checkpoint.com,209.87.211.187,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],dnsguard.checkpoint.com,"63.35.51.205, 63.35.50.221","ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],docs-01.checkpoint.com,194.29.38.108,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],docsec-ems.checkpoint.com,209.87.211.155,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,docsec-ems.us.checkpoint.com,,,,,,
[x],docsec-ems.us.checkpoint.com,209.87.211.155,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],docsec-webviewer.checkpoint.com,209.87.211.156,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,docsec-webviewer.us.checkpoint.com,,,,,,
[x],docsec-webviewer.us.checkpoint.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],docsec.checkpoint.com,209.87.211.176,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,docsec.us.checkpoint.com,,,,,,
[x],docsec.g04.checkpoint.com,"209.87.212.129, 209.87.212.128, 209.87.212.240","ns-1581.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],docsec.us.checkpoint.com,209.87.211.176,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],documentsecurity-id.checkpoint.com,209.87.211.160,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,documentsecurity-id.us.checkpoint.com,,,,,,
[x],documentsecurity-id.us.checkpoint.com,209.87.211.160,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],documentsecurity-stg.checkpoint.com,209.97.120.80,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],documentsecurity-stg.us.checkpoint.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],documentsecurity.checkpoint.com,209.87.211.154,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,documentsecurity.us.checkpoint.com,,,,,,
[x],documentsecurity.g04.checkpoint.com,"209.87.212.240, 209.87.212.129, 209.87.212.128","ns-1581.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],documentsecurity.us.checkpoint.com,209.87.211.154,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],dove.checkpoint.com,194.29.32.156,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],downloads.checkpoint.com,209.87.209.86,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,2620:0:2a01:3::1a12,,,
[x],ds.checkpoint.com,209.87.211.175,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,ds.us.checkpoint.com,,,,,,
[x],ds.g04.checkpoint.com,"209.87.212.129, 209.87.212.240, 209.87.212.128","ns-1581.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],dynamicid.checkpoint.com,194.29.38.26,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],easmc.checkpoint.com,194.29.32.220,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],edge.checkpoint.com,,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],elasticbeanstalk-erroruser.cpm.checkpoint.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],enterpriseenrollment.checkpoint.com,13.74.111.192,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,,"enterpriseenrollment.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com, pexsucpeu02.westeurope.cloudapp.azure.com",True,azure,,,,
[x],enterpriseregistration.checkpoint.com,20.190.137.40,"tm1.dns-tm.com, hostmaster.trafficmanager.net, internal.akadns.net, hostmaster.akamai.com",NOERROR,,,,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.trafficmanager.net, www.tm.prd.adrs.akadns.net",True,azure,,,,
[x],epl.checkpoint.com,209.87.209.104,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],epm.checkpoint.com,,"ns-1686.awsdns-18.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1401.awsdns-47.org, ns-1686.awsdns-18.co.uk, ns-489.awsdns-61.com, ns-859.awsdns-43.net",,q5upo64pn9dfl0u34h2a1bkk1f,,,,,,,
[x],eu-west-1.g04.checkpoint.com,54.220.66.248,"ns-1581.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],eu.cloudinfra.kube1.iaas.checkpoint.com,,"ns-1751.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"ns-1408.awsdns-48.org, ns-1751.awsdns-26.co.uk, ns-492.awsdns-61.com, ns-914.awsdns-50.net",,,,,,,,,
[x],eu.sbm.portal.checkpoint.com,,"ns-1641.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],eucpm.checkpoint.com,178.162.128.130,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,"dns1.p01.nsone.net, dns2.p01.nsone.net, dns3.p01.nsone.net, dns4.p01.nsone.net",,,,,,,,,
[x],eumobile.checkpoint.com,213.88.151.71,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],eureka.iaas.checkpoint.com,"34.253.164.77, 52.18.154.169, 34.248.148.179","ns-732.awsdns-27.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],evasions.checkpoint.com,"185.199.111.153, 185.199.109.153, 185.199.108.153, 185.199.110.153","dns1.p05.nsone.net, hostmaster.nsone.net",NOERROR,,,,checkpointsw.github.io,,,"2606:50c0:8000::153, 2606:50c0:8001::153, 2606:50c0:8002::153, 2606:50c0:8003::153",,,"digicert.com, letsencrypt.org"
[x],extensions.checkpoint.com,34.96.78.214,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,True,google,,,,
[x],extranet-production.cpm.checkpoint.com,194.29.38.135,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],extvpn.checkpoint.com,194.29.38.82,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],fairfax.ott.checkpoint.com,172.102.158.35,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,,,,,,,
[x],fiona.checkpoint.com,194.29.38.65,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],fnf.sbm.kube1.iaas.checkpoint.com,,"ns-1300.awsdns-34.org, awsdns-hostmaster.amazon.com",NOERROR,"ns-1300.awsdns-34.org, ns-1775.awsdns-29.co.uk, ns-325.awsdns-40.com, ns-705.awsdns-24.net",,,,,,,,,
[x],forensics-report.checkpoint.com,217.68.8.86,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],fortune.checkpoint.com,194.29.39.74,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],fortune.us.checkpoint.com,194.29.39.74,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,fortune.checkpoint.com,,,,,,
[x],forums.checkpoint.com,194.29.39.13,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],fountain-juiceshop.dev.i2.checkpoint.com,34.245.28.66,"ns-1577.awsdns-05.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],france.checkpoint.com,88.190.221.190,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],ftp-proxy.checkpoint.com,194.29.38.122,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,ftp.checkpoint.com,,,,,,
[x],ftp.checkpoint.com,194.29.38.122,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],ftp.ts.checkpoint.com,,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,mercury.ts.checkpoint.com,,,,,,
[x],ftp.us.checkpoint.com,216.228.148.22,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,,,,"ftp.ts.checkpoint.com, mercury.ts.checkpoint.com",,,,,,
[x],ftplogs.checkpoint.com,209.87.212.62,"ns9.checkpoint.com, system.checkpoint.com",NOERROR,,,,,,,,,,
[x],fwcloud.checkpoint.com,194.29.38.142,"dns1.p01.nsone.net, hostmaster.nsone.net",NOERROR,"dns1.p01.nsone.net, dns2.p01.nsone.net, dns3.p01.nsone.net, dns4.p01.nsone.net",,,,,,,,,
