new,host,aaaa,soa,status_code,a,cname,cdn,cdn-name,txt,mx,ns
[x],whois.eurid.eu,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.16.124.20, 104.16.165.52",whois.eurid.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],whois.lu.eurid.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,,,,,,
[x],whois.lu.registry.eu,2001:67c:9c:2011::9,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.9,,,,,,
[x],whois.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.9,whois.nl.registry.eu,,,,,
[x],whois.staging.lu.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.73,,,,,,
[x],whois.staging.nl.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.73,,,,,,
[x],whois.staging.registry.eu,2001:67c:40:2651::9,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.73,whois.staging.nl.registry.eu,,,,,
[x],whois.tryout.lu.registry.eu,2001:67c:9c:2331::9,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.4.41,,,,,,
[x],whois.tryout.nl.registry.eu,2001:67c:40:2331::9,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.41,,,,,,
[x],whois.tryout.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.36.6.41,whois.tryout.nl.registry.eu,,,,,
[x],www.eurid.eu,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.16.124.20, 104.16.165.52",www.eurid.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],www.lu.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,"104.22.46.221, 104.22.47.221",lu.registry.eu,True,cloudflare,,,
[x],www.nl.registry.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,,nl.registry.eu,,,,,
[x],www.registry.eu,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.22.46.221, 172.67.20.88, 104.22.47.221",registry.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],www.webawards.eurid.eu,"2606:4700::6810:7c14, 2606:4700::6810:a534","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.16.124.20, 104.16.165.52",webawards.eurid.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],www.yadifa.eu,,,NOERROR,"172.67.149.92, 104.21.41.184",yadifa.eu.cdn.cloudflare.net,True,cloudflare,,,
[x],www2.whois.eu,,,NOERROR,,,,,,,
[x],x.dns.eu,2a02:568:fe00::6575,"si.dns.eu, tech.eurid.eu",NOERROR,185.151.141.1,,,,,,
[x],x.nic.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,185.151.141.1,,,,,,
[x],y.dns.eu,"2001:678:20::28, 2a02:568:fe00::6575, 2001:67c:1010:23::53, 2001:978:2:1::93:2, 2001:1470:8000:100::62","si.dns.eu, tech.eurid.eu",NOERROR,"194.146.106.90, 194.0.25.28, 185.151.141.1, 149.38.1.26, 193.2.221.62",,,,,,"si.dns.eu, be.dns.eu, w.dns.eu, x.dns.eu, y.dns.eu"
[x],y.nic.eu,2001:67c:1010:23::53,"ns1.eurid.eu, tech.eurid.eu",NOERROR,194.146.106.90,,,,,,
[x],yadifa.eu,,"ns.yadifa.eu, tech.eurid.eu",NOERROR,"104.28.19.3, 104.28.18.3, 172.67.128.39",,,,,"mx.eurid.eu, barra.eurid.eu, cuda.eurid.eu","ns2.eurid.eu, ns1.eurid.eu, ns3.eurid.eu, ns4.eurid.eu"
[x],z.dns.eu,,"si.dns.eu, tech.eurid.eu",NOERROR,162.88.56.1,,,,,,
[x],z.nic.eu,,"ns1.eurid.eu, tech.eurid.eu",NOERROR,162.88.56.1,,,,,,
,manicheus.tianma-prd-in.vivo.com,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,129.227.254.190,,,,,,
,npm-registry.euwe1.uds.lenovo.com,,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"104.16.145.246, 104.16.144.246",npm-registry.euwe1.uds.lenovo.com.cdn.cloudflare.net,True,cloudflare,,,
,schemaregistry-eu-rr.tianma-prd-in.vivo.com,,"ns3.dnsv5.com, enterprise3dnsadmin.dnspod.com",NOERROR,129.227.254.190,,,,,,"ns4.dnsv5.com, ns3.dnsv5.com"
