new,host,a,cname,soa,status_code,aaaa,ns,cdn,cdn-name,mx,txt,caa
[x],demo.bluetarp.com,,,"ns-468.awsdns-58.com, root.bluetarp.com",NOERROR,,,,,,_globalsign-domain-verification=qL5m59ohYrC7FHD4C9pylCU3SzceVw7TKHSnbBugoU,
[x],deposits.capitalone.com,"104.126.37.144, 104.126.37.139","www.capitalone.com, emwp-prod-controller.d16207fc61.capitalonegslbex.com, www.capitalone.com.edgekey.net, e64599.x.akamaiedge.net","n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,
[x],dev-scoop.cloud.capitalone.com,54.144.128.85,,,NOERROR,,,,,,,
[x],dev.capitalone.com,,,"ns1.capitalone.com, hostmaster.capitalone.com",NOERROR,,,,,"mx0a-001b4103.pphosted.com, mx0b-001b4103.pphosted.com","v=spf1 ip4:148.163.151.254 ip4:148.163.155.198 ip4:204.63.40.128 ip4:204.63.41.128 ip4:199.244.214.0/24 ip4:204.63.44.0/24 ~all, google-site-verification=xRBL2WuzyPRPRw7rS6lQ0FeY1fMxs_WqqFovd8Ogc4s",
[x],dev.usejewel.com,"172.67.71.254, 104.26.4.103, 104.26.5.103",,"ivy.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"2606:4700:20::681a:467, 2606:4700:20::681a:567, 2606:4700:20::ac43:47fe",,True,cloudflare,,,
[x],developer-beta.capitalone.com,,dxo-cdn-beta.aws-stdt.capitalonegslbex.com,"ns-1022.awsdns-63.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],developer-data.capitalone.co.uk,"52.212.132.90, 34.247.238.55, 52.211.39.223","developer-data-prod.aws-uk.capitalonegslbex.com, rpdevapi-prod-ew1-traffic.aws-cof-uk-core-pub-prd-waf-ew1.capitalonegslbex.com","ns-769.awsdns-32.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],developer.capitalone.com,"108.138.7.26, 108.138.7.111, 108.138.7.96, 108.138.7.36",dxo-cdn.aws-stdt.capitalonegslbex.com,"ns-1022.awsdns-63.net, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,
[x],developerit-support.capitalone.com,,,,NOERROR,,,,,,,
[x],deviceinfo-it.capitalone.com,"100.24.217.7, 3.216.106.116, 23.22.171.1","deviceinfo-it.aws-stsd-dqa.capitalonegslbex.com, inauth-ite-east-traffic.aws-cof-eppt-core-pub-qa-waf-ue1.capitalonegslbex.com","ns-1941.awsdns-50.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],deviceinfo.capitalone.com,"54.70.209.248, 35.161.200.231, 44.241.14.106","deviceinfo.aws-stsd.capitalonegslbex.com, deviceinfo-rp-east.aws-stsd.capitalonegslbex.com, deviceinfo-rp-w.aws-stsd.capitalonegslbex.com, inauth-prod-west-traffic.aws-cof-eppt-core-pub-prd-waf-uw2.capitalonegslbex.com","ns-1930.awsdns-49.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],dibpmail02.capitalone360.com,54.144.128.85,,,NOERROR,,,,,,,
