new,host,a,cname,soa,status_code,aaaa,cdn,cdn-name,ns,caa,mx,txt,has_internal_ips,internal_ips
[x],balrog.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],bbs-brasil.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],bbstreatwellationsdevdiscovid19.sa-api.brasil.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],bcl.bitdefender.net,195.189.155.136,,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],bdvpnrw.bitdefender.net,91.199.104.155,,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],beijing.athena.bitdefender.net,195.189.155.207,athena.bitdefender.net,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],belt.orion.bitdefender.com,35.198.78.74,belt.orion.bitdefender.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,True,google,,,,,,
[x],beta-account.bitdefender.com,"104.18.169.222, 104.18.168.222",beta-account.bitdefender.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:a9de, 2606:4700::6812:a8de",True,cloudflare,,,,,,
[x],beta-central.bitdefender.com,"104.18.169.222, 104.18.168.222",beta-central.bitdefender.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:a8de, 2606:4700::6812:a9de",True,cloudflare,,,,,,
[x],beta-dns.bitdefender.net,"81.161.59.118, 81.161.59.115",,"pdns210.ultradns.com, tech-admin.bitdefender.com",NOERROR,,,,,,,,,
[x],beta-msp.bitdefender.com,"104.18.168.222, 104.18.169.222",beta-msp.bitdefender.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,"2606:4700::6812:a8de, 2606:4700::6812:a9de",True,cloudflare,,,,,,
