new,host,a,soa,status_code,cname,cdn,cdn-name,aaaa,ns,caa,txt,has_internal_ips,internal_ips,mx
[x],staging.kkr.com,146.88.104.187,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],support.kkr.com,65.216.176.44,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,redirect.kkr.com,,,,,,,,,
[x],survey.kkr.com,199.168.174.14,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],swn.kkr.com,65.216.176.44,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,redirect.kkr.com,,,,,,,,,
[x],tangoe.kkr.com,65.216.176.44,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,redirect.kkr.com,,,,,,,,,
[x],technology.kkr.com,,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],teleport-dev.delivery.kkr.cloud,,"ns-1472.awsdns-56.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,"heritage=external-dns,external-dns/owner=infra-delivery-dev,external-dns/resource=service/teleport-dev/teleport-cluster",,,
[x],tkvpn.kkr.com,124.32.118.90,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],uat.portaltest.kkr.com,"108.138.17.108, 108.138.17.13, 108.138.17.63, 108.138.17.64","ns-133.awsdns-16.com, awsdns-hostmaster.amazon.com",NOERROR,,True,cloudfront,,,,,,,
[x],useast.kkr.com,,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,"vavdi.kkr.com, vavdi.sso.kkr.com",,,,,,,,,
[x],vapjamf01.kkr.com,8.45.119.111,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],vapmstunnel.sso.kkr.com,"8.45.119.60, 65.216.176.30","ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],vapteamssbc01.kkr.com,65.216.176.71,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,"pdns02.domaincontrol.com, pdns01.domaincontrol.com",,,,,
[x],vasip.kkr.com,65.216.176.26,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,"vasip.sso.kkr.com, vasip01.sso.kkr.com",,,,"ns-1029.awsdns-00.org, ns-1715.awsdns-22.co.uk, ns-244.awsdns-30.com, ns-521.awsdns-01.net",,,,,
[x],vasip01.sso.kkr.com,65.216.176.26,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],vasipfile.sso.kkr.com,65.216.176.27,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],vavdi.kkr.com,8.45.119.52,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,vavdi.sso.kkr.com,,,,,,,,,
[x],vavdi.sso.kkr.com,65.216.176.52,"ns-521.awsdns-01.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],vdi.kkr.com,,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],videos.kkr.com,,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],view.communications.kkr.com,128.245.113.173,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],webcon.kkr.com,65.216.176.41,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,lync.kkr.com,,,,,,,,,
[x],west.cba-uat.identity.kkr.com,"44.241.126.69, 44.225.239.221","ns-1870.awsdns-41.co.uk, awsdns-hostmaster.amazon.com",NOERROR,infra-identity-uat-fr-ig-cba-nlb-470bdad52d6c6b35.elb.us-west-2.amazonaws.com,,,,,,,,,
[x],west.sso-uat.identity.kkr.com,"35.163.252.83, 44.230.139.224, 35.166.58.106, 35.155.78.47","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,infra-identity-uat-fr-lb-ig-01-7499693.us-west-2.elb.amazonaws.com,,,,,,,,,
[x],west.sso.identity.kkr.com,"35.165.89.212, 54.69.35.138, 52.11.64.25, 44.236.212.208","ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,infra-identity-prod-fr-lb-ig-01-1837106953.us-west-2.elb.amazonaws.com,,,,"ns-1475.awsdns-56.org, ns-1769.awsdns-29.co.uk, ns-332.awsdns-41.com, ns-560.awsdns-06.net",,,,,
[x],wifi.kkr.com,1.1.1.1,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
[x],workday.kkr.com,65.216.176.44,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,redirect.kkr.com,,,,,,,,,
[x],ww2.kkr.com,"104.21.66.225, 172.67.207.186","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,ww1.kkr.com.cdn.cloudflare.net,True,cloudflare,,,,,,,
[x],www.green.kkr.com,,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,green.kkr.com,,,,,,,,,
[x],www.kkr.com,,,NOERROR,www.kkr.com.cdn.cloudflare.net,True,cloudflare,,,,,,,
[x],www.sso.identity.kkr.com,"52.54.34.82, 107.23.82.205, 54.162.9.72, 44.199.179.186","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,infra-identity-prod-fr-lb-ig-01-2088594348.us-east-1.elb.amazonaws.com,,,,,,,,,
[x],www.view.communications.kkr.com,,,NOERROR,,,,,,,,,,
[x],www9.kkr.com,,"pdns01.domaincontrol.com, dns.jomax.net",NOERROR,,,,,,,,,,
