new,host,a,aaaa,soa,status_code,cdn,cdn-name,cname,has_internal_ips,internal_ips
[x],qa.offensive-security.com,,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],r.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:49f, 2606:4700::6812:59f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],redirector.kali.org,,"2606:4700::6812:59f, 2606:4700::6812:49f",,NOERROR,True,cloudflare,,,
[x],ru.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:59f, 2606:4700::6812:49f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],salt.kali.org,3.222.23.60,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,artemis.kali.org,,
[x],sg.offensive-security.com,,,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,u2198108.wl109.sendgrid.net,,
[x],sgl.offensive-security.com,"167.89.123.54, 167.89.118.52, 167.89.118.83, 167.89.123.124",,,NOERROR,,,sendgrid.net,,
[x],shop.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],smtp2.offensive-security.com,54.84.169.62,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,smtp4.offensive-security.com,,
[x],smtp3.offensive-security.com,54.84.169.62,,,NOERROR,,,smtp4.offensive-security.com,,
[x],smtp4.offensive-security.com,54.84.169.62,,,NOERROR,,,,,
[x],staging.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:49f, 2606:4700::6812:59f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],status.kali.org,192.124.249.56,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],status.offensive-security.com,217.70.184.56,,,NOERROR,,,webredir.gandi.net,,
[x],statustest11.offensive-security.com,217.70.184.56,,,NOERROR,,,webredir.gandi.net,,
[x],systemppdocs.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:59f, 2606:4700::6812:49f",,NOERROR,True,cloudflare,,,
[x],terpsichore.kali.org,54.39.49.227,,,NOERROR,,,,,
[x],tickets.offensive-security.com,45.79.131.24,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],tk09.docs.kali.org,"104.18.5.159, 104.18.4.159",,,NOERROR,True,cloudflare,,,
[x],tools.kali.org,"104.18.5.159, 104.18.4.159","2606:4700::6812:49f, 2606:4700::6812:59f",,NOERROR,True,cloudflare,,,
[x],tor70-128-pdb.docs.kali.org,"104.18.5.159, 104.18.4.159","2606:4700::6812:59f, 2606:4700::6812:49f",,NOERROR,True,cloudflare,,,
[x],tr.docs.kali.org,"104.18.5.159, 104.18.4.159","2606:4700::6812:59f, 2606:4700::6812:49f",,NOERROR,True,cloudflare,,,
[x],tracker.backtrack-linux.org,23.92.17.15,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,"tracker.kali.org, lachesis.kali.org",,
[x],tracker.kali.org,23.92.17.15,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,lachesis.kali.org,,
[x],uhilhpabk.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:59f, 2606:4700::6812:49f",,NOERROR,True,cloudflare,,,
[x],unicorn-dev.offensive-security.com,45.79.131.24,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],upload.offensive-security.com,192.124.249.53,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],urania.kali.org,51.161.119.11,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],v1awsstreaming.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:49f, 2606:4700::6812:59f",,NOERROR,True,cloudflare,,,
[x],v2pr-dev.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:49f, 2606:4700::6812:59f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],vault.offensive-security.com,,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],vault1.offensive-security.com,,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],vault2.offensive-security.com,,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],vault3.offensive-security.com,,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],vault4.offensive-security.com,,,"ns1.gandi.net, hostmaster.gandi.net",NOERROR,,,,,
[x],vnbr21.docs.kali.org,"104.18.5.159, 104.18.4.159","2606:4700::6812:49f, 2606:4700::6812:59f",,NOERROR,True,cloudflare,,,
[x],wang.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:49f, 2606:4700::6812:59f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],wdc03-prd-pimcc-01b.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:59f, 2606:4700::6812:49f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],weibo.docs.kali.org,"104.18.5.159, 104.18.4.159","2606:4700::6812:49f, 2606:4700::6812:59f",,NOERROR,True,cloudflare,,,
[x],www.bugs.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],www.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:49f, 2606:4700::6812:59f","nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,,,
[x],www.forums.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],www.kali.org,"188.114.99.234, 188.114.98.234",,,NOERROR,True,cloudflare,,,
[x],www.offensive-security.com,192.124.249.5,,,NOERROR,,,,,
[x],www.status.kali.org,,,"nash.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,
[x],z9system-zcontest.docs.kali.org,"104.18.4.159, 104.18.5.159","2606:4700::6812:49f, 2606:4700::6812:59f",,NOERROR,True,cloudflare,,,
[x],zendesk2.offensive-security.com,"162.159.128.7, 162.159.138.6",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail2.zendesk.com,,
[x],zendesk3.offensive-security.com,"162.159.138.6, 162.159.128.7",,"ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudflare,mail3.zendesk.com,,
[x],zendesk4.offensive-security.com,"162.159.128.7, 162.159.138.6",,,NOERROR,True,cloudflare,mail4.zendesk.com,,
[x],zeus.kali.org,144.217.77.182,,,NOERROR,,,,,
