new,host,a,soa,status_code,txt,cname,cdn,cdn-name,ns,aaaa,mx,has_internal_ips,internal_ips
[x],feedback4.wf.com,"95.100.174.64, 204.74.66.1, 204.74.110.1","mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com",NOERROR,,,,,"edns1.ultradns.com, edns1.ultradns.biz, a2-64.akam.net, a24-66.akam.net, a1-189.akam.net, edns1.ultradns.net","2001:502:f3ff::201, 2610:a1:1014::201",,,
[x],financial-svdc.wellsfargo.com,159.45.10.26,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],financial-svdc2.wellsfargo.com,159.45.14.75,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],financial-uat.wellsfargo.com,"95.101.111.168, 95.101.111.138","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"financial-uat.wellsfargo.com.edgekey.net, e106463.b.akamaiedge.net",,,,,,,
[x],financial.ceo.wellsfargo.com,"2.16.187.144, 2.16.187.139","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"financial.wellsfargo.com.edgekey.net, e126867.b.akamaiedge.net",,,,,,,
[x],financial.wellsfargo.com,"95.101.111.142, 95.101.111.140","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"financial.wellsfargo.com.edgekey.net, e126867.b.akamaiedge.net",,,,,,,
[x],finetinfo-test.wellsfargoadvisors.com,,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],firstunionrail-dr.wellsfargo.com,159.45.86.76,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],firstunionrail-uat.wellsfargo.com,159.45.213.100,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],fixedincomestrategy.sec.wellsfargo.com,,"n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"fixedincomestrategy.wellsfargo.com.edgekey.net, e25620.b.akamaiedge.net",,,,,,,
[x],fixedincomestrategy.wellsfargo.com,"95.101.111.141, 95.101.111.186","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"fixedincomestrategy.wellsfargo.com.edgekey.net, e25620.b.akamaiedge.net",,,,,,,
[x],flood.wellsfargo.com,,,NOERROR,,wfis.wellsfargo.com,,,,,,,
[x],floorplansolutionuat.wf.com,174.128.0.9,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],fnsh-1.wellsfargo.com,151.151.14.78,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],foothill.wellsfargo.com,151.151.11.7,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],foreignexchange-uat.ceo.wellsfargo.com,159.45.213.102,"mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],foreignexchange.g.wellsfargo.com,159.45.140.78,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],fsr-bcp.wellsfargo.com,151.151.75.209,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],fsro-cdfconnect-uat.sec.wellsfargo.com,159.45.213.129,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,fsro-cdfconnect-uat.wellsfargo.com,,,,,,,
[x],fsro-cdfconnect-uat.wellsfargo.com,159.45.213.129,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],fsro-cdfconnect.wellsfargo.com,,,NOERROR,,fsro-cdfconnect.glb.wellsfargo.com,,,,,,,
[x],fundservices.wellsfargo.com,159.45.72.40,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],fx-uat.ceo.wellsfargo.com,"95.101.111.171, 95.101.111.135","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"fx-uat.ceo.wellsfargo.com.edgekey.net, e251894.b.akamaiedge.net",,,,,,,
[x],fxfix.wellsfargo.com,161.231.90.207,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],fxteller-bcp-vip.wellsfargo.com,167.138.252.20,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],g.wellsfargo.com,,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,,,,"ns4.g.wellsfargo.com, ns5.g.wellsfargo.com, ns6.g.wellsfargo.com, ns7.g.wellsfargo.com, ns8.g.wellsfargo.com, ns1.g.wellsfargo.com, ns2.g.wellsfargo.com, ns3.g.wellsfargo.com",,,,
[x],gai.stratus.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],gai.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],galliard.g.wellsfargo.com,,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],gateway-bcp-sfdc.wellsfargo.com,"159.45.86.50, 167.138.252.13","edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],gateway-pfix-sfdc.wellsfargo.com,159.45.213.202,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,"a1-189.akam.net, a2-64.akam.net, a24-66.akam.net, edns1.ultradns.biz, edns1.ultradns.org, edns1.ultradns.net, edns1.ultradns.com",,,,
[x],gateway-prod-sfdc.wellsfargo.com,,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],gateway-sfdc.g.wellsfargo.com,159.45.140.46,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],gateway-sfdc.wellsfargo.com,159.45.140.46,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,gateway-sfdc.g.wellsfargo.com,,,,,,,
[x],gateway-sit-sfdc.wellsfargo.com,159.45.213.45,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],global.wf.com,146.148.34.2,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,v=spf1 -all,,True,google,,,,,
[x],globalaltinvest.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],go.onestop.wf.com,,"mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com",NOERROR,v=spf1 -all,,,,,,,,
[x],gofarrewards.wf.com,159.127.185.5,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,google-site-verification=e3lpEkd5hApPuqwV-cgO534wH2CwCWSjU5GIGoGlKuA,,,,,,,,
[x],gofarrewardsatechcatalog.wf.com,"159.45.170.218, 159.45.2.218","edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],gofarrewardsdigital.wf.com,159.127.184.145,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],gofarrewardsemm.wf.com,66.246.174.219,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],gofarrewardstravel.wf.com,"159.45.2.218, 159.45.170.218","mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com, nsa.wellsfargo.com",NOERROR,,,,,"a1-189.akam.net, edns1.ultradns.biz, edns1.ultradns.net, edns1.ultradns.com, a24-66.akam.net, a2-64.akam.net",,,,
[x],gpow.ceo.wellsfargo.com,"95.101.74.147, 95.101.74.141","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"gpow.wellsfargo.com.edgekey.net, e113334.b.akamaiedge.net",,,,,,,
[x],gpow.g.wellsfargo.com,159.45.6.35,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],gpow.wellsfargo.com,"95.101.111.151, 95.101.111.133","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"gpow.wellsfargo.com.edgekey.net, e113334.b.akamaiedge.net",,,,,,,
[x],gpowpfix.wellsfargo.com,159.45.162.85,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],gpowrpt.ceo.wellsfargo.com,"95.101.74.152, 95.101.74.135","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"gpowrpt.wellsfargo.com.edgekey.net, e97678.b.akamaiedge.net",,,,,,,
[x],gpowrpt.wellsfargo.com,"2.16.187.11, 2.16.187.19","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"gpowrpt.wellsfargo.com.edgekey.net, e97678.b.akamaiedge.net",,,,,,,
[x],gpowrptpfix.ceo.wellsfargo.com,159.45.162.86,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,gpowrptpfix.wellsfargo.com,,,,,,,
[x],gpowrptpfix.wellsfargo.com,159.45.162.86,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],gpowrptuat.ceo.wellsfargo.com,"95.101.111.133, 95.101.111.137","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"gpowrptuat.wellsfargo.com.edgekey.net, e89388.b.akamaiedge.net",,,,,,,
[x],gpowrptuat.wellsfargo.com,"2.16.187.33, 2.16.187.42","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"gpowrptuat.wellsfargo.com.edgekey.net, e89388.b.akamaiedge.net",,,,,,,
[x],gpowuat.ceo.wellsfargo.com,"95.101.111.144, 95.101.111.165","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"gpowuat.wellsfargo.com.edgekey.net, e77050.b.akamaiedge.net",,,,,,,
[x],greer11.wellsfargo.com,65.211.128.140,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],greer13.wellsfargo.com,65.211.128.142,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],h2t.wf.com,,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],heq-videochat.wellsfargo.com,159.45.88.62,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],hlcrm-test.wellsfargo.com,159.45.201.142,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,v=spf1 -all,,,,,,,,
[x],hlcrm.g.wellsfargo.com,159.45.14.144,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],hlcrm.wellsfargo.com,159.45.14.144,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,hlcrm.g.wellsfargo.com,,,,,,,
[x],hmc-ecard.wf.com,184.154.24.90,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],home-cte1-cf.wellsfargoadvisors.com,159.45.201.147,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],home-cte1.wellsfargoadvisors.com,159.45.84.181,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],home-dev1.wellsfargoadvisors.com,159.45.106.168,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],home-ite1-cf.wellsfargoadvisors.com,,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],home-prod1.wellsfargoadvisors.com,159.45.130.221,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],home-prod2.wellsfargoadvisors.com,159.45.74.207,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],home-pte1.wellsfargoadvisors.com,159.45.84.193,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],home-stg1-cf.wellsfargoadvisors.com,159.45.88.174,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],home-stg1.wellsfargoadvisors.com,159.45.130.177,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],home.wellsfargoadvisors.com,"2.16.187.144, 2.16.187.56","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"home.wellsfargoadvisors.com.edgekey.net, e105145.b.akamaiedge.net",,,,,,,
[x],homecentral-uat.wf.com,204.86.65.48,"ns11.companyns.net, domainadmin.lpsvcs.com",NOERROR,,loansphereservicingdigital.uat.bkitest.com,,,,,,,
[x],homecentral.wf.com,,,NOERROR,,loansphereservicingdigital.bkiconnect.com,,,,,,,
[x],homecte.wellsfargoadvisors.com,159.45.201.147,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,home-cte1-cf.wellsfargoadvisors.com,,,,,,,
[x],homedev.wellsfargoadvisors.com,159.45.106.168,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,2620:160:f6d0:e50c::1:df27,,,
[x],homeloans-mn.wellsfargo.com,151.151.29.169,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],homepte.wellsfargoadvisors.com,159.45.201.149,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,home-pte1-cf.wellsfargoadvisors.com,,,,,,,
[x],hop.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],hosting.wellsfargo.com,,"mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com",NOERROR,,,,,"a1-189.akam.net, edns1.ultradns.biz, edns1.ultradns.net, edns1.ultradns.com, a24-66.akam.net, a2-64.akam.net",,,,
[x],hrapps.hosting.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],hrofx-bcp.wellsfargo.com,167.138.226.140,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],hrofx-uat.wellsfargo.com,159.45.201.19,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],hrpssee-uat.wellsfargo.com,159.45.201.25,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],hrpssee.wellsfargo.com,,,NOERROR,,hrpssee-new.wellsfargo.com,,,,,,,
[x],hrtalentcentral-prod2.wellsfargo.com,159.45.88.64,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],hrtalentcentral-test.wellsfargo.com,159.45.201.28,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],hrtalentcentral.g.wellsfargo.com,159.45.14.36,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],hrtalentcentral.wellsfargo.com,159.45.14.36,"internal.akadns.net, hostmaster.akamai.com",NOERROR,,hrtalentcentral.d03-adcs-wells.akadns.net,,,,,,,
[x],hulavc-core-dev2.wellsfargo.com,151.151.80.237,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],hulavc-core-dev3.wellsfargo.com,151.151.80.238,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],iachwells-nc.wellsfargo.com,161.231.78.79,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],iachwellsprodfix.wellsfargo.com,161.231.90.80,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],ibo.wellsfargo.com,,,NOERROR,,wfis.wellsfargo.com,,,,,,,
[x],ibwbcp.advisor-connection.com,151.151.101.121,"mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],ibwprod.advisor-connection.com,151.151.18.212,"mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],ibwprodtemp.advisor-connection.com,151.151.18.212,"mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],ibwuat.advisor-connection.com,151.151.82.187,"mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],icompassprod.wellsfargo.com,159.45.140.33,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],icomplete.wellsfargo.com,"95.101.74.142, 95.101.74.133","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"icomplete.wellsfargo.com.edgekey.net, e116998.b.akamaiedge.net",,,,,,,
[x],icrivrhostconnect-xgi.g.wellsfargo.com,159.45.140.45,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],icrivrhostconnect-xgi.wellsfargo.com,159.45.140.45,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,icrivrhostconnect-xgi.g.wellsfargo.com,,,,,,,
[x],icrivrhostconnect-xgiprod.wellsfargo.com,159.45.140.45,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],icrivrhostconnect-xgiuat.wellsfargo.com,159.45.213.48,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],identity.demo.wellsoneexpensemanager.wf.com,83.231.174.7,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,v=spf1 -all,,,,,,,,
[x],identity.wellsoneexpensemanager.wf.com,128.242.117.18,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,v=spf1 -all,,,,"a24-66.akam.net, a1-189.akam.net, a2-64.akam.net, edns1.ultradns.org, edns1.ultradns.biz, edns1.ultradns.com, edns1.ultradns.net",,,,
[x],idp.staging.wellsfargo.com,159.45.104.133,"mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],idp.wellsfargo.com,"95.101.111.172, 95.101.111.179","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"idp.wellsfargo.com.edgekey.net, e117580.b.akamaiedge.net",,,,,,,
[x],idservices-uat.wellsfargo.com,159.45.213.119,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],ifzs2.wellsfargo.com,159.45.15.104,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],ifzs3.wellsfargo.com,159.45.87.39,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],ilnet-uat.wellsfargo.com,151.151.80.214,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],ilwheval.wf.com,"162.159.136.91, 162.159.135.91","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,"3094993-8.events.kaltura.com, nvp1.ms-cf.kaltura.com.cdn.cloudflare.net",True,cloudflare,,"2606:4700:7::a29f:875b, 2606:4700:7::a29f:885b",,,
[x],ilwkeval.wf.com,"162.159.135.91, 162.159.136.91","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,"3094993-7.events.kaltura.com, nvp1.ms-cf.kaltura.com.cdn.cloudflare.net",True,cloudflare,,"2606:4700:7::a29f:875b, 2606:4700:7::a29f:885b",,,
[x],image.mail1.wf.com,69.192.72.14,"n0x.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"akamai-san13.exacttarget.com.edgekey.net, e13306.x.akamaiedge.net",,,,,,,
[x],image.mail18.wf.com,"2.17.196.128, 2.17.196.58","n0dscx.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"tlsprovisioning-san-s7-5.edgekey.net, e79308.dscx.akamaiedge.net",,,,"2a02:26f0:3000::1700:ae8a, 2a02:26f0:3000::1700:ae58",,,
[x],imagenet-mortgage-ox.wellsfargo.com,159.45.88.55,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],imagenet-mortgage-sv.wellsfargo.com,159.45.14.250,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],imagenet-mortgage-uat.wellsfargo.com,159.45.189.28,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],imagenet-mortgage.wellsfargo.com,"95.101.111.158, 95.101.111.145","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"imagenet-mortgage.wellsfargo.com.edgekey.net, e71881.b.akamaiedge.net",,,,,,,
[x],img.comm.wellsfargoadvisors.com,207.211.46.36,"mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com, nsa.wellsfargo.com",NOERROR,,,,,,,,,
[x],incomecapture.wf.com,12.190.116.32,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,v=spf1 -all,,,,"a24-66.akam.net, a1-189.akam.net, a2-64.akam.net, edns1.ultradns.org, edns1.ultradns.biz, edns1.ultradns.com, edns1.ultradns.net",,,,
[x],incubator-signon.wellsfargo.com,"80.239.150.91, 80.239.150.51","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"iso.wellsfargo.com.edgekey.net, e108566.b.akamaiedge.net",,,,,,,
[x],incubator.wellsfargo.com,"88.221.24.65, 88.221.24.96","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"iso.wellsfargo.com.edgekey.net, e108566.b.akamaiedge.net",,,,,,,
[x],info-test.wellsfargoadvisors.com,166.78.95.90,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],info.wellsfargoadvisors.com,166.78.95.90,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],ins-temp4-prod2.wellsfargo.com,159.45.72.35,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],ins-temp5-prod2.wellsfargo.com,159.45.72.36,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],institutionalretirement-prd-tmp.wellsfargo.com,159.45.130.201,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],institutionalretirementna.wellsfargo.com,159.45.130.204,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],integratedreceivables.wf.com,52.146.67.14,"tm1.dns-tm.com, hostmaster.trafficmanager.net",NOERROR,,"lockbox.dadesystems.com, production-dadepay.trafficmanager.net",True,azure,,,,,
[x],internationalfactoring-temp.wf.com,,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],internationalfactoring.g.wellsfargo.com,159.45.6.56,"ns1.g.wellsfargo.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],intuitive.wellsfargoadvisors.com,"104.17.162.2, 104.17.163.2","ns1.cloudflare.net, dns.cloudflare.com",NOERROR,,intuitive.wellsfargoadvisors.com.cdn.cloudflare.net,True,cloudflare,,,,,
[x],intuitiveinvestor.wellsfargoadvisors.com,146.148.34.2,"jim.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,wimhubprod.wpengine.com,True,google,,,,,
[x],investing-cte1.wellsfargo.com,159.45.84.190,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,wfadvisors-cte1.wellsfargo.com,,,,,,,
[x],investing-prod1.wellsfargo.com,159.45.130.213,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,wfadvisors-prod1.wellsfargo.com,,,,,,,
[x],investing-prod2.wellsfargo.com,159.45.74.231,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,wfadvisors-prod2.wellsfargo.com,,,,,,,
[x],investing-pte1.wellsfargo.com,159.45.84.207,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,wfadvisors-pte1.wellsfargo.com,,,"a1-189.akam.net, a2-64.akam.net, a24-66.akam.net, edns1.ultradns.biz, edns1.ultradns.org, edns1.ultradns.net, edns1.ultradns.com",,,,
[x],investing.wellsfargo.com,"96.7.74.25, 96.7.74.51","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"wfadvisors.wellsfargo.com.edgekey.net, e76780.b.akamaiedge.net",,,,,,,
[x],investingbroker-dev1.wellsfargo.com,159.45.106.175,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,obo-dev1.wellsfargo.com,,,,,,,
[x],investingbroker-prod1.wellsfargo.com,159.45.130.214,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,obo-prod1.wellsfargo.com,,,,,,,
[x],investingbroker-prod2.wellsfargo.com,159.45.74.232,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,obo-prod2.wellsfargo.com,,,,,,,
[x],investingbroker-pte1.wellsfargo.com,159.45.84.208,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,obo-pte1.wellsfargo.com,,,,,,,
[x],investingbroker.wellsfargo.com,"2.17.196.114, 2.17.196.83","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,,"obo.wellsfargo.com.edgekey.net, e111485.b.akamaiedge.net",,,,,,,
[x],investmentinstitute.wf.com,"52.222.236.124, 52.222.236.79, 52.222.236.101, 52.222.236.122","ns-1369.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,dyfigbwqvwr4j.cloudfront.net,True,cloudfront,"ns-371.awsdns-46.com, ns-760.awsdns-31.net, ns-1369.awsdns-43.org, ns-1947.awsdns-51.co.uk","2600:9000:223e:aa00:12:574e:14c0:93a1, 2600:9000:223e:ba00:12:574e:14c0:93a1, 2600:9000:223e:cc00:12:574e:14c0:93a1, 2600:9000:223e:d400:12:574e:14c0:93a1, 2600:9000:223e:f200:12:574e:14c0:93a1, 2600:9000:223e:fe00:12:574e:14c0:93a1, 2600:9000:223e:0:12:574e:14c0:93a1, 2600:9000:223e:7200:12:574e:14c0:93a1",,,
[x],investmentservices.wf.com,,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],iphone-az-epwvi2000.wellsfargo.com,151.151.102.144,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],iphone-mn-epwvi2000.wellsfargo.com,151.151.102.143,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],iphone-mn-epwzi2000.wellsfargo.com,151.151.42.143,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],iphone-qa.msgqa.wellsfargo.com,151.151.105.12,"mn-svdc-edna32-v.infra.wellsfargo.net, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],ipl.wellsfargo.com,170.43.152.196,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,proxy-ewpcs.wellsfargo.com,,,,,,,
[x],ippre01e0001.wellsfargo.com,151.151.33.18,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],ippre03e0001.wellsfargo.com,151.151.33.20,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],irpre01e0001.wellsfargo.com,151.151.75.144,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
[x],irpre02e0001.wellsfargo.com,151.151.75.149,"edns1.ultradns.com, hostmaster.wellsfargo.com",NOERROR,,,,,,,,,
