new,host,mx,soa,status_code,a,cname,aaaa,txt,ns,cdn,cdn-name,has_internal_ips,internal_ips,caa
[x],delivery-ci360-i.post.ch,,"ns-959.awsdns-55.net, awsdns-hostmaster.amazon.com",NOERROR,,"tngcipcateu-ia.aimatch.com, tngcipcateu-ia.aimatch.net, ci-euw1.ireland.delivery.aimatch.net",,,,,,,,
[x],delivery-ci360-p.post.ch,,"ns-959.awsdns-55.net, awsdns-hostmaster.amazon.com",NOERROR,"52.50.12.60, 34.255.115.209, 54.78.32.231","tngcipscaeu-ia.aimatch.com, tngcipscaeu-ia.aimatch.net, ci-euw1.ireland.delivery.aimatch.net",,,,,,,,
[x],demo-admin.evoting.post.ch,"mx1.post.ch, mx2.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],demo.evoting.post.ch,"mx2.post.ch, mx1.post.ch","dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],dev.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.10,,,,,,,,,
[x],developer.apis-dev.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
[x],developer.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.146,,,,,,,,,
[x],developer2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.190.122,,,,,,,,,
[x],developerint.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.153,,,,,,,,,
[x],dgs-int.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.248.192,,,,,,,,,
[x],dgs.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.184.95,,,,,,,,,
[x],dialogmarketingsolutions1.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,194.41.190.114,,,,,,,,,
[x],dialogmarketingsolutions2.post.ch,,"dns1.post.ch, domainmanage.post.ch",NOERROR,,,,,,,,,,
