new,host,a,soa,status_code,ns,cname,txt,aaaa,cdn,cdn-name,mx,has_internal_ips,internal_ips,caa
[x],a-96-118-184-27.olaelectric.in,20.212.146.181,"ns-504.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],a-96-118-55-55.olaelectric.in,20.212.146.181,"ns-504.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],a-96-119-146-33.olacabs.com,52.77.41.139,"ns-541.awsdns-03.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],a0hqprhjbn6.olacabs.com,52.220.130.50,"ns-541.awsdns-03.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],a1488.olaelectric.in,20.212.146.181,"ns-504.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],a803.olaelectric.in,,"ns-504.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],abbvie.olaelectric.in,20.212.146.181,"ns-504.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],abbviedev.olaelectric.in,20.212.146.181,"ns-504.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],acc-etsyb.olacabs.com,52.77.83.98,"ns-541.awsdns-03.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],accept32411g11.olaelectric.in,20.212.146.181,"ns-504.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1436.awsdns-51.org, ns-1614.awsdns-09.co.uk, ns-504.awsdns-63.com, ns-737.awsdns-28.net",,,,,,,,,
[x],access-assets-aws-apps-63wa61f508c1kxglpj3c-gq4dgnzyg43tsnc.olaelectric.in,20.212.146.181,"ns-504.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
