input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,tls_mismatched,tls_subject_org_,final_url,csp_domains_,location
data.tinderwebstaging.com,"Tinder | Dating, Make Friends & Meet New People",200,243205,AS16509,AMAZON-02,US,18.65.160.0/22,data.tinderwebstaging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-15T00:00:00Z,2024-03-15T23:59:59Z,CN=*.tinderwebstaging.com,*.tinderwebstaging.com,*.tinderwebstaging.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,9df7a47f5cdd3ff1666792ce758f5e5a,9154ff118fafda6d5e5a52d38040031d74c258767234f0a42fd4aa213c205bb2,ctls,data.tinderwebstaging.com,cloudfront,443,https://data.tinderwebstaging.com:443,https,nginx,text/html,GET,18.65.39.48,/,1622688168,18.65.39.95,React,3,False,True,True,,,,,
designsystem.tinderwebstaging.com,,403,243,AS16509,AMAZON-02,US,13.32.16.0/20,designsystem.tinderwebstaging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-15T00:00:00Z,2024-03-15T23:59:59Z,CN=*.tinderwebstaging.com,*.tinderwebstaging.com,*.tinderwebstaging.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,9df7a47f5cdd3ff1666792ce758f5e5a,9154ff118fafda6d5e5a52d38040031d74c258767234f0a42fd4aa213c205bb2,ctls,designsystem.tinderwebstaging.com,cloudfront,443,https://designsystem.tinderwebstaging.com:443,https,AmazonS3,application/xml,GET,13.32.27.109,/,772565991,13.32.27.85,Amazon Web Services,2,False,True,True,,,,,
fakebook.ue1.d1.tstaging.com,502 Bad Gateway,502,173,AS14618,AMAZON-AES,US,52.200.0.0/13,fakebook.ue1.d1.tstaging.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-03-29T23:59:59Z,CN=*.ue1.d1.tstaging.com,*.ue1.d1.tstaging.com,*.ue1.d1.tstaging.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,bc812b97ef6b0d27f246011452087926,329b47693b44a3d69abc027c361dfdd8ae22d3938599dfc9f7106fc6e269b534,ctls,fakebook.ue1.d1.tstaging.com,,443,https://fakebook.ue1.d1.tstaging.com:443,https,nginx/1.13.9,text/html,GET,52.205.89.63,/,-585858903,3.208.253.199,Nginx:1.13.9,8,False,,True,,,,,
fakebook.ue1.d4.tstaging.com,,503,,AS14618,AMAZON-AES,US,54.236.0.0/15,fakebook.ue1.d4.tstaging.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-09-08T23:59:59Z,CN=*.ue1.d4.tstaging.com,*.ue1.d4.tstaging.com,*.ue1.d4.tstaging.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,28b5696192cebda2cec313ab8bc59183,54913e286f5ea9c72da75bfc6df2d135f1eff76c7211918811360ef9730e72c6,ctls,fakebook.ue1.d4.tstaging.com,,443,https://fakebook.ue1.d4.tstaging.com:443,https,,,GET,54.236.186.68,/,-1840324437,34.239.10.189,,1,False,,True,,,,,
flower.ue1.d4.tstaging.com,Welcome to nginx!,200,615,AS14618,AMAZON-AES,US,34.192.0.0/12,flower.ue1.d4.tstaging.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-09-08T23:59:59Z,CN=*.ue1.d4.tstaging.com,*.ue1.d4.tstaging.com,*.ue1.d4.tstaging.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,28b5696192cebda2cec313ab8bc59183,54913e286f5ea9c72da75bfc6df2d135f1eff76c7211918811360ef9730e72c6,ctls,flower.ue1.d4.tstaging.com,,443,https://flower.ue1.d4.tstaging.com:443,https,nginx/1.21.6,text/html,GET,34.206.235.17,/,-727032868,54.83.186.62,Nginx:1.21.6,24,False,,True,,,,,
flower.ue1.stg1.tstaging.com,Welcome to nginx!,200,615,AS14618,AMAZON-AES,US,54.242.0.0/15,flower.ue1.stg1.tstaging.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-18T23:59:59Z,CN=*.ue1.stg1.tstaging.com,*.ue1.stg1.tstaging.com,*.ue1.stg1.tstaging.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,646c4677f665fbbc2d6bc483fd1817b7,647cae8f141e744960db0b457924bf3976407dc168e4b0d831fe13f501a43727,ctls,flower.ue1.stg1.tstaging.com,,443,https://flower.ue1.stg1.tstaging.com:443,https,nginx/1.21.6,text/html,GET,54.243.38.249,/,-2130839555,54.235.164.90,Nginx:1.21.6,24,False,,True,,,,,
fonts.gstatic.com,Error 404 (Not Found)!!1,404,1561,AS15169,GOOGLE,US,142.250.0.0/15,fonts.gstatic.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:00:43Z,2023-07-17T12:00:42Z,CN=*.gstatic.com,*.gstatic.com,*.metric.gstatic.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,bfad550991c74ed92bd118c1494e57dd,958e74d861d2478f5cc50b432f2fa8933d03fbd4ea85dc3783b548b2882ecdb2,ctls,fonts.gstatic.com,,443,https://fonts.gstatic.com:443,https,sffe,text/html,GET,142.250.186.67,/,302920777,2a00:1450:4001:829::2003,HTTP/3,12,False,,True,,,,,
gateway.ue1.d1.tstaging.tools,502 Bad Gateway,502,560,AS14618,AMAZON-AES,US,54.208.0.0/14,gateway.ue1.d1.tstaging.tools,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-03-28T23:59:59Z,CN=*.ue1.d1.tstaging.tools,*.ue1.d1.tstaging.tools,*.ue1.d1.tstaging.tools,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,f9b77bee60342c973425eeb765c53c02,2c5b376f84f1bac55764bbf0cb849a3a49b271cb7882bb2e5f637d29025cc7fa,ctls,gateway.ue1.d1.tstaging.tools,,443,https://gateway.ue1.d1.tstaging.tools:443,https,nginx/1.19.10,text/html,GET,54.208.165.133,/,-716796472,3.89.94.170,Nginx:1.19.10,14,False,,True,,,,,
gateway.ue1.d4.tstaging.tools,502 Bad Gateway,502,158,AS14618,AMAZON-AES,US,3.218.182.0/24,gateway.ue1.d4.tstaging.tools,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-09-04T23:59:59Z,CN=*.ue1.d4.tstaging.tools,*.ue1.d4.tstaging.tools,*.ue1.d4.tstaging.tools,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,cd0531cfbb235cd3cf85fab474b06107,76976e9efd5fb5e232130b426666f5adfebfa3ca24044c1ad28ef4e49f7fe13c,ctls,gateway.ue1.d4.tstaging.tools,,443,https://gateway.ue1.d4.tstaging.tools:443,https,nginx/1.19.10,text/html,GET,3.217.220.149,/,626293814,52.5.138.108,Nginx:1.19.10,8,False,,True,,,,,
gotinder.com,,200,227937,AS14618,AMAZON-AES,US,35.168.0.0/13,tinder.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-16T00:00:00Z,2024-05-15T23:59:59Z,CN=tinder.com,tinder.com,www.tinder.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,ee8f32deafa19056d6a945bc41858438,4c9efc38383797991c3904b0dd11c441891bc1ec9d75a535f6a9815701247f3e,ctls,tinder.com,,443,https://gotinder.com:443,https,nginx,text/html,GET,35.169.90.218,/,1622688168,52.4.90.174,React,3,False,,,,,https://tinder.com,,
gp.gotinder.com,,200,170,AS19158,ZAYOB-19158,US,209.82.160.0/23,gp.gotinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-20T02:44:19Z,2023-12-22T15:19:37Z,CN=vpn.gotinder.biz,vpn.gotinder.biz,www.vpn.gotinder.biz,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",1b9b577c36f3d76d0eb841ba7b14be3e,74814ef62db01fc1c5fe8feb09cf89c3ed721fb61756c9064bd5331b5691b2b1,ctls,gp.gotinder.com,,443,https://gp.gotinder.com:443,https,,text/html,GET,209.82.160.130,/,-721644640,209.82.160.130,HSTS,4,False,,,,,,,
https://oinmanager.okta.com,OIN Manager - Landing Page,200,1111,AS14618,AMAZON-AES,US,100.24.0.0/13,oinmanager.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-01T00:00:00Z,2023-12-22T23:59:59Z,"CN=oinmanager.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",oinmanager.okta.com,oanmanager.okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,c5ed6ef95b0582df3921359102788ad7,f97c36fa2d8a127a09340ceedf19856921fe6b3627f400ad24c548854b842b1e,ctls,oinmanager.okta.com,,443,https://oinmanager.okta.com:443,https,envoy,text/html,GET,100.26.83.76,/,-2069203784,3.210.18.56,HSTS,6,False,,,,"Okta, Inc.",,,
identity.tinderwebstaging.com,"Tinder | Dating, Make Friends & Meet New People",200,248135,AS16509,AMAZON-02,US,18.66.102.0/24,identity.tinderwebstaging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-15T00:00:00Z,2024-03-15T23:59:59Z,CN=*.tinderwebstaging.com,*.tinderwebstaging.com,*.tinderwebstaging.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,9df7a47f5cdd3ff1666792ce758f5e5a,9154ff118fafda6d5e5a52d38040031d74c258767234f0a42fd4aa213c205bb2,ctls,identity.tinderwebstaging.com,cloudfront,443,https://identity.tinderwebstaging.com:443,https,nginx,text/html,GET,18.66.97.71,/,1622688168,18.66.97.91,React,3,False,True,True,,,,,
images-ssl-v2.ue1.d3.tstaging.com,"imgix - Image Processing On-Demand, Served By CDN",200,3789,AS16509,AS16509,Unknown,18.64.148.0/23,images-ssl-v2.ue1.d3.tstaging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-08-21T23:59:59Z,CN=*.ue1.d3.tstaging.com,*.ue1.d3.tstaging.com,*.ue1.d3.tstaging.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,befb7b4a2e4613e6923fdec505b05de2,51361d0891b50d5008562379e3bf597410534c5c1601258656779b363383d4a9,ctls,images-ssl-v2.ue1.d3.tstaging.com,cloudfront,443,https://images-ssl-v2.ue1.d3.tstaging.com:443,https,Varnish,text/html,GET,18.64.141.36,/,285775083,2600:9000:2396:6800:7:f1b5:6dc0:93a1,Amazon Web Services,53,False,True,True,,,,,
imageupload-cloudfront.gotinder.com,,404,,AS14618,AMAZON-AES,US,50.16.0.0/15,imageupload-cloudfront.gotinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-28T00:00:00Z,2024-03-28T23:59:59Z,CN=*.gotinder.com,*.gotinder.com,gotinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4536a5160b34c58eb6090ac069bc9f4e,22ae225a02cb81ea8aab4664e7007b942ba08a0141881d4773cb8411776de358,ctls,imageupload-cloudfront.gotinder.com,,443,https://imageupload-cloudfront.gotinder.com:443,https,,,GET,50.16.33.102,/,-1840324437,35.169.141.177,,1,False,,True,,,,,
imageupload.gotinder.com,,404,,AS0,Not routed,None,13.224.192.0/21,imageupload.gotinder.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-21T00:00:00Z,2024-05-19T23:59:59Z,CN=*.gotinder.com,*.gotinder.com,gotinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,98ea160f5759554ef95004e6ff057c54,9d19deb4735d3c92ad30b60cf04383d8ec6ed041f766721b15ebfa5ca608b249,ctls,imageupload.gotinder.com,cloudfront,443,https://imageupload.gotinder.com:443,https,,,GET,13.224.189.19,/,-1840324437,2600:9000:2104:ac00:f:5c67:cec0:93a1,Amazon Web Services,1,False,True,True,,,,,
inboxcrm-ssl.gotinder.com,,403,243,AS16509,AMAZON-02,US,52.222.128.0/20,inboxcrm-ssl.gotinder.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-03T00:00:00Z,2024-04-01T23:59:59Z,CN=inboxcrm-ssl.gotinder.com,inboxcrm-ssl.gotinder.com,inboxcrm-ssl.gotinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,736531a64fb9017498491af8aa0b959f,7b034ad93b9e63e148f3e075937491bb505b6d8351267ec0eb4889ad25cca503,ctls,inboxcrm-ssl.gotinder.com,cloudfront,443,https://inboxcrm-ssl.gotinder.com:443,https,AmazonS3,application/xml,GET,52.222.139.100,/,652339079,52.222.139.108,Amazon Web Services,2,False,True,,,,,,
invite.tinder.com,,404,16,AS16509,AS16509,Unknown,99.80.0.0/15,invite.tinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-08T09:20:32Z,2023-07-07T09:20:31Z,CN=invite.tinder.com,invite.tinder.com,invite.tinder.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8b3402af10d0bbc7e03f42e12ae55a00,9964ef190ac7a83649a02c9dfbff8b97751e8ee79bc6611c2f097099c92eb7c9,ctls,invite.tinder.com,,443,https://invite.tinder.com:443,https,,text/plain,GET,99.80.227.4,/,786476039,34.246.127.31,,2,False,,,,,,,
jaeger.ue1.d2.tstaging.tools,Match Group - tinder - Sign In,200,17227,AS14618,AMAZON-AES,US,174.129.0.0/16,tinder.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,ctls,tinder.okta.com,,443,https://jaeger.ue1.d2.tstaging.tools:443,https,nginx,text/html,GET,174.129.28.151,/,-305839293,3.232.86.79,Nginx,479,False,,True,,"Okta, Inc.",https://tinder.okta.com/oauth2/aus7ry8mbUgvRaK9V356/v1/authorize?client_id=0oa49pfr1ali7Hvsi357&redirect_uri=https%3A%2F%2Fjaeger.ue1.d2.tstaging.tools%2Foauth2%2Fidpresponse&response_type=code&scope=openid&state=vFvWtUUaLBW5UcYA%2F2%2BGbP5euKUvcq9qvmOW6Cnl4k7LSWWDrGDPm3kNtXgxCWCdP7JDXdU1ENqgKOxGe7Bq%2F%2Fw1%2FFoRdlz3mwCMI8BmZuSZ1B09cd59TxNfDKb6ysCTyZ84zqFsMj9cYCVPM8RrkLPfP7Lix4wUCFq%2FsSfZfE9wbTtr1e96Ko8euWiXTGsMjBy6oUk%3D,cdn.pendo.io,
jaeger.ue1.d3.tstaging.tools,Match Group - tinder - Sign In,200,17233,AS14618,AMAZON-AES,US,54.147.0.0/17,tinder.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,ctls,tinder.okta.com,,443,https://jaeger.ue1.d3.tstaging.tools:443,https,nginx,text/html,GET,54.144.21.156,/,1757392920,52.54.186.141,Nginx,479,False,,True,,"Okta, Inc.",https://tinder.okta.com/oauth2/aus7ry8mbUgvRaK9V356/v1/authorize?client_id=0oa49pfr1ali7Hvsi357&redirect_uri=https%3A%2F%2Fjaeger.ue1.d3.tstaging.tools%2Foauth2%2Fidpresponse&response_type=code&scope=openid&state=J36fedlinAMvupDC8%2FzApQ2InElf3jUmJgiFv6toO3f2F4OToQAMkoIfnyF3H6%2BrB70qgpS8HUTUKVHaAIgqbWIxverYeXTAJtCMmV48Nb5q9T6h5%2BMuatbv2Q7ZRvZHMIoA86As5bvstCAonIYO8DCqDGtPYmpptZXMDrWt5Hp4BMxLIJbWiyZEdWWqQfW%2FpoGxdBY%3D,https://oinmanager.okta.com,
keepalive.gotinder.com,,404,,AS16509,AS16509,Unknown,18.64.148.0/23,keepalive.gotinder.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-21T00:00:00Z,2024-05-19T23:59:59Z,CN=*.gotinder.com,*.gotinder.com,gotinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,98ea160f5759554ef95004e6ff057c54,9d19deb4735d3c92ad30b60cf04383d8ec6ed041f766721b15ebfa5ca608b249,ctls,keepalive.gotinder.com,cloudfront,443,https://keepalive.gotinder.com:443,https,,,GET,18.64.141.14,/,-1840324437,2600:9000:20eb:3c00:f:5c67:cec0:93a1,Amazon Web Services,1,False,True,True,,,,,
keepalive.ue1.d3.tstaging.com,503 Service Temporarily Unavailable,503,162,AS14618,AMAZON-AES,US,34.224.0.0/12,keepalive.ue1.d3.tstaging.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-08-21T23:59:59Z,CN=*.ue1.d3.tstaging.com,*.ue1.d3.tstaging.com,*.ue1.d3.tstaging.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,befb7b4a2e4613e6923fdec505b05de2,51361d0891b50d5008562379e3bf597410534c5c1601258656779b363383d4a9,ctls,keepalive.ue1.d3.tstaging.com,,443,https://keepalive.ue1.d3.tstaging.com:443,https,awselb/2.0,text/html,GET,34.234.196.204,/,1862162275,3.214.73.93,,7,False,,True,,,,,
linktest.ue1.d1.tstaging.com,,400,,AS16509,AS16509,Unknown,13.225.96.0/21,linktest.ue1.d1.tstaging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-11T00:00:00Z,2024-05-09T23:59:59Z,CN=linktest.ue1.d1.tstaging.com,linktest.ue1.d1.tstaging.com,linktest.ue1.d1.tstaging.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,973ca7989f3103942dec65055f83be42,b88436a60478b35ba621a2fa1aba7910cb753fb160e60522d876bbe1542e1a26,ctls,linktest.ue1.d1.tstaging.com,cloudfront,443,https://linktest.ue1.d1.tstaging.com:443,https,,,GET,13.225.78.50,/,-1098974868,13.225.78.112,Amazon Web Services,1,False,True,,,,,,
lite.tinder.com,"Tinder | Dating, Make Friends & Meet New People",200,245515,AS16509,AMAZON-02,US,52.222.128.0/20,lite.tinder.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-06T00:00:00Z,2024-04-03T23:59:59Z,CN=lite.tinder.com,lite.tinder.com,lite.tinder.com,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,0e341330280df5a8f7bb434140331a50,3327f3782790c068e52759fb8935b1cc232eca64eb0a9e6d71247d38106607b1,ctls,lite.tinder.com,cloudfront,443,https://lite.tinder.com:443,https,nginx,text/html,GET,52.222.139.14,/,1622688168,52.222.139.31,React,3,False,True,,,,,,
liteqa.tinderwebstaging.com,"Tinder | Dating, Make Friends & Meet New People",200,248753,AS16509,AS16509,Unknown,13.225.96.0/21,liteqa.tinderwebstaging.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-15T00:00:00Z,2024-03-15T23:59:59Z,CN=*.tinderwebstaging.com,*.tinderwebstaging.com,*.tinderwebstaging.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,9df7a47f5cdd3ff1666792ce758f5e5a,9154ff118fafda6d5e5a52d38040031d74c258767234f0a42fd4aa213c205bb2,ctls,liteqa.tinderwebstaging.com,cloudfront,443,https://liteqa.tinderwebstaging.com:443,https,nginx,text/html,GET,13.225.78.116,/,1622688168,13.225.78.82,React,3,False,True,True,,,,,
login.okta.com,Okta Account Chooser,200,4019,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,login.okta.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-07-13T00:00:00Z,2023-07-25T23:59:59Z,"CN=accounts.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",accounts.okta.com,login.okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,3160cc4e89f7e4b968094ddcc41a321c,f24fc33dd2ba85fbf1dd5e62e20cce39a2e5c786791d04fed4252bf59e00a51d,ctls,login.okta.com,cloudfront,443,https://login.okta.com:443,https,AmazonS3,text/html,GET,108.138.7.126,/,1780699392,108.138.7.107,Amazon Web Services,1,False,True,,,"Okta, Inc.",,,
marketing-images.gotinder.com,,403,243,AS0,Not routed,None,13.32.100.0/23,marketing-images.gotinder.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-15T00:00:00Z,2024-03-15T23:59:59Z,CN=marketing-images.gotinder.com,marketing-images.gotinder.com,marketing-images.gotinder.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,8181d895ba4b19847d6bd66a6a21a183,984dd7d2e02e2a32c9e17abdb01d92092182b01a69fcaaf14ec909c92f126892,ctls,marketing-images.gotinder.com,cloudfront,443,https://marketing-images.gotinder.com:443,https,AmazonS3,application/xml,GET,13.32.99.14,/,-920050821,13.32.99.57,Amazon Web Services,2,False,True,,,,,,
matchmaker.tinder.com,,404,16,AS16509,AS16509,Unknown,99.80.0.0/15,matchmaker.tinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-07T23:33:46Z,2023-08-05T23:33:45Z,CN=matchmaker.tinder.com,matchmaker.tinder.com,matchmaker.tinder.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5e2190ad43dcb58173e472955d825fb5,73db04839740555fc4be2bf58b81b94ffed8f658aed05991be3be0af4f826f91,ctls,matchmaker.tinder.com,,443,https://matchmaker.tinder.com:443,https,,text/plain,GET,99.80.227.4,/,786476039,34.246.127.31,,2,False,,,,,,,
open.tinder.com,,404,16,AS16509,AS16509,Unknown,99.80.0.0/15,open.tinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-08T08:49:54Z,2023-07-07T08:49:53Z,CN=open.tinder.com,open.tinder.com,open.tinder.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ed1176a5e2f4a06291858d899876eb5c,754ad1652fadcbac76bf77eb238cf5157c5a71eb8267ea8179ee315d98af290a,ctls,open.tinder.com,,443,https://open.tinder.com:443,https,,text/plain,GET,99.80.227.4,/,786476039,34.246.127.31,,2,False,,,,,,,
origin.images.gotinder.com,,403,243,AS16509,AS16509,Unknown,52.217.96.0/20,origin.images.gotinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-21T00:00:00Z,2023-12-19T23:59:59Z,CN=*.s3.amazonaws.com,*.s3.amazonaws.com,s3.amazonaws.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,5c786d7d836f7ec7d65e625b0bca2ab2,25b0a7826fcb8f6ae0c7bc14d8e53ea2741097aac08c7243810f2a739d63f6c4,ctls,origin.images.gotinder.com,,443,https://origin.images.gotinder.com:443,https,AmazonS3,application/xml,GET,52.217.44.196,/,455999847,52.217.93.220,Amazon Web Services,2,False,,True,True,,,,
origin.static.gotinder.com,404 Not Found,404,345,AS16509,AMAZON-02,US,52.218.0.0/21,,,,,,,,,,,,,,,,,,,80,http://origin.static.gotinder.com:80,http,AmazonS3,text/html,GET,52.217.226.149,/,1854237673,52.216.40.157,Amazon Web Services,15,False,,,,,,,
pagp.gotinder.com,,200,170,AS7018,ATT-INTERNET4,US,32.160.0.0/14,pagp.gotinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-20T02:44:19Z,2023-12-22T15:19:37Z,CN=vpn.gotinder.biz,vpn.gotinder.biz,www.vpn.gotinder.biz,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",1b9b577c36f3d76d0eb841ba7b14be3e,74814ef62db01fc1c5fe8feb09cf89c3ed721fb61756c9064bd5331b5691b2b1,ctls,pagp.gotinder.com,,443,https://pagp.gotinder.com:443,https,,text/html,GET,32.142.176.102,/,593259606,32.142.176.102,HSTS,4,False,,,,,,,
party.tinder.com,,404,16,AS16509,AS16509,Unknown,99.80.0.0/15,party.tinder.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-12T15:53:31Z,2023-06-10T15:53:30Z,CN=party.tinder.com,party.tinder.com,party.tinder.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d759592d74a6a974a5f9b0530426dfbf,b87fc0353dd5510d915ba899a404f9a199be7641f8307d2b90da8e6db659cab9,ctls,party.tinder.com,,443,https://party.tinder.com:443,https,,text/plain,GET,99.80.227.4,/,786476039,52.209.121.193,,2,False,,,,,,,
pendo-static-5391521872216064.storage.googleapis.com,,403,300,AS15169,GOOGLE,US,142.250.0.0/15,pendo-static-5391521872216064.storage.googleapis.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-17T08:24:28Z,2023-07-10T08:24:27Z,CN=*.storage.googleapis.com,*.storage.googleapis.com,*.storage-download.googleapis.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,e371ff4e7f9da6bf09b0fc933e443605,49fa95533f8bfb981523f6649d9d85ab34a3daec3e57f0b1b85e0a65dbe1b659,ctls,pendo-static-5391521872216064.storage.googleapis.com,,443,https://pendo-static-5391521872216064.storage.googleapis.com:443,https,UploadServer,application/xml,GET,142.250.186.144,/,501560377,2a00:1450:4001:802::2010,HTTP/3,1,False,,True,,,,,
