input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,cdn_name,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_wildcard_certificate,webserver,csp_domains_,final_url
m.vlerick.com,403 - Forbidden: Access is denied.,403,1233,m.vlerick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=*.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",*.vlerick.com,Vlerick Business School,vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,58b459a54f24b2b13acb05b19810e232,06d3eb3ecd841c9adacd77d8015112e99e4970154c7c501e06fdf014a1b0ce7c,ctls,m.vlerick.com,,443,https://m.vlerick.com:443,https,text/html,GET,193.190.150.59,/,1631801191,193.190.150.59,Windows Server,30,False,,True,Microsoft-IIS/7.5,,
mastersblog.vlerick.com,,200,96675,mastersblog.vlerick.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-03-27T23:48:05Z,2023-06-25T23:48:04Z,CN=mastersblog.vlerick.com,mastersblog.vlerick.com,,mastersblogvlerickcom.site.tb-hosting.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,7ccad17d4a0e7eea651b4503fb4b5d73,ec723107bd5a0fb6d80224259ad14bbb02da205118536057f996bf09f0b32bf4,ctls,mastersblog.vlerick.com,,443,https://mastersblog.vlerick.com:443,https,text/html,GET,185.86.18.193,/,1198047028,185.86.18.193,YouTube,753,False,,,nginx,,
msoid.vlerick.com,,404,10,,,,,,,,,,,,,,,,,,,,,azure,80,http://msoid.vlerick.com:80,http,text/HTML,GET,20.190.159.73,/,2104692331,40.126.31.71,,1,False,True,,,,
mylogin.vlerick.com,Sign in to your account,200,201134,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,ctls,login.microsoftonline.com,,443,https://mylogin.vlerick.com:443,https,text/html,GET,193.190.150.59,/,-55132188,193.190.150.59,HSTS,174,False,,,,,https://login.microsoftonline.com:443/13a6dfb6-25d0-4bd3-ab0e-9be89f60823e/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=45BAB0BBE7AED55EFA233F3EEBF1B5AB04CA7C120D655292%2D68459825525525B7D8BD76DFABB5891D5E6F56D840AF39B2CEDEF7289CD63EE6&redirect%5Furi=https%3A%2F%2Fvlerick4%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=1ae2b1a0%2D8012%2D6000%2D8041%2D33fa71f58dad
myvdp.vlerick.com,403 - Forbidden: Access is denied.,403,1233,,,,,,,,,,,,,,,,,,,,,,80,http://myvdp.vlerick.com:80,http,text/html,GET,193.190.150.57,/,1631801191,193.190.150.57,Windows Server,30,False,,,Microsoft-IIS/7.5,,
officient.vlerick.com,Officient employee Self-service,200,4956,officient.vlerick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2023-05-07T00:14:13Z,2023-08-05T00:14:12Z,CN=officient.vlerick.com,officient.vlerick.com,,officient.vlerick.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d7c5af9dcabaabef16ff2e46e58f7ee8,4dbf0bd9d8984204a89fa7820822df6ab9174e7df822c777f80d01bedae470a4,ctls,officient.vlerick.com,,443,https://officient.vlerick.com:443,https,text/html,GET,52.51.126.129,/,473123383,52.51.126.129,HSTS,58,False,,,,image.coolblue.nl,
partnerstoday.vlerick.com,404 - Not Found ... yet,200,992,partnerstoday.vlerick.com,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-05-04T03:15:20Z,2024-05-03T03:15:20Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,Acme Co,67262fd162aa23be4edb7e38633b26b6,db07f0a74701b79e23105a491b8861bbc2e7be589a1636c83dae932f60d843b6,ctls,partnerstoday.vlerick.com,google,443,https://partnerstoday.vlerick.com:443,https,text/html,GET,34.91.151.1,/,-1314325192,34.91.151.1,HSTS,29,False,True,,,,
partnerstoday2.vlerick.com,Welcome - The Innovation Challenge,200,90888,partnerstoday2.vlerick.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-04-04T07:33:34Z,2023-07-03T07:33:33Z,CN=partnerstoday2.vlerick.com,partnerstoday2.vlerick.com,,partnerstoday2.vlerick.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9ecdbefc2833a66164001577a3f44097,2f22697f8b44c67c5565b2b72ac7421fec22f4c1ffb6d23ef28029f768c04d5e,ctls,partnerstoday2.vlerick.com,google,443,https://partnerstoday2.vlerick.com:443,https,text/html,GET,34.91.151.1,/,-938431862,34.91.151.1,HSTS,60,False,True,,,,https://partnerstoday2.vlerick.com/innovation-challenge/welcome/
portal.mylogin.vlerick.com,GlobalProtect Portal,200,11444,portal.mylogin.vlerick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,True,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=*.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",*.vlerick.com,Vlerick Business School,vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,58b459a54f24b2b13acb05b19810e232,06d3eb3ecd841c9adacd77d8015112e99e4970154c7c501e06fdf014a1b0ce7c,ctls,portal.mylogin.vlerick.com,,443,https://portal.mylogin.vlerick.com:443,https,text/html,GET,193.190.150.62,/,-1415681064,193.190.150.62,HSTS,317,False,,True,,,https://portal.mylogin.vlerick.com/global-protect/login.esp
printers.vlerick.com,Citrix Access Gateway,200,5702,printers.vlerick.com,443,True,tls10,TLS_RSA_WITH_AES_256_CBC_SHA,,,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=*.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",*.vlerick.com,Vlerick Business School,vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,58b459a54f24b2b13acb05b19810e232,06d3eb3ecd841c9adacd77d8015112e99e4970154c7c501e06fdf014a1b0ce7c,ctls,printers.vlerick.com,,443,https://printers.vlerick.com:443,https,text/html,GET,193.190.150.53,/,12023395,193.190.150.53,Apache,162,False,,True,Apache,,https://printers.vlerick.com/vpn/tmindex.html
prodweb.vlerick.com,,503,62,prodweb.vlerick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=*.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",*.vlerick.com,Vlerick Business School,vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,58b459a54f24b2b13acb05b19810e232,06d3eb3ecd841c9adacd77d8015112e99e4970154c7c501e06fdf014a1b0ce7c,ctls,prodweb.vlerick.com,,443,https://prodweb.vlerick.com:443,https,,GET,193.190.150.57,/,107704025,193.190.150.57,,1,False,,True,,,
public.vlerick.com,Pages - Home,200,36077,public.vlerick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=*.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",*.vlerick.com,Vlerick Business School,vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,58b459a54f24b2b13acb05b19810e232,06d3eb3ecd841c9adacd77d8015112e99e4970154c7c501e06fdf014a1b0ce7c,ctls,public.vlerick.com,,80,http://public.vlerick.com:80,http,text/html,GET,193.190.150.57,/,-1840324437,193.190.150.57,Windows Server,625,False,,True,Microsoft-IIS/7.5,,https://public.vlerick.com/Pages/default.aspx
redirect.vlerick.com,403 - Forbidden: Access is denied.,403,1233,redirect.vlerick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=*.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",*.vlerick.com,Vlerick Business School,vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,58b459a54f24b2b13acb05b19810e232,06d3eb3ecd841c9adacd77d8015112e99e4970154c7c501e06fdf014a1b0ce7c,ctls,redirect.vlerick.com,,443,https://redirect.vlerick.com:443,https,text/html,GET,193.190.150.59,/,1631801191,193.190.150.59,Windows Server,30,False,,True,Microsoft-IIS/7.5,,
remoteapps.vlerick.com,403 Forbidden,403,552,remoteapps.vlerick.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,True,2022-10-26T00:00:00Z,2023-10-26T23:59:59Z,"CN=tbconnect.uat.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",tbconnect.uat.vlerick.com,Vlerick Business School,www.tbconnect.uat.vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,530474980497a2a9135646ac6abc1fd0,75a974f981346280151bf2f72fe933224c82fe6612ba2d1ae904ee807e57b639,ctls,remoteapps.vlerick.com,,443,https://remoteapps.vlerick.com:443,https,text/html,GET,193.190.150.41,/,1114301902,193.190.150.41,,14,False,,,Unknown,,
repository.vlerick.com,Vlerick Repository,200,27386,repository.vlerick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-03-20T23:06:48Z,2023-06-18T23:06:47Z,CN=repository.vlerick.com,repository.vlerick.com,,repository.vlerick.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,d987632766cb05838ac9674c126d7d11,27f491d5ce0d9eaca4e6f4bacd676c0eb80b855aa9a52d4d36559f2bc69d7c8f,ctls,repository.vlerick.com,,443,https://repository.vlerick.com:443,https,text/html,GET,52.208.117.227,/,-346079438,52.208.117.227,Java,452,False,,,Apache-Coyote/1.1,,
selfservicecdn.officient.io,Officient employee Self-service,200,4956,selfservicecdn.officient.io,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-29T00:00:00Z,2024-04-25T23:59:59Z,CN=*.officient.io,*.officient.io,,*.officient.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,32e7a77eda2edb9c2c98b30b3e9562a8,020d0115913227f5783dcc7f4f715197ffb955557241d73f80a8f12460b4833e,ctls,selfservicecdn.officient.io,cloudfront,443,https://selfservicecdn.officient.io:443,https,text/html,GET,108.138.17.50,/,473123383,108.138.17.22,HTTP/3,58,False,True,True,Apache,https://s3-eu-west-1.amazonaws.com/officientproductionfiles/,
services-test.vlerick.com,,200,1595,services-test.vlerick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=*.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",*.vlerick.com,Vlerick Business School,vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,58b459a54f24b2b13acb05b19810e232,06d3eb3ecd841c9adacd77d8015112e99e4970154c7c501e06fdf014a1b0ce7c,ctls,services-test.vlerick.com,,443,https://services-test.vlerick.com:443,https,text/html,GET,193.190.150.57,/,12023395,193.190.150.57,,1,False,,True,,,
services.vlerick.com,,200,1579,services.vlerick.com,443,True,tls10,TLS_RSA_WITH_AES_256_CBC_SHA,,,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=*.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",*.vlerick.com,Vlerick Business School,vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,58b459a54f24b2b13acb05b19810e232,06d3eb3ecd841c9adacd77d8015112e99e4970154c7c501e06fdf014a1b0ce7c,ctls,services.vlerick.com,,443,https://services.vlerick.com:443,https,text/html,GET,193.190.150.51,/,12023395,193.190.150.51,,1,False,,True,,,
simulations.vlerick.com,Login page,200,4709,,,,,,,,,,,,,,,,,,,,,,80,http://simulations.vlerick.com:80,http,text/html,GET,193.190.150.59,/,-385729611,193.190.150.59,Windows Server,128,False,,,Microsoft-IIS/7.5,,
spice.vlerick.com,Sign in to your account,200,202882,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2023-02-24T00:00:00Z,2024-02-24T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,Microsoft Corporation,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,5a0c035fd36e190a9a002ffd08801cce,51cfd1c52666a532589d6759379eab229c80ad93cf9e47beb8519dd205096065,ctls,login.microsoftonline.com,,443,https://spice.vlerick.com:443,https,text/html,GET,193.190.150.59,/,54927852,193.190.150.59,HSTS,174,False,,,,,https://login.microsoftonline.com:443/13a6dfb6-25d0-4bd3-ab0e-9be89f60823e/oauth2/authorize?client%5Fid=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&response%5Fmode=form%5Fpost&response%5Ftype=code%20id%5Ftoken&resource=00000003%2D0000%2D0ff1%2Dce00%2D000000000000&scope=openid&nonce=1C24863459457334B93304D29CDDF5885FFAE640469C63E5%2DAF9F4F60A6DE90C190291B15D32FC1077321152881207F036467F72E821B442B&redirect%5Furi=https%3A%2F%2Fvlerick4%2Esharepoint%2Ecom%2F%5Fforms%2Fdefault%2Easpx&state=OD0w&claims=%7B%22id%5Ftoken%22%3A%7B%22xms%5Fcc%22%3A%7B%22values%22%3A%5B%22CP1%22%5D%7D%7D%7D&wsucxt=1&cobrandid=11bd8083%2D87e0%2D41b5%2Dbb78%2D0bc43c8a8e8a&client%2Drequest%2Did=1ae2b1a0%2Da015%2D6000%2D9cff%2D7e6bb27af62e&popupui=1
spock.vlerick.com,Login,200,2921,spock.vlerick.com,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-02T10:18:49Z,2023-07-31T10:18:48Z,CN=spock.vlerick.com,spock.vlerick.com,,spock.vlerick.com,"CN=GTS CA 1P5, O=Google Trust Services LLC, C=US",GTS CA 1P5,Google Trust Services LLC,8cdac54d4dacd4b4cc89c7157574a114,a356529ede8575fec0bbf485d0a0881c02456c92699f1c7df54e35e19964f0d8,ctls,spock.vlerick.com,cloudflare,443,https://spock.vlerick.com:443,https,text/html,GET,104.17.26.241,/,589927604,2606:4700::6811:19f1,HSTS,6,False,True,,cloudflare,,
spss.vlerick.com,403 - Forbidden: Access is denied.,403,1233,spss.vlerick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=*.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",*.vlerick.com,Vlerick Business School,vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,58b459a54f24b2b13acb05b19810e232,06d3eb3ecd841c9adacd77d8015112e99e4970154c7c501e06fdf014a1b0ce7c,ctls,spss.vlerick.com,,443,https://spss.vlerick.com:443,https,text/html,GET,193.190.150.59,/,1631801191,193.190.150.59,Windows Server,30,False,,True,Microsoft-IIS/7.5,,
tbconnect.uat.vlerick.com,403 Forbidden,403,150,tbconnect.uat.vlerick.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2022-10-26T00:00:00Z,2023-10-26T23:59:59Z,"CN=tbconnect.uat.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",tbconnect.uat.vlerick.com,Vlerick Business School,www.tbconnect.uat.vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,530474980497a2a9135646ac6abc1fd0,75a974f981346280151bf2f72fe933224c82fe6612ba2d1ae904ee807e57b639,ctls,tbconnect.uat.vlerick.com,,443,https://tbconnect.uat.vlerick.com:443,https,text/html,GET,193.190.150.41,/,-1179026472,193.190.150.41,,8,False,,,Unknown,,
testredirect.vlerick.com,403 - Forbidden: Access is denied.,403,1233,testredirect.vlerick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=*.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",*.vlerick.com,Vlerick Business School,vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,58b459a54f24b2b13acb05b19810e232,06d3eb3ecd841c9adacd77d8015112e99e4970154c7c501e06fdf014a1b0ce7c,ctls,testredirect.vlerick.com,,443,https://testredirect.vlerick.com:443,https,text/html,GET,193.190.150.59,/,1631801191,193.190.150.59,Windows Server,30,False,,True,Microsoft-IIS/7.5,,
toolpack.vlerick.com,The Vlerick Business Creation Toolpack,200,6487,toolpack.vlerick.com,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-04-07T21:31:09Z,2023-07-06T21:31:08Z,CN=toolpack.vlerick.com,toolpack.vlerick.com,,toolpack.vlerick.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,83ad73fed84fd9edd709078790649062,f582e0878585be0e124f6168a4313375df9c9f6ef852fd119e79b61970d39ebf,ctls,toolpack.vlerick.com,,80,http://toolpack.vlerick.com:80,http,text/html,GET,77.241.85.69,/,-1840324437,77.241.85.69,Nginx,147,False,,,nginx,,https://toolpack.vlerick.com/
uat-enjoychange.vlerick.com,,503,62,uat-enjoychange.vlerick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2023-01-05T00:00:00Z,2024-01-05T23:59:59Z,"CN=*.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",*.vlerick.com,Vlerick Business School,vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,58b459a54f24b2b13acb05b19810e232,06d3eb3ecd841c9adacd77d8015112e99e4970154c7c501e06fdf014a1b0ce7c,ctls,uat-enjoychange.vlerick.com,,443,https://uat-enjoychange.vlerick.com:443,https,,GET,193.190.150.57,/,107704025,193.190.150.57,,1,False,,True,,,
uat-public.vlerick.com,Home - Vlerick Public,200,43157,,,,,,,,,,,,,,,,,,,,,,443,https://uat-public.vlerick.com:443,https,text/html,GET,193.190.150.59,/,-1840324437,193.190.150.59,Windows Server,763,False,,,Microsoft-IIS/7.5,,http://uat-public.vlerick.com/default.aspx
uatonlinemba.vlerick.com,401 Authorization Required,401,172,,,,,,,,,,,,,,,,,,,,,google,80,http://uatonlinemba.vlerick.com:80,http,text/html,GET,35.187.168.7,/,-1710455754,35.187.168.7,Nginx,8,False,True,,nginx,,
view.email.vlerick.com,Error,200,932,view.email.vlerick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2023-01-04T00:00:00Z,2024-02-04T23:59:59Z,"CN=view.email.vlerick.com, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",view.email.vlerick.com,"SALESFORCE.COM, INC.",view.email.vlerick.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,568fc473988dcc1746983a50a669766e,c8f07649a20c0ca6e76d35420a2a2ff0a2c2cbb5055abcd8449fe1e434283ba5,ctls,view.email.vlerick.com,,443,https://view.email.vlerick.com:443,https,text/html,GET,161.71.84.185,/,1631801191,161.71.84.185,HSTS,28,False,,,,,https://view.email.vlerick.com/Error.aspx
viper.uat.vlerick.com,,401,49,viper.uat.vlerick.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,,,2022-11-02T00:00:00Z,2023-11-02T23:59:59Z,"CN=*.uat.vlerick.com, O=Vlerick Business School, ST=Oost-Vlaanderen, C=BE",*.uat.vlerick.com,Vlerick Business School,*.uat.vlerick.com,"CN=GEANT OV RSA CA 4, O=GEANT Vereniging, C=NL",GEANT OV RSA CA 4,GEANT Vereniging,0f153a9e6a59f036fe5fca82f6ad0816,dcc614be584aececb2f8a542f8ce9ae58ca7c1b694b883ce4914537c788a8a85,ctls,viper.uat.vlerick.com,,443,https://viper.uat.vlerick.com:443,https,text/plain,GET,193.190.150.45,/,-1321130087,193.190.150.45,Windows Server,2,False,,True,Microsoft-IIS/8.0,,
viper.vlerick.com,Vlerick Business School - Sign In,200,19549,vlerick.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,"Okta, Inc.",okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,ctls,vlerick.okta.com,,443,https://viper.vlerick.com:443,https,text/html,GET,193.190.150.55,/,-1321130087,193.190.150.55,Nginx,483,False,,True,nginx,fonts.gstatic.com,https://vlerick.okta.com/login/login.htm?fromURI=%2Fapp%2Fvlerickbusinessschool_adfsvlerick_1%2Fexke1l0ccq2pWdExk0x7%2Fsso%2Fsaml%3FSAMLRequest%3D7b0HYBxJliUmL23Ke39K9UrX4HShCIBgEyTYkEAQ7MGIzeaS7B1pRyMpqyqBymVWZV1mFkDM7Z28995777333nvvvfe6O51OJ%252fff%252fz9cZmQBbPbOStrJniGAqsgfP358Hz8iHjfZolw9Ol638%252bWr%252fBet86ZNz55%252b9lEx255N7j24%252f%252fDTe9vnD%252b5n2%252fs75%252fvbD88f7m3vT%252b59Opl8uvPwQXb%252fo%252fQn87opquVnH%252b2Ndz5Kz5pmnZ8tmzZbtvTRzt697Z3727u7b3YfPLr%252f6aPd3fHOzs5PfZQ%252bpX6KZdbym%252fO2XTWP7t69LPO6mL4dV2%252fbbDytFnez1cp8OFk3xTJvmmY6r6ry989m541%252b8%252fvv3s3fvc13y53p9Bftrb47O333dufdg7tNU93F4D5KT6plkwOfdb18VGVN0TxaZou8edROH70%252b%252fuL5I0L90VQaPVovm1U%252bLc6LfPZR%252bm5RLptHTKLNb6%252fqqq2mVfnR0WMmQS2vbn4pa5q8Bgk%252bOgIJiAIY1tiQgSlAH9ylVpfFNG%252futvW6aR%252fflR6OdOpeENyzpy%252brsphep8%252bqepFtGOnueJc%252foek956bheI%252fLsro6qfOszT%252f7iHrLP0rvmn6UO%252fIZ8wrRtM3fteZL%252f7OTkgb2Kj%252b%252fPfU8QqDZeT7La%252baNRxnBpVkppvLnVbGcVVfN47vDvR6ZLwfw9V%252fVJkf%252fDw%253d%253d%26RelayState%3Dc23633a7-2301-4fdd-bbee-15e952d4aa82
vlerick.vlerick.com,Vlerick Business School - Sign In,200,19362,vlerick.okta.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,,,2023-03-06T00:00:00Z,2024-04-05T23:59:59Z,"CN=*.okta.com, O=Okta\, Inc., L=San Francisco, ST=California, C=US",*.okta.com,"Okta, Inc.",okta.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,5b26cffb69d835f23a5808a11c559ec6,bcdaf3d9ff624a29d6bb80899cd53e91f426d7145d70254a124c46e880c55a8b,ctls,vlerick.okta.com,,443,https://vlerick.vlerick.com:443,https,text/html,GET,193.190.150.52,/,-1321130087,193.190.150.52,Nginx,483,False,,True,nginx,vlerick.kerberos.okta.com,https://vlerick.okta.com/login/login.htm?fromURI=%2Fapp%2Fvlerickbusinessschool_adfsvlerick_1%2Fexke1l0ccq2pWdExk0x7%2Fsso%2Fsaml%3FSAMLRequest%3D7b0HYBxJliUmL23Ke39K9UrX4HShCIBgEyTYkEAQ7MGIzeaS7B1pRyMpqyqBymVWZV1mFkDM7Z28995777333nvvvfe6O51OJ%252fff%252fz9cZmQBbPbOStrJniGAqsgfP358Hz8iHjfZolw9Ol638%252bWr%252fBet86ZNz55%252b9lEx257k%252bafZbHa%252bvXeePdje39vd2c4O8sn27sGnn96%252fl832Pn0w%252fSj9ybxuimr52Ud7452P0rOmWedny6bNli19tLN3b3vn%252fvbu7pvdB4%252fuf%252fpod3e8s7PzUx%252blT6mfYpm1%252fOa8bVfNo7t3L8u8LqZvx9XbNhtPq8XdbLUyH07WTbHMm6aZzquq%252fP2z2Xmj3%252fz%252bu3fzd2%252fz3XJnOv1Fe6vvzk7fvd159%252bBu01R3MbiP0pNq2eTAZ10vH1VZUzSPltkibx6100evj794%252fohQfzSVRo%252fWy2aVT4vzIp99lL5blMvmEZNo89urumqraVV%252bdPSYSVDLq5tfypomr0GCj45AAqIAhjU2ZGAK0Ad3qdVlMc2bu229btrHd6WHI526FwT37OnLqiym1%252bmzql5kG0a6O97lT2h6z7lpON7jsqyuTuo8a%252fPPPqLe8o%252fSu6Yf5Y58xrxCNG3zd6350v%252fspKSBvcrPb089jxAbm00fTQGbPn5JP66qevb47nD%252fR%252bbLAcz9V7XJ0f8D%26RelayState%3D6f0454dc-5d29-4b43-9129-5c9aa1a13c8e
