new,host,a,aaaa,cname,soa,status_code,cdn,cdn-name,txt,mx,ns,has_internal_ips,internal_ips,caa
,testanalytics-admin.prosus.com,"13.32.121.71, 13.32.121.105, 13.32.121.122, 13.32.121.6","2600:9000:2240:a800:2:f922:4f80:93a1, 2600:9000:2240:fa00:2:f922:4f80:93a1, 2600:9000:2240:a400:2:f922:4f80:93a1, 2600:9000:2240:fe00:2:f922:4f80:93a1, 2600:9000:2240:8e00:2:f922:4f80:93a1, 2600:9000:236e:4800:2:f922:4f80:93a1, 2600:9000:2240:6600:2:f922:4f80:93a1, 2600:9000:236e:a00:2:f922:4f80:93a1",dct3sqlsxuy4e.cloudfront.net,"ns-1355.awsdns-41.org, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,"ns-106.awsdns-13.com, ns-1355.awsdns-41.org, ns-1650.awsdns-14.co.uk, ns-744.awsdns-29.net",,,
,testanalytics.prosus.com,"99.86.91.116, 99.86.91.56, 99.86.91.79, 99.86.91.15","2600:9000:20f1:dc00:8:6d40:ec80:93a1, 2600:9000:20f1:4c00:8:6d40:ec80:93a1, 2600:9000:20f1:7000:8:6d40:ec80:93a1, 2600:9000:20f1:6e00:8:6d40:ec80:93a1, 2600:9000:20f1:5800:8:6d40:ec80:93a1, 2600:9000:20f1:6a00:8:6d40:ec80:93a1, 2600:9000:20f1:3800:8:6d40:ec80:93a1, 2600:9000:20f1:9200:8:6d40:ec80:93a1",d37l8uqjh8snua.cloudfront.net,"ns-39.awsdns-04.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,"ns-1718.awsdns-22.co.uk, ns-562.awsdns-06.net, ns-39.awsdns-04.com, ns-1164.awsdns-17.org",,,
,testdashboardadmin.naspers.com,,,test-analytics-1689235684.eu-west-1.elb.amazonaws.com,,NOERROR,,,,,,,,
,testeds.prosus.com,"63.32.164.164, 52.30.89.106, 63.32.24.239",,test-prosus-com-1644780229.eu-west-1.elb.amazonaws.com,"ns-1053.awsdns-03.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
,testlegal.naspers.com,"13.32.99.40, 13.32.99.47, 13.32.99.82, 13.32.99.69",,d2a53q52tb0mto.cloudfront.net,"ns-507.awsdns-63.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,"ns-1281.awsdns-32.org, ns-1662.awsdns-15.co.uk, ns-507.awsdns-63.com, ns-969.awsdns-57.net",,,
,tms.naspers.com,197.80.97.68,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,"dns1.cscdns.net, dns2.cscdns.net",,,
,tracker.naspers.com,"18.66.248.90, 18.66.248.43, 18.66.248.125, 18.66.248.54",,d1huo16ell1kth.cloudfront.net,"ns-9.awsdns-01.com, awsdns-hostmaster.amazon.com",NOERROR,True,cloudfront,,,"ns-9.awsdns-01.com, ns-1101.awsdns-09.org, ns-1709.awsdns-21.co.uk, ns-646.awsdns-16.net",,,
,updatekey-antivirus.naspers.fr,"165.160.15.20, 165.160.13.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,upstream-dev.epm.naspers.com,20.61.86.129,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,True,azure,,,,,,
,virusbot.naspers.fr,"165.160.13.20, 165.160.15.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,"dns1.cscdns.net, dns2.cscdns.net",,,
,virusfacts.naspers.us,"165.160.15.20, 165.160.13.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,vpnwar.naspers.com,185.39.236.217,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,k2k71g59ztybglgrrw99tmn4031f11ry,,,,,
,www.antivirus1.naspers.fr,,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,www.capecam.naspers.com,"104.16.100.7, 104.16.99.7","2606:4700::6810:6307, 2606:4700::6810:6407",www.24.com,"hope.ns.cloudflare.com, dns.cloudflare.com",NOERROR,True,cloudflare,atlassian-domain-verification=+dCWCNKq6vfILKgkhduTQukL64V03mzuK9YQCvqUlJaUYtQS26oydw9d9y5iiuhe,,,,,
,www.kardamena-uncovered.naspers.co,"165.160.13.20, 165.160.15.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,www.naspers.co,"165.160.13.20, 165.160.15.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,www.naspers.co.in,178.79.178.218,2a01:7e00:e000:3f7::,,"ns1.lexsynergy.net, dnsmaster.lexsynergy.com",NOERROR,,,,,,,,
,www.naspers.fr,"165.160.15.20, 165.160.13.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,"dns1.cscdns.net, dns2.cscdns.net",,,
,www.naspers.us,"165.160.15.20, 165.160.13.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,www.openline.naspers.com,197.86.37.10,,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
,www.prosus.com,"104.22.63.224, 172.67.21.138, 104.22.62.224","2606:4700:10::ac43:158a, 2606:4700:10::6816:3ee0, 2606:4700:10::6816:3fe0",www.prosus.com.cdn.cloudflare.net,"ns1.cloudflare.net, dns.cloudflare.com",NOERROR,True,cloudflare,,,,,,
,www.updatekey-antivirus.naspers.fr,"165.160.15.20, 165.160.13.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,"dns1.cscdns.net, dns2.cscdns.net",,,
,www.virusbot.naspers.fr,"165.160.13.20, 165.160.15.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,"dns1.cscdns.net, dns2.cscdns.net",,,
,zeroviruses.naspers.us,"165.160.13.20, 165.160.15.20",,,"dns1.cscdns.net, hostmaster.cscdns.net",NOERROR,,,,,,,,
