new,host,soa,status_code,a,cdn,cdn-name,mx,txt,cname,has_internal_ips,internal_ips,ns,caa
,link.outreach.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.91.51, 104.17.90.51",True,cloudflare,,,,,,,
,mail.glassdoor.com,"ns1.responsys.net, hostmaster.responsys.com",NOERROR,12.130.188.115,,,imh.rsys2.net,"google-site-verification=nzq_fIpM0avhthCJO8rso2voBYSg51ETHnCATwa8id0, v=spf1 ip4:12.130.136.0/22 ip4:12.130.153.0/24 ip4:12.130.154.0/24 -all",,,,"ns2.responsys.net, ns1.responsys.net",
,mail7.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,74.205.54.93,,,mail7.glassdoor.com,,,,,,
,mail8.content.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,mail8.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.91.51, 104.17.90.51",True,cloudflare,,,,,,,
,mail8.messaging.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,mail8.outreach.glassdoor.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,mx.sendgrid.net,v=spf1 include:sendgrid.net ~all,u295636.wl137.sendgrid.net,,,,
,mail9.glassdoor.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,mx.sendgrid.net,v=spf1 include:sendgrid.net ~all,u295636.wl.sendgrid.net,,,,
,mail9.messaging.glassdoor.com,"aisha.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,mx.sendgrid.net,v=spf1 ip4:149.72.129.80 ip4:149.72.129.81 -all,u9795893.wl144.sendgrid.net,,,,
,mailesp.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,maps2.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,media.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,google-site-verification=hmD00cNRK36lFxkrmHc3MuWzL3hboUh8JU8c1PD08a4,,,,,
,mfa.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,mi.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,mkto.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,199.15.213.174,,,,,,,,,
,mta.email.glassdoor.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,68.232.196.105,,,,,,,,,
,mta2.email.glassdoor.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,68.232.196.108,,,,,,,,,
,mx.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,nl.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.91.51, 104.17.90.51",True,cloudflare,,,,,,,
,nz.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.91.51, 104.17.90.51",True,cloudflare,,,,,,,
,o1.mail8.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,50.31.57.250,,,,,,,,,
,o10.mail9.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,149.72.129.80,,,,,,,,,
,o11.mail9.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,149.72.129.81,,,,,,,,,
,o11.mail9.messaging.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,149.72.129.81,,,,,,,,,
,o12.mail9.content.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,149.72.129.82,,,,,,,,,
,o13.mail9.content.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,149.72.129.83,,,,,,,,,
,o14.mail9.content.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,149.72.129.84,,,,,,,,,
,o15.mail9.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,149.72.172.37,,,,,,,,,
,o16.mail9.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,149.72.189.5,,,,,,,,,
,o17.ptr3923.outreach.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,o2.mail8.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,50.31.56.126,,,,,,,,,
,o3.mail8.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,50.31.56.141,,,,,,,,,
,o5.mail8.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,50.31.57.90,,,,,,,,,
,o6.mail8.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,50.31.57.91,,,,,,,,,
,o7.mail8.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,50.31.57.92,,,,,,,,,
,o8.mail8.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,50.31.60.111,,,,,,,,,
,o9.mail8.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,50.31.63.61,,,,,,,,,
,omp.mail.glassdoor.com,"ns1.responsys.net, hostmaster.responsys.com",NOERROR,12.130.136.90,,,,,,,,,
,outreach.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,v=spf1 include:sendgrid.net -all,,,,,"digicert.com, letsencrypt.org, comodoca.com"
,partner-api-stage.glassdoor.com,"ns-699.awsdns-23.net, awsdns-hostmaster.amazon.com",NOERROR,"172.22.94.195, 172.22.83.23",,,,,internal-tf-stage-partner-gateway-331032135.us-west-1.elb.amazonaws.com,True,"172.22.94.195, 172.22.83.23","ns-1036.awsdns-01.org, ns-1850.awsdns-39.co.uk, ns-467.awsdns-58.com, ns-699.awsdns-23.net",
,partner-api.glassdoor.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"52.0.87.187, 54.197.81.160",,,,,tfp-prod-us-east-1-partner-gatew-1743422770.us-east-1.elb.amazonaws.com,,,,
,post-job.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.91.51, 104.17.90.51",True,cloudflare,,,,,,,
,press-content.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,qa.glassdoor.com,"ns-699.awsdns-23.net, awsdns-hostmaster.amazon.com",NOERROR,"172.22.89.117, 172.22.87.168",,,,,internal-tf-qa-gateway-687842056.us-west-1.elb.amazonaws.com,True,"172.22.89.117, 172.22.87.168",,
,resources.glassdoor.com,"bart.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.71.206, 104.17.74.206, 104.17.72.206, 104.17.73.206, 104.17.70.206",True,cloudflare,,,"glassdoor.mktoweb.com, abm.mktossl.com",,,,
,resume.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.91.51, 104.17.90.51",True,cloudflare,,,,,,,
,scim.glassdoor.com,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"50.19.12.29, 54.92.253.3",,,,,tfp-prod-us-east-1-scim-provider-755516654.us-east-1.elb.amazonaws.com,,,,
,sentry.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,sentry.gkc.prod.jagundi.com,,,,
,sfovpn.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,sfovpn1.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,sfovpn2.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,sg.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,sitemaps.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,stage-help.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,stash-test.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,stash.glassdoor.com,"ns-699.awsdns-23.net, awsdns-hostmaster.amazon.com",NOERROR,"172.22.0.181, 172.22.1.48",,,,,internal-stash-glassdoor-com-6611145.us-west-1.elb.amazonaws.com,True,"172.22.0.181, 172.22.1.48",,
,static-pc.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,static-qa.glassdoor.com,"ns-699.awsdns-23.net, awsdns-hostmaster.amazon.com",NOERROR,"172.22.87.168, 172.22.89.117",,,,,"qa.glassdoor.com, internal-tf-qa-gateway-687842056.us-west-1.elb.amazonaws.com",True,"172.22.87.168, 172.22.89.117",,
,static-stage.glassdoor.com,"ns-699.awsdns-23.net, awsdns-hostmaster.amazon.com",NOERROR,"172.22.87.250, 172.22.91.23",,,,,"stage.glassdoor.com, internal-tf-stage-gateway-1811155735.us-west-1.elb.amazonaws.com",True,"172.22.87.250, 172.22.91.23",,
,static.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,True,cloudflare,,,,,,,
,static1.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.91.51, 104.17.90.51",True,cloudflare,,,,,,,
,static2.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,static3.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,static4.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,sw.glassdoor.com,"ns-1035.awsdns-01.org, awsdns-hostmaster.amazon.com",NOERROR,"13.225.84.140, 13.225.84.23, 13.225.84.141, 13.225.84.103",True,cloudfront,,,d148i84uq5bja.cloudfront.net,,,,
,ui.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,uk.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.91.51, 104.17.90.51",True,cloudflare,,,,,,,
,upload.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,use.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,199.15.213.174,,,use.glassdoor.com,v=spf1 ip4:199.15.213.174 -all,,,,,
,uswest.vpn.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,view.email.glassdoor.com,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,,view.virt.s4.exacttarget.com,,,,
,vpn.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.91.51, 104.17.90.51",True,cloudflare,,,,,,,
,wiki-prod.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,wiki-stage.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,,,,,,,,
,wiki.glassdoor.com,"jill.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"104.17.90.51, 104.17.91.51",True,cloudflare,,,,,,,
,www-qa.glassdoor.com,"ns-699.awsdns-23.net, awsdns-hostmaster.amazon.com",NOERROR,"172.22.89.117, 172.22.87.168",,,,,"qa.glassdoor.com, internal-tf-qa-gateway-687842056.us-west-1.elb.amazonaws.com",True,"172.22.89.117, 172.22.87.168",,
,www-stage.glassdoor.com,"ns-699.awsdns-23.net, awsdns-hostmaster.amazon.com",NOERROR,"172.22.87.250, 172.22.91.23",,,,,"stage.glassdoor.com, internal-tf-stage-gateway-1811155735.us-west-1.elb.amazonaws.com",True,"172.22.87.250, 172.22.91.23",,
