new,host,a,cname,soa,status_code,aaaa,has_internal_ips,internal_ips,txt,cdn,cdn-name,ns,mx
[x],egr1-1-vzb.sg.larksuite.com,"95.101.111.148, 95.101.111.166","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],egr12-460-pda.sg.larksuite.com,"2.16.241.80, 2.16.241.78","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],egr2-2-pda.jp.larksuite.com,"80.239.137.137, 62.115.252.72","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],egr4-4-gre.jp.larksuite.com,"23.213.161.211, 23.213.161.198","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],egr4-4-pdb.jp.larksuite.com,"96.16.54.130, 96.16.54.171","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],egr4-4-pdb.sg.larksuite.com,"23.12.147.30, 23.12.147.4","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],egr5-pdb.jp.larksuite.com,"62.115.252.72, 80.239.137.137","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],egr5-pdb.sg.larksuite.com,"104.126.37.153, 104.126.37.145","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],egr6-142-pdb.jp.larksuite.com,"23.213.161.198, 23.213.161.211","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],egr6-6-seb.jp.larksuite.com,"104.110.240.105, 104.110.240.155","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],egr7-7-pdb.sg.larksuite.com,"23.53.43.51, 23.53.43.34","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],egr7-gre.jp.larksuite.com,"23.213.161.198, 23.213.161.211","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ehningen-gcc.sg.larksuite.com,"184.51.149.35, 184.51.149.19","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ei-pmgt.jp.larksuite.com,"2.16.241.78, 2.16.241.95","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ei-pmgt.sg.larksuite.com,"96.16.54.146, 96.16.54.179","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ei-pqa.jp.larksuite.com,"104.126.37.179, 104.126.37.144","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ei-pqa.sg.larksuite.com,"104.110.240.73, 104.110.240.168","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],eigasanpo.sg.larksuite.com,"104.126.37.153, 104.126.37.145","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ejob.jp.larksuite.com,"95.101.111.175, 95.101.111.161","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ekurs.jp.larksuite.com,"95.101.111.161, 95.101.111.175","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ekurs.sg.larksuite.com,"104.126.37.153, 104.126.37.145","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalk-cnocmon.jp.larksuite.com,"95.101.111.175, 95.101.111.161","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalk-connectstoragemx.jp.larksuite.com,"2.16.241.95, 2.16.241.78","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalk-customers-mx-corporate.jp.larksuite.com,"92.122.215.18, 2.20.142.88","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalk-customers-mx-corporate.sg.larksuite.com,"104.126.37.145, 104.126.37.153","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalk-datalogin-loginaccept-domain.sg.larksuite.com,"184.51.149.19, 184.51.149.35","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalk-dev.jp.larksuite.com,"23.213.161.198, 23.213.161.211","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalk-devapp-tempcontainer-corporate.jp.larksuite.com,"104.110.240.105, 104.110.240.155","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalk-devwpdoc-corporate.sg.larksuite.com,"23.53.43.51, 23.53.43.34","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalk-econtop.jp.larksuite.com,"23.213.161.211, 23.213.161.198","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalk-erroruser.jp.larksuite.com,"23.213.161.211, 23.213.161.198","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalk-erroruser.sg.larksuite.com,"23.53.43.51, 23.53.43.34","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalk-media.sg.larksuite.com,,"wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalk-remote.jp.larksuite.com,"104.126.37.147, 104.126.37.144","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalk-remote.sg.larksuite.com,"23.213.161.217, 23.213.161.209","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalk-ssh.sg.larksuite.com,"2.20.142.67, 92.122.215.105","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalk-team-customersimg-site.jp.larksuite.com,"2.16.241.95, 2.16.241.78","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalk-usersmembersmysqlbackups-www-test.sg.larksuite.com,"96.16.54.146, 96.16.54.179","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalk-vip-authdev-miembros.jp.larksuite.com,"23.12.147.37, 23.12.147.28","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalk-vip-authdev-miembros.sg.larksuite.com,"96.16.54.179, 96.16.54.146","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkaccount.jp.larksuite.com,"2.16.110.91, 2.16.110.59","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkaccount.sg.larksuite.com,"184.51.149.19, 184.51.149.35","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkaltgiju.jp.larksuite.com,"23.213.161.198, 23.213.161.211","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkapple.jp.larksuite.com,"23.213.161.211, 23.213.161.198","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkapple.sg.larksuite.com,"23.213.161.217, 23.213.161.209","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkchefm.jp.larksuite.com,"62.115.252.72, 80.239.137.137","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkchefm.sg.larksuite.com,"23.0.174.112, 23.0.174.104","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkcustomers-data-repository-postgresmx.sg.larksuite.com,"92.122.215.105, 2.20.142.67","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkdemojenkins-v4cache-0.jp.larksuite.com,"23.53.42.251, 23.53.42.249","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkdemojenkins-v4cache-0.sg.larksuite.com,"104.110.240.73, 104.110.240.168","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkincidentmgt.jp.larksuite.com,"92.122.215.18, 2.20.142.88","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkincidentmgt.sg.larksuite.com,"23.12.147.4, 23.12.147.30","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkinternal.larksuite.com,"2.16.241.12, 2.16.241.17","wildcard.larksuite.com.ttdns1.com, wildcard.larksuite.com.default.ttdns1.com, wildcard.larksuite.com.edgesuite.net, a1825.r.akamai.net","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkosmail.jp.larksuite.com,"96.16.54.130, 96.16.54.171","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalksignup.jp.larksuite.com,"2.20.142.88, 92.122.215.18","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkslaveconfig.jp.larksuite.com,"104.126.37.147, 104.126.37.144","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkstaging.sg.larksuite.com,"23.213.161.217, 23.213.161.209","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkstagingmiembros.jp.larksuite.com,"62.115.252.72, 80.239.137.137","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkstatus-db2-corp.jp.larksuite.com,"104.126.37.147, 104.126.37.144","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalktemp-mobile-beta-clients-git.sg.larksuite.com,"104.126.37.145, 104.126.37.153","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkvideo-mobilemaster-backups-www-test.jp.larksuite.com,"23.12.147.37, 23.12.147.28","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkvideo-mobilemaster-backups-www-test.sg.larksuite.com,"104.126.37.145, 104.126.37.153","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkwiki.jp.larksuite.com,"23.213.161.198, 23.213.161.211","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elasticbeanstalkwiki.sg.larksuite.com,"95.101.111.148, 95.101.111.166","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],electionstats.jp.larksuite.com,"23.53.42.251, 23.53.42.249","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],eliteunblockedgames.jp.larksuite.com,"23.213.161.211, 23.213.161.198","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ellenburg.jp.larksuite.com,"92.122.215.18, 2.20.142.88","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],elsearch-sit-rr2.sg.larksuite.com,"2.16.241.78, 2.16.241.80","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],emails.jp.larksuite.com,"2.16.241.95, 2.16.241.78","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],emails.sg.larksuite.com,"2.16.241.80, 2.16.241.78","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],embeds-eu1-internal.jp.larksuite.com,"104.126.37.144, 104.126.37.179","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],embeds-eu1-internal.sg.larksuite.com,"96.16.54.179, 96.16.54.146","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],emtgmz-fw01.jp.larksuite.com,"2.20.142.88, 92.122.215.18","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],emtgmz-fw01.sg.larksuite.com,"104.126.37.145, 104.126.37.153","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],emule.sg.larksuite.com,"23.213.161.209, 23.213.161.217","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],enboarder.jp.larksuite.com,"2.16.241.78, 2.16.241.95","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],ene46bgfbh.larksuite.com,"23.72.252.66, 23.72.252.90, 23.72.252.82","wildcard.larksuite.com.ttdns1.com, wildcard.larksuite.com.default.ttdns1.com, wildcard.larksuite.com.edgesuite.net, a1825.r.akamai.net","n0r.akamai.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],eng-devopsorigin.jp.larksuite.com,"23.213.161.198, 23.213.161.211","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],eng-v2db2-corp.sg.larksuite.com,"23.12.147.4, 23.12.147.30","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engclients-git.jp.larksuite.com,"104.126.37.144, 104.126.37.179","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engima.jp.larksuite.com,"23.53.42.251, 23.53.42.249","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineering-access.jp.larksuite.com,"95.101.111.175, 95.101.111.161","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineering-admin-postgresqlstatic-clients-stats-corp.jp.larksuite.com,"23.0.174.129, 23.0.174.130","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineering-admin-postgresqlstatic-clients-stats-corp.sg.larksuite.com,"2.16.241.80, 2.16.241.78","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineering-corporate-gitvpn.jp.larksuite.com,"80.239.137.137, 62.115.252.72","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineering-elasticbeanstalk-statusapiconfig-share.jp.larksuite.com,"104.126.37.147, 104.126.37.144","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineering-english-storage.jp.larksuite.com,"23.53.42.249, 23.53.42.251","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineering-english-storage.sg.larksuite.com,"104.126.37.145, 104.126.37.153","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineering-fw01b.sg.larksuite.com,,"wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineering-originmeet-git.sg.larksuite.com,"2.16.241.78, 2.16.241.80","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineering-shzaarur.jp.larksuite.com,"104.110.240.155, 104.110.240.105","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineering-signup.sg.larksuite.com,"96.16.54.179, 96.16.54.146","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineering-stagingteamregister.jp.larksuite.com,"184.51.149.97, 184.51.149.65","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineering-stagingteamregister.sg.larksuite.com,"104.126.37.153, 104.126.37.145","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineering-statusauthcorporate-v2.sg.larksuite.com,"104.126.37.145, 104.126.37.153","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineering-vpn.jp.larksuite.com,"96.16.54.171, 96.16.54.130","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineering-vpn.sg.larksuite.com,,"wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineering-wiki-prod-demo-int-mx-corporate.sg.larksuite.com,"23.213.161.209, 23.213.161.217","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineering-wikici-my-external-domain.jp.larksuite.com,"104.126.37.179, 104.126.37.144","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineering-www.sg.larksuite.com,"104.110.240.168, 104.110.240.73","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineering.jp.larksuite.com,"23.53.42.249, 23.53.42.251","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineering.sg.larksuite.com,"96.16.54.179, 96.16.54.146","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineeringapi-webconfaccept-domain.jp.larksuite.com,"104.126.37.144, 104.126.37.147","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineeringapi-webconfaccept-domain.sg.larksuite.com,"104.126.37.145, 104.126.37.153","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineeringassetsassetsapp.jp.larksuite.com,"23.213.161.198, 23.213.161.211","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineeringbenning-ccip1.jp.larksuite.com,"2.16.241.95, 2.16.241.78","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineeringbucket-data-stagingdefaultproduction.sg.larksuite.com,"23.53.43.34, 23.53.43.51","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineeringcacheauthpanel-media.jp.larksuite.com,"62.115.252.72, 80.239.137.137","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineeringcacheauthpanel-media.sg.larksuite.com,"104.110.240.73, 104.110.240.168","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineeringcms-customers-mx-corporate.jp.larksuite.com,"104.110.240.105, 104.110.240.155","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineeringdbmsv1.jp.larksuite.com,"2.20.142.88, 92.122.215.18","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineeringdbmsv1.sg.larksuite.com,"80.239.137.161, 62.115.252.73","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineeringdelmarcollege.jp.larksuite.com,"23.53.42.251, 23.53.42.249","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineeringdelmarcollege.sg.larksuite.com,"104.126.37.145, 104.126.37.153","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineeringedconhecimento.jp.larksuite.com,"2.16.241.78, 2.16.241.95","wildcard.jp.larksuite.com.edgekey.net, e109209.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
[x],engineeringedconhecimento.sg.larksuite.com,"2.16.241.78, 2.16.241.80","wildcard.sg.larksuite.com.edgekey.net, e127613.a.akamaiedge.net","n0a.akamaiedge.net, hostmaster.akamai.com",NOERROR,,,,,,,,
