new,host,cname,soa,status_code,a,mx,txt,ns,cdn,cdn-name,caa,has_internal_ips,internal_ips,aaaa
[x],icicibank.razorpay.com,"whitelabel-dashboard-weighted.razorpay.com, cde-green-ext.razorpay.com","ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"65.1.230.35, 3.111.191.63, 43.204.42.189, 43.205.179.183, 43.205.158.115, 15.207.160.42, 35.154.200.160, 3.6.108.73",,,,,,,,,
[x],idsru-idsru-portal-counter.prod-blue.razorpay.com,prod-blue-ext.razorpay.com,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ifsc-test.razorpay.com,,,NOERROR,54.144.128.85,,,,,,,,,
[x],imaginedbyai.razorpay.com,"proxy-ssl.webflow.com, proxy-ssl-geo.webflow.com","ns-1078.awsdns-06.org, awsdns-hostmaster.amazon.com",NOERROR,"54.194.170.100, 34.253.101.190, 34.251.201.224",,,,,,,,,
[x],int.prod-blue.razorpay.com,prod-blue-ext.razorpay.com,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],int.tw.razorpay.com,,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,"3.111.85.39, 52.66.97.64",,,,,,,,,
[x],invoices-x.razorpay.com,,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"13.225.63.82, 13.225.63.49, 13.225.63.23, 13.225.63.87",,,,True,cloudfront,,,,
[x],invoices.razorpay.com,eks-cde-green-external-alb-1644151655.ap-south-1.elb.amazonaws.com,"ns-329.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"65.0.227.89, 65.2.43.43, 43.205.158.115, 3.6.108.73, 43.204.42.189, 3.108.127.63, 3.111.191.63, 52.66.106.96",,,,,,,,,
[x],jenkins-controller-new-corp.prod-blue.razorpay.com,prod-blue-ext.razorpay.com,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],jira.corp.razorpay.com,,"ns-644.awsdns-16.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ke.tw.razorpay.com,,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,"52.66.97.64, 3.111.85.39",,,,,,,,,
[x],knowledgebase.razorpay.com,"3b6c14afaeda43df132b35431490e034.freshdesk.com, fwfd-aps1-lb6.freshdesk.com","ns-350.awsdns-43.com, awsdns-hostmaster.amazon.com",NOERROR,"52.66.17.175, 3.7.203.162, 13.126.111.171",,,,,,"amazon.com, letsencrypt.org",,,
[x],lbx2.prod-blue.razorpay.com,prod-blue-ext.razorpay.com,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],livesftp.prod-blue.razorpay.com,prod-blue-ext.razorpay.com,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],lp.razorpay.com,"5558946.group46.sites.hubspot.net, group46.sites.hscoscdn40.net","jerry.ns.cloudflare.com, dns.cloudflare.com",NOERROR,"199.60.103.28, 199.60.103.228",,,,,,,,,"2606:2c40::c73c:67e4, 2606:2c40::c73c:671c"
[x],lumberjack-cx.razorpay.com,"prod-lumberjack-cx-weighted.razorpay.com, prod-green-ext-v2.razorpay.com, prod-white-ext-v2.razorpay.com","ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"3.6.64.127, 13.232.56.20",,,,,,,,,
[x],lumberjack-metrics.razorpay.com,"prod-lumberjack-metrics-weighted.razorpay.com, prod-green-ext-v2.razorpay.com, prod-white-ext-v2.razorpay.com","ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"13.232.56.20, 3.6.64.127",,,,,,,,,
[x],lumberjack.razorpay.com,"prod-lumberjack-weighted.razorpay.com, prod-green-ext-v2.razorpay.com, prod-white-ext-v2.razorpay.com","ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"13.232.56.20, 3.6.64.127",,,,,,,,,
[x],magic-plugins.razorpay.com,,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"18.66.233.121, 18.66.233.114, 18.66.233.8, 18.66.233.96",,,,True,cloudfront,,,,
[x],mail.razorpay.com,ghs.googlehosted.com,"ns1.google.com, dns-admin.google.com",NOERROR,142.250.181.243,,,,,,,,,2a00:1450:4001:82f::2013
[x],media.razorpay.com,,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"52.222.214.6, 52.222.214.30, 52.222.214.68, 52.222.214.101",,,,True,cloudfront,,,,
[x],merchant.razorpay.com,,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"18.66.122.12, 18.66.122.77, 18.66.122.61, 18.66.122.40",,,,True,cloudfront,,,,
[x],missl9.prod-blue.razorpay.com,prod-blue-ext.razorpay.com,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],mpi.razorpay.com,,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,"52.66.75.174, 52.66.76.63",,,,,,,,,
[x],msoid.razorpay.com,"clientconfig.microsoftonline-p.net, a.privatelink.msidentity.com, prda.aadg.msidentity.com, www.tm.a.prd.aadg.akadns.net, www.tm.a.prd.aadg.trafficmanager.net","tm1.dns-tm.com, hostmaster.trafficmanager.net, internal.akadns.net, hostmaster.akamai.com",NOERROR,"40.126.31.67, 40.126.31.69, 40.126.31.73, 20.190.159.0, 20.190.159.64, 20.190.159.68, 20.190.159.73, 20.190.159.75",,,,True,azure,,,,
[x],mssql.prod-blue.razorpay.com,prod-blue-ext.razorpay.com,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],mssql.tw.razorpay.com,,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,"3.111.85.39, 52.66.97.64",,,,,,,,,
[x],mysql.tw.razorpay.com,,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,"52.66.97.64, 3.111.85.39",,,,,,,,,
[x],npci-emandate.prod.razorpay.com,,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,rcdc9g3mn5b064884tftsp3cxbnt4832,,,,,,,
[x],o1.prod-blue.razorpay.com,prod-blue-ext.razorpay.com,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],ocr.razorpay.com,"prod-ocr-weighted.razorpay.com, prod-white-int-v2.razorpay.com","ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],oneapp.prod-blue.razorpay.com,prod-blue-ext.razorpay.com,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],opensource.razorpay.com,razorpay.github.io,"dns1.p05.nsone.net, hostmaster.nsone.net, ns-1622.awsdns-10.co.uk, awsdns-hostmaster.amazon.com",NOERROR,"185.199.111.153, 185.199.108.153, 185.199.109.153, 185.199.110.153",,,,,,"digicert.com, letsencrypt.org",,,"2606:50c0:8003::153, 2606:50c0:8000::153, 2606:50c0:8002::153, 2606:50c0:8001::153"
[x],origin.tw.razorpay.com,,"ns-558.awsdns-05.net, awsdns-hostmaster.amazon.com",NOERROR,"52.66.97.64, 3.111.85.39",,,,,,,,,
[x],oxy-oxygen-43c393eb.prod-blue.razorpay.com,prod-blue-ext.razorpay.com,"ns-1400.awsdns-47.org, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
