new,host,a,soa,status_code,cname,has_internal_ips,internal_ips,cdn,cdn-name,txt,aaaa,ns,mx,caa
[x],privacyportal1.pat.td.com,"2.16.187.114, 2.16.187.136","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"privacyportal1.pat.td.com.edgekey.net, e115912.b.akamaiedge.net",,,,,,,,,
[x],privacyportal2.pat.td.com,"88.221.25.17, 88.221.25.121","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"privacyportal2.pat.td.com.edgekey.net, e115912.b.akamaiedge.net",,,,,,,,,
[x],privacyportal3.pat.td.com,"95.101.133.50, 80.239.254.25","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"privacyportal3.pat.td.com.edgekey.net, e115912.b.akamaiedge.net",,,,,,,,,
[x],private-bankers.td.com,"23.38.98.108, 23.38.98.101","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"private-bankers.td.com.edgekey.net, e85852.b.akamaiedge.net",,,,,,,,,
[x],projetespacepourtous.td.com,199.115.125.235,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],qa.caas.td.com,52.228.124.115,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,True,azure,,,,,
[x],qa.feeds.td.com,52.228.124.115,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,True,azure,,,,,
[x],qa.publish.td.com,52.228.124.115,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,True,azure,,,,,
[x],qa.td.com,52.228.124.115,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,True,azure,,,,,
[x],qa.us.td.com,142.205.185.179,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],rabaisetudiant.td.com,69.84.135.101,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],rcmcustomlending.pat.td.com,"52.204.143.61, 18.207.172.32, 34.233.216.23","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",NOERROR,"tdrcm.uat5.supernovacompanies.com, core-extco-ng0k2x8w4y9z-1717080249.us-east-1.elb.amazonaws.com",,,,,,,,,
[x],rcp-proxy.dev.td.com,142.205.34.112,"nstorpat.tdbank.ca, hostmaster.nstorpat.tdbank.ca.globalpat.td.com",NOERROR,rcp-proxy.dev.td.com.globalpat.td.com,,,,,,,,,
[x],rcp-proxy.dev.td.com.globalpat.td.com,,"nstorpat.tdbank.ca, hostmaster.nstorpat.tdbank.ca.globalpat.td.com",NOERROR,,,,,,,,,,
[x],rcp-proxy.pat.td.com,,"nstorpat.tdbank.ca, hostmaster.nstorpat.tdbank.ca.globalpat.td.com",NOERROR,rcp-proxy.pat.td.com.globalpat.td.com,,,,,,,,,
[x],rcp-proxy.sit.td.com,142.205.34.113,"nstorpat.tdbank.ca, hostmaster.nstorpat.tdbank.ca.globalpat.td.com",NOERROR,rcp-proxy.sit.td.com.globalpat.td.com,,,,,,,,,
[x],rcsmerchant.pat.td.com,,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],register.pat.td.com,"23.61.11.189, 23.61.11.143","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"register.pat.td.com.edgekey.net, e193841.b.akamaiedge.net",,,,,,,,,
[x],ru.td.com,152.199.17.48,"ns1.taucdn.net, noc.edgecast.com",NOERROR,cs808.adn.taucdn.net,,,,,,,,,
[x],salesforce-rcp-data.pat.td.com,,,NOERROR,,,,,,,,,,
[x],salledepresse.td.com,52.60.219.22,"ns-835.awsdns-40.net, awsdns-hostmaster.amazon.com",NOERROR,master-7rqtwti-6bdjetjsvilxq.ca-1.platformsh.site,,,,,,,,,
[x],sbebill.sit.td.com,216.34.182.234,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,v=spf1 include:spf.dynect.net ?all,,,,
[x],sbebill.td.com,,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],seancedemagasinage.td.com,204.9.166.206,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],search.td.com,152.199.16.193,"ns1.omicroncdn.net, noc.edgecast.com",NOERROR,cs2142.adn.omicroncdn.net,,,,,,,,,
[x],searchmb.pat.td.com,"96.16.54.200, 96.16.54.113","n0b.akamaiedge.net, hostmaster.akamai.com",NOERROR,"searchmb.pat.td.com.edgekey.net, e106627.b.akamaiedge.net",,,,,,,,,
[x],searchmb.td.com,152.199.17.64,"ns1.upsiloncdn.net, noc.edgecast.com",NOERROR,cs5.adn.upsiloncdn.net,,,,,,,,,
[x],secure.equityaccess.td.com,74.213.186.157,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],sentrypoc.td.com,142.205.125.15,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],service.td.com,74.213.186.157,"a1-113.akam.net, dnstech.tdbank.ca",NOERROR,,,,,,,,,,
[x],services.dev.smartforms.td.com,,"ns-1416.awsdns-49.org, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
[x],services.pat.smartforms.td.com,"18.66.122.121, 18.66.122.38, 18.66.122.14, 18.66.122.74","ns-1509.awsdns-60.org, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
[x],services.sit.smartforms.td.com,"18.165.83.6, 18.165.83.55, 18.165.83.12, 18.165.83.90","ns-250.awsdns-31.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,,,
