input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,csp_domains_,final_url,tls_mismatched
rbc.atlas.securityscorecard.io,ATLAS,200,2573,cloudfront,443,https://rbc.atlas.securityscorecard.io:443,https,AmazonS3,text/html,GET,65.9.66.111,/,1326708382,65.9.66.6,HSTS,1,False,True,rbc.atlas.securityscorecard.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-08-26T23:59:59Z,CN=*.atlas.securityscorecard.io,*.atlas.securityscorecard.io,,atlas.securityscorecard.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,916fa41385ab66f247f49b776535e42b,ebc18edbc7553e468383702baaffd9cc7545db2e38281555cf0ec4ddd3fbae9a,True,ctls,rbc.atlas.securityscorecard.io,https://fonts.gstatic.com/,,
resources.securityscorecard.com,PathFactory,200,9583,,443,https://resources.securityscorecard.com:443,https,,text/html,GET,3.208.232.111,/,-1332779558,34.202.210.163,Ruby on Rails,459,False,,securityscorecard.pathfactory.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-02-24T00:00:00Z,2023-10-03T23:59:59Z,CN=*.pathfactory.com,*.pathfactory.com,,*.lookbookhq.com,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,3a7b35354e15547d1daa34d20ed7f5ab,e7db6c2c2bef615118b971bd4e7ef0588780d74591aade025502774c0a89fdbc,True,ctls,securityscorecard.pathfactory.com,,https://securityscorecard.pathfactory.com/users/sign_in,
sb.atlas.securityscorecard.io,ATLAS,200,2573,cloudfront,443,https://sb.atlas.securityscorecard.io:443,https,AmazonS3,text/html,GET,65.9.66.6,/,1326708382,65.9.66.120,HSTS,1,False,True,sb.atlas.securityscorecard.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-08-26T23:59:59Z,CN=*.atlas.securityscorecard.io,*.atlas.securityscorecard.io,,atlas.securityscorecard.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,916fa41385ab66f247f49b776535e42b,ebc18edbc7553e468383702baaffd9cc7545db2e38281555cf0ec4ddd3fbae9a,True,ctls,sb.atlas.securityscorecard.io,*.securityscorecard.io,,
secops.team.securityscorecard.io,Sign in - Google Accounts,200,175353,,443,https://secops.team.securityscorecard.io:443,https,ESF,text/html,GET,142.250.186.83,/,-475905355,2a00:1450:4001:812::2013,HTTP/3,166,False,,accounts.google.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-24T12:01:17Z,2023-07-17T12:01:16Z,CN=accounts.google.com,accounts.google.com,,*.partner.android.com,"CN=GTS CA 1C3, O=Google Trust Services LLC, C=US",GTS CA 1C3,Google Trust Services LLC,ffbd570980888cb257acebdb708a2d75,3596256e83356f09d6079b9630443622df53790c7165aeabb3be3476ce9e74db,True,ctls,accounts.google.com,,https://accounts.google.com/v3/signin/identifier?dsh=S-2147223748%3A1683818716458528&continue=https%3A%2F%2Fsites.google.com%2Fsecurityscorecard.io%2Fportal&followup=https%3A%2F%2Fsites.google.com%2Fsecurityscorecard.io%2Fportal&ifkv=Af_xneHn1dMRDOhfSx41WSorRP6gxMTMtFe7uH1LCmNvEMJHQ3QfPTpi2v2E-AisNvrXsylML3CSgg&osid=1&passive=1209600&flowName=WebLiteSignIn&flowEntry=ServiceLogin,
securityscorecard.com,Security Ratings & Cybersecurity Risk Management | SecurityScorecard,200,440406,cloudflare,443,https://securityscorecard.com:443,https,cloudflare,text/html,GET,104.25.39.102,/,-1840324437,2606:4700:20::6819:2866,WordPress,5923,False,True,securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-03T18:27:37Z,2023-08-01T18:27:36Z,CN=securityscorecard.com,securityscorecard.com,,securityscorecard.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a14125a6ca37011ad4bb269bd80c743d,1d5976367b3ad7ce7ec73c8040300fa835f988c4209d7ac426fbdb0d7fc1e989,,ctls,securityscorecard.com,https://*.browser-intake-datadoghq.com,,
securityscorecard.io,Security Ratings & Cybersecurity Risk Management | SecurityScorecard,200,377813,cloudfront,443,https://securityscorecard.io:443,https,cloudflare,text/html,GET,18.66.112.87,/,-1840324437,18.66.112.72,WordPress,4446,False,True,securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-03T18:27:37Z,2023-08-01T18:27:36Z,CN=securityscorecard.com,securityscorecard.com,,securityscorecard.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a14125a6ca37011ad4bb269bd80c743d,1d5976367b3ad7ce7ec73c8040300fa835f988c4209d7ac426fbdb0d7fc1e989,,ctls,securityscorecard.com,*.cookiebot.com,https://securityscorecard.com/,
signup.securityscorecard.com,Try Leadpages Free for 14 Days,404,13922,google,443,https://signup.securityscorecard.com:443,https,Leadpages,text/html,GET,35.202.21.90,/,826951121,35.202.21.90,,370,False,True,signup.securityscorecard.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-22T22:28:42Z,2023-06-20T22:28:41Z,CN=signup.securityscorecard.com,signup.securityscorecard.com,,signup.securityscorecard.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,5c108faef5c3770a966e751e47b69b92,0c59de82b7b2ae98ed359641bc2867604c9e56702bccfb7caeb02ac6b64240f4,,ctls,signup.securityscorecard.com,,,
smart.securityscorecard.io,Opensense | The smarter way to send email.,200,81501,,443,https://smart.securityscorecard.io:443,https,,text/html,GET,66.70.177.4,/,-1506477249,66.70.177.4,Webflow,495,False,,www.opensense.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-05T08:14:41Z,2023-07-04T08:14:40Z,CN=www.opensense.com,www.opensense.com,,www.opensense.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6b4e79e2e28b1afec6a24dfeb202107a,14dc860377dfe1f058c426d3810fd584fe3cad01deaf3ca7f69eb476baac56de,,ctls,www.opensense.com,,https://www.opensense.com,
static.securityscorecard.io,,200,258665,cloudfront,443,https://static.securityscorecard.io:443,https,AmazonS3,application/xml,GET,13.32.121.72,/,2023373028,13.32.121.106,HSTS,2,False,True,static.securityscorecard.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-03-01T00:00:00Z,2024-01-24T23:59:59Z,CN=*.securityscorecard.com,*.securityscorecard.com,,*.securityscorecard.io,"CN=Amazon RSA 2048 M01, O=Amazon, C=US",Amazon RSA 2048 M01,Amazon,1a5d463cd9354cf184efb568615acef7,3dff3e266d22cea2869c3b1ae5bbdc2c7fcf967faf51279000cdf70356a9fd65,True,ctls,static.securityscorecard.io,,,True
status.securityscorecard.com,SecurityScorecard External Status,200,132941,,443,https://status.securityscorecard.com:443,https,,text/html,GET,52.215.192.131,/,-1840324437,52.215.192.131,HSTS,2606,False,,status.securityscorecard.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-05-08T04:44:17Z,2023-08-06T04:44:16Z,CN=its-status.colby.edu,its-status.colby.edu,,status.voyado.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c85f50da24ad7ab53d638bf5d0eca879,206fd1429391f1f91815587254dd8e596cea672a5030fa45f7f252a796b964d1,,ctls,status.securityscorecard.com,,,
support.securityscorecard.com,Security check,403,7827,cloudflare,443,https://support.securityscorecard.com:443,https,cloudflare,text/html,GET,104.16.51.111,/,-1279294674,104.16.53.111,Cloudflare,103,False,True,support.securityscorecard.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-03-20T07:51:48Z,2023-06-18T07:51:47Z,CN=support.securityscorecard.com,support.securityscorecard.com,,support.securityscorecard.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,010e38240488622678528f3e84941239,e11f8a78ab3c9f8fa80337169c1896ff45be14d6d9a98103c86a068d8a6ea346,,ctls,support.securityscorecard.com,,https://support.securityscorecard.com/hc/en-us,
tech.securityscorecard.com,Security Ratings & Cybersecurity Risk Management | SecurityScorecard,200,440400,cloudflare,443,https://tech.securityscorecard.com:443,https,cloudflare,text/html,GET,104.25.39.102,/,-1749466828,2606:4700:20::ac43:43fa,WordPress,5923,False,True,securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-03T18:27:37Z,2023-08-01T18:27:36Z,CN=securityscorecard.com,securityscorecard.com,,securityscorecard.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a14125a6ca37011ad4bb269bd80c743d,1d5976367b3ad7ce7ec73c8040300fa835f988c4209d7ac426fbdb0d7fc1e989,,ctls,securityscorecard.com,https://*.browser-intake-datadoghq.com,https://securityscorecard.com/,
techblog.securityscorecard.io,,409,16,cloudflare,80,http://techblog.securityscorecard.io:80,http,cloudflare,text/plain,GET,162.159.152.4,/,1000520165,162.159.153.4,Cloudflare,1,False,True,,,,,,,,,,,,,,,,,,,,,,
trust.securityscorecard.com,502 Bad Gateway,502,143,cloudflare,443,https://trust.securityscorecard.com:443,https,cloudflare,text/html,GET,104.25.39.102,/,1672552969,2606:4700:20::ac43:43fa,HSTS,8,False,True,securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-03T18:27:37Z,2023-08-01T18:27:36Z,CN=securityscorecard.com,securityscorecard.com,,securityscorecard.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a14125a6ca37011ad4bb269bd80c743d,1d5976367b3ad7ce7ec73c8040300fa835f988c4209d7ac426fbdb0d7fc1e989,,ctls,securityscorecard.com,,https://securityscorecard.com/trust,
trust.securityscorecard.io,Trust | SecurityScorecard,200,434129,cloudfront,443,https://trust.securityscorecard.io:443,https,cloudflare,text/html,GET,18.66.147.44,/,-476454734,18.66.147.112,WordPress,5819,False,True,securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-03T18:27:37Z,2023-08-01T18:27:36Z,CN=securityscorecard.com,securityscorecard.com,,securityscorecard.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,a14125a6ca37011ad4bb269bd80c743d,1d5976367b3ad7ce7ec73c8040300fa835f988c4209d7ac426fbdb0d7fc1e989,,ctls,securityscorecard.com,*.cookiebot.com,https://securityscorecard.com/trust/,
uat.securityscorecard.com,Attention Required! | Cloudflare,403,4524,cloudflare,443,https://uat.securityscorecard.com:443,https,cloudflare,text/html,GET,104.25.39.102,/,1505960532,2606:4700:20::ac43:43fa,HSTS,94,False,True,uat.securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.securityscorecard.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ded773f0b3a99e8cc40106bf2287d49f,0a70d5d1e26d8aff6f8927a115888358eb9992c55da2a97cf67855241332a514,True,ctls,uat.securityscorecard.com,,,
ui-metadata.securityscorecard.io,,200,24,cloudfront,443,https://ui-metadata.securityscorecard.io:443,https,AmazonS3,application/json,GET,13.32.99.75,/,542230911,13.32.99.61,Amazon Web Services,4,False,True,ui-metadata.securityscorecard.io,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-21T00:00:00Z,2024-01-24T23:59:59Z,CN=*.securityscorecard.io,*.securityscorecard.io,,*.securityscorecard.io,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,d1b78878b867666e944f607eb34969e1,05e94c01233a081ef5d6e2e212f1b00e0b5ca1c4944ba26a4469bc070183f277,True,ctls,ui-metadata.securityscorecard.io,,,
url7333.securityscorecard.io,404 Not Found,404,162,,443,https://url7333.securityscorecard.io:443,https,nginx,text/html,GET,167.89.118.83,/,190856733,167.89.123.54,Nginx,8,False,,url7333.securityscorecard.io,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-14T18:12:57Z,2024-01-15T17:57:31Z,CN=*.sendgrid.net,*.sendgrid.net,,sendgrid.net,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",5b6add9e6e69e62589480ba3bd94b267,53aadc5910a6619d5102afbe44af32ecae87d4ef77fea8317be1ddc34b349e10,True,ctls,url7333.securityscorecard.io,,,True
video.securityscorecard.com,SecurityScorecard,200,18037,,443,https://video.securityscorecard.com:443,https,Apache,text/html,GET,77.78.107.211,/,-780928015,77.78.107.211,HSTS,402,False,,video.securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-23T02:07:41Z,2023-07-22T02:07:40Z,CN=video.securityscorecard.com,video.securityscorecard.com,,video.securityscorecard.com,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,65f3007ecf2085b4ea92af09934d6002,b3cd4fd3f127e6c342844da0c2beb5692ca90d717b4631b9872305b2f8f0e241,,ctls,video.securityscorecard.com,www.google-analytics.com,,
wp.securityscorecard.com,Site Not Configured | 404 Not Found,404,5800,cloudflare,443,https://wp.securityscorecard.com:443,https,cloudflare,text/html,GET,104.25.40.102,/,1672552969,2606:4700:20::ac43:43fa,HSTS,88,False,True,wp.securityscorecard.com,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-05T00:00:00Z,2024-05-04T23:59:59Z,"CN=sni.cloudflaressl.com, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",sni.cloudflaressl.com,"Cloudflare, Inc.",*.securityscorecard.com,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",ded773f0b3a99e8cc40106bf2287d49f,0a70d5d1e26d8aff6f8927a115888358eb9992c55da2a97cf67855241332a514,True,ctls,wp.securityscorecard.com,,,
zendesk1.securityscorecard.io,,409,16,cloudflare,80,http://zendesk1.securityscorecard.io:80,http,cloudflare,text/plain,GET,162.159.128.7,/,1000520165,162.159.138.6,Cloudflare,1,False,True,,,,,,,,,,,,,,,,,,,,,,
zendesk3.securityscorecard.io,,409,16,cloudflare,80,http://zendesk3.securityscorecard.io:80,http,cloudflare,text/plain,GET,162.159.138.6,/,1000520165,162.159.128.7,Cloudflare,1,False,True,,,,,,,,,,,,,,,,,,,,,,
zendesk4.securityscorecard.io,,409,16,cloudflare,80,http://zendesk4.securityscorecard.io:80,http,cloudflare,text/plain,GET,162.159.128.7,/,1000520165,162.159.138.6,Cloudflare,1,False,True,,,,,,,,,,,,,,,,,,,,,,
