new,host,a,soa,status_code,mx,txt,cname,cdn,cdn-name,aaaa,ns,caa
[x],stage.pubgesports.com,"18.66.97.90, 18.66.97.63, 18.66.97.18, 18.66.97.56","ns-1371.awsdns-43.org, awsdns-hostmaster.amazon.com",NOERROR,,,d1mfob3g0gsg9p.cloudfront.net,True,cloudfront,,"ns-1371.awsdns-43.org, ns-1733.awsdns-24.co.uk, ns-408.awsdns-51.com, ns-541.awsdns-03.net",
[x],status.pubg.com,52.215.192.131,"ns-1711.awsdns-21.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,y5v1nwr53yfs.stspg-customer.com,,,,"ns-1098.awsdns-09.org, ns-1711.awsdns-21.co.uk, ns-441.awsdns-55.com, ns-817.awsdns-38.net","globalsign.com;, letsencrypt.org"
[x],store.emea.battlegrounds.pubg.com,"141.193.213.21, 141.193.213.20","darwin.ns.cloudflare.com, dns.cloudflare.com",NOERROR,,,n6vawhdn14n0.wpeproxy.com,,,,,
[x],survey.pubg.com,,"ns-766.awsdns-31.net, awsdns-hostmaster.amazon.com",NOERROR,survey-pubg-com.mail.protection.outlook.com,v=spf1 include:spf.protection.outlook.com -all,,,,,,
[x],vikendi.pass.pubg.com,"35.156.224.161, 34.141.72.9","dns1.p04.nsone.net, hostmaster.nsone.net",NOERROR,,,zen-thompson-3a3fb7.netlify.com,True,google,"2a05:d014:275:cb00::c8, 2a05:d014:275:cb02::c8",,
[x],vikendi.pubg.com,"3.35.65.10, 43.201.158.220","ns-1566.awsdns-03.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,lb-redir-2208-1169880033.ap-northeast-2.elb.amazonaws.com,,,,,
[x],watchpgi.pubg.com,,"ns-766.awsdns-31.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,
[x],wp.pubgesports.com,"54.71.173.168, 52.12.117.35","ns-623.awsdns-13.net, awsdns-hostmaster.amazon.com",NOERROR,,,esports-wp-prod-2.eba-mmndnp3z.us-west-2.elasticbeanstalk.com,,,,,
[x],wpapi.pubgesports.com,"143.204.215.85, 143.204.215.63, 143.204.215.22, 143.204.215.124","ns-1834.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,
[x],wpcdn.pubgesports.com,"18.66.122.90, 18.66.122.103, 18.66.122.67, 18.66.122.77","ns-1834.awsdns-37.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,
[x],wstatic-prod-pre-reg.pubg.com,,"ns-418.awsdns-52.com, hostmaster.cloudfront.net",NOERROR,,,d9awx8pb7uas6.cloudfront.net,,,,,
[x],wstatic-prod.pubg.com,"52.222.236.111, 52.222.236.33, 52.222.236.42, 52.222.236.53","ns-904.awsdns-49.net, awsdns-hostmaster.amazon.com",NOERROR,,,d10npjw2naq6pe.cloudfront.net,True,cloudfront,,"ns-18.awsdns-02.com, ns-1927.awsdns-48.co.uk, ns-904.awsdns-49.net, ns-1050.awsdns-03.org",
[x],wstatic-prod.pubgesports.com,"13.32.121.79, 13.32.121.35, 13.32.121.61, 13.32.121.67","ns-391.awsdns-48.com, awsdns-hostmaster.amazon.com",NOERROR,,,d2z1w4a6z1ec4n.cloudfront.net,True,cloudfront,,"ns-901.awsdns-48.net, ns-1216.awsdns-24.org, ns-1955.awsdns-52.co.uk, ns-391.awsdns-48.com",
[x],wstatic.newstate.pubg.com,"18.154.227.21, 18.154.227.72, 18.154.227.90, 18.154.227.104, 205.251.192.102, 205.251.194.200, 205.251.196.183, 205.251.199.184","ns-1207.awsdns-22.org, awsdns-hostmaster.amazon.com",NOERROR,,,d3kxbhjf1v0jon.cloudfront.net,True,cloudfront,,"ns-1207.awsdns-22.org, ns-102.awsdns-12.com, ns-712.awsdns-25.net, ns-1976.awsdns-55.co.uk",
[x],www.battlegrounds.pubg.com,"108.138.64.11, 108.138.64.32, 108.138.64.100, 108.138.64.111","ns-115.awsdns-14.com, awsdns-hostmaster.amazon.com",NOERROR,,,,True,cloudfront,,,
[x],www.pubg.com,"65.9.66.49, 65.9.66.58, 65.9.66.65, 65.9.66.5","ns-459.awsdns-57.com, awsdns-hostmaster.amazon.com",NOERROR,,,d1lhu0uhfwf5au.cloudfront.net,True,cloudfront,,"ns-459.awsdns-57.com, ns-576.awsdns-08.net, ns-1141.awsdns-14.org, ns-1621.awsdns-10.co.uk",
[x],www.pubgesports.com,"52.222.214.4, 52.222.214.81, 52.222.214.102, 52.222.214.126","ns-1525.awsdns-62.org, awsdns-hostmaster.amazon.com",NOERROR,,,d3tpthp8lq9ou3.cloudfront.net,True,cloudfront,,"ns-296.awsdns-37.com, ns-866.awsdns-44.net, ns-1525.awsdns-62.org, ns-1624.awsdns-11.co.uk",
[x],xboxsupport.pubg.com,"104.16.51.111, 104.16.53.111","ns-1213.awsdns-23.org, awsdns-hostmaster.amazon.com",NOERROR,mail-pod-25.int.zendesk.com,"v=spf1 include:mail.zendesk.com ~all, pod=25",pubgxboxsupport.zendesk.com,True,cloudflare,,,
