input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_org_,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,tech_,lines,failed,tls_expired,cdn_name,cdn,webserver,tls_wildcard_certificate,final_url,csp_domains_,tls_mismatched,tls_emails_,location,tls_self_signed
cmeonline.hms.harvard.edu,Continuing Education On Demand | HMS Postgraduate Education,200,55624,AS40127,LMANET,US,134.174.0.0/16,postgraduateeducation.hms.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-13T15:14:51Z,2023-06-11T15:14:50Z,CN=postgraduateeducation.hms.harvard.edu,postgraduateeducation.hms.harvard.edu,,postgraduateeducation.hms.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,327a6ffc9b419b9c5470bdbecaef3ae9,4c945b37d94f226bd90e415a06eda0b4920ba1e6038b900e1f2633328cc401d1,ctls,postgraduateeducation.hms.harvard.edu,443,https://cmeonline.hms.harvard.edu:443,https,text/html,GET,134.174.149.39,/,-36024321,134.174.149.39,jQuery,1008,False,,,,nginx,,https://postgraduateeducation.hms.harvard.edu/continuing-education/continuing-education-demand,,,,,
cmeonline.med.harvard.edu,IIS7,200,689,AS40127,LMANET,US,134.174.0.0/16,cmeonline.med.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-12-08T00:00:00Z,2023-12-08T23:59:59Z,"CN=itwvwebsp03.med.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",itwvwebsp03.med.harvard.edu,President and Fellows of Harvard College,itwvwebsp03.med.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,0337c1e2ee0b18e8a78e2423e4a31154,08c163452258afef440efff3915428eb30630148a37732978bf2559aa87b8eed,ctls,cmeonline.med.harvard.edu,443,https://cmeonline.med.harvard.edu:443,https,text/html,GET,134.174.145.216,/,1631801191,134.174.145.216,Windows Server,32,False,,,,Microsoft-IIS/10.0,,,,True,,,
cmerss.production.devshop.hms.harvard.edu,403 Forbidden,403,357,AS40127,LMANET,US,134.174.0.0/16,devshop.hms.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,2023-05-03T23:20:27Z,2023-08-01T23:20:26Z,CN=devshop.hms.harvard.edu,devshop.hms.harvard.edu,,devshop.hms.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,150b97468c124f4c320f20365d00141e,9ce14aeea369ac8d21df96345d0214942ae332d913551398c95d31cc5a8d1327,ctls,devshop.hms.harvard.edu,443,https://cmerss.production.devshop.hms.harvard.edu:443,https,text/html,GET,134.174.153.11,/,-1974106669,134.174.153.11,Ubuntu,12,False,,,,Apache/2.4.33 (Ubuntu),,https://devshop.hms.harvard.edu/hosting/disabled/cmerss.production.devshop.hms.harvard.edu,,,,,
cmir.mgh.harvard.edu,MGH Center for Systems Biology :: CMIR,200,26036,AS40831,PHS,US,170.223.0.0/16,csb.mgh.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-21T00:00:00Z,2024-02-21T23:59:59Z,"CN=csb.mgh.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",csb.mgh.harvard.edu,President and Fellows of Harvard College,csb.mgh.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,2b705581e7f6527d33cf9382197c293b,9738336bd39f8e1092d8851fb99216b2b2111a0db40c1247a8c11dd8240eea98,ctls,csb.mgh.harvard.edu,443,https://cmir.mgh.harvard.edu:443,https,text/html,GET,170.223.191.141,/,1057699073,170.223.191.141,Ruby on Rails,624,False,,,,nginx,,https://csb.mgh.harvard.edu/cmir,,,,,
cmrcore.bwh.harvard.edu,CMR Core Lab,200,29003,AS40831,PHS,US,170.223.0.0/16,cmrcore.bwh.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-02-21T00:00:00Z,2024-02-21T23:59:59Z,"CN=cmrcore.bwh.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",cmrcore.bwh.harvard.edu,President and Fellows of Harvard College,vm-cmrcore-u16.partners.org,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,9bfaa477e31b342bb1f9a14e7d0b142c,136c750eba3b25ea0748f5ad045ccd644993da6c0c875b3f9fc1d4b0d835f8c9,ctls,cmrcore.bwh.harvard.edu,443,https://cmrcore.bwh.harvard.edu:443,https,text/html,GET,170.223.191.141,/,-1840324437,170.223.191.141,Ruby on Rails,74,False,,,,nginx,,,,,,,
cms.www.countway.harvard.edu,,200,6142,AS40127,LMANET,US,134.174.0.0/16,cms.www.countway.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-05-01T19:41:43Z,2023-07-30T19:41:42Z,CN=cms.www.countway.harvard.edu,cms.www.countway.harvard.edu,,cms.www.countway.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,9978d0b1992aeb140ad0289bc1cec4a5,3c104e40a48ebd8749fdb01709d1a94bf742f801711bc72eb66274b08764b0bb,ctls,cms.www.countway.harvard.edu,443,https://cms.www.countway.harvard.edu:443,https,text/html,GET,134.174.159.103,/,-780928015,134.174.159.103,WordPress,112,False,,,,Apache,,https://cms.www.countway.harvard.edu/wp/,,,,,
cmt.harvard.edu,Condensed Matter Theory at Harvard University,200,322,AS1742,HARVARD-UNIV,US,140.247.152.0/24,,,,,,,,,,,,,,,,,,,80,http://cmt.harvard.edu:80,http,text/html,GET,140.247.122.253,/,-780928015,140.247.122.253,UNIX,9,False,,,,Apache/2.4.54 (Unix),,,,,,,
cnl.rc.fas.harvard.edu,Buckner Lab,200,22840,AS14618,AMAZON-AES,US,34.232.160.0/23,cnl.rc.fas.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-04T00:00:00Z,2024-01-12T23:59:59Z,"CN=openscholar.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",openscholar.harvard.edu,President and Fellows of Harvard College,zeligproject.org,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,c36fbff5eb843630fcbd8d19a5395ab7,7458749eb044a43897c6437608a97526f40a8fd5eca46a3a5491e4f97c553dd5,ctls,cnl.rc.fas.harvard.edu,443,https://cnl.rc.fas.harvard.edu:443,https,text/html,GET,34.232.27.163,/,-972913523,34.232.27.163,Varnish,203,False,,,,nginx,True,,,True,,,
code.alvarezlab.wjh.harvard.edu,502 Bad Gateway,502,166,AS1742,HARVARD-UNIV,US,140.247.96.0/20,code.alvarezlab.wjh.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-26T06:10:50Z,2023-07-25T06:10:49Z,CN=corenlp.alvarezlab.wjh.harvard.edu,corenlp.alvarezlab.wjh.harvard.edu,,www.corenlp.alvarezlab.wjh.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,b27f50f13bc2426af7c882446c632086,092fcc8b004f5ae9f4d20a73bc6307c065f395ba56c1e7e5b242f0086ddceb97,ctls,code.alvarezlab.wjh.harvard.edu,443,https://code.alvarezlab.wjh.harvard.edu:443,https,text/html,GET,140.247.95.116,/,366277485,140.247.95.116,Ubuntu,8,False,,,,nginx/1.18.0 (Ubuntu),,,,True,,,
code.harvard.edu,Initiating SAML single sign-on,200,4066,AS14618,AMAZON-AES,US,3.88.0.0/13,code.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-05-26T00:00:00Z,2023-05-26T23:59:59Z,"CN=code.harvard.edu, OU=HUIT UIS Unix, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",code.harvard.edu,President and Fellows of Harvard College,code-harvard.conapps.cloud.huit.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,4aa13e5f5466d5345475b20c0d53c4ad,cc116cf5428c9327d657b82b3946c93c3a2a911955aaba304db9868b8d2a192f,ctls,code.harvard.edu,443,https://code.harvard.edu:443,https,text/html,GET,3.91.125.112,/,1848946384,52.1.201.176,HSTS,49,False,,,,GitHub.com,,https://code.harvard.edu/login,*.actions.githubusercontent.com,,,,
code.mcz.harvard.edu,401 Authorization Required,401,620,AS1742,HARVARD-UNIV,US,140.247.152.0/24,code.mcz.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-22T00:00:00Z,2024-05-22T23:59:59Z,"CN=code.mcz.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",code.mcz.harvard.edu,President and Fellows of Harvard College,code.mcz.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,765d2575ec138c857836aa49273768b8,eb736ba49a01433349815b26315f57d452877de0e959fe0615c087e78be174e4,ctls,code.mcz.harvard.edu,443,https://code.mcz.harvard.edu:443,https,text/html,GET,140.247.151.37,/,-969909283,140.247.151.37,CentOS,17,False,,,,Apache/2.2.15 (CentOS),,,,,,,
cohortsdb.bwh.harvard.edu,Blood Lab Management,200,2227,AS40831,PHS,US,155.52.0.0/16,cohortsdb.bwh.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-09-14T14:41:40Z,2023-10-16T14:41:40Z,CN=cohortsdb.bwh.harvard.edu,cohortsdb.bwh.harvard.edu,,www.cohortsdb.bwh.harvard.edu,"CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=GoDaddy.com\, Inc., L=Scottsdale, ST=Arizona, C=US",Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",a809cfb5c00e7feed8432a37e26d19fc,73f8b54a970767c0c5017d6ccd8176e3fa1d2859ba53d5f5fd2cfd69d3f7aa13,ctls,cohortsdb.bwh.harvard.edu,443,https://cohortsdb.bwh.harvard.edu:443,https,text/html,GET,155.52.219.156,/,-83978669,155.52.219.156,Nginx:1.21.4,80,False,,,,nginx/1.21.4,,,,,,,
colbert.physics.harvard.edu,Web Site Not Found,404,970,AS14618,AMAZON-AES,US,34.232.160.0/23,colbert.physics.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-12T00:00:00Z,2023-11-12T23:59:59Z,"CN=*.prod.acquia-sites.com, O=Acquia Inc, L=Boston, ST=Massachusetts, C=US",*.prod.acquia-sites.com,Acquia Inc,prod.acquia-sites.com,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,8d671bac9a15ab6e5c53b306149c83c6,cbea1b40d41f4f1b4edbe253e32bba76ec1378b18fd966ccc6e35f619885f5aa,ctls,colbert.physics.harvard.edu,443,https://colbert.physics.harvard.edu:443,https,text/html,GET,34.232.27.163,/,-1883206912,34.232.27.163,Nginx,27,False,,,,nginx,True,,,True,,,
collaborate.hms.harvard.edu,Dashboard -  Harvard Medical School,200,31108,AS40127,LMANET,US,134.174.0.0/16,collaborate.hms.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-18T00:00:00Z,2024-04-17T23:59:59Z,"CN=collaborate.hms.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",collaborate.hms.harvard.edu,President and Fellows of Harvard College,collaborate.med.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,a063c048efa019304f71cb3b0a37e01a,15591d55db2cf09a8398e467d1209800a4fb055a3c4e01c4953cdbb004b4c9eb,ctls,collaborate.hms.harvard.edu,443,https://collaborate.hms.harvard.edu:443,https,text/html,GET,134.174.159.13,/,-305179312,134.174.159.13,Nginx:1.22.1,350,False,,,,nginx/1.22.1,,,,,,,
collaborate.med.harvard.edu,Dashboard -  Harvard Medical School,200,31108,AS40127,LMANET,US,134.174.0.0/16,collaborate.med.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-04-18T00:00:00Z,2024-04-17T23:59:59Z,"CN=collaborate.hms.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",collaborate.hms.harvard.edu,President and Fellows of Harvard College,collaborate.med.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,a063c048efa019304f71cb3b0a37e01a,15591d55db2cf09a8398e467d1209800a4fb055a3c4e01c4953cdbb004b4c9eb,ctls,collaborate.med.harvard.edu,443,https://collaborate.med.harvard.edu:443,https,text/html,GET,134.174.159.13,/,-305179312,134.174.159.13,Nginx:1.22.1,350,False,,,,nginx/1.22.1,,,,,,,
collaboration.huit.harvard.edu,404 Not Found,404,179,AS8075,MICROSOFT-CORP-MSN-AS-BLOCK,US,52.160.0.0/11,collaboration.huit.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-31T00:00:00Z,2024-01-31T23:59:59Z,"CN=huitadfs.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",huitadfs.harvard.edu,President and Fellows of Harvard College,source.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,3b1b7fdd35b5d2d04c655fc5c451d6e9,0db2743a511fe268e922b031d53a3a35997d05abc2f1e9f95015d62712abe661,ctls,collaboration.huit.harvard.edu,443,https://collaboration.huit.harvard.edu:443,https,text/html,GET,52.191.18.145,/,-1646985303,52.191.18.145,,8,False,,azure,True,Microsoft-Azure-Application-Gateway/v2,,,,,,,
collection.itatti.harvard.edu,I Tatti Digital Collections,200,11155,AS16509,AS16509,Unknown,52.216.72.0/24,collection.itatti.harvard.edu,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-18T08:05:06Z,2023-07-17T08:05:05Z,CN=collection.itatti.harvard.edu,collection.itatti.harvard.edu,,collection.itatti.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,ad69dcf4035c49d76738728f715a55ab,e0777dff20d143846693fd4ac61d4fa20bb9b3eeecaa0adeb536fbecd744c482,ctls,collection.itatti.harvard.edu,443,https://collection.itatti.harvard.edu:443,https,text/html,GET,52.210.210.200,/,-370977178,52.210.210.200,Nginx:1.20.0,198,False,,,,nginx/1.20.0,,https://collection.itatti.harvard.edu/resource/Start,,,,,
college.harvard.edu,Harvard College | Harvard,200,552261,AS54113,AS54113,Unknown,23.185.0.0/24,college.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-20T22:08:01Z,2023-06-18T22:08:00Z,CN=college.harvard.edu,college.harvard.edu,,www.college.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,c92f0e3d3c40886a103e706cc76eb941,a3dc3c16827a8749eb46355b31830247ac381d23e828b9de9bb4e7a18bfa3f5f,ctls,college.harvard.edu,443,https://college.harvard.edu:443,https,text/html,GET,23.185.0.3,/,-407363281,2620:12a:8001::3,YouTube,6845,False,,,,nginx,,,,,,,
colonialnorthamerica.lib.harvard.edu,Worlds of Change: Colonial North America at Harvard Library,200,30228,AS14618,AMAZON-AES,US,34.224.0.0/12,colonialnorthamerica.lib.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=colonialnorthamerica.library.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",colonialnorthamerica.library.harvard.edu,President and Fellows of Harvard College,cna-prod.hz.lib.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,dedce1feab8d65db7d78b9005fbbfe55,068d7317bc3cc9789590fad2155f13754ebb058c6bb8039b9f214dd9cdc9ec9b,ctls,colonialnorthamerica.lib.harvard.edu,443,https://colonialnorthamerica.lib.harvard.edu:443,https,text/html,GET,34.239.236.185,/,-1840324437,34.227.203.231,Ruby on Rails,632,False,,,,nginx/1.18.0 + Phusion Passenger 6.0.7,,https://colonialnorthamerica.lib.harvard.edu/spotlight/cna,,True,,,
colonialnorthamerica.library.harvard.edu,Worlds of Change: Colonial North America at Harvard Library,200,30244,AS14618,AMAZON-AES,US,34.232.160.0/23,colonialnorthamerica.library.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-12-12T00:00:00Z,2024-01-12T23:59:59Z,"CN=colonialnorthamerica.library.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",colonialnorthamerica.library.harvard.edu,President and Fellows of Harvard College,cna-prod.hz.lib.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,dedce1feab8d65db7d78b9005fbbfe55,068d7317bc3cc9789590fad2155f13754ebb058c6bb8039b9f214dd9cdc9ec9b,ctls,colonialnorthamerica.library.harvard.edu,443,https://colonialnorthamerica.library.harvard.edu:443,https,text/html,GET,34.227.203.231,/,-1840324437,54.198.132.69,Ruby on Rails,632,False,,,,nginx/1.18.0 + Phusion Passenger 6.0.7,,https://colonialnorthamerica.library.harvard.edu/spotlight/cna,,,,,
commhosting.med.harvard.edu,ITWWEBHP01,200,7852,AS40127,LMANET,US,134.174.0.0/16,commhosting.med.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-01-27T00:00:00Z,2024-01-27T23:59:59Z,"CN=*.hms.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",*.hms.harvard.edu,President and Fellows of Harvard College,*.hms.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,360abd81f76e5f6bd8ea9917e61f9f19,b6231ca061e66ec78eb1caf9bb05f54e0197ddbadf824c21a94b964cd88abed2,ctls,commhosting.med.harvard.edu,443,https://commhosting.med.harvard.edu:443,https,text/html,GET,134.174.149.198,/,1631801191,134.174.149.198,Windows Server,171,False,,,,Microsoft-IIS/10.0,True,,,True,,,
commonspaces.harvard.edu,Harvard Common Spaces,200,28260,AS54113,AS54113,Unknown,23.185.0.0/24,commonspaces.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-17T09:24:05Z,2023-07-16T09:24:04Z,CN=commonspaces.harvard.edu,commonspaces.harvard.edu,,www.commonspaces.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,fec47a876bed5e279d3e5dde4e928efb,3b5e53fc44007e2da5ba2d70ddb59c2333f8f7cc58d28006874ec6cc4e9876a7,ctls,commonspaces.harvard.edu,443,https://commonspaces.harvard.edu:443,https,text/html,GET,23.185.0.4,/,-1280846966,23.185.0.4,Varnish,359,False,,,,nginx,,,,,,,
communications-landing.gse.harvard.edu,403 - Forbidden: Access is denied.,403,1233,AS22606,EXACT-7,US,13.111.0.0/16,communications-landing.gse.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-08-24T00:00:00Z,2023-08-24T23:59:59Z,"CN=communications-landing.gse.harvard.edu, O=SALESFORCE.COM\, INC., L=San Francisco, ST=California, C=US",communications-landing.gse.harvard.edu,"SALESFORCE.COM, INC.",communications-landing.gse.harvard.edu,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,0a563ca1ae9e1d31e14ec6037d715dd9,47f68260d9c825ee3f52195e2c4ef569cd3f52507233214f739f5f6486ca04c4,ctls,communications-landing.gse.harvard.edu,443,https://communications-landing.gse.harvard.edu:443,https,text/html,GET,13.111.44.161,/,1631801191,13.111.44.161,,30,False,,,,,,,,,,,
communities.gse.harvard.edu,,200,1447,AS14340,SALESFORCE,US,85.222.140.0/24,communities.gse.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2022-11-18T00:00:00Z,2023-12-19T23:59:59Z,"CN=communities.gse.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",communities.gse.harvard.edu,President and Fellows of Harvard College,communities.gse.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,035137539dbd1e4ee5f15c6528870993,efc1cf4abb3246ce44ab42455a57eda077894c92d2b45759b46c6b91a0780a6a,ctls,communities.gse.harvard.edu,443,https://communities.gse.harvard.edu:443,https,text/html,GET,85.222.140.6,/,1433417005,85.222.140.11,HSTS,45,False,,,,sfdcedge,,https://communities.gse.harvard.edu/EdEthicsOnline/s/,,,,,
community.alumni.harvard.edu,HarvardKey - Harvard University Authentication Service,200,23498,AS14618,AMAZON-AES,US,34.202.28.0/23,www.pin1.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-09-13T00:00:00Z,2023-09-13T23:59:59Z,"CN=hk20-key-auth.iam.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",hk20-key-auth.iam.harvard.edu,President and Fellows of Harvard College,www.pin1.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,3f63fcc5862e2a9dd4d7542171e1ea37,b508bb39e104348c89db50434ab75b8c2612830c2f562692eb86751850babe16,ctls,www.pin1.harvard.edu,443,https://community.alumni.harvard.edu:443,https,text/html,GET,34.194.7.112,/,,23.22.74.91,HSTS,357,False,,,,Apereo CAS,,https://www.pin1.harvard.edu/cas/login?service=https%3A%2F%2Fcommunity.alumni.harvard.edu%2Flogin%2Fcas%3Bjsessionid%3DOKkEwU2GNf6VMNKgq6fr4_8Vs9vT9xmpPXhO7e3lo2Xi3NJ0pGHa%21-1757820076,,,,,
community.harvard.edu,Harvard in the Community,200,112192,AS20940,AKAMAI-ASN1,NL,23.8.0.0/13,community.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-22T21:57:04Z,2023-07-21T21:57:03Z,CN=community.harvard.edu,community.harvard.edu,,community.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,cfd30a6f90efda0ac4aeadc85080192c,3b1da913ca4c3bd688ab70df2d6a9ac75501f874f125e9a2ebb9a7d130cd0604,ctls,community.harvard.edu,443,https://community.harvard.edu:443,https,text/html,GET,23.2.13.25,/,-1707816041,23.2.13.57,Red Hat Gluster,3094,False,,,,,,,,,,,
community.itatti.harvard.edu,User account | Villa I Tatti | Community,200,10176,AS16509,AS16509,Unknown,34.240.0.0/12,community.itatti.harvard.edu,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2022-10-28T00:00:00Z,2023-11-28T23:59:59Z,"CN=itatti.harvard.edu, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",itatti.harvard.edu,President and Fellows of Harvard College,*.stage.itatti.harvard.edu,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,51265f46082ffedb7a9c2277344c1d7a,1b7bfa2846d39dd6ff1b9fe22bae68e7c96bb34f1a3034f558a4ad5885ae051c,ctls,community.itatti.harvard.edu,443,https://community.itatti.harvard.edu:443,https,text/html,GET,34.240.214.48,/,,34.251.131.6,Varnish,131,False,,,,nginx,True,https://community.itatti.harvard.edu/user/login,,,,,
community.nmr.mgh.harvard.edu,Martinos Center for Biomedical Imaging,200,8723,AS40831,PHS,US,132.183.0.0/16,www.nmr.mgh.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-05-24T00:00:00Z,2023-05-24T23:59:59Z,"CN=www.nmr.mgh.harvard.edu, OU=Affiliate - Massachusetts General Hospital, O=President and Fellows of Harvard College, ST=Massachusetts, C=US",www.nmr.mgh.harvard.edu,President and Fellows of Harvard College,www.martinos.org,"CN=InCommon RSA Server CA, OU=InCommon, O=Internet2, L=Ann Arbor, ST=MI, C=US",InCommon RSA Server CA,Internet2,436dd897134992bdb672a616dbca6411,a00810038f4f5a666cb410a6a57827924563c741bf97d62e3f750fac6f2b5b58,ctls,www.nmr.mgh.harvard.edu,443,https://community.nmr.mgh.harvard.edu:443,https,text/html,GET,132.183.1.42,/,2127041461,132.183.1.42,mod_perl:2.0.11,104,False,,,,Apache/2.4.37 (rocky) OpenSSL/1.1.1k mod_perl/2.0.11 Perl/v5.26.3,,https://www.nmr.mgh.harvard.edu/martinos/community/,,,,,
communityservicefellowships.gsd.harvard.edu,Participate in the Summer Community Service Fellowship Program - Harvard Graduate School of Design,200,102636,AS209242,"CLOUDFLARESPECTRUM Cloudflare, Inc.",US,141.193.213.0/24,www.gsd.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-26T15:27:38Z,2023-07-25T15:27:37Z,CN=www.gsd.harvard.edu,www.gsd.harvard.edu,,www.gsd.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,8a03144a0d74f36460c94da033e78bba,03f8f2e0c4922c9a66c2f8d780cc26af1693467f8207abb7ed7248e7ec6f7b98,ctls,www.gsd.harvard.edu,443,https://communityservicefellowships.gsd.harvard.edu:443,https,text/html,GET,141.193.213.21,/,79353842,141.193.213.20,Yoast SEO:19.14,1455,False,,,,nginx,,https://www.gsd.harvard.edu/resources/community-service-fellowship-program/,,,,,
commuterchoice.harvard.edu,CommuterChoice | Harvard Transportation & Parking,200,42409,AS54113,AS54113,Unknown,23.185.0.0/24,www.transportation.harvard.edu,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-29T05:07:20Z,2023-07-28T05:07:19Z,CN=commuterchoice.harvard.edu,commuterchoice.harvard.edu,,www.transportation.harvard.edu,"CN=R3, O=Let's Encrypt, C=US",R3,Let's Encrypt,6aa86fdd7fb08bb325913ca5624689b0,d7f3d2892016f08aafe3a3e2ad0511968e52230c894fe20f74db238e985b6c06,ctls,www.transportation.harvard.edu,443,https://commuterchoice.harvard.edu:443,https,text/html,GET,23.185.0.4,/,-305846417,23.185.0.4,Varnish,503,False,,,,nginx,,https://www.transportation.harvard.edu/commuterchoice,,,,,
