new,host,a,soa,has_internal_ips,internal_ips,status_code,cname,ns,cdn,cdn-name,mx,txt,caa,aaaa
[x],concord.med.harvard.edu,,"edns1.med.harvard.edu, netops.hms.harvard.edu, edns2.med.harvard.edu",,,NOERROR,,,,,,,,
[x],conference.mgh.harvard.edu,,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],confluence-cloud.law.harvard.edu,,"dns-external-master.amazon.com, root.amazon.com",,,NOERROR,ec2-18-210-11-222.compute-1.amazonaws.com,,,,,,,
[x],confluence.bidmc.harvard.edu,,"ns1-external.caregroup.org, networkservices.caregroup.harvard.edu",,,NOERROR,,,,,,,,
[x],confluence.huit.harvard.edu,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,NOERROR,atlas-confluence-prod-app-elb-954894280.us-east-1.elb.amazonaws.com,,,,,,,
[x],confluence.itatti.harvard.edu,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],confluence.stage.huit.harvard.edu,,"ns-1956.awsdns-52.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,confluence-stage.stage.cloud.huit.harvard.edu,,,,,,,
[x],connect.gse.harvard.edu,"205.251.193.106, 205.251.194.236, 205.251.197.185, 205.251.198.39","ns-748.awsdns-29.net, awsdns-hostmaster.amazon.com",,,NOERROR,unbouncepages.com,"ns-748.awsdns-29.net, ns-1465.awsdns-55.org, ns-1575.awsdns-04.co.uk, ns-362.awsdns-45.com",,,,google-site-verification=OR1Dxjz7lXfsMSTzdmscdUNH56xGM9k7kpj72k7ERAs,"globalsign.com, amazon.com, comodoca.com, letsencrypt.org",
[x],connections-blue.iam.harvard.edu,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,NOERROR,connectio-frontend-1wsp1njh29hy6-1037836957.us-east-1.elb.amazonaws.com,,,,,,,
[x],connections.harvard.edu,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,NOERROR,"connections.iam.harvard.edu, connections1.iam.harvard.edu, connect-alb-178v9n8nk96tq-1229123524.us-east-1.elb.amazonaws.com",,,,,,,
[x],connections.iam.harvard.edu,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,NOERROR,"connections1.iam.harvard.edu, connect-alb-178v9n8nk96tq-1229123524.us-east-1.elb.amazonaws.com",,,,,,,
[x],connections.stage.iam.harvard.edu,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,NOERROR,internal-connect-alb-vy4nib7ns1ac-2033712656.us-east-1.elb.amazonaws.com,,,,,,,
[x],connects.catalyst.harvard.edu,,"ns-749.awsdns-29.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],construction.harvard.edu,,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,"construction.harvard.edu.c14440.campuspress.com, cloudflare-resolve-to.c14440.campuspress.com, harvard.us-east-1.lb.campuspress.com, produ-loadb-uqhly5yu8f4z-a3663446a8cdb9c0.elb.us-east-1.amazonaws.com",,,,,,,
[x],conte.harvard.edu,,"dns1.p06.nsone.net, dns-admin.squarespace.com",,,NOERROR,harvardconte.squarespace.com,,,,,,,
[x],content.sph.harvard.edu,,"ns-564.awsdns-06.net, awsdns-hostmaster.amazon.com",,,NOERROR,dnigb5p9qw1lp.cloudfront.net,"ns-564.awsdns-06.net, ns-1361.awsdns-42.org, ns-1963.awsdns-53.co.uk, ns-202.awsdns-25.com",True,cloudfront,,,,
[x],content.trainingportal.harvard.edu,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],contestswipe.fas.harvard.edu,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,NOERROR,athletics-ords-prod-app-pub-2061069404.us-east-1.elb.amazonaws.com,,,,,,,
[x],continuum.fas.harvard.edu,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],convergeresearch.hms.harvard.edu,,"edns1.med.harvard.edu, netops.hms.harvard.edu, edns2.med.harvard.edu",,,NOERROR,loon.hms.harvard.edu,,,,,,,
[x],coolstars20.cfa.harvard.edu,131.142.18.11,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,"hea-www.harvard.edu, hea-www.cfa.harvard.edu",,,,,,,
[x],copyright.lib.harvard.edu,,"ns-1744.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,osc-prod.hz.lib.harvard.edu,,,,,,,
[x],cordelia.law.harvard.edu,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],core.hks.harvard.edu,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],corels.eecs.harvard.edu,,"a1-171.akam.net, hostmaster.eecs.harvard.edu",,,NOERROR,,,,,,,,
[x],corenlp.alvarezlab.wjh.harvard.edu,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],cores.catalyst.harvard.edu,,"ns-749.awsdns-29.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,True,cloudfront,,,,
[x],cores.fas.harvard.edu,,"n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,"edge.projects.iq.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net",,,,,,,
[x],corpgov.law.harvard.edu,"141.193.213.21, 141.193.213.20","a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,"aspmx.l.google.com, alt3.aspmx.l.google.com, alt4.aspmx.l.google.com, alt2.aspmx.l.google.com, alt1.aspmx.l.google.com",,,
[x],cortex.dfci.harvard.edu,155.52.219.206,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],cortex.joslin.harvard.edu,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],cosmo.cfa.harvard.edu,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],costas.fas.harvard.edu,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],countway.harvard.edu,23.185.0.3,"edns2.med.harvard.edu, netops.hms.harvard.edu",,,NOERROR,,,,,"mx0a-00171101.pphosted.com, mx0b-00171101.pphosted.com",,,
[x],countway.med.harvard.edu,,"edns1.med.harvard.edu, netops.hms.harvard.edu",,,NOERROR,,"edns1.med.harvard.edu, edns2.med.harvard.edu, cdns1.med.harvard.edu, cdns2.med.harvard.edu",,,,bXOlSRj3eLUZ7bOzH54UW/RAvueWmUgyQ5oYkitzh3VE9+TG+eK0sDS0Ggoyszaumn9yleVOAYQYBT9bb4BbGw==,,
[x],course-evaluation-reports.fas.harvard.edu,,"ns-1341.awsdns-39.org, awsdns-hostmaster.amazon.com",,,NOERROR,courseevalreports-lb-pub-prod.ats.cloud.huit.harvard.edu,,,,,,,
[x],course-evaluation-reports.stage.fas.harvard.edu,,"ns-1526.awsdns-62.org, awsdns-hostmaster.amazon.com",,,NOERROR,courseevalreports-lb-pub-stage.stage.ats.cloud.huit.harvard.edu,,,,,,,
[x],course.fas.harvard.edu,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,"ice.fas.harvard.edu, nice.fas.harvard.edu, fas.harvard.edu",,,,"mx0a-00171101.pphosted.com, mx0b-00171101.pphosted.com","01334047, wiPIYxb/jin3xqYXtJ9RWc9WFX4bo7wwoVOL94lBFdFX3qjNiQ9eXTUpimsdGakRkLgkF5xZ3CwEynNtTlk5PA==, atlassian-domain-verification=Z8oUd5brL6/RGUMCkxs4U0P/RyhpiNJEIVx9HXJLr3uqEQ1eDmTnj1eq1ObCgY1i, v=spf1 redirect=_spf.harvard.edu, ms=ms76612206, ciscocidomainverification=74b0ff867d057805dfed0fff023aa2a6bb2f5286fd86c94b04e8c7520f9cea24",,
[x],coursecatalog.dev.ats.cloud.huit.harvard.edu,,"ns-529.awsdns-02.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],coursecatalog.harvard.edu,"52.216.230.106, 54.231.194.237, 54.231.224.221, 52.216.143.203, 52.216.54.45, 52.216.146.50, 52.216.42.45, 52.217.80.235","ns-437.awsdns-54.com, awsdns-hostmaster.amazon.com",,,NOERROR,"oursecatalog.harvard.edu.s3-website-us-east-1.amazonaws.com, s3-website.us-east-1.amazonaws.com","ns-1779.awsdns-30.co.uk, ns-611.awsdns-12.net, ns-1286.awsdns-32.org, ns-437.awsdns-54.com",,,,0479bac704ece97eba11f6143a258135,,
[x],coursecatalog.test.ats.cloud.huit.harvard.edu,,"ns-2029.awsdns-61.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],coursemanager.fas.harvard.edu,128.103.26.20,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,webproxy.fas.harvard.edu,,,,,,,
[x],courses.dce.harvard.edu,,"ns-568.awsdns-07.net, awsdns-hostmaster.amazon.com",,,NOERROR,"harvard-dce-fs.courseleaf.com, harvard-dce-fs.courseleafaws.com",,,,,,,
[x],courses.fas.harvard.edu,128.103.26.20,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,webproxy.fas.harvard.edu,,,,,,,
[x],courses.harvard.edu,,"ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,NOERROR,"courses.my.harvard.edu, prod.my.harvard.edu, hrv-prod-app-ecs-pub-1367073858.us-east-1.elb.amazonaws.com",,,,,,,
[x],courses.seas.harvard.edu,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,"web-static.seas.harvard.edu, web-static-aws.seas.harvard.edu",,,,,,,
[x],coursesearch.hms.harvard.edu,137.135.85.56,"edns1.med.harvard.edu, netops.hms.harvard.edu, edns2.med.harvard.edu",,,NOERROR,,,True,azure,,,,
[x],courseval-test.hds.harvard.edu,,"ns-537.awsdns-03.net, awsdns-hostmaster.amazon.com",,,NOERROR,t1.courseval.net,,,,,,,
[x],courseval.hds.harvard.edu,,"ns-537.awsdns-03.net, awsdns-hostmaster.amazon.com",,,NOERROR,p7.courseval.net,,,,,,,
[x],covidtech.harvard.edu,54.209.248.98,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],cpanel.greenberg.hms.harvard.edu,162.241.219.32,"ns1.bluehost.com, dnsadmin.box5611.bluehost.com",,,NOERROR,,,,,,,,
[x],cpath-app-prod.cadm.harvard.edu,,"ns-221.awsdns-27.com, awsdns-hostmaster.amazon.com",,,NOERROR,cpath-lb-pub-prod.ebs.cloud.huit.harvard.edu,,,,,,,
[x],cpath.harvard.edu,"52.20.17.104, 35.168.131.17","ns-221.awsdns-27.com, awsdns-hostmaster.amazon.com",,,NOERROR,cpath-lb-pub-prod.ebs.cloud.huit.harvard.edu,,,,,,,
[x],cpcalendars.braintour.harvard.edu,50.87.238.182,"ns1.braintour.harvard.edu, dnsadmin.server.braintour.harvard.edu",,,NOERROR,,,,,,,,
[x],cpic.fas.harvard.edu,"2.16.186.32, 2.16.186.42","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,"edge.projects.iq.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net",,,,,,,
[x],cposoftware.harvard.edu,209.117.229.106,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],crashplan.huit.harvard.edu,"64.207.222.177, 64.207.222.154, 64.207.222.153, 64.207.222.16","ns-1670.awsdns-16.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,"huit-crashplan.cadm.harvard.edu, central.crashplan.com, clients.us2.crashplan.com",,,,,,,
[x],crater.cfa.harvard.edu,131.142.12.47,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],creativecomputing.gse.harvard.edu,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],cria.itatti.harvard.edu,18.203.212.168,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],crimsonlink.harvard.edu,,"ns-1517.awsdns-61.org, awsdns-hostmaster.amazon.com",,,NOERROR,smart-crimson-lb-pub-prod.atsea.cloud.huit.harvard.edu,,,,,,,
[x],crimsonsummer.harvard.edu,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,csa.dce.harvard.edu,,,,,,,
[x],crisp.hms.harvard.edu,"184.25.50.187, 184.25.50.144","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,"projects.iq.harvard.edu, edge.projects.iq.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net",,,,,,,
[x],crisp.seas.harvard.edu,54.172.197.41,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,"web-static.seas.harvard.edu, web-static-aws.seas.harvard.edu",,,,,,,
[x],crit-apps.tch.harvard.edu,"134.174.21.180, 134.174.21.140","bdcnetnsg1.tch.harvard.edu, isddnsadmins-dl.childrens.harvard.edu",,,NOERROR,crit-apps-2016.tch.harvard.edu,"ndcnetnse1.tch.harvard.edu, bdcnetnse1.tch.harvard.edu, ns2.childrenshospital.org, ns1.childrenshospital.org",,,,,,
[x],crit-dev.tch.harvard.edu,10.36.171.13,"bdcnetnsg1.tch.harvard.edu, isddnsadmins-dl.childrens.harvard.edu",True,10.36.171.13,NOERROR,,,,,,,,
[x],critapi.tch.harvard.edu,,"bdcnetnsg1.tch.harvard.edu, isddnsadmins-dl.childrens.harvard.edu",,,NOERROR,,,,,,,,
[x],critapitst.tch.harvard.edu,134.174.12.99,,,,NOERROR,,,,,,,,
[x],crl.huit.harvard.edu,"107.21.213.145, 3.216.222.13","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,NOERROR,p0-pki-prod-crl-cs2-lb-1052936666.us-east-1.elb.amazonaws.com,"ns-1119.awsdns-11.org, ns-1793.awsdns-32.co.uk, ns-235.awsdns-29.com, ns-934.awsdns-52.net",,,,,,
[x],crmadmin.mgh.harvard.edu,,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],cron.law.harvard.edu,,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],crossreg.harvard.edu,"52.216.27.155, 52.217.13.171, 52.217.104.219, 52.217.125.53, 52.217.142.61, 54.231.228.125, 54.231.235.5, 52.216.27.139","ns-437.awsdns-54.com, awsdns-hostmaster.amazon.com",,,NOERROR,"crossreg.harvard.edu.s3-website-us-east-1.amazonaws.com, s3-website.us-east-1.amazonaws.com","ns-437.awsdns-54.com, ns-611.awsdns-12.net, ns-1286.awsdns-32.org, ns-1779.awsdns-30.co.uk",,,,0479bac704ece97eba11f6143a258135,,
[x],crossregistration.dev.ats.cloud.huit.harvard.edu,,"ns-529.awsdns-02.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],crossregistration.stage.ats.cloud.huit.harvard.edu,,"ns-1526.awsdns-62.org, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],crossregistration.test.ats.cloud.huit.harvard.edu,,"ns-2029.awsdns-61.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],crowd.itatti.harvard.edu,54.72.155.68,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],crowd35.itatti.harvard.edu,34.250.125.236,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],crp.mgh.harvard.edu,,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],crpt.caads.harvard.edu,"44.210.225.240, 34.196.205.13, 44.205.101.64","ns-1517.awsdns-61.org, awsdns-hostmaster.amazon.com",,,NOERROR,smart-crimson-lb-pub-prod.atsea.cloud.huit.harvard.edu,"ns-1517.awsdns-61.org, ns-1598.awsdns-07.co.uk, ns-35.awsdns-04.com, ns-633.awsdns-15.net",,,,,,
[x],crt-prod.hz.lib.harvard.edu,"54.147.233.176, 52.73.78.201, 3.228.114.14","ns-1744.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],crystal.dfci.harvard.edu,155.52.22.127,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],cs-apex-poc.dev.campusservices.cloud.huit.harvard.edu,"10.38.14.222, 10.38.14.27","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",True,"10.38.14.222, 10.38.14.27",NOERROR,internal-cs-apex-poc-dev-default-alb-782902244.us-east-1.elb.amazonaws.com,,,,,,,
[x],cs-apex.prod.campusservices.cloud.huit.harvard.edu,"18.204.159.62, 34.196.148.92, 52.200.87.181","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,NOERROR,cs-apex-prod-default-alb-1597939414.us-east-1.elb.amazonaws.com,,,,,,,
[x],cs.harvard.edu,52.2.16.86,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,"a16-64.akam.net, a6-66.akam.net, a7-65.akam.net, a1-171.akam.net, a11-67.akam.net, a10-66.akam.net",,,"mx0b-00171101.pphosted.com, mx0a-00171101.pphosted.com",google-site-verification=ImJ9WBrKxi07mxIY3TZ5YW2_NLI9d5emIT4McI2LvcM,,
[x],cs125.seas.harvard.edu,52.26.204.219,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],cs50.harvard.edu,"3.222.12.42, 3.234.8.139, 142.251.1.26, 205.251.193.126, 205.251.196.101, 205.251.194.247, 205.251.199.190","ns-382.awsdns-47.com, awsdns-hostmaster.amazon.com",,,NOERROR,,"ns4.cs50.harvard.edu, ns2.cs50.harvard.edu, ns1.cs50.harvard.edu, ns3.cs50.harvard.edu",,,"alt2.aspmx.l.google.com, aspmx2.googlemail.com, alt1.aspmx.l.google.com, aspmx.l.google.com, aspmx3.googlemail.com","v=spf1 include:_spf.google.com include:amazonses.com ip4:128.103.200.132 ip4:128.103.200.198 ip4:128.103.208.29 ~all, MS=ms39325554, ZOOM_verify_xCcZ6s5zRmyngqF_02Tm2Q",,
[x],cs61.seas.harvard.edu,34.193.34.22,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],csa.dce.harvard.edu,140.247.198.112,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],csb-dev.mgh.harvard.edu,132.183.161.49,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],csb-trials.mgh.harvard.edu,170.223.191.141,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],cschelp.mgh.harvard.edu,132.183.161.35,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,fortytwo.mgh.harvard.edu,,,,,,,
[x],cscie12.dce.harvard.edu,44.198.42.2,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,"cs12.dce.harvard.edu, cs12-lb-pub-c3254254192d7d26.elb.us-east-1.amazonaws.com",,,,,,,
[x],cscie26.dce.harvard.edu,34.197.217.59,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,"cscie2x.dce.harvard.edu, cscie2x-lb-pub-e5324beac90ba4e3.elb.us-east-1.amazonaws.com",,,,,,,
[x],cscie28.dce.harvard.edu,34.197.217.59,"ns-1826.awsdns-36.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,"cscie2x.dce.harvard.edu, cscie2x-lb-pub-e5324beac90ba4e3.elb.us-east-1.amazonaws.com",,,,,,,
[x],csconnect.harvard.edu,128.103.69.192,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],csm.cfa.harvard.edu,131.142.157.104,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],csmaxdev.campusservices.harvard.edu,98.110.236.126,"ns1.interprosoft.com, dnsadmin.server.interprosoft.com",,,NOERROR,harvard.interprosoft.com,,,,,,,
[x],cspace.gsd.harvard.edu,"54.191.167.200, 44.230.234.58","ns-602.awsdns-11.net, awsdns-hostmaster.amazon.com",,,NOERROR,"gsd.collectionspace.org, cs-dts-production-gsd.lyrtech.org","ns-1058.awsdns-04.org, ns-1705.awsdns-21.co.uk, ns-602.awsdns-11.net, ns-92.awsdns-11.com",,,,,,
[x],csr.mgh.harvard.edu,,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,erisweb1.partners.org,,,,,,,
[x],csrl.bwh.harvard.edu,170.223.88.136,"eensvpx15-dns.gslbext-ent.partners.org, weboperations.partners.org",,,NOERROR,csrl.bwh.gslbext-ent.partners.org,,,,,,,
[x],ctportal.mgh.harvard.edu,132.183.194.91,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],cua.harvard.edu,140.247.122.203,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],curesc.hms.harvard.edu,"104.22.38.90, 172.67.24.172, 104.22.39.90","ns1.cloudflare.net, dns.cloudflare.com",,,NOERROR,curesc.hms.harvard.edu.cdn.cloudflare.net,,True,cloudflare,,,,"2606:4700:10::ac43:18ac, 2606:4700:10::6816:265a, 2606:4700:10::6816:275a"
[x],curiosity-dev.hz-dev.lib.harvard.edu,54.165.175.28,"ns-808.awsdns-37.net, awsdns-hostmaster.amazon.com",,,NOERROR,,,,,,,,
[x],curiosity-dev.lib.harvard.edu,54.165.175.28,"ns-808.awsdns-37.net, awsdns-hostmaster.amazon.com",,,NOERROR,curiosity-dev.hz-dev.lib.harvard.edu,,,,,,,
[x],curiosity.lib.harvard.edu,"34.236.184.29, 35.168.246.192, 54.174.77.9","ns-1119.awsdns-11.org, awsdns-hostmaster.amazon.com",,,NOERROR,beta-curiosity-172587786.us-east-1.elb.amazonaws.com,,,,,,,
[x],curiosityservice.library.harvard.edu,"104.126.119.90, 104.126.119.113","n0b.akamai.net, hostmaster.akamai.com",,,NOERROR,"edge.projects.iq.harvard.edu, huit.edgesuite.net, a1351.b.akamai.net",,,,,,,
[x],curricle.berkman.harvard.edu,128.103.64.94,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],curvita.sph.harvard.edu,134.174.190.117,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],cv.hms.harvard.edu,134.174.153.30,"edns2.med.harvard.edu, netops.hms.harvard.edu, edns1.med.harvard.edu",,,NOERROR,itlvdwwlp01.med.harvard.edu,,,,,,,
[x],cvvr.hms.harvard.edu,,"ns1.s449.sureserver.com, hostmaster.cvvr.hms.harvard.edu",,,NOERROR,,"ns1.s449.sureserver.com, ns2.s449.sureserver.com",,,,v=spf1 a mx include:s449.smtp-spf.sureserver.com ~all,,
[x],cxc-dmz-test.cfa.harvard.edu,131.142.198.57,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],cxc-git.cfa.harvard.edu,131.142.184.169,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],cxc-prev.cfa.harvard.edu,131.142.198.60,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,cxc-dmz-prev.cfa.harvard.edu,,,,,,,
[x],cxc-test.cfa.harvard.edu,131.142.198.57,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,cxc-dmz-test.cfa.harvard.edu,,,,,,,
[x],cxc.cfa.harvard.edu,131.142.198.51,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],cxc.harvard.edu,131.142.198.51,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,"asc.cfa.harvard.edu, cxc.cfa.harvard.edu",,,,,,,
[x],cxcfps.cfa.harvard.edu,131.142.198.62,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],cxcfpstest.cfa.harvard.edu,131.142.198.65,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],cxcjira-test.cfa.harvard.edu,131.142.184.100,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],cxcjira.cfa.harvard.edu,131.142.184.94,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],cyber.harvard.edu,128.103.64.74,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,smtp.cyber.harvard.edu,,,
[x],cyberlawclinic.berkman.harvard.edu,128.103.64.94,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],cyclops.mgh.harvard.edu,132.183.161.62,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],cz.mgh.harvard.edu,132.183.98.49,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],d42dr.tch.harvard.edu,"10.40.171.15, 134.174.21.180, 134.174.21.140","bdcnetnsg1.tch.harvard.edu, isddnsadmins-dl.childrens.harvard.edu",True,10.40.171.15,NOERROR,,"ns2.childrenshospital.org, ndcnetnse1.tch.harvard.edu, ns1.childrenshospital.org, bdcnetnse1.tch.harvard.edu",,,,,,
[x],daedalus.mgh.harvard.edu,155.52.206.39,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
[x],daemon.harvard.edu,128.103.99.15,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],dailyfeed.labstaff.dce.harvard.edu,"140.247.74.114, 140.247.74.26","simon.labstaff.dce.harvard.edu, hostmaster.labstaff.dce.harvard.edu, sherlock.labstaff.dce.harvard.edu",,,NOERROR,sully.labstaff.dce.harvard.edu,,,,,,,
[x],dalite.harvardx.harvard.edu,149.202.187.159,"ns1.gandi.net, hostmaster.gandi.net",,,NOERROR,dalite-harvard.opencraft.hosting,,,,,,,
[x],dana.harvard.edu,128.103.92.154,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,dana.harvard.edu,,,
[x],darla.law.harvard.edu,140.247.218.120,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],dart.harvard.edu,"34.233.148.103, 18.215.89.107","ns-1235.awsdns-26.org, awsdns-hostmaster.amazon.com",,,NOERROR,,"ns-220.awsdns-27.com, ns-978.awsdns-58.net, ns-1235.awsdns-26.org, ns-1880.awsdns-43.co.uk",,,,,,
[x],das.harvard.edu,54.172.197.41,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,"a16-64.akam.net, a10-66.akam.net, a6-66.akam.net, a11-67.akam.net, a1-171.akam.net, a7-65.akam.net",,,"mx0b-00171101.pphosted.com, mx0a-00171101.pphosted.com",v=spf1 ip4:140.247.173.55 -all,,
[x],das7.hcl.harvard.edu,140.247.124.26,"a1-171.akam.net, netmanager.harvard.edu",,,NOERROR,,,,,,,,
[x],dash-prod.hz.lib.harvard.edu,"44.205.128.77, 54.81.194.167, 54.158.212.34","ns-1744.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,,"ns-103.awsdns-12.com, ns-1275.awsdns-31.org, ns-1744.awsdns-26.co.uk, ns-953.awsdns-55.net",,,,,,
[x],dash.harvard.edu,"44.205.128.77, 54.158.212.34, 54.81.194.167","ns-1744.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,"dash.lib.harvard.edu, dash-prod.hz.lib.harvard.edu",,,,,,,
[x],dash.lib.harvard.edu,"54.158.212.34, 44.205.128.77, 54.81.194.167","ns-1744.awsdns-26.co.uk, awsdns-hostmaster.amazon.com",,,NOERROR,dash-prod.hz.lib.harvard.edu,"ns-103.awsdns-12.com, ns-1275.awsdns-31.org, ns-1744.awsdns-26.co.uk, ns-953.awsdns-55.net",,,,,,
[x],dashti.bwh.harvard.edu,170.223.191.141,"ecorexns1.partners.org, domainadmin.partners.org",,,NOERROR,,,,,,,,
