input,title,status_code,content_length,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_self_signed,tls_mismatched,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,content_type,method,host,path,favicon,a_,lines,failed,tls_issuer_org_,tls_subject_org_,tech_,csp_domains_,tls_wildcard_certificate,webserver,final_url
mfgroup.stage.fidentity.ch,404 Not Found,404,548,mfgroup.stage.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-01-24T05:12:35Z,2024-01-24T05:12:35Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,cd83fbf9e791899054c41bad7979b6a8,642ca11bf191d320c508f3a679adaec76db455e5f316ba80eab7a5de7e89ef1f,ctls,mfgroup.stage.fidentity.ch,443,https://mfgroup.stage.fidentity.ch:443,https,text/html,GET,194.88.197.87,/,566218143,194.88.197.87,14,False,Acme Co,Acme Co,HSTS,,,,
migrosbank.dev.fidentity.ch,,404,19,migrosbank.dev.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-11T14:46:16Z,2024-05-10T14:46:16Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,37ef191dbb35b55544b88832689b3419.c892963f0dd38df09bc7f0f55685d200.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,31dd5196f419473dff314d0473ce7bea,87926e697ce35cc9b70c154b9055d7be5cd46a63bb0c726d672838f9bb8d2274,ctls,migrosbank.dev.fidentity.ch,443,https://migrosbank.dev.fidentity.ch:443,https,text/plain,GET,194.182.166.97,/,-138391155,194.182.166.97,2,False,,,,,,,
migrosbank.stage.fidentity.ch,404 Not Found,404,146,migrosbank.stage.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-01-24T05:12:35Z,2024-01-24T05:12:35Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,cd83fbf9e791899054c41bad7979b6a8,642ca11bf191d320c508f3a679adaec76db455e5f316ba80eab7a5de7e89ef1f,ctls,migrosbank.stage.fidentity.ch,443,https://migrosbank.stage.fidentity.ch:443,https,text/html,GET,194.88.197.87,/,1494302000,194.88.197.87,8,False,Acme Co,Acme Co,HSTS,,,,
new-app-v2db2-corp.loadtest.fidentity.ch,,404,19,new-app-v2db2-corp.loadtest.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-10T08:38:56Z,2024-05-09T08:38:56Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,c57ea257a78dc73b13f8ed5d0ae0b3c9.fd43ffe46501613f4fc0edcbd3d7cde5.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,d13ef06cd06cdf5ba2d9dbf9fdbf29b9,8edbbddb09d2b561ffbf920143a00e3b9e9df41627c30fa4b0f3a9b1e43a63da,ctls,new-app-v2db2-corp.loadtest.fidentity.ch,443,https://new-app-v2db2-corp.loadtest.fidentity.ch:443,https,text/plain,GET,194.182.164.157,/,-138391155,194.182.164.157,2,False,,,,,,,
newco.stage.fidentity.ch,Fidentity Error,403,1620,newco.stage.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-03-27T08:29:57Z,2023-06-25T08:29:56Z,CN=newco.stage.fidentity.ch,newco.stage.fidentity.ch,newco.stage.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,7559af7260da009ae5da2c05de3dc1c5,7a9c9f6e938c74f107a2160817542efa5f90c77e2c070bc3a84d6b1677ae6e08,ctls,newco.stage.fidentity.ch,443,https://newco.stage.fidentity.ch:443,https,text/html,GET,194.88.197.87,/,-1563323710,194.88.197.87,56,False,Let's Encrypt,,HSTS,https:,,,https://newco.stage.fidentity.ch/api/v1/demo-registration
nfc.fidentity.ch,Installation App,200,3527,nfc.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2022-08-09T06:13:25Z,2023-08-09T06:13:25Z,"CN=*.fidentity.ch, O=fidentity AG, L=Kaufdorf, ST=BE, C=CH",*.fidentity.ch,fidentity.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,72f435927e795ac22b91d68446ace2d4,472674a096b615b6ac1f135c7bfd6e5660263176a17efeb44eaf11d02ac5c303,ctls,nfc.fidentity.ch,80,http://nfc.fidentity.ch:80,http,text/html,GET,194.88.197.87,/,-1793755213,194.88.197.87,15,False,SwissSign AG,fidentity AG,Node.js,,True,,https://nfc.fidentity.ch
office.preview.fidentity.ch,,404,19,office.preview.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-11T14:46:16Z,2024-05-10T14:46:16Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,626852d9fc40be7d0a2e5421cddc4224.f6479a57c6a53bd1bf401c3465f9a1e8.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,ab30af3fd7623f1d97bb7a7e176acea2,07157cdd1d35c4b2bf1ed4b32067638aae35b4b9f356247c5993b2ad9019f2f3,ctls,office.preview.fidentity.ch,443,https://office.preview.fidentity.ch:443,https,text/plain,GET,194.182.166.97,/,-138391155,194.182.166.97,2,False,,,,,,,
predict.fidentity.ch,403 Forbidden,403,555,predict.fidentity.ch,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,,,2022-08-09T06:13:25Z,2023-08-09T06:13:25Z,"CN=*.fidentity.ch, O=fidentity AG, L=Kaufdorf, ST=BE, C=CH",*.fidentity.ch,fidentity.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,72f435927e795ac22b91d68446ace2d4,472674a096b615b6ac1f135c7bfd6e5660263176a17efeb44eaf11d02ac5c303,ctls,predict.fidentity.ch,80,http://predict.fidentity.ch:80,http,text/html,GET,193.5.124.29,/,-920312475,193.5.124.29,14,False,SwissSign AG,fidentity AG,Nginx:1.23.4,,True,nginx/1.23.4,https://predict.fidentity.ch/
promotion.dev.fidentity.ch,,404,19,promotion.dev.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-11T14:46:16Z,2024-05-10T14:46:16Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,37ef191dbb35b55544b88832689b3419.c892963f0dd38df09bc7f0f55685d200.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,31dd5196f419473dff314d0473ce7bea,87926e697ce35cc9b70c154b9055d7be5cd46a63bb0c726d672838f9bb8d2274,ctls,promotion.dev.fidentity.ch,80,http://promotion.dev.fidentity.ch:80,http,text/plain,GET,194.182.166.97,/,-138391155,194.182.166.97,2,False,,,,,,,https://promotion.dev.fidentity.ch/
proxy.stage.fidentity.ch,404 Not Found,404,146,proxy.stage.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,True,True,2023-02-22T05:16:23Z,2024-02-22T05:16:23Z,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,ingress.local,"CN=Kubernetes Ingress Controller Fake Certificate, O=Acme Co",Kubernetes Ingress Controller Fake Certificate,10671994be54d57ddcf3d6d692ee23c5,c862de61159704cd7668838b40b7f739c6da8527d65e078e1bc7587bdb63110b,ctls,proxy.stage.fidentity.ch,443,https://proxy.stage.fidentity.ch:443,https,text/html,GET,194.88.197.87,/,1494302000,194.88.197.87,8,False,Acme Co,Acme Co,HSTS,,,,
selfie-poc.preview.fidentity.ch,,503,19,selfie-poc.preview.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-05-01T02:08:10Z,2023-07-30T02:08:09Z,CN=selfie-poc.preview.fidentity.ch,selfie-poc.preview.fidentity.ch,selfie-poc.preview.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,dac3359eb0b4c437e4e8294ae53c2798,334ac8c962e0185ff4c347cbebbb88e7b5eff5f35194e31da0f99cf4f5ce04ce,ctls,selfie-poc.preview.fidentity.ch,443,https://selfie-poc.preview.fidentity.ch:443,https,text/plain,GET,194.182.166.97,/,-1584092829,194.182.166.97,1,False,Let's Encrypt,,,,,,
sgkb.fidentity.ch,Fidentity Error,403,1620,sgkb.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2022-08-09T06:13:25Z,2023-08-09T06:13:25Z,"CN=*.fidentity.ch, O=fidentity AG, L=Kaufdorf, ST=BE, C=CH",*.fidentity.ch,fidentity.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,72f435927e795ac22b91d68446ace2d4,472674a096b615b6ac1f135c7bfd6e5660263176a17efeb44eaf11d02ac5c303,ctls,sgkb.fidentity.ch,80,http://sgkb.fidentity.ch:80,http,text/html,GET,194.88.197.87,/,-441087738,194.88.197.87,56,False,SwissSign AG,fidentity AG,HSTS,https:,True,,https://sgkb.fidentity.ch
sign.app.fidentity.ch,401 Authorization Required,401,574,sign.app.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-05-08T21:42:46Z,2023-08-06T21:42:45Z,CN=sign.app.fidentity.ch,sign.app.fidentity.ch,sign.app.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,cdb07b267286e7231a6c26471ad8c4d4,53cfbd4369d20da20caaebc86cce0f0871aa89ba7786bbd4646ee75a34b0c65a,ctls,sign.app.fidentity.ch,443,https://sign.app.fidentity.ch:443,https,text/html,GET,194.88.197.87,/,1335698669,194.88.197.87,14,False,Let's Encrypt,,HSTS,,,,
sign.app.hack.fidentity.ch,,404,19,sign.app.hack.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-09T09:25:27Z,2024-05-08T09:25:27Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,056b97b8c82a93a8a2c25e199b1b5282.887a4127856c5c78571e0ff4474d2c4c.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,f39c791224c68352d9b5518d0a31067a,9de900f46fadff0471256877a9aa93e33f8d4d1f81a67d1258450e2b5a4902cf,ctls,sign.app.hack.fidentity.ch,80,http://sign.app.hack.fidentity.ch:80,http,text/plain,GET,85.217.160.128,/,-138391155,85.217.160.128,2,False,,,,,,,https://sign.app.hack.fidentity.ch/
status.fidentity.ch,,200,2510,status.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-04-04T12:13:18Z,2023-07-03T12:13:17Z,CN=status.fidentity.ch,status.fidentity.ch,status.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,8469ad4cbc5673e93cb22dfaf895cc4b,cdb80ebf9bc89e5e0525ad67080b582bcbfc3e9ae2323f9b5f8633efeb36db3a,ctls,status.fidentity.ch,80,http://status.fidentity.ch:80,http,text/html,GET,188.34.200.45,/,989757745,5.75.153.140,1,False,Let's Encrypt,,HSTS,,,,https://status.fidentity.ch
storage.loadtest.fidentity.ch,,401,17,storage.loadtest.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-21T14:35:16Z,2023-06-19T14:35:15Z,CN=storage.loadtest.fidentity.ch,storage.loadtest.fidentity.ch,storage.loadtest.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,566fa28ef3cd40173338624743a759a0,71229b0c441b950c76c57bd5147f7af406e05abac73076fdcb9163c792cf18ee,ctls,storage.loadtest.fidentity.ch,443,https://storage.loadtest.fidentity.ch:443,https,text/plain,GET,194.182.164.157,/,797663971,194.182.164.157,2,False,Let's Encrypt,,Basic,,,,
stripe.preview.fidentity.ch,,404,19,stripe.preview.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-11T14:46:14Z,2024-05-10T14:46:14Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,3a5476b2143af657550188f502778ad4.8975e5eabac3e4693eecee53165fe68a.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,d340f52c3cd080deeff5f9649daf0b15,84b60ffab4c4373395eeb06cf76b64d6e4a9ee3b6993ca53bcaa89e35bad9862,ctls,stripe.preview.fidentity.ch,80,http://stripe.preview.fidentity.ch:80,http,text/plain,GET,194.182.166.97,/,-138391155,194.182.166.97,2,False,,,,,,,https://stripe.preview.fidentity.ch/
swisstransplant.dev.fidentity.ch,,404,19,swisstransplant.dev.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-11T14:46:14Z,2024-05-10T14:46:14Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,3a5476b2143af657550188f502778ad4.8975e5eabac3e4693eecee53165fe68a.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,d340f52c3cd080deeff5f9649daf0b15,84b60ffab4c4373395eeb06cf76b64d6e4a9ee3b6993ca53bcaa89e35bad9862,ctls,swisstransplant.dev.fidentity.ch,443,https://swisstransplant.dev.fidentity.ch:443,https,text/plain,GET,194.182.166.97,/,-138391155,194.182.166.97,2,False,,,,,,,
switch.dev.fidentity.ch,Fidentity Error,403,1620,switch.dev.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-22T01:50:45Z,2023-06-20T01:50:44Z,CN=switch.dev.fidentity.ch,switch.dev.fidentity.ch,switch.dev.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,c66ae8333233fd775e252939cc686544,db25d09545354029aa475e45618d4751c6bd424e620521227768e265135f8db2,ctls,switch.dev.fidentity.ch,443,https://switch.dev.fidentity.ch:443,https,text/html,GET,194.182.166.97,/,849887260,194.182.166.97,56,False,Let's Encrypt,,Nginx,https:,,nginx,https://switch.dev.fidentity.ch/api/v1/demo-registration
sygnum-nft.app.fidentity.ch,Fidentity Error,403,1620,sygnum-nft.app.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-04-06T07:15:14Z,2023-07-05T07:15:13Z,CN=sygnum-nft.app.fidentity.ch,sygnum-nft.app.fidentity.ch,sygnum-nft.app.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,22520348c769795f4094f30272d3c3fe,cf2ae0eee3796ced1533d360a991598450b898e4acb05f1b1c3e2b6de26fde10,ctls,sygnum-nft.app.fidentity.ch,443,https://sygnum-nft.app.fidentity.ch:443,https,text/html,GET,194.88.197.87,/,22394945,194.88.197.87,56,False,Let's Encrypt,,HSTS,https:,,,
sygnum-nft.dev.fidentity.ch,Fidentity Error,403,1620,sygnum-nft.dev.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-30T12:01:49Z,2023-06-28T12:01:48Z,CN=sygnum-nft.dev.fidentity.ch,sygnum-nft.dev.fidentity.ch,sygnum-nft.dev.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,7e7fed3aaf6c10dcccfbad98002f0ea7,a53df3b75c00756caf21619a29fbccbef0f07c0bc2e5a9f556f9ba3f4cf7b2fd,ctls,sygnum-nft.dev.fidentity.ch,80,http://sygnum-nft.dev.fidentity.ch:80,http,text/html,GET,194.182.166.97,/,964855302,194.182.166.97,56,False,Let's Encrypt,,Nginx,https:,,nginx,https://sygnum-nft.dev.fidentity.ch/api/v1/demo-registration
sygnum-nft.stage.fidentity.ch,Fidentity Error,403,1620,sygnum-nft.stage.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-03-30T12:03:57Z,2023-06-28T12:03:56Z,CN=sygnum-nft.stage.fidentity.ch,sygnum-nft.stage.fidentity.ch,sygnum-nft.stage.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,6e51b91df4c6b1b831df5db1e961b356,3442cbdcbc6bdeb72f057bce6b7976b7f3b6e7ecb6f66372a334464b84ba4b20,ctls,sygnum-nft.stage.fidentity.ch,80,http://sygnum-nft.stage.fidentity.ch:80,http,text/html,GET,194.88.197.87,/,-1944944065,194.88.197.87,56,False,Let's Encrypt,,HSTS,https:,,,https://sygnum-nft.stage.fidentity.ch/api/v1/demo-registration
sygnum.dev.fidentity.ch,Fidentity Error,403,1620,sygnum.dev.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-03-22T01:55:29Z,2023-06-20T01:55:28Z,CN=sygnum.dev.fidentity.ch,sygnum.dev.fidentity.ch,sygnum.dev.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,7940ca79e18a3663903a5af7750e9494,f030133ce0ed01a53acb81aa14e2b96830eac618e1c8cfbe2711ff051dec828f,ctls,sygnum.dev.fidentity.ch,443,https://sygnum.dev.fidentity.ch:443,https,text/html,GET,194.182.166.97,/,817728399,194.182.166.97,56,False,Let's Encrypt,,Nginx,https:,,nginx,https://sygnum.dev.fidentity.ch/api/v1/demo-registration
thurgau.stage.fidentity.ch,Fidentity Error,403,1620,thurgau.stage.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-05-03T10:52:06Z,2023-08-01T10:52:05Z,CN=thurgau.stage.fidentity.ch,thurgau.stage.fidentity.ch,thurgau.stage.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,7b2713f7765dfd9b5caeb347dd15d68b,2117582ad37fc5cf973f74748ff7bd1964fc46ebf943cc3481436fa504a27ce9,ctls,thurgau.stage.fidentity.ch,443,https://thurgau.stage.fidentity.ch:443,https,text/html,GET,194.88.197.87,/,-1131238077,194.88.197.87,56,False,Let's Encrypt,,HSTS,thurgau.stage.fidentity.ch,,,https://thurgau.stage.fidentity.ch/api/v1/demo-registration
urnerkb.stage.fidentity.ch,Fidentity Error,403,1620,urnerkb.stage.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-04-15T04:11:28Z,2023-07-14T04:11:27Z,CN=urnerkb.stage.fidentity.ch,urnerkb.stage.fidentity.ch,urnerkb.stage.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,f9df98c8127178b328bf94d1fdf3a73a,fdc305259f541a010eddcd08d373cbba0ab3d1a2201e9c9aac5ab4f975ab2ee7,ctls,urnerkb.stage.fidentity.ch,80,http://urnerkb.stage.fidentity.ch:80,http,text/html,GET,194.88.197.87,/,689881410,194.88.197.87,56,False,Let's Encrypt,,HSTS,https:,,,https://urnerkb.stage.fidentity.ch/api/v1/demo-registration
us-east-1.preview.fidentity.ch,,404,19,us-east-1.preview.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,True,True,2023-05-11T14:46:16Z,2024-05-10T14:46:16Z,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,626852d9fc40be7d0a2e5421cddc4224.f6479a57c6a53bd1bf401c3465f9a1e8.traefik.default,CN=TRAEFIK DEFAULT CERT,TRAEFIK DEFAULT CERT,ab30af3fd7623f1d97bb7a7e176acea2,07157cdd1d35c4b2bf1ed4b32067638aae35b4b9f356247c5993b2ad9019f2f3,ctls,us-east-1.preview.fidentity.ch,443,https://us-east-1.preview.fidentity.ch:443,https,text/plain,GET,194.182.166.97,/,-138391155,194.182.166.97,2,False,,,,,,,
uxtest.dev.fidentity.ch,Fidentity Error,403,1620,uxtest.dev.fidentity.ch,443,True,tls13,TLS_AES_128_GCM_SHA256,,,2023-04-06T01:39:42Z,2023-07-05T01:39:41Z,CN=uxtest.dev.fidentity.ch,uxtest.dev.fidentity.ch,uxtest.dev.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,2a1c40490c2f04b32732ed400c8ae043,8e00dcb2b1c8dd6c071c99d414c4edc1623b83acca6a35820b610223f4e2ce24,ctls,uxtest.dev.fidentity.ch,443,https://uxtest.dev.fidentity.ch:443,https,text/html,GET,194.182.166.97,/,1417186927,194.182.166.97,56,False,Let's Encrypt,,Nginx,https:,,nginx,https://uxtest.dev.fidentity.ch/api/v1/demo-registration
vontobel.app.fidentity.ch,Fidentity Error,403,1620,vontobel.app.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-03-30T05:42:41Z,2023-06-28T05:42:40Z,CN=vontobel.app.fidentity.ch,vontobel.app.fidentity.ch,vontobel.app.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,79aaaa8b2c7321edcd0a7979ea70534d,34a945df7f132824d075f73293012e27d3da1c7995593c34ab2f67b6c131b39d,ctls,vontobel.app.fidentity.ch,443,https://vontobel.app.fidentity.ch:443,https,text/html,GET,194.88.197.87,/,-749950089,194.88.197.87,56,False,Let's Encrypt,,HSTS,vontobel.app.fidentity.ch,,,
zugerkb-stage.fidentity.ch,Fidentity Error,403,1620,zugerkb-stage.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2022-08-09T06:13:25Z,2023-08-09T06:13:25Z,"CN=*.fidentity.ch, O=fidentity AG, L=Kaufdorf, ST=BE, C=CH",*.fidentity.ch,fidentity.ch,"CN=SwissSign RSA TLS OV ICA 2021 - 1, O=SwissSign AG, C=CH",SwissSign RSA TLS OV ICA 2021 - 1,72f435927e795ac22b91d68446ace2d4,472674a096b615b6ac1f135c7bfd6e5660263176a17efeb44eaf11d02ac5c303,ctls,zugerkb-stage.fidentity.ch,80,http://zugerkb-stage.fidentity.ch:80,http,text/html,GET,194.88.197.87,/,1030137830,194.88.197.87,56,False,SwissSign AG,fidentity AG,HSTS,https://zugerkb.stage.fidentity.ch/api/v1/app/logger/csp,True,,https://zugerkb-stage.fidentity.ch/api/v1/demo-registration
zugerkb.stage.fidentity.ch,Fidentity Error,403,1620,zugerkb.stage.fidentity.ch,443,True,tls13,TLS_AES_256_GCM_SHA384,,,2023-04-24T06:40:34Z,2023-07-23T06:40:33Z,CN=zugerkb.stage.fidentity.ch,zugerkb.stage.fidentity.ch,zugerkb.stage.fidentity.ch,"CN=R3, O=Let's Encrypt, C=US",R3,a2d3cff95b81a0319547f8e6451f2bdb,fdebaf34e7b97b3819f34a0088f51cd817df73446120f6fa1e9956f76bdd2d09,ctls,zugerkb.stage.fidentity.ch,80,http://zugerkb.stage.fidentity.ch:80,http,text/html,GET,194.88.197.87,/,-1049862351,194.88.197.87,56,False,Let's Encrypt,,HSTS,https://zugerkb.stage.fidentity.ch/api/v1/app/logger/csp,,,https://zugerkb.stage.fidentity.ch/api/v1/demo-registration
