new,host,a,soa,status_code,txt,cname,aaaa,mx,ns,caa
[x],storage.loadtest.fidentity.ch,194.182.164.157,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],stripe.preview.fidentity.ch,,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],swisstransplant.dev.fidentity.ch,194.182.166.97,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],swisstransplant.stage.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com, ns1.dnsimple.com",NOERROR,,,,,,
[x],switch.dev.fidentity.ch,194.182.166.97,"ns1.exoscale.ch, admin.dnsimple.com, ns1.dnsimple.com",NOERROR,,,,,,
[x],switch.stage.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],sygnum-nft.app.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],sygnum-nft.dev.fidentity.ch,194.182.166.97,"ns1.dnsimple.com, admin.dnsimple.com, ns1.exoscale.ch",NOERROR,,,,,,
[x],sygnum-nft.stage.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],sygnum.dev.fidentity.ch,194.182.166.97,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],sygnum.stage.fidentity.ch,194.88.197.87,"ns1.dnsimple.com, admin.dnsimple.com, ns1.exoscale.ch",NOERROR,,,,,,
[x],tend.fidentity.ch,,"ns1.dnsimple.com, admin.dnsimple.com",NOERROR,swisssign-check=desHK7WLY1ye3WDrUxAaNdGHS13rr03XA2UWkRbvga,,,,,
[x],test.hack.fidentity.ch,,"ns1.dnsimple.com, admin.dnsimple.com, ns1.exoscale.ch",NOERROR,swisssign-check=desHK7WLY1ye3WDrUxAaNdGHS13rr03XA2UWkRbvga,,,,,
[x],thurgau.dev.fidentity.ch,194.182.166.97,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],thurgau.stage.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],tor44-414-pdc.loadtest.fidentity.ch,194.182.164.157,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],urnerkb.dev.fidentity.ch,194.182.166.97,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],urnerkb.stage.fidentity.ch,194.88.197.87,"ns1.dnsimple.com, admin.dnsimple.com, ns1.exoscale.ch",NOERROR,,,,,,
[x],us-east-1.loadtest.fidentity.ch,194.182.164.157,"ns1.dnsimple.com, admin.dnsimple.com, ns1.exoscale.ch",NOERROR,,,,,,
[x],us-east-1.preview.fidentity.ch,194.182.166.97,"ns1.exoscale.ch, admin.dnsimple.com, ns1.dnsimple.com",NOERROR,,,,,,
[x],uxtest.dev.fidentity.ch,194.182.166.97,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],uxtest.stage.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],valiant.app.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],valiant.dev.fidentity.ch,194.182.166.97,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],valiant.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com, ns1.dnsimple.com",NOERROR,,valiant.app.fidentity.ch,,,,
[x],valiant.preview.fidentity.ch,194.182.166.97,"ns1.exoscale.ch, admin.dnsimple.com, ns1.dnsimple.com",NOERROR,,,,,,
[x],valiant.stage.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],video-chat.fidentity.ch,89.145.165.243,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],videochat.fidentity.ch,89.145.165.243,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],vlkch.app.fidentity.ch,,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],vlkch.dev.fidentity.ch,,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],vontobel.app.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],vontobel.stage.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com, ns1.dnsimple.com",NOERROR,,,,,,
[x],webmail.fidentity.ch,194.126.200.211,"ns1.cyon.ch, server0.cyon.ch",NOERROR,,webmail.cyon.ch,,,,
[x],webrtc.fidentity.ch,,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,swisssign-check=desHK7WLY1ye3WDrUxAaNdGHS13rr03XA2UWkRbvga,,,,,
[x],www.fidentity.ch,149.126.4.17,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,"MS=ms26304919, QuoVadis=6427ae52-998d-4b84-ab4c-ff8f74b9efde, google-site-verification=JxJ29ZTpN02WSnlSkX37uw8YkdAshpwtdp0KJxKm1Eg, google-site-verification=Xm_1PsNsxoJbJPbWlPAzlBoY-KQuRKneP_6QXP6ELUk, google-site-verification=vaC2cGkN3kKM6kjyDlIHlFP0qd0SQ0rSeIwXj4jvARs, v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCrLHiExVd55zd/IQ/J/mRwSRMAocV/hMB3jXwaHH36d9NaVynQFYV8NaWi69c1veUtRzGt7yAioXqLj7Z4TeEUoOLgrKsn8YnckGs9i3B3tVFB+Ch/4mPhXWiNfNdynHWBcPcbJ8kjEQ2U8y78dHZj1YeRXXVvWob2OaKynO8/lQIDAQAB;, v=spf1 include:spf.protection.outlook.com include:spf.mandrillapp.com ~all, swisssign-check=desHK7WLY1ye3WDrUxAaNdGHS13rr03XA2UWkRbvga",fidentity.ch,2a01:ab20:0:4::17,fidentity-ch.mail.protection.outlook.com,"ns1.exoscale.ch, ns1.exoscale.com, ns1.exoscale.io, ns1.exoscale.net",
[x],wysiwys.hack.fidentity.ch,,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,swisssign-check=desHK7WLY1ye3WDrUxAaNdGHS13rr03XA2UWkRbvga,,,,,
[x],zugerkb-dev.fidentity.ch,,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,swisssign-check=desHK7WLY1ye3WDrUxAaNdGHS13rr03XA2UWkRbvga,,,,,
[x],zugerkb-stage.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,zugerkb.stage.fidentity.ch,,,,
[x],zugerkb.dev.fidentity.ch,194.182.166.97,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,,,,,
[x],zugerkb.fidentity.ch,194.88.197.87,"ns1.exoscale.ch, admin.dnsimple.com",NOERROR,,zugerkb.app.fidentity.ch,,,,
[x],zugerkb.stage.fidentity.ch,194.88.197.87,"ns1.dnsimple.com, admin.dnsimple.com, ns1.exoscale.ch",NOERROR,,,,,,
